,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Scott Verplank,82,-0.01
1,2,2,Anthony Kim,81,-0.008
2,3,3,Mike Weir,88,0.015
3,4,4,Camilo Villegas,79,0.027000000000000003
4,5,5,John Huston,56,0.032
5,6,6,Steve Allan,58,0.034
6,7,7,Charles Howell III,101,0.035
7,8,8,Billy Mayfair,103,0.037000000000000005
8,9,9,Fred Couples,60,0.04
9,T10,T10,Ben Crane,86,0.040999999999999995
10,T10,T10,Nathan Green,95,0.040999999999999995
11,12,12,Phil Mickelson,80,0.042
12,13,13,Mark Calcavecchia,67,0.043
13,14,14,Sergio Garcia,72,0.046
14,15,15,Doug LaBelle II,65,0.048
15,16,16,Nick Watney,96,0.05
16,T17,T17,K.J. Choi,74,0.051
17,T17,T17,Peter Lonard,92,0.051
18,T17,T17,Patrick Sheehan,124,0.051
19,T20,T20,Davis Love III,78,0.052000000000000005
20,T20,T20,Steve Marino,119,0.052000000000000005
21,22,22,Carl Pettersson,110,0.053
22,23,23,Jerry Kelly,89,0.055999999999999994
23,24,24,Aaron Baddeley,76,0.057999999999999996
24,T25,T25,Alejandro Cañizares,52,0.063
25,T25,T25,Lee Janzen,89,0.063
26,T25,T25,Parker McLachlin,88,0.063
27,T28,T28,Daniel Chopra,84,0.065
28,T28,T28,J.B. Holmes,86,0.065
29,30,30,Shane Bertsch,96,0.066
30,T31,T31,Bob Estes,90,0.067
31,T31,T31,Vijay Singh,82,0.067
32,33,33,Brett Rumford,72,0.076
33,34,34,Bubba Watson,97,0.079
34,35,35,Tim Petrovic,97,0.081
35,36,36,Bob Tway,70,0.08199999999999999
36,37,37,Jeff Overton,103,0.084
37,T38,T38,Mathew Goggin,91,0.085
38,T38,T38,Geoff Ogilvy,65,0.085
39,T40,T40,Zach Johnson,85,0.086
40,T40,T40,Pat Perez,93,0.086
41,T42,T42,David Toms,70,0.087
42,T42,T42,Charlie Wi,97,0.087
43,T44,T44,Scott McCarron,63,0.08800000000000001
44,T44,T44,Brandt Snedeker,85,0.08800000000000001
45,46,46,Brenden Pappas,66,0.08900000000000001
46,47,47,Jonathan Byrd,88,0.091
47,48,48,Tim Herron,97,0.094
48,49,49,Robert Garrigus,90,0.096
49,50,50,Marc Turnesa,87,0.09699999999999999
50,T51,T51,Charley Hoffman,94,0.098
51,T51,T51,Jimmy Walker,73,0.098
52,53,53,Bill Haas,99,0.099
53,54,54,Ian Poulter,51,0.1
54,T55,T55,Billy Andrade,71,0.102
55,T55,T55,Brett Quigley,80,0.102
56,57,57,Briny Baird,113,0.10400000000000001
57,58,58,Ryan Palmer,69,0.106
58,T59,T59,J.J. Henry,108,0.107
59,T59,T59,Scott Sterling,89,0.107
60,61,61,Martin Laird,98,0.109
61,T62,T62,Nick Flanagan,89,0.11
62,T62,T62,Jon Mills,95,0.11
63,T64,T64,Joe Durant,92,0.111
64,T64,T64,Chez Reavie,102,0.111
65,66,66,Chad Collins,72,0.11199999999999999
66,67,67,Stephen Ames,83,0.11599999999999999
67,T68,T68,Padraig Harrington,52,0.11699999999999999
68,T68,T68,Rocco Mediate,87,0.11699999999999999
69,T70,T70,Brad Elder,67,0.11800000000000001
70,T70,T70,Kevin Sutherland,98,0.11800000000000001
71,T72,T72,Kenneth Ferrie,72,0.12
72,T72,T72,Adam Scott,51,0.12
73,T74,T74,Stewart Cink,87,0.121
74,T74,T74,Glen Day,64,0.121
75,76,76,Kevin Stadler,90,0.122
76,77,77,Cameron Beckman,87,0.127
77,T78,T78,Ben Curtis,80,0.13
78,T78,T78,Freddie Jacobson,78,0.13
79,T78,T78,Jim McGovern,75,0.13
80,T81,T81,John Merrick,98,0.131
81,T81,T81,Kevin Na,97,0.131
82,T81,T81,Kevin Streelman,114,0.131
83,84,84,Ken Duke,116,0.132
84,85,85,Ryan Moore,72,0.133
85,T86,T86,Mark Hensby,71,0.134
86,T86,T86,Mark Wilson,107,0.134
87,88,88,Harrison Frazar,73,0.136
88,89,89,Michael Letzig,88,0.13699999999999998
89,90,90,Boo Weekley,86,0.138
90,T91,T91,Steve Elkington,84,0.14
91,T91,T91,Carlos Franco,73,0.14
92,T91,T91,Nick O'Hern,82,0.14
93,94,94,Tom Pernice Jr.,104,0.141
94,95,95,Brandt Jobe,52,0.142
95,T96,T96,Greg Kraft,63,0.14300000000000002
96,T96,T96,Kenny Perry,97,0.14300000000000002
97,T96,T96,John Riegger,73,0.14300000000000002
98,99,99,Brian Gay,102,0.14400000000000002
99,100,100,Chris Riley,51,0.145
100,101,101,Woody Austin,109,0.146
101,102,102,Stuart Appleby,87,0.147
102,103,103,James Driscoll,85,0.14800000000000002
103,T104,T104,Chad Campbell,94,0.149
104,T104,T104,Corey Pavin,69,0.149
105,T106,T106,Jason Day,81,0.151
106,T106,T106,George McNeill,97,0.151
107,T108,T108,Jim Furyk,95,0.153
108,T108,T108,Dudley Hart,74,0.153
109,110,110,Sean O'Hair,81,0.154
110,111,111,John Mallinger,95,0.155
111,T112,T112,Richard Johnson,60,0.156
112,T112,T112,Dustin Johnson,92,0.156
113,T112,T112,Omar Uresti,74,0.156
114,115,115,Matt Jones,95,0.157
115,T116,T116,Troy Matteson,94,0.158
116,T116,T116,John Rollins,94,0.158
117,T118,T118,Steve Lowery,74,0.159
118,T118,T118,Joe Ogilvie,100,0.159
119,T120,T120,David Duval,51,0.161
120,T120,T120,Tommy Gainey,60,0.161
121,122,122,Heath Slocum,104,0.162
122,T123,T123,Chris DiMarco,87,0.163
123,T123,T123,Richard Johnson,77,0.163
124,T125,T125,Brian Davis,108,0.16399999999999998
125,T125,T125,Dean Wilson,109,0.16399999999999998
126,127,127,Tag Ridings,88,0.166
127,128,128,Michael Allen,91,0.16699999999999998
128,129,129,Bo Van Pelt,101,0.168
129,130,130,John Senden,93,0.17
130,131,131,Justin Bolli,87,0.171
131,132,132,Chris Stroud,81,0.172
132,T133,T133,Cody Freeman,66,0.17300000000000001
133,T133,T133,Vaughn Taylor,103,0.17300000000000001
134,T135,T135,Eric Axley,113,0.174
135,T135,T135,Jin Park,85,0.174
136,137,137,Gavin Coles,54,0.175
137,T138,T138,Nicholas Thompson,113,0.177
138,T138,T138,Jay Williamson,96,0.177
139,140,140,Charles Warren,79,0.179
140,141,141,Steve Flesch,95,0.18100000000000002
141,142,142,Ron Whittaker,54,0.182
142,143,143,Tim Clark,90,0.183
143,T144,T144,Jason Allred,63,0.18899999999999997
144,T144,T144,Ángel Cabrera,55,0.18899999999999997
145,T144,T144,Lucas Glover,91,0.18899999999999997
146,T144,T144,Andres Romero,69,0.18899999999999997
147,148,148,Tom Lehman,51,0.19
148,149,149,Frank Lickliter II,107,0.193
149,150,150,Jeff Quinney,87,0.19399999999999998
150,T151,T151,Ryuji Imada,80,0.195
151,T151,T151,Kyle Thompson,70,0.195
152,153,153,Tim Wilkinson,95,0.196
153,154,154,Robert Allenby,108,0.19899999999999998
154,155,155,J.P. Hayes,67,0.2
155,156,156,Brad Adamonis,87,0.201
156,T157,T157,Jeff Maggert,86,0.203
157,T157,T157,Johnson Wagner,83,0.203
158,159,159,Todd Demsey,80,0.204
159,T160,T160,Rich Beem,90,0.20600000000000002
160,T160,T160,Steve Stricker,75,0.20600000000000002
161,T162,T162,Paul Claxton,63,0.207
162,T162,T162,Todd Hamilton,92,0.207
163,164,164,Alex Cejka,75,0.21
164,165,165,Jason Gore,94,0.21100000000000002
165,T166,T166,Cliff Kresge,84,0.212
166,T166,T166,Matt Kuchar,88,0.212
167,168,168,Trevor Immelman,70,0.213
168,169,169,Mathias Grönberg,87,0.21600000000000003
169,170,170,Justin Leonard,101,0.22
170,171,171,Travis Perkins,53,0.223
171,172,172,Hunter Mahan,87,0.22699999999999998
172,173,173,Will MacKenzie,62,0.22899999999999998
173,174,174,Stephen Leaney,53,0.23
174,T175,T175,David Lutterus,59,0.231
175,T175,T175,Ted Purdy,68,0.231
176,177,177,Retief Goosen,59,0.233
177,178,178,Jeff Gove,50,0.23399999999999999
