,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Harrison Frazar,73,60.39,218,361
1,2,2,Steve Allan,58,58.76,171,291
2,3,3,Vijay Singh,82,58.56,260,444
3,4,4,Bill Haas,99,58.22,308,529
4,5,5,Bubba Watson,97,57.48,342,595
5,6,6,Carlos Franco,73,56.67,221,390
6,7,7,Woody Austin,109,56.43,281,498
7,8,8,Joe Durant,92,55.87,176,315
8,9,9,Brandt Jobe,52,55.7,176,316
9,10,10,Kevin Sutherland,98,55.58,289,520
10,T11,T11,Bob Estes,90,55.47,228,411
11,T11,T11,Robert Garrigus,90,55.47,304,548
12,13,13,Steve Elkington,84,55.2,191,346
13,14,14,Sergio Garcia,72,55.03,219,398
14,15,15,Kevin Stadler,90,54.71,238,435
15,16,16,Robert Allenby,108,54.58,280,513
16,17,17,Phil Mickelson,80,54.3,265,488
17,18,18,Mathew Goggin,91,54.16,241,445
18,19,19,Jason Day,81,54.02,242,448
19,20,20,John Senden,93,53.92,220,408
20,21,21,Boo Weekley,86,53.9,221,410
21,22,22,Stewart Cink,87,53.86,272,505
22,23,23,Pat Perez,93,53.81,254,472
23,24,24,Jay Williamson,96,53.76,200,372
24,25,25,Fred Couples,60,53.52,190,355
25,26,26,Steve Marino,119,53.37,309,579
26,27,27,Briny Baird,113,53.32,265,497
27,28,28,Brad Adamonis,87,53.31,258,484
28,29,29,Charles Howell III,101,53.26,319,599
29,30,30,John Huston,56,53.25,131,246
30,31,31,George McNeill,97,53.19,292,549
31,32,32,Kenneth Ferrie,72,53.17,151,284
32,33,33,Gavin Coles,54,53.07,95,179
33,34,34,John Merrick,98,52.98,231,436
34,35,35,Dustin Johnson,92,52.91,318,601
35,36,36,Troy Matteson,94,52.87,267,505
36,37,37,Charles Warren,79,52.76,201,381
37,38,38,Kent Jones,68,52.67,128,243
38,39,39,Bo Van Pelt,101,52.63,270,513
39,40,40,Ryan Palmer,69,52.62,171,325
40,41,41,Ted Purdy,68,52.54,176,335
41,42,42,Travis Perkins,53,52.46,160,305
42,43,43,Brenden Pappas,66,52.39,186,355
43,44,44,Anthony Kim,81,52.33,247,472
44,45,45,Jason Allred,63,52.25,186,356
45,46,46,Y.E. Yang,89,52.03,231,444
46,47,47,Michael Letzig,88,51.92,216,416
47,48,48,Camilo Villegas,79,51.86,237,457
48,T49,T49,Dudley Hart,74,51.84,197,380
49,T49,T49,Omar Uresti,74,51.84,127,245
50,51,51,Daniel Chopra,84,51.82,284,548
51,52,52,Billy Mayfair,103,51.75,207,400
52,53,53,Hunter Mahan,87,51.73,209,404
53,54,54,Mark Calcavecchia,67,51.72,165,319
54,55,55,Charley Hoffman,94,51.69,244,472
55,56,56,Will MacKenzie,62,51.55,166,322
56,T57,T57,Tommy Gainey,60,51.54,151,293
57,T57,T57,John Rollins,94,51.54,217,421
58,59,59,Jeff Maggert,86,51.52,204,396
59,60,60,Jeff Overton,103,51.51,325,631
60,61,61,Tim Wilkinson,95,51.49,208,404
61,62,62,Rory Sabbatini,77,51.48,209,406
62,63,63,Nick Watney,96,51.44,268,521
63,64,64,Kevin Streelman,114,51.41,292,568
64,65,65,J.J. Henry,108,51.35,266,518
65,66,66,Rich Beem,90,51.33,213,415
66,67,67,Nick O'Hern,82,51.29,159,310
67,68,68,Chris Stroud,81,51.28,180,351
68,T69,T69,Nick Flanagan,89,51.25,226,441
69,T69,T69,Charlie Wi,97,51.25,226,441
70,71,71,Davis Love III,78,51.21,233,455
71,72,72,Peter Lonard,92,51.2,214,418
72,73,73,Jason Gore,94,51.18,216,422
73,74,74,Justin Bolli,87,51.17,196,383
74,75,75,Scott Sterling,89,51.15,201,393
75,76,76,Ben Crane,86,51.03,198,388
76,77,77,Brian Davis,108,50.97,211,414
77,78,78,Stephen Ames,83,50.93,218,428
78,79,79,Scott McCarron,63,50.92,138,271
79,T80,T80,Robert Gamez,79,50.88,145,285
80,T80,T80,Kenny Perry,97,50.88,261,513
81,82,82,John Riegger,73,50.87,147,289
82,83,83,Lucas Glover,91,50.82,248,488
83,84,84,James Driscoll,85,50.78,259,510
84,85,85,Zach Johnson,85,50.65,157,310
85,86,86,Parker McLachlin,88,50.62,244,482
86,87,87,Todd Demsey,80,50.53,190,376
87,88,88,Michael Allen,91,50.52,196,388
88,T89,T89,Steve Flesch,95,50.48,261,517
89,T89,T89,Frank Lickliter II,107,50.48,263,521
90,T89,T89,Adam Scott,51,50.48,157,311
91,92,92,Tag Ridings,88,50.39,259,514
92,93,93,K.J. Choi,74,50.26,191,380
93,94,94,Bob Tway,70,50.17,146,291
94,T95,T95,Tommy Armour III,77,50.0,186,372
95,T95,T95,Jim Furyk,95,50.0,202,404
96,97,97,Patrick Sheehan,124,49.91,270,541
97,98,98,Geoff Ogilvy,65,49.87,186,373
98,99,99,David Toms,70,49.85,163,327
99,100,100,Mike Weir,88,49.78,228,458
100,101,101,Mathias Grönberg,87,49.77,214,430
101,102,102,Nathan Green,95,49.72,266,535
