,Approaches_from__275_yards_RANK THIS WEEK,Approaches_from__275_yards_RANK LAST WEEK,Approaches_from__275_yards_PLAYER NAME,Approaches_from__275_yards_ROUNDS,Approaches_from__275_yards_AVG,Approaches_from__275_yards_TOTAL DISTANCE (FEET),Approaches_from__275_yards_# OF ATTEMPTS,Approaches_from__275_yards_RELATIVE TO PAR
0,1,1,Kenny Perry,97,"60' 9""",1153.917,19,-12
1,2,2,Robert Garrigus,90,"65' 1""",1431.75,22,-16
2,3,3,Kent Jones,68,"68' 0""",1020.1669999999999,15,-9
3,4,4,Fred Couples,60,"68' 4""",478.167,7,-4
4,5,5,Charley Hoffman,94,"69' 2""",1660.3329999999999,24,-12
5,6,6,John Merrick,98,"69' 7""",1530.75,22,-12
6,7,7,Ryan Palmer,69,"70' 8""",1483.5829999999999,21,-15
7,8,8,Brandt Jobe,52,"71' 3""",570.0,8,-3
8,9,9,Bill Haas,99,"72' 10""",1529.0829999999999,21,-13
9,10,10,Nick Watney,96,"73' 3""",1905.0829999999999,26,-16
10,11,11,Dustin Johnson,92,"73' 11""",738.9169999999999,10,-6
11,12,12,Kevin Streelman,114,"75' 6""",1962.5,26,-15
12,13,13,Chad Campbell,94,"76' 4""",1374.0,18,-12
13,14,14,Kevin Stadler,90,"76' 7""",1838.25,24,-9
14,T15,T15,Charles Howell III,101,"77' 4""",2397.167,31,-13
15,T15,T15,John Huston,56,"77' 4""",927.5830000000001,12,-6
16,17,17,Brenden Pappas,66,"77' 7""",698.5,9,-3
17,18,18,Greg Kraft,63,"77' 11""",545.5830000000001,7,-3
18,19,19,Jerry Kelly,89,"78' 0""",467.75,6,-5
19,T20,T20,Ernie Els,51,"78' 3""",313.08299999999997,4,-1
20,T20,T20,Doug LaBelle II,65,"78' 3""",625.8330000000001,8,-7
21,T20,T20,Parker McLachlin,88,"78' 3""",1330.5,17,-11
22,23,23,Kevin Sutherland,98,"78' 4""",2350.917,30,-19
23,T24,T24,Jon Mills,95,"78' 9""",1101.917,14,-7
24,T24,T24,Kyle Thompson,70,"78' 9""",945.0830000000001,12,-7
25,26,26,Bubba Watson,97,"79' 4""",872.75,11,-6
26,T27,T27,Lucas Glover,91,"79' 8""",1194.917,15,-1
27,T27,T27,Pat Perez,93,"79' 8""",1753.3329999999999,22,-17
28,T29,T29,Michael Allen,91,"80' 8""",2257.667,28,-19
29,T29,T29,Jonathan Byrd,88,"80' 8""",2500.25,31,-24
30,31,31,Scott Sterling,89,"80' 10""",808.25,10,-2
31,32,32,Paul Casey,55,"80' 11""",323.5,4,-2
32,T33,T33,Briny Baird,113,"81' 2""",1136.0,14,-9
33,T33,T33,Travis Perkins,53,"81' 2""",486.917,6,+2
34,35,35,Steve Stricker,75,"82' 3""",822.6669999999999,10,-9
35,36,36,Heath Slocum,104,"82' 7""",825.9169999999999,10,-6
36,37,37,Brian Gay,102,"83' 0""",1577.5,19,-14
37,38,38,Troy Matteson,94,"83' 1""",1827.5,22,-9
38,T39,T39,Eric Axley,113,"83' 5""",2167.75,26,-11
39,T39,T39,Todd Hamilton,92,"83' 5""",1167.833,14,-6
40,41,41,Joe Ogilvie,100,"83' 6""",1836.25,22,-9
41,42,42,George McNeill,97,"83' 7""",1923.3329999999999,23,-14
42,43,43,Padraig Harrington,52,"83' 9""",753.8330000000001,9,-2
43,44,44,Andres Romero,69,"83' 10""",1089.417,13,-5
44,45,45,Steve Elkington,84,"84' 6""",2113.5,25,-14
45,T46,T46,Mathias Grönberg,87,"85' 2""",2215.333,26,-8
46,T46,T46,Bob Tway,70,"85' 2""",1277.417,15,-8
47,T48,T48,Nathan Green,95,"85' 4""",2730.5,32,-18
48,T48,T48,J.P. Hayes,67,"85' 4""",938.5,11,-7
49,T48,T48,Frank Lickliter II,107,"85' 4""",2731.333,32,-16
50,T51,T51,Brad Adamonis,87,"85' 7""",1797.75,21,-7
51,T51,T51,Richard Johnson,77,"85' 7""",2054.333,24,-6
52,53,53,Bart Bryant,81,"85' 8""",856.25,10,-4
53,54,54,John Rollins,94,"85' 9""",1542.9170000000001,18,-6
54,55,55,Dean Wilson,109,"85' 10""",1373.6670000000001,16,-12
55,56,56,Kenneth Ferrie,72,"85' 11""",2062.25,24,-14
56,57,57,Nick Flanagan,89,"86' 0""",1547.4170000000001,18,E
57,T58,T58,Jason Allred,63,"86' 1""",688.5830000000001,8,-3
58,T58,T58,Kevin Na,97,"86' 1""",1980.0829999999999,23,-14
59,T60,T60,Stewart Cink,87,"86' 2""",948.25,11,-5
60,T60,T60,Jesper Parnevik,88,"86' 2""",1981.4170000000001,23,-12
61,62,62,Ángel Cabrera,55,"86' 7""",1298.583,15,-5
62,63,63,Jimmy Walker,73,"86' 9""",1127.333,13,-4
63,T64,T64,Phil Mickelson,80,"86' 10""",1562.4170000000001,18,-13
64,T64,T64,Vijay Singh,82,"86' 10""",1650.0829999999999,19,-8
65,66,66,Peter Lonard,92,"87' 2""",1220.0,14,-8
66,T67,T67,Billy Andrade,71,"87' 3""",610.5830000000001,7,-3
67,T67,T67,Woody Austin,109,"87' 3""",2356.667,27,-13
68,69,69,Y.E. Yang,89,"87' 4""",1745.9170000000001,20,-4
69,T70,T70,Ryan Armour,87,"87' 6""",1399.8329999999999,16,-7
70,T70,T70,Shigeki Maruyama,50,"87' 6""",1137.833,13,-11
71,T72,T72,Tim Herron,97,"87' 7""",2102.333,24,-14
72,T72,T72,Adam Scott,51,"87' 7""",1138.083,13,-8
73,T74,T74,J.B. Holmes,86,"87' 10""",263.41700000000003,3,-2
74,T74,T74,Rod Pampling,83,"87' 10""",1492.5,17,-7
75,76,76,Hunter Mahan,87,"87' 11""",1758.25,20,-10
76,77,77,Ben Curtis,80,"88' 1""",264.33299999999997,3,-1
77,T78,T78,Retief Goosen,59,"88' 3""",1147.667,13,-7
78,T78,T78,John Senden,93,"88' 3""",2029.9170000000001,23,-7
79,T78,T78,Bob Sowards,61,"88' 3""",1588.8329999999999,18,-6
80,81,81,Robert Gamez,79,"88' 7""",1594.3329999999999,18,-9
81,T82,T82,Todd Demsey,80,"88' 9""",1774.5,20,-10
82,T82,T82,James Driscoll,85,"88' 9""",2217.833,25,-6
83,T82,T82,Ken Duke,116,"88' 9""",1597.6670000000001,18,-9
84,T82,T82,D.J. Trahan,94,"88' 9""",1775.3329999999999,20,-5
85,T86,T86,Marco Dawson,64,"88' 10""",1509.5829999999999,17,-10
86,T86,T86,Carlos Franco,73,"88' 10""",2131.75,24,-14
87,T88,T88,Martin Laird,98,"88' 11""",2578.0,29,-9
88,T88,T88,Omar Uresti,74,"88' 11""",1156.083,13,-8
89,T90,T90,Mark Hensby,71,"89' 4""",2055.25,23,-6
90,T90,T90,Tom Scherrer,56,"89' 4""",625.1669999999999,7,-3
91,92,92,Camilo Villegas,79,"89' 5""",536.5,6,-1
92,T93,T93,Steve Flesch,95,"89' 6""",1252.75,14,-6
93,T93,T93,Ryuji Imada,80,"89' 6""",805.3330000000001,9,-3
94,T93,T93,Marc Turnesa,87,"89' 6""",1073.5,12,-6
95,T96,T96,Tom Lehman,51,"89' 7""",1164.667,13,-9
96,T96,T96,Brett Quigley,80,"89' 7""",2777.083,31,-14
97,98,98,Anthony Kim,81,"89' 8""",1254.917,14,-5
98,99,99,Matt Jones,95,"89' 10""",2065.667,23,-9
99,T100,T100,Jim Furyk,95,"89' 11""",1169.083,13,-7
100,T100,T100,Ian Poulter,51,"89' 11""",539.3330000000001,6,-4
101,102,102,Chez Reavie,102,"90' 1""",1802.25,20,-11
102,103,103,Craig Kanada,65,"90' 3""",992.9169999999999,11,-5
103,104,104,David Lutterus,59,"90' 4""",1264.75,14,-7
104,T105,T105,Cliff Kresge,84,"90' 10""",817.6669999999999,9,-2
105,T105,T105,Patrick Sheehan,124,"90' 10""",1907.5,21,-10
106,107,107,Alex Cejka,75,"90' 11""",1545.5,17,-7
107,108,108,Vaughn Taylor,103,"91' 0""",2002.25,22,-6
108,T109,T109,Jason Gore,94,"91' 1""",1548.1670000000001,17,-6
109,T109,T109,Davis Love III,78,"91' 1""",820.0830000000001,9,-6
110,111,111,Paul Goydos,78,"91' 2""",1094.25,12,-8
111,112,112,Justin Bolli,87,"91' 3""",1734.4170000000001,19,-5
112,113,113,Tag Ridings,88,"91' 4""",1917.8329999999999,21,-13
113,114,114,Steve Allan,58,"91' 6""",915.25,10,-7
114,115,115,Jeff Gove,50,"91' 10""",918.1669999999999,10,-6
115,116,116,Will MacKenzie,62,"91' 11""",1011.5,11,-5
116,117,117,J.J. Henry,108,"92' 0""",1840.5829999999999,20,-10
117,118,118,Jeff Overton,103,"92' 3""",2213.583,24,-6
118,119,119,Bo Van Pelt,101,"93' 6""",2056.25,22,-7
119,120,120,Cody Freeman,66,"94' 2""",753.3330000000001,8,-3
120,121,121,Tommy Gainey,60,"94' 3""",942.5,10,+1
121,122,122,Lee Janzen,89,"94' 8""",1514.6670000000001,16,-8
122,123,123,Steve Marino,119,"95' 2""",1998.0,21,-8
123,124,124,Corey Pavin,69,"95' 4""",762.5830000000001,8,-3
124,125,125,Shane Bertsch,96,"95' 5""",2003.1670000000001,21,-10
125,T126,T126,Aaron Baddeley,76,"95' 7""",1051.583,11,-4
126,T126,T126,Cameron Beckman,87,"95' 7""",2008.0,21,-13
127,128,128,Rocco Mediate,87,"96' 5""",2122.0,22,-7
128,129,129,Robert Allenby,108,"96' 8""",2996.917,31,-13
129,130,130,Brian Davis,108,"96' 9""",2032.5829999999999,21,-7
130,T131,T131,Rich Beem,90,"97' 0""",2425.083,25,-17
