,Approach__200_yards_RTP_Score_RANK THIS WEEK,Approach__200_yards_RTP_Score_RANK LAST WEEK,Approach__200_yards_RTP_Score_PLAYER NAME,Approach__200_yards_RTP_Score_ROUNDS,Approach__200_yards_RTP_Score_AVG RTP
0,1,1,Nick Watney,96,-.299
1,2,2,Martin Laird,98,-.279
2,3,3,Pat Perez,93,-.277
3,T4,T4,Stewart Cink,87,-.243
4,T4,T4,Brenden Pappas,66,-.243
5,6,6,Phil Mickelson,80,-.241
6,7,7,Adam Scott,51,-.232
7,8,8,Jonathan Byrd,88,-.230
8,9,9,Robert Garrigus,90,-.226
9,10,10,Fred Couples,60,-.219
10,11,11,Vijay Singh,82,-.217
11,12,12,Mathias Grönberg,87,-.207
12,T13,T13,Tag Ridings,88,-.200
13,T13,T13,Camilo Villegas,79,-.200
14,T15,T15,Carlos Franco,73,-.199
15,T15,T15,Kevin Stadler,90,-.199
16,17,17,Michael Allen,91,-.197
17,T18,T18,James Driscoll,85,-.196
18,T18,T18,Kevin Sutherland,98,-.196
19,20,20,Bob Tway,70,-.195
20,T21,T21,Jason Day,81,-.190
21,T21,T21,Ryan Palmer,69,-.190
22,23,23,Bubba Watson,97,-.188
23,24,24,Ernie Els,51,-.187
24,25,25,Johnson Wagner,83,-.186
25,T26,T26,John Huston,56,-.183
26,T26,T26,Steve Stricker,75,-.183
27,T28,T28,Chad Campbell,94,-.181
28,T28,T28,Sean O'Hair,81,-.181
29,T30,T30,Charley Hoffman,94,-.180
30,T30,T30,Bob Sowards,61,-.180
31,T32,T32,Jesper Parnevik,88,-.179
32,T32,T32,Tom Scherrer,56,-.179
33,34,34,Robert Allenby,108,-.178
34,T35,T35,Todd Demsey,80,-.176
35,T35,T35,Anthony Kim,81,-.176
36,T35,T35,Nicholas Thompson,113,-.176
37,38,38,Dustin Johnson,92,-.175
38,T39,T39,Woody Austin,109,-.173
39,T39,T39,Marco Dawson,64,-.173
40,T39,T39,Mathew Goggin,91,-.173
41,T39,T39,Hunter Mahan,87,-.173
42,T43,T43,Steve Allan,58,-.172
43,T43,T43,Stephen Ames,83,-.172
44,T43,T43,Michael Letzig,88,-.172
45,46,46,Charles Howell III,101,-.171
46,T47,T47,Cameron Beckman,87,-.170
47,T47,T47,John Senden,93,-.170
48,49,49,Aaron Baddeley,76,-.169
49,50,50,D.J. Trahan,94,-.168
50,T51,T51,Jason Gore,94,-.167
51,T51,T51,Steve Marino,119,-.167
52,T51,T51,Kevin Na,97,-.167
53,54,54,Ángel Cabrera,55,-.161
54,55,55,Jon Mills,95,-.160
55,56,56,Brad Adamonis,87,-.159
56,57,57,Kevin Streelman,114,-.158
57,T58,T58,Retief Goosen,59,-.156
58,T58,T58,Tim Herron,97,-.156
59,T58,T58,Ted Purdy,68,-.156
60,T61,T61,Briny Baird,113,-.155
61,T61,T61,Lucas Glover,91,-.155
62,T61,T61,Billy Mayfair,103,-.155
63,64,64,David Lutterus,59,-.154
64,65,65,Parker McLachlin,88,-.153
65,T66,T66,Bill Haas,99,-.151
66,T66,T66,Bo Van Pelt,101,-.151
67,T68,T68,Richard Johnson,77,-.149
68,T68,T68,Rory Sabbatini,77,-.149
69,T70,T70,Davis Love III,78,-.148
70,T70,T70,Rod Pampling,83,-.148
71,72,72,Joe Ogilvie,100,-.147
72,73,73,Will MacKenzie,62,-.146
73,74,74,Boo Weekley,86,-.145
74,75,75,Tom Pernice Jr.,104,-.143
75,T76,T76,Kenny Perry,97,-.142
76,T76,T76,Tim Wilkinson,95,-.142
77,78,78,Sergio Garcia,72,-.140
78,79,79,Dudley Hart,74,-.139
79,T80,T80,Gavin Coles,54,-.138
80,T80,T80,Harrison Frazar,73,-.138
81,T80,T80,Mark Hensby,71,-.138
82,83,83,John Merrick,98,-.136
83,84,84,Andres Romero,69,-.134
84,T85,T85,Jeff Gove,50,-.133
85,T85,T85,Y.E. Yang,89,-.133
86,87,87,K.J. Choi,74,-.132
87,88,88,Lee Janzen,89,-.131
88,T89,T89,Daniel Chopra,84,-.127
89,T89,T89,Mark Wilson,107,-.127
90,T91,T91,Ken Duke,116,-.126
91,T91,T91,Tommy Gainey,60,-.126
92,T91,T91,Tom Lehman,51,-.126
93,94,94,Matt Jones,95,-.125
94,T95,T95,Nathan Green,95,-.124
95,T95,T95,John Rollins,94,-.124
96,T95,T95,Jimmy Walker,73,-.124
97,98,98,J.B. Holmes,86,-.123
98,99,99,Ben Curtis,80,-.121
99,T100,T100,Kenneth Ferrie,72,-.117
100,T100,T100,Brandt Snedeker,85,-.117
101,102,102,Eric Axley,113,-.114
102,T103,T103,Steve Flesch,95,-.113
103,T103,T103,Frank Lickliter II,107,-.113
104,T105,T105,John Riegger,73,-.111
105,T105,T105,Charles Warren,79,-.111
106,107,107,George McNeill,97,-.110
107,T108,T108,Jim Furyk,95,-.108
108,T108,T108,Tim Petrovic,97,-.108
109,T110,T110,Chris Riley,51,-.107
110,T110,T110,Patrick Sheehan,124,-.107
111,112,112,Rocco Mediate,87,-.106
112,T113,T113,Jeff Maggert,86,-.105
113,T113,T113,Troy Matteson,94,-.105
114,T115,T115,Stuart Appleby,87,-.102
115,T115,T115,Joe Durant,92,-.102
116,117,117,Marc Turnesa,87,-.101
117,T118,T118,Rich Beem,90,-.100
118,T118,T118,Nick Flanagan,89,-.100
119,120,120,Vaughn Taylor,103,-.098
120,T121,T121,Brad Elder,67,-.096
121,T121,T121,Shigeki Maruyama,50,-.096
122,T121,T121,Kyle Thompson,70,-.096
123,T121,T121,Mike Weir,88,-.096
124,125,125,Justin Bolli,87,-.094
125,T126,T126,Peter Lonard,92,-.093
126,T126,T126,Jeff Quinney,87,-.093
127,128,128,J.J. Henry,108,-.092
128,129,129,Doug LaBelle II,65,-.089
129,T130,T130,Tommy Armour III,77,-.088
130,T130,T130,Ben Crane,86,-.088
131,T130,T130,Padraig Harrington,52,-.088
132,T130,T130,Jeff Overton,103,-.088
133,T130,T130,David Toms,70,-.088
134,135,135,Todd Hamilton,92,-.085
135,T136,T136,Brett Quigley,80,-.084
136,T136,T136,Dean Wilson,109,-.084
137,138,138,Geoff Ogilvy,65,-.081
138,139,139,Zach Johnson,85,-.080
139,140,140,Charlie Wi,97,-.073
140,T141,T141,Ryuji Imada,80,-.069
141,T141,T141,Justin Leonard,101,-.069
142,T143,T143,Brian Davis,108,-.068
143,T143,T143,Craig Kanada,65,-.068
144,145,145,Cliff Kresge,84,-.067
145,T146,T146,Mark Calcavecchia,67,-.065
146,T146,T146,Glen Day,64,-.065
147,148,148,Scott McCarron,63,-.064
148,149,149,Freddie Jacobson,78,-.063
149,T150,T150,Steve Elkington,84,-.062
150,T150,T150,Richard Johnson,60,-.062
151,T152,T152,Greg Kraft,63,-.059
152,T152,T152,John Mallinger,95,-.059
153,T154,T154,Billy Andrade,71,-.058
154,T154,T154,Jin Park,85,-.058
155,156,156,Ryan Moore,72,-.055
156,157,157,Omar Uresti,74,-.052
157,158,158,Carl Pettersson,110,-.051
158,T159,T159,Chris DiMarco,87,-.050
159,T159,T159,Trevor Immelman,70,-.050
160,T159,T159,Heath Slocum,104,-.050
161,T162,T162,David Duval,51,-.048
162,T162,T162,Brandt Jobe,52,-.048
163,164,164,Nick O'Hern,82,-.046
164,165,165,Ron Whittaker,54,-.045
165,166,166,Kent Jones,68,-.042
166,167,167,J.P. Hayes,67,-.040
167,168,168,Jason Allred,63,-.039
168,169,169,Steve Lowery,74,-.038
169,T170,T170,Chez Reavie,102,-.036
170,T170,T170,Brett Rumford,72,-.036
171,172,172,Matt Kuchar,88,-.034
172,173,173,Chris Stroud,81,-.031
173,T174,T174,Paul Casey,55,-.026
174,T174,T174,Bob Estes,90,-.026
175,T174,T174,Jim McGovern,75,-.026
176,177,177,Tim Clark,90,-.025
177,178,178,Alejandro Cañizares,52,-.024
178,T179,T179,Ryan Armour,87,-.023
179,T179,T179,Corey Pavin,69,-.023
180,T181,T181,Chad Collins,72,-.022
181,T181,T181,Jay Williamson,96,-.022
182,183,183,Brian Gay,102,-.021
183,184,184,Robert Gamez,79,-.018
184,185,185,Jerry Kelly,89,-.017
185,186,186,Scott Verplank,82,-.005
186,187,187,Shane Bertsch,96,-.004
187,T188,T188,Bart Bryant,81,E
188,T188,T188,Ian Poulter,51,E
189,190,190,Cody Freeman,66,+.007
190,T191,T191,Travis Perkins,53,+.020
