,Approaches_from_175-200_yards_Rgh_RANK THIS WEEK,Approaches_from_175-200_yards_Rgh_RANK LAST WEEK,Approaches_from_175-200_yards_Rgh_PLAYER NAME,Approaches_from_175-200_yards_Rgh_ROUNDS,Approaches_from_175-200_yards_Rgh_AVG,Approaches_from_175-200_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_175-200_yards_Rgh_# OF ATTEMPTS,Approaches_from_175-200_yards_Rgh_RELATIVE TO PAR
0,1,1,Gavin Coles,54,"39' 6""",1026.5,26,5
1,2,2,Woody Austin,109,"40' 9""",1507.0829999999999,37,2
2,3,3,D.J. Trahan,94,"41' 1""",1726.5,42,7
3,4,4,Chez Reavie,102,"41' 6""",1327.6670000000001,32,4
4,5,5,Adam Scott,51,"41' 9""",960.8330000000001,23,4
5,6,6,Charles Howell III,101,"44' 1""",2600.083,59,5
6,7,7,Bob Tway,70,"44' 3""",1459.0,33,5
7,8,8,Steve Flesch,95,"44' 8""",2324.0,52,15
8,9,9,Richard Johnson,60,"44' 9""",2014.75,45,5
9,10,10,Sean O'Hair,81,"44' 10""",1389.75,31,12
10,T11,T11,Steve Elkington,84,"45' 5""",1634.8329999999999,36,6
11,T11,T11,Carlos Franco,73,"45' 5""",2406.833,53,4
12,T11,T11,Patrick Sheehan,124,"45' 5""",2408.5,53,2
13,14,14,Padraig Harrington,52,"45' 11""",780.25,17,2
14,15,15,Bill Haas,99,"46' 0""",2716.417,59,6
15,16,16,Ryuji Imada,80,"46' 2""",2030.75,44,9
16,17,17,Will MacKenzie,62,"46' 6""",1672.5829999999999,36,10
17,T18,T18,Kent Jones,68,"46' 11""",1640.75,35,12
18,T18,T18,Kenny Perry,97,"46' 11""",2206.917,47,6
19,T20,T20,Mark Calcavecchia,67,"47' 1""",1082.75,23,2
20,T20,T20,Nick Flanagan,89,"47' 1""",2165.833,46,9
21,T20,T20,Nicholas Thompson,113,"47' 1""",1977.5,42,8
22,T23,T23,Chris DiMarco,87,"47' 2""",2168.417,46,9
23,T23,T23,Mark Hensby,71,"47' 2""",1083.917,23,8
24,25,25,John Huston,56,"47' 4""",1136.917,24,3
25,26,26,Scott McCarron,63,"47' 6""",1377.25,29,5
26,27,27,Kevin Streelman,114,"47' 9""",2147.667,45,6
27,28,28,John Rollins,94,"47' 11""",2156.75,45,7
28,29,29,Brandt Jobe,52,"48' 2""",1685.8329999999999,35,7
29,30,30,Michael Letzig,88,"48' 3""",2075.833,43,9
30,31,31,Steve Lowery,74,"48' 4""",2224.5,46,7
31,32,32,Tommy Gainey,60,"48' 6""",1017.8330000000001,21,3
32,T33,T33,Ben Curtis,80,"48' 7""",1699.4170000000001,35,7
33,T33,T33,Zach Johnson,85,"48' 7""",1505.0829999999999,31,2
34,T33,T33,Matt Kuchar,88,"48' 7""",2429.083,50,12
35,T36,T36,Geoff Ogilvy,65,"49' 1""",1374.9170000000001,28,9
36,T36,T36,Bob Sowards,61,"49' 1""",1618.8329999999999,33,11
37,38,38,John Mallinger,95,"49' 3""",1968.9170000000001,40,7
38,39,39,Troy Matteson,94,"49' 4""",2416.0,49,15
39,40,40,Nick O'Hern,82,"49' 5""",2024.75,41,10
40,T41,T41,Ian Poulter,51,"49' 6""",1435.9170000000001,29,6
41,T41,T41,Tag Ridings,88,"49' 6""",1731.5,35,11
42,T41,T41,Y.E. Yang,89,"49' 6""",2526.333,51,15
43,T44,T44,Scott Verplank,82,"49' 10""",1495.9170000000001,30,2
