,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Robert Garrigus,90,72.9,234,87,-140,+9
1,2,2,Nick Watney,96,69.03,234,105,-136,+10
2,3,3,Bubba Watson,97,68.24,202,94,-121,-7
3,4,4,Vijay Singh,82,67.77,143,68,-92,-10
4,5,5,Phil Mickelson,80,67.3,142,69,-90,-3
5,6,6,Steve Allan,58,65.41,121,64,-52,+1
6,7,7,Sergio Garcia,72,64.48,118,65,-70,-9
7,8,8,Charles Warren,79,64.24,185,103,-86,+9
8,9,9,J.B. Holmes,86,64.11,159,89,-110,-2
9,10,10,Ángel Cabrera,55,63.95,94,53,-40,-2
10,11,11,Adam Scott,51,62.41,83,50,-55,-5
11,12,12,Tag Ridings,88,62.38,189,114,-109,E
12,13,13,Dustin Johnson,92,62.09,190,116,-112,+12
13,14,14,D.J. Trahan,94,61.99,168,103,-83,-3
14,15,15,Anthony Kim,81,61.86,133,82,-78,-19
15,16,16,Andres Romero,69,61.85,107,66,-57,+1
16,17,17,Martin Laird,98,61.22,191,121,-116,-12
17,18,18,Mathew Goggin,91,60.65,188,122,-119,-10
18,19,19,Charley Hoffman,94,60.63,194,126,-110,+5
19,20,20,Bill Haas,99,60.55,198,129,-118,-7
20,21,21,Camilo Villegas,79,60.38,128,84,-87,-14
21,22,22,Jason Day,81,60.27,176,116,-94,-4
22,23,23,Tommy Gainey,60,59.88,100,67,-45,+14
23,24,24,Mathias Grönberg,87,59.66,176,119,-93,+8
24,25,25,Ryan Moore,72,59.17,142,98,-65,E
25,26,26,Nicholas Thompson,113,59.01,203,141,-124,+8
26,27,27,Jimmy Walker,73,58.77,134,94,-60,+11
27,28,28,Robert Allenby,108,58.36,178,127,-90,-13
28,29,29,Fred Couples,60,58.08,115,83,-80,-2
29,30,30,Pat Perez,93,58.0,174,126,-110,-6
30,31,31,Davis Love III,78,57.89,132,96,-82,E
31,32,32,Michael Letzig,88,56.72,152,116,-90,-1
32,33,33,Richard Johnson,77,56.68,140,107,-60,+8
33,34,34,Aaron Baddeley,76,56.65,132,101,-77,-11
34,35,35,Kevin Streelman,114,56.37,199,154,-101,-12
35,36,36,Jeff Overton,103,56.32,196,152,-96,+7
36,37,37,Matt Jones,95,56.01,177,139,-97,+1
37,38,38,Troy Matteson,94,55.92,189,149,-95,-8
38,39,39,James Driscoll,85,55.85,167,132,-99,+2
39,40,40,Jason Allred,63,55.8,101,80,-60,+7
40,41,41,Lucas Glover,91,55.71,161,128,-88,-24
41,42,42,Stewart Cink,87,55.51,136,109,-81,-11
42,43,43,Padraig Harrington,52,55.45,61,49,-32,-7
43,44,44,Harrison Frazar,73,55.42,133,107,-63,-5
44,45,45,Boo Weekley,86,55.31,125,101,-72,-3
45,46,46,Kenny Perry,97,54.49,176,147,-99,-21
46,47,47,Jonathan Byrd,88,54.45,159,133,-84,-10
47,48,48,Charles Howell III,101,54.29,190,160,-109,-27
48,49,49,George McNeill,97,54.24,179,151,-118,+1
49,50,50,Kevin Sutherland,98,54.11,171,145,-100,-30
50,51,51,Nick Flanagan,89,54.07,166,141,-75,E
51,52,52,Jason Gore,94,53.87,174,149,-90,-22
52,53,53,Sean O'Hair,81,53.74,122,105,-76,-7
53,54,54,Daniel Chopra,84,53.36,143,125,-77,-3
54,55,55,John Merrick,98,53.24,148,130,-81,-9
55,56,56,Ted Purdy,68,53.15,118,104,-56,-8
56,57,57,Brad Adamonis,87,52.88,147,131,-83,+6
57,58,58,Brenden Pappas,66,52.4,109,99,-76,-7
58,59,59,Jesper Parnevik,88,52.33,146,133,-83,-13
59,60,60,Steve Marino,119,52.19,191,175,-101,-29
60,T61,T61,Steve Lowery,74,52.02,129,119,-53,+14
61,T61,T61,Ryan Palmer,69,52.02,116,107,-65,-22
62,63,63,Rod Pampling,83,51.92,135,125,-59,-13
63,64,64,Tim Herron,97,51.85,154,143,-81,-1
64,65,65,Y.E. Yang,89,51.69,153,143,-78,+4
65,66,66,Bo Van Pelt,101,51.61,176,165,-99,-10
66,67,67,John Huston,56,51.6,97,91,-42,-16
67,68,68,Hunter Mahan,87,51.55,133,125,-70,-15
68,69,69,Kevin Stadler,90,51.4,147,139,-87,-2
69,70,70,Todd Demsey,80,51.14,135,129,-81,-14
70,71,71,Woody Austin,109,50.3,169,167,-95,-33
71,72,72,John Senden,93,50.18,143,142,-75,-12
72,T73,T73,Mark Calcavecchia,67,50.0,95,95,-50,-5
73,T73,T73,Nathan Green,95,50.0,171,171,-90,-8
74,T73,T73,Travis Perkins,53,50.0,73,73,-25,+9
75,T73,T73,Johnson Wagner,83,50.0,122,122,-56,-16
76,77,77,Joe Ogilvie,100,49.69,161,163,-90,-24
77,78,78,Bob Sowards,61,49.48,96,98,-52,+1
78,79,79,Rory Sabbatini,77,49.17,118,122,-79,-5
79,80,80,Brandt Jobe,52,49.13,85,88,-43,+3
80,81,81,Paul Casey,55,48.85,64,67,-28,E
81,82,82,Frank Lickliter II,107,48.35,176,188,-91,-31
82,83,83,Jon Mills,95,47.96,141,153,-66,+2
83,84,84,Joe Durant,92,47.62,140,154,-64,-10
84,85,85,Rich Beem,90,47.52,144,159,-62,-20
85,86,86,Kenneth Ferrie,72,47.3,114,127,-57,+8
86,87,87,Kevin Na,97,47.23,162,181,-94,-24
87,88,88,John Rollins,94,47.21,144,161,-69,-12
88,89,89,Ben Crane,86,46.95,123,139,-63,-29
89,90,90,Retief Goosen,59,46.94,69,78,-34,-3
90,91,91,Scott McCarron,63,46.34,95,110,-43,-5
91,92,92,Mark Hensby,71,46.15,120,140,-66,-12
92,93,93,Brett Quigley,80,45.96,131,154,-75,-1
93,94,94,Carlos Franco,73,45.93,113,133,-75,-6
94,95,95,Ken Duke,116,45.91,174,205,-80,-48
95,96,96,Will MacKenzie,62,45.85,94,111,-50,-7
96,97,97,John Riegger,73,45.68,111,132,-61,-12
97,98,98,Jeff Maggert,86,45.67,132,157,-67,+10
98,99,99,Ernie Els,51,45.61,52,62,-28,E
99,100,100,Chad Campbell,94,45.39,133,160,-91,-17
100,101,101,Alejandro Cañizares,52,45.21,66,80,-33,+4
101,102,102,K.J. Choi,74,45.13,88,107,-44,-13
102,103,103,Charlie Wi,97,44.75,145,179,-62,-18
103,104,104,Stuart Appleby,87,44.54,102,127,-62,-16
104,105,105,Peter Lonard,92,44.48,129,161,-76,-23
105,106,106,David Toms,70,44.33,86,108,-53,-11
106,107,107,Kent Jones,68,44.0,88,112,-50,-2
107,108,108,Carl Pettersson,110,43.95,149,190,-75,-21
108,109,109,Eric Axley,113,43.79,155,199,-91,-12
109,110,110,Billy Mayfair,103,43.24,144,189,-72,-26
110,T111,T111,Parker McLachlin,88,42.72,129,173,-87,-17
111,T111,T111,Tim Petrovic,97,42.72,132,177,-69,-5
112,113,113,Mike Weir,88,42.68,105,141,-69,-22
113,114,114,Brad Elder,67,42.5,85,115,-42,-7
114,115,115,Rocco Mediate,87,42.47,110,149,-62,-14
115,116,116,Ben Curtis,80,42.4,92,125,-52,-23
116,117,117,Tom Lehman,51,42.36,61,83,-34,-12
117,118,118,David Lutterus,59,41.81,74,103,-27,+14
118,119,119,Brandt Snedeker,85,40.85,96,139,-59,-4
119,120,120,Geoff Ogilvy,65,40.78,73,106,-38,-11
120,T121,T121,Michael Allen,91,40.76,128,186,-73,-13
121,T121,T121,David Duval,51,40.76,64,93,-29,+10
122,123,123,Mark Wilson,107,40.75,152,221,-79,-32
123,124,124,Cody Freeman,66,40.7,81,118,-36,+1
124,125,125,Chris Stroud,81,40.6,108,158,-54,-20
125,126,126,Tom Scherrer,56,40.48,68,100,-39,-15
126,127,127,Jim Furyk,95,40.3,108,160,-70,-27
127,128,128,Scott Verplank,82,40.17,96,143,-39,-28
128,129,129,Vaughn Taylor,103,40.12,132,197,-56,-14
129,130,130,Ryan Armour,87,40.07,111,166,-49,-7
130,131,131,J.J. Henry,108,39.94,145,218,-77,-18
131,132,132,Alex Cejka,75,39.72,85,129,-32,-9
132,133,133,Briny Baird,113,39.71,135,205,-72,-18
133,134,134,Chad Collins,72,39.06,91,142,-43,-2
134,135,135,Steve Stricker,75,39.02,80,125,-53,-30
135,136,136,Brian Davis,108,38.96,143,224,-80,-50
136,137,137,Brett Rumford,72,38.94,88,138,-47,-19
