,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
126,127,127,Nicholas Thompson,113,73.9,736,996
127,128,128,Alex Cejka,75,73.89,464,628
128,129,129,Jerry Kelly,89,73.84,573,776
129,130,130,Heath Slocum,104,73.81,792,1073
130,131,131,Shane Bertsch,96,73.75,694,941
131,132,132,Patrick Sheehan,124,73.72,791,1073
132,133,133,Jay Williamson,96,73.63,631,857
133,T134,T134,Tim Clark,90,73.55,595,809
134,T134,T134,Lee Janzen,89,73.55,534,726
135,136,136,Jason Day,81,73.5,502,683
136,137,137,Paul Claxton,63,73.49,413,562
137,138,138,Scott Verplank,82,73.41,613,835
138,T139,T139,Nick Flanagan,89,73.38,543,740
139,T139,T139,Marc Turnesa,87,73.38,554,755
140,141,141,Tim Petrovic,97,73.33,605,825
141,142,142,David Duval,51,73.28,255,348
142,143,143,Craig Kanada,65,73.2,418,571
143,144,144,Billy Andrade,71,73.19,404,552
144,145,145,Johnson Wagner,83,73.13,498,681
145,146,146,Jonathan Byrd,88,73.09,584,799
146,147,147,Ben Curtis,80,73.01,522,715
147,148,148,Jason Allred,63,72.94,318,436
148,149,149,Scott McCarron,63,72.91,444,609
149,150,150,Geoff Ogilvy,65,72.83,378,519
150,151,151,Michael Letzig,88,72.81,549,754
151,152,152,Jeff Quinney,87,72.78,548,753
152,153,153,Todd Hamilton,92,72.73,624,858
153,154,154,Chris DiMarco,87,72.68,556,765
154,155,155,Ryuji Imada,80,72.63,483,665
155,156,156,Robert Gamez,79,72.61,570,785
156,157,157,Travis Perkins,53,72.57,254,350
157,158,158,Mark Calcavecchia,67,72.52,438,604
158,159,159,Cody Freeman,66,72.47,358,494
159,160,160,David Lutterus,59,72.44,326,450
160,161,161,Ryan Moore,72,72.42,478,660
161,162,162,Brett Rumford,72,72.4,383,529
162,163,163,Retief Goosen,59,72.39,333,460
163,164,164,Jesper Parnevik,88,72.33,515,712
164,165,165,Aaron Baddeley,76,72.3,441,610
165,166,166,Parker McLachlin,88,72.28,498,689
166,167,167,Kevin Na,97,72.27,662,916
167,168,168,Daniel Chopra,84,72.22,442,612
168,169,169,Glen Day,64,72.17,402,557
169,170,170,Mathias Grönberg,87,72.14,523,725
170,171,171,Rocco Mediate,87,72.1,566,785
171,172,172,Shigeki Maruyama,50,71.91,256,356
172,173,173,Jin Park,85,71.88,529,736
173,174,174,Kenneth Ferrie,72,71.83,436,607
174,175,175,Tim Herron,97,71.65,566,790
175,176,176,Brian Davis,108,71.56,780,1090
176,177,177,Stephen Leaney,53,71.55,327,457
177,178,178,J.P. Hayes,67,71.53,422,590
178,179,179,Andres Romero,69,71.52,354,495
179,T180,T180,Bart Bryant,81,71.46,596,834
180,T180,T180,Ian Poulter,51,71.46,293,410
181,182,182,Chad Collins,72,71.22,386,542
182,183,183,Richard Johnson,77,70.94,398,561
183,184,184,Brian Gay,102,70.91,668,942
