,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Robert Allenby,108,1.217,104.65799999999999,86
1,2,2,Sergio Garcia,72,0.8909999999999999,49.887,56
2,3,3,Phil Mickelson,80,0.8420000000000001,49.663999999999994,59
3,4,4,Chad Campbell,94,0.83,70.587,85
4,5,5,Ernie Els,51,0.79,28.44,36
5,6,6,Jeff Quinney,87,0.7809999999999999,57.047,73
6,7,7,Camilo Villegas,79,0.777,48.935,63
7,8,8,Hunter Mahan,87,0.742,53.419,72
8,9,9,Alex Cejka,75,0.677,40.606,60
9,10,10,Briny Baird,113,0.65,62.411,96
10,11,11,John Senden,93,0.63,51.687,82
11,12,12,Stephen Ames,83,0.623,41.135,66
12,13,13,Paul Casey,55,0.616,22.173000000000002,36
13,14,14,Zach Johnson,85,0.612,43.475,71
14,15,15,David Toms,70,0.61,34.157,56
15,16,16,Vijay Singh,82,0.607,38.211,63
16,17,17,Kenny Perry,97,0.599,55.117,92
17,18,18,Tim Clark,90,0.597,43.604,73
18,19,19,Jim Furyk,95,0.59,44.263999999999996,75
19,20,20,Dean Wilson,109,0.563,52.33,93
20,21,21,Tom Lehman,51,0.546,20.749000000000002,38
21,22,22,Heath Slocum,104,0.545,46.887,86
22,23,23,Brian Gay,102,0.537,46.153,86
23,24,24,Mark Calcavecchia,67,0.513,27.708000000000002,54
24,25,25,Scott Verplank,82,0.508,32.989000000000004,65
25,26,26,Stewart Cink,87,0.501,32.04,64
26,27,27,D.J. Trahan,94,0.496,38.689,78
27,28,28,Nick O'Hern,82,0.491,34.858000000000004,71
28,29,29,Anthony Kim,81,0.474,30.829,65
29,T30,T30,Matt Kuchar,88,0.47,32.927,70
30,T30,T30,Ryan Palmer,69,0.47,28.21,60
31,32,32,Gavin Coles,54,0.45399999999999996,19.971,44
32,33,33,Joe Durant,92,0.447,35.294000000000004,79
33,34,34,Boo Weekley,86,0.44299999999999995,28.322,64
34,35,35,George McNeill,97,0.434,39.097,90
35,36,36,Pat Perez,93,0.423,33.413000000000004,79
36,37,37,Bubba Watson,97,0.41600000000000004,33.309,80
37,38,38,Woody Austin,109,0.41,36.115,88
38,39,39,Rocco Mediate,87,0.4,27.565,69
39,40,40,Bob Estes,90,0.396,34.075,86
40,41,41,Adam Scott,51,0.384,13.440999999999999,35
41,42,42,Steve Stricker,75,0.377,21.89,58
42,43,43,Kevin Sutherland,98,0.35200000000000004,30.948,88
43,44,44,Bob Tway,70,0.35,19.928,57
44,45,45,Bart Bryant,81,0.34700000000000003,23.279,67
45,46,46,Brandt Snedeker,85,0.325,21.796,67
46,47,47,Brett Quigley,80,0.321,23.451,73
47,48,48,Stuart Appleby,87,0.31,20.741999999999997,67
48,49,49,Tom Pernice Jr.,104,0.305,29.875,98
49,50,50,Trevor Immelman,70,0.303,16.361,54
50,51,51,Cliff Kresge,84,0.302,22.019000000000002,73
51,52,52,Davis Love III,78,0.289,18.807000000000002,65
52,53,53,Lucas Glover,91,0.28800000000000003,23.873,83
53,54,54,Charles Howell III,101,0.28300000000000003,24.599,87
54,55,55,Mike Weir,88,0.268,17.701,66
55,56,56,Brandt Jobe,52,0.265,12.469000000000001,47
56,57,57,Geoff Ogilvy,65,0.263,12.870999999999999,49
57,58,58,Vaughn Taylor,103,0.256,24.034000000000002,94
58,59,59,Ángel Cabrera,55,0.249,9.706,39
59,60,60,Scott Sterling,89,0.24600000000000002,18.198,74
60,61,61,Justin Leonard,101,0.244,17.829,73
61,62,62,Y.E. Yang,89,0.239,19.11,80
62,63,63,Carl Pettersson,110,0.23600000000000002,22.926,97
63,64,64,Freddie Jacobson,78,0.23399999999999999,14.969000000000001,64
64,65,65,John Huston,56,0.233,11.409,49
65,66,66,Ryuji Imada,80,0.23199999999999998,15.798,68
66,67,67,Corey Pavin,69,0.22699999999999998,12.687999999999999,56
67,68,68,Padraig Harrington,52,0.221,7.061,32
68,69,69,Fred Couples,60,0.218,11.106,51
69,70,70,John Riegger,73,0.217,13.914000000000001,64
70,71,71,Michael Allen,91,0.21600000000000003,16.827,78
71,72,72,Chez Reavie,102,0.209,18.796,90
72,73,73,Dudley Hart,74,0.204,13.68,67
73,74,74,Steve Marino,119,0.19399999999999998,20.187,104
74,75,75,Retief Goosen,59,0.187,7.871,42
75,76,76,Robert Gamez,79,0.18,12.796,71
76,77,77,Sean O'Hair,81,0.179,12.171,68
77,T78,T78,Cameron Beckman,87,0.174,12.864,74
78,T78,T78,Robert Garrigus,90,0.174,14.989,86
79,80,80,Ken Duke,116,0.159,16.727,105
80,81,81,K.J. Choi,74,0.158,9.033,57
81,82,82,Kent Jones,68,0.154,8.464,55
82,83,83,Steve Flesch,95,0.149,12.097000000000001,81
83,84,84,Jay Williamson,96,0.147,11.789000000000001,80
84,85,85,Johnson Wagner,83,0.14400000000000002,9.761000000000001,68
85,86,86,Charlie Wi,97,0.141,12.422,88
86,87,87,Nick Watney,96,0.133,11.183,84
87,88,88,Jerry Kelly,89,0.127,9.383,74
88,89,89,Justin Bolli,87,0.11699999999999999,8.575,73
89,T90,T90,Martin Laird,98,0.113,9.562999999999999,85
90,T90,T90,Troy Matteson,94,0.113,10.042,89
91,92,92,Kevin Streelman,114,0.106,10.286,97
92,93,93,Shane Bertsch,96,0.102,9.202,90
93,94,94,Paul Goydos,78,0.098,6.577999999999999,67
94,95,95,Harrison Frazar,73,0.09699999999999999,6.017,62
95,96,96,Jim McGovern,75,0.08900000000000001,5.601,63
96,97,97,Jeff Maggert,86,0.085,6.752999999999999,79
97,98,98,Glen Day,64,0.079,4.408,56
98,99,99,Lee Janzen,89,0.062,4.6739999999999995,75
99,100,100,Steve Elkington,84,0.054000000000000006,3.9330000000000003,73
100,101,101,John Merrick,98,0.04,3.117,77
101,102,102,Brian Davis,108,0.038,3.8989999999999996,102
102,103,103,Chris DiMarco,87,0.032,2.4459999999999997,76
103,104,104,Bill Haas,99,0.031,2.813,90
104,105,105,Jonathan Byrd,88,0.027999999999999997,2.119,77
105,106,106,Rich Beem,90,0.027000000000000003,2.095,79
106,107,107,Tommy Armour III,77,0.015,0.9990000000000001,66
107,108,108,Bo Van Pelt,101,0.013999999999999999,1.2770000000000001,93
108,109,109,Kevin Stadler,90,0.013000000000000001,0.9329999999999999,73
109,110,110,Billy Mayfair,103,0.003,0.32799999999999996,95
110,111,111,Kevin Na,97,0.0,-0.004,91
111,112,112,Omar Uresti,74,-0.006999999999999999,-0.423,63
112,113,113,Carlos Franco,73,-0.011000000000000001,-0.72,63
113,T114,T114,Rory Sabbatini,77,-0.013000000000000001,-0.794,63
114,T114,T114,Patrick Sheehan,124,-0.013000000000000001,-1.41,105
115,116,116,Rod Pampling,83,-0.02,-1.3559999999999999,68
116,117,117,Todd Hamilton,92,-0.026000000000000002,-1.9169999999999998,74
117,118,118,Mathew Goggin,91,-0.027000000000000003,-2.241,82
118,119,119,Tag Ridings,88,-0.03,-2.406,81
119,120,120,Jeff Overton,103,-0.036000000000000004,-3.286,91
120,121,121,J.J. Henry,108,-0.043,-4.293,99
121,122,122,Ted Purdy,68,-0.051,-2.988,59
122,123,123,Mark Wilson,107,-0.055,-5.702000000000001,104
123,124,124,Parker McLachlin,88,-0.067,-5.282,79
124,125,125,Tom Scherrer,56,-0.073,-3.2030000000000003,44
125,126,126,Jeff Gove,50,-0.075,-3.301,44
126,127,127,Ryan Moore,72,-0.077,-4.875,63
127,T128,T128,Ben Crane,86,-0.081,-6.055,75
128,T128,T128,Peter Lonard,92,-0.081,-6.4879999999999995,80
129,T128,T128,Jimmy Walker,73,-0.081,-5.045,62
130,T128,T128,Tim Wilkinson,95,-0.081,-6.502000000000001,80
131,132,132,Brad Adamonis,87,-0.084,-6.376,76
132,133,133,Jason Gore,94,-0.1,-8.529,85
133,134,134,Billy Andrade,71,-0.11,-6.801,62
134,135,135,Ron Whittaker,54,-0.11199999999999999,-4.599,41
135,136,136,James Driscoll,85,-0.11599999999999999,-8.782,76
136,137,137,Marco Dawson,64,-0.14,-7.574,54
137,138,138,Charles Warren,79,-0.14800000000000002,-10.963,74
138,139,139,Nick Flanagan,89,-0.159,-12.735999999999999,80
139,140,140,Tommy Gainey,60,-0.168,-7.705,46
140,141,141,John Mallinger,95,-0.16899999999999998,-14.222000000000001,84
141,142,142,Richard Johnson,60,-0.171,-8.365,49
142,143,143,J.B. Holmes,86,-0.172,-11.889000000000001,69
143,144,144,Ben Curtis,80,-0.17300000000000001,-10.901,63
144,145,145,Jon Mills,95,-0.174,-13.549000000000001,78
145,146,146,Aaron Baddeley,76,-0.192,-11.532,60
146,147,147,Stephen Leaney,53,-0.19699999999999998,-8.883,45
147,148,148,John Rollins,94,-0.2,-15.800999999999998,79
148,149,149,Jin Park,85,-0.215,-15.073,70
149,T150,T150,Alejandro Cañizares,52,-0.21899999999999997,-8.991,41
150,T150,T150,Charley Hoffman,94,-0.21899999999999997,-18.832,86
