,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,T1,T1,José Coceres,50,"6' 8""",681.0,102,6
1,T1,T1,Lee Janzen,66,"6' 8""",750.4169999999999,112,140
2,T3,T3,Jim Furyk,84,"6' 11""",1072.583,155,29
3,T3,T3,Steve Stricker,81,"6' 11""",1034.917,150,21
4,5,5,Stuart Appleby,74,"7' 0""",1295.333,185,71
5,T6,T6,Justin Leonard,95,"7' 1""",1474.25,209,39
6,T6,T6,Vijay Singh,102,"7' 1""",1774.0829999999999,250,61
7,T6,T6,Jeff Sluman,60,"7' 1""",837.5,118,187
8,T9,T9,Paul Goydos,60,"7' 2""",1015.5830000000001,142,98
9,T9,T9,Geoff Ogilvy,84,"7' 2""",1528.6670000000001,214,111
10,T9,T9,Ian Poulter,63,"7' 2""",920.5,128,51
11,12,12,Kirk Triplett,77,"7' 3""",1142.833,157,86
12,T13,T13,Steve Elkington,87,"7' 4""",1480.3329999999999,202,32
13,T13,T13,John Mallinger,96,"7' 4""",2014.25,274,12
14,T15,T15,Craig Bowden,78,"7' 5""",1207.167,163,12
15,T15,T15,Luke Donald,69,"7' 5""",1077.167,145,97
16,T15,T15,Steve Flesch,100,"7' 5""",1739.8329999999999,234,82
17,T15,T15,Sergio Garcia,68,"7' 5""",1361.6670000000001,184,84
18,T15,T15,Nick O'Hern,72,"7' 5""",1259.75,169,120
19,T15,T15,Heath Slocum,101,"7' 5""",1591.4170000000001,215,16
20,T15,T15,Nick Watney,87,"7' 5""",1522.8329999999999,205,91
21,T22,T22,Anthony Kim,93,"7' 6""",1829.0829999999999,244,79
22,T22,T22,Tom Pernice Jr.,104,"7' 6""",1777.9170000000001,236,40
23,T22,T22,Kenny Perry,83,"7' 6""",1382.1670000000001,184,58
24,T22,T22,Bo Van Pelt,104,"7' 6""",1831.25,244,35
25,T22,T22,Mike Weir,82,"7' 6""",1375.6670000000001,183,70
26,T27,T27,Michael Boyd,61,"7' 7""",1073.417,141,73
27,T27,T27,Alex Cejka,80,"7' 7""",1375.3329999999999,182,11
28,T27,T27,Trevor Immelman,74,"7' 7""",1140.417,150,123
29,T27,T27,Jarrod Lyle,77,"7' 7""",1374.5,181,81
30,T27,T27,Shaun Micheel,91,"7' 7""",1387.25,182,100
31,T27,T27,Phil Mickelson,73,"7' 7""",1237.25,163,53
32,T27,T27,Tiger Woods,63,"7' 7""",863.1669999999999,114,20
33,T34,T34,K.J. Choi,87,"7' 8""",1482.25,194,9
34,T34,T34,Bob Estes,88,"7' 8""",1301.25,170,105
35,T34,T34,Retief Goosen,50,"7' 8""",874.25,114,154
36,T34,T34,Mark Hensby,81,"7' 8""",1559.75,204,85
37,T34,T34,Tom Johnson,74,"7' 8""",1471.8329999999999,192,157
38,T34,T34,Jerry Kelly,101,"7' 8""",1524.6670000000001,199,78
39,T34,T34,Rod Pampling,92,"7' 8""",1593.5,208,76
40,T41,T41,Marco Dawson,73,"7' 9""",1377.5829999999999,178,44
41,T41,T41,Chris DiMarco,79,"7' 9""",1236.917,160,156
42,T41,T41,Brian Gay,107,"7' 9""",1899.8329999999999,245,19
43,T41,T41,Todd Hamilton,76,"7' 9""",1375.8329999999999,178,189
