,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,John Rollins,102,-.088,68,-6.00
1,2,2,Charles Howell III,89,-.082,61,-5.00
2,3,3,Tim Clark,66,-.063,63,-4.00
3,T4,T4,Arron Oberholser,69,-.061,33,-2.00
4,T4,T4,Corey Pavin,81,-.061,98,-6.00
5,6,6,Brandt Snedeker,105,-.058,69,-4.00
6,7,7,Chris Tidland,59,-.056,54,-3.00
7,8,8,Trevor Immelman,74,-.053,38,-2.00
8,9,9,Stewart Cink,91,-.050,60,-3.00
9,10,10,Matt Kuchar,85,-.049,61,-3.00
10,T11,T11,Tom Lehman,62,-.043,46,-2.00
11,T11,T11,Dicky Pride,71,-.043,69,-3.00
12,13,13,Charlie Wi,90,-.042,71,-3.00
13,T14,T14,Paul Gow,70,-.040,50,-2.00
14,T14,T14,Carl Pettersson,111,-.040,75,-3.00
15,T16,T16,Bob Estes,88,-.036,83,-3.00
16,T16,T16,Ian Poulter,63,-.036,28,-1.00
17,18,18,Kyle Reifers,71,-.035,57,-2.00
18,19,19,Eric Axley,107,-.033,91,-3.00
19,T20,T20,Daniel Chopra,106,-.031,97,-3.00
20,T20,T20,Jason Schultz,63,-.031,64,-2.00
21,T22,T22,Hunter Mahan,91,-.028,71,-2.00
22,T22,T22,Mike Weir,82,-.028,72,-2.00
23,T24,T24,Robert Gamez,88,-.022,89,-2.00
24,T24,T24,Geoff Ogilvy,84,-.022,46,-1.00
25,26,26,Brian Bateman,55,-.020,49,-1.00
26,27,27,Zach Johnson,76,-.018,57,-1.00
27,28,28,Brett Quigley,79,-.016,63,-1.00
28,29,29,Rod Pampling,92,-.015,66,-1.00
29,T30,T30,Jerry Kelly,101,-.011,87,-1.00
30,T30,T30,Ted Purdy,102,-.011,87,-1.00
31,32,32,Joe Ogilvie,102,-.010,99,-1.00
32,T33,T33,Aaron Baddeley,83,E,45,E
33,T33,T33,Craig Barlow,52,E,38,E
34,T33,T33,Sergio Garcia,68,E,42,E
35,T33,T33,Lucas Glover,98,E,79,E
36,T33,T33,Bob Heintz,85,E,67,E
37,T33,T33,Freddie Jacobson,70,E,65,E
38,T33,T33,Tom Johnson,74,E,61,E
39,T33,T33,Anthony Kim,93,E,76,E
40,T33,T33,Jeff Maggert,79,E,73,E
41,T33,T33,Phil Mickelson,73,E,54,E
42,T33,T33,Sean O'Hair,98,E,79,E
43,T33,T33,Chris Riley,59,E,53,E
44,T33,T33,Chris Stroud,66,E,49,E
45,T33,T33,Bo Van Pelt,104,E,98,E
46,T33,T33,Duffy Waldorf,69,E,65,E
47,T33,T33,Nick Watney,87,E,90,E
48,T33,T33,Tiger Woods,63,E,24,E
49,T50,T50,Stephen Leaney,82,+.015,68,+1.00
50,T50,T50,Steve Lowery,74,+.015,65,+1.00
51,T50,T50,Rocco Mediate,72,+.015,65,+1.00
52,T53,T53,Jim Furyk,84,+.016,62,+1.00
53,T53,T53,Mark Hensby,81,+.016,63,+1.00
54,T53,T53,David Toms,80,+.016,61,+1.00
55,T53,T53,Camilo Villegas,82,+.016,62,+1.00
56,T57,T57,Ryan Moore,92,+.017,59,+1.00
57,T57,T57,Nick O'Hern,72,+.017,58,+1.00
58,T59,T59,José Coceres,50,+.019,53,+1.00
59,T59,T59,Davis Love III,66,+.019,54,+1.00
60,T59,T59,Michael Sim,52,+.019,52,+1.00
61,T62,T62,D.J. Brigman,67,+.020,49,+1.00
62,T62,T62,Cliff Kresge,107,+.020,102,+2.00
63,T62,T62,Tag Ridings,52,+.020,50,+1.00
64,65,65,Jason Bohn,57,+.022,46,+1.00
65,66,66,Bart Bryant,87,+.023,86,+2.00
66,T67,T67,Ernie Els,59,+.024,41,+1.00
67,T67,T67,Justin Leonard,95,+.024,82,+2.00
68,69,69,Marco Dawson,73,+.025,79,+2.00
69,T70,T70,Ryuji Imada,104,+.026,78,+2.00
70,T70,T70,Kenny Perry,83,+.026,76,+2.00
71,T70,T70,Adam Scott,69,+.026,38,+1.00
72,T73,T73,Retief Goosen,50,+.029,35,+1.00
73,T73,T73,Scott Gutschewski,67,+.029,70,+2.00
74,75,75,Tom Pernice Jr.,104,+.031,97,+3.00
75,76,76,Tommy Armour III,81,+.033,61,+2.00
76,T77,T77,Chad Campbell,96,+.034,59,+2.00
77,T77,T77,K.J. Choi,87,+.034,59,+2.00
78,T77,T77,Henrik Stenson,52,+.034,29,+1.00
79,80,80,Will MacKenzie,100,+.035,85,+3.00
80,81,81,Richard Johnson,93,+.037,82,+3.00
81,82,82,Troy Matteson,87,+.038,80,+3.00
82,T83,T83,Craig Kanada,109,+.040,100,+4.00
83,T83,T83,Craig Lile,77,+.040,75,+3.00
84,85,85,Andrew Buckle,77,+.041,74,+3.00
85,T86,T86,D.J. Trahan,99,+.042,95,+4.00
86,T86,T86,Bob Tway,103,+.042,96,+4.00
87,T88,T88,Steve Flesch,100,+.043,93,+4.00
88,T88,T88,Kevin Na,84,+.043,92,+4.00
89,T90,T90,John Mallinger,96,+.045,110,+5.00
90,T90,T90,Kevin Sutherland,85,+.045,67,+3.00
91,T90,T90,Bubba Watson,80,+.045,67,+3.00
92,93,93,Vijay Singh,102,+.046,65,+3.00
93,T94,T94,Ryan Armour,107,+.048,105,+5.00
94,T94,T94,Brian Gay,107,+.048,104,+5.00
95,96,96,Jeff Quinney,95,+.050,80,+4.00
96,97,97,Steve Stricker,81,+.051,59,+3.00
97,98,98,Doug LaBelle II,104,+.053,113,+6.00
98,T99,T99,Jesper Parnevik,88,+.055,73,+4.00
99,T99,T99,John Senden,97,+.055,73,+4.00
100,T101,T101,Michael Allen,74,+.056,54,+3.00
101,T101,T101,Fred Funk,65,+.056,54,+3.00
102,T103,T103,Stuart Appleby,74,+.057,53,+3.00
103,T103,T103,Rich Barcelo,80,+.057,70,+4.00
104,T103,T103,Rory Sabbatini,81,+.057,70,+4.00
105,106,106,Scott Verplank,82,+.058,69,+4.00
106,T107,T107,Matt Hendrix,63,+.059,51,+3.00
107,T107,T107,Shigeki Maruyama,84,+.059,85,+5.00
108,109,109,Mark Calcavecchia,93,+.060,67,+4.00
109,110,110,Craig Bowden,78,+.061,66,+4.00
110,111,111,Charley Hoffman,97,+.062,97,+6.00
111,112,112,Jeff Gove,103,+.063,80,+5.00
112,113,113,Jeff Sluman,60,+.065,31,+2.00
