,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,Bo Van Pelt,104,0.33799999999999997,222,75.0
1,2,2,Jim Furyk,84,0.365,137,50.0
2,3,3,Tiger Woods,63,0.369,84,31.0
3,4,4,Kenny Perry,83,0.371,170,63.0
4,5,5,Steve Elkington,87,0.373,201,75.0
5,6,6,Nathan Green,103,0.376,234,88.0
6,7,7,Craig Bowden,78,0.379,182,69.0
7,8,8,Steve Stricker,81,0.38,142,54.0
8,9,9,Rory Sabbatini,81,0.385,182,70.0
9,T10,T10,Ian Poulter,63,0.38799999999999996,129,50.0
10,T10,T10,Heath Slocum,101,0.38799999999999996,196,76.0
11,12,12,Tom Pernice Jr.,104,0.389,229,89.0
12,13,13,Ken Duke,112,0.39799999999999996,266,106.0
13,T14,T14,Matt Kuchar,85,0.4,185,74.0
14,T14,T14,Nick O'Hern,72,0.4,155,62.0
15,16,16,John Rollins,102,0.40299999999999997,233,94.0
16,17,17,Kevin Sutherland,85,0.406,160,65.0
17,18,18,Dean Wilson,92,0.41,212,87.0
18,19,19,Justin Leonard,95,0.41100000000000003,209,86.0
19,20,20,Arron Oberholser,69,0.413,160,66.0
20,21,21,John Mallinger,96,0.41600000000000004,262,109.0
21,22,22,K.J. Choi,87,0.41700000000000004,180,75.0
22,23,23,Chris Riley,59,0.418,134,56.0
23,T24,T24,Shaun Micheel,91,0.419,186,78.0
24,T24,T24,Brandt Snedeker,105,0.419,215,90.0
25,26,26,Aaron Baddeley,83,0.424,191,81.0
26,T27,T27,Paul Goydos,60,0.425,153,65.0
27,T27,T27,Kevin Na,84,0.425,226,96.0
28,T29,T29,Woody Austin,95,0.42700000000000005,192,82.0
29,T29,T29,Gavin Coles,87,0.42700000000000005,225,96.0
30,T31,T31,Bart Bryant,87,0.428,166,71.0
31,T31,T31,Phil Mickelson,73,0.428,152,65.0
32,33,33,Jerry Kelly,101,0.431,188,81.0
33,T34,T34,Freddie Jacobson,70,0.434,166,72.0
34,T34,T34,Carl Pettersson,111,0.434,244,106.0
35,36,36,Corey Pavin,81,0.43700000000000006,215,94.0
36,T37,T37,Parker McLachlin,83,0.439,221,97.0
37,T37,T37,Mark Wilson,87,0.439,198,87.0
38,39,39,Vijay Singh,102,0.442,217,96.0
39,40,40,Glen Day,85,0.44299999999999995,194,86.0
40,41,41,Kirk Triplett,77,0.444,162,72.0
41,42,42,Sean O'Hair,98,0.445,200,89.0
42,43,43,Luke Donald,69,0.446,139,62.0
43,T44,T44,Padraig Harrington,64,0.447,141,63.0
44,T44,T44,Ryuji Imada,104,0.447,235,105.0
45,T44,T44,David Toms,80,0.447,141,63.0
46,T47,T47,Tim Petrovic,106,0.44799999999999995,252,113.0
47,T47,T47,Jay Williamson,50,0.44799999999999995,125,56.0
48,49,49,John Senden,97,0.449,178,80.0
49,50,50,Ryan Moore,92,0.45,189,85.0
50,T51,T51,Mark Brooks,53,0.451,102,46.0
51,T51,T51,Steve Marino,106,0.451,235,106.0
52,T53,T53,Tommy Armour III,81,0.45299999999999996,137,62.0
53,T53,T53,Daniel Chopra,106,0.45299999999999996,258,117.0
54,T53,T53,Stephen Leaney,82,0.45299999999999996,170,77.0
55,T53,T53,Geoff Ogilvy,84,0.45299999999999996,172,78.0
56,57,57,John Merrick,92,0.45399999999999996,194,88.0
57,58,58,Jeff Brehaut,59,0.455,123,56.0
58,T59,T59,Alex Cejka,80,0.456,158,72.0
59,T59,T59,Lucas Glover,98,0.456,195,89.0
60,T59,T59,Zach Johnson,76,0.456,149,68.0
61,T59,T59,Craig Lile,77,0.456,204,93.0
62,63,63,Jeff Overton,60,0.457,127,58.0
63,64,64,Jarrod Lyle,77,0.45799999999999996,179,82.0
64,65,65,Tim Herron,98,0.45899999999999996,207,95.0
65,T66,T66,Jonathan Byrd,73,0.461,154,71.0
66,T66,T66,Tim Clark,66,0.461,128,59.0
67,68,68,Billy Mayfair,98,0.462,169,78.0
68,T69,T69,Trevor Immelman,74,0.466,133,62.0
69,T69,T69,Frank Lickliter II,95,0.466,232,108.0
70,T71,T71,Steve Lowery,74,0.467,180,84.0
71,T71,T71,Nick Watney,87,0.467,184,86.0
72,73,73,Charlie Wi,90,0.46799999999999997,205,96.0
73,74,74,Fred Funk,65,0.469,113,53.0
74,T75,T75,Craig Kanada,109,0.47100000000000003,240,113.0
75,T75,T75,Shigeki Maruyama,84,0.47100000000000003,223,105.0
76,T75,T75,Tag Ridings,52,0.47100000000000003,136,64.0
77,78,78,Tripp Isenhour,86,0.47200000000000003,212,100.0
78,T79,T79,Retief Goosen,50,0.473,91,43.0
79,T79,T79,Joe Ogilvie,102,0.473,275,130.0
80,81,81,Michael Boyd,61,0.475,141,67.0
81,T82,T82,Cameron Beckman,96,0.47600000000000003,191,91.0
82,T82,T82,Jason Gore,86,0.47600000000000003,189,90.0
83,T84,T84,Brian Davis,101,0.47700000000000004,197,94.0
84,T84,T84,Brian Gay,107,0.47700000000000004,241,115.0
85,T86,T86,Chris DiMarco,79,0.478,161,77.0
86,T86,T86,Michael Sim,52,0.478,136,65.0
87,T88,T88,Stephen Ames,81,0.479,144,69.0
88,T88,T88,Stuart Appleby,74,0.479,163,78.0
89,T88,T88,Rod Pampling,92,0.479,194,93.0
90,T88,T88,Scott Verplank,82,0.479,146,70.0
91,T88,T88,Mike Weir,82,0.479,169,81.0
92,T93,T93,Marco Dawson,73,0.48,173,83.0
93,T93,T93,Joey Sindelar,75,0.48,148,71.0
94,T95,T95,Hunter Mahan,91,0.483,149,72.0
95,T95,T95,Bob Tway,103,0.483,240,116.0
96,T97,T97,Robert Allenby,90,0.484,190,92.0
97,T97,T97,Bill Haas,93,0.484,186,90.0
98,99,99,Jason Schultz,63,0.485,165,80.0
99,T100,T100,Tom Johnson,74,0.48700000000000004,197,96.0
100,T100,T100,Richard Johnson,93,0.48700000000000004,230,112.0
101,T100,T100,Chris Stroud,66,0.48700000000000004,154,75.0
102,103,103,Rocco Mediate,72,0.488,170,83.0
103,104,104,José Coceres,50,0.489,94,46.0
104,105,105,Jesper Parnevik,88,0.49,200,98.0
105,106,106,Andrew Buckle,77,0.49200000000000005,187,92.0
106,T107,T107,Mark Calcavecchia,93,0.493,221,109.0
107,T107,T107,George McNeill,95,0.493,219,108.0
108,109,109,Sergio Garcia,68,0.494,160,79.0
109,T110,T110,Jason Dufner,100,0.496,230,114.0
110,T110,T110,Lee Janzen,66,0.496,121,60.0
111,T112,T112,Bob Estes,88,0.49700000000000005,157,78.0
112,T112,T112,Kent Jones,97,0.49700000000000005,191,95.0
113,T112,T112,Vaughn Taylor,91,0.49700000000000005,177,88.0
114,T112,T112,Camilo Villegas,82,0.49700000000000005,175,87.0
115,T116,T116,Ernie Els,59,0.5,100,50.0
116,T116,T116,J.P. Hayes,89,0.5,206,103.0
117,118,118,Charles Warren,101,0.502,213,107.0
118,119,119,Peter Lonard,85,0.503,179,90.0
119,120,120,Ted Purdy,102,0.504,228,115.0
120,121,121,Daisuke Maruyama,86,0.505,200,101.0
121,T122,T122,Doug LaBelle II,104,0.506,241,122.0
122,T122,T122,Troy Matteson,87,0.506,235,119.0
123,124,124,Rich Barcelo,80,0.507,229,116.0
