,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Chris Riley,59,65.33,245,375
1,2,2,Rory Sabbatini,81,63.92,349,546
2,3,3,Kevin Na,84,63.65,366,575
3,4,4,Tim Clark,66,63.6,283,445
4,5,5,Matt Kuchar,85,63.41,324,511
5,6,6,José Coceres,50,63.17,199,315
6,7,7,Jeff Overton,60,62.46,203,325
7,8,8,Michael Sim,52,62.35,207,332
8,9,9,K.J. Choi,87,62.34,331,531
9,10,10,Gavin Coles,87,62.08,347,559
10,11,11,Alex Cejka,80,62.0,266,429
11,T12,T12,Craig Bowden,78,61.88,297,480
12,T12,T12,John Mallinger,96,61.88,396,640
13,14,14,Corey Pavin,81,61.71,353,572
14,15,15,Padraig Harrington,64,61.63,273,443
15,16,16,Heath Slocum,101,61.48,375,610
16,17,17,Brandt Snedeker,105,61.18,394,644
17,18,18,Scott Verplank,82,61.15,318,520
18,19,19,Brian Gay,107,61.14,420,687
19,20,20,Tiger Woods,63,61.02,191,313
20,21,21,Steve Stricker,81,60.98,300,492
21,22,22,Nathan Green,103,60.97,414,679
22,23,23,Ken Duke,112,60.95,423,694
23,24,24,Woody Austin,95,60.85,359,590
24,25,25,Aaron Baddeley,83,60.6,346,571
25,T26,T26,Tim Petrovic,106,60.59,429,708
26,T26,T26,Dicky Pride,71,60.59,266,439
27,28,28,Mark Wilson,87,60.57,318,525
28,29,29,Jim Furyk,84,60.53,273,451
29,30,30,Zach Johnson,76,60.42,290,480
30,31,31,Daniel Chopra,106,60.39,401,664
31,32,32,Steve Elkington,87,60.33,333,552
32,33,33,Mark Brooks,53,60.32,187,310
33,34,34,Doug LaBelle II,104,60.28,387,642
34,35,35,Bo Van Pelt,104,60.25,379,629
35,36,36,Sean O'Hair,98,60.17,349,580
36,37,37,Ernie Els,59,60.16,222,369
37,38,38,Craig Lile,77,60.12,300,499
38,39,39,Justin Leonard,95,59.97,361,602
39,40,40,Tom Pernice Jr.,104,59.94,428,714
40,41,41,Justin Rose,63,59.89,218,364
41,42,42,Peter Lonard,85,59.88,309,516
42,43,43,Jason Schultz,63,59.85,240,401
43,44,44,Marco Dawson,73,59.78,278,465
44,45,45,Briny Baird,115,59.77,367,614
45,46,46,Arron Oberholser,69,59.74,276,462
46,47,47,Brian Davis,101,59.65,380,637
47,T48,T48,Ryuji Imada,104,59.61,400,671
48,T48,T48,Craig Kanada,109,59.61,400,671
49,50,50,Stephen Leaney,82,59.44,277,466
50,51,51,Ian Poulter,63,59.42,246,414
51,52,52,Dean Wilson,92,59.31,360,607
52,53,53,Phil Mickelson,73,59.15,265,448
53,54,54,Charlie Wi,90,59.1,315,533
54,55,55,Steve Marino,106,59.07,368,623
55,T56,T56,Parker McLachlin,83,59.0,331,561
56,T56,T56,John Rollins,102,59.0,390,661
57,58,58,Kenny Perry,83,58.97,286,485
58,59,59,Bart Bryant,87,58.93,307,521
59,60,60,J.P. Hayes,89,58.92,350,594
60,61,61,Vijay Singh,102,58.88,358,608
61,62,62,Glen Day,85,58.85,306,520
62,63,63,D.J. Trahan,99,58.74,346,589
63,64,64,Shigeki Maruyama,84,58.66,342,583
64,65,65,Cliff Kresge,107,58.62,398,679
65,T66,T66,Lucas Glover,98,58.57,345,589
66,T66,T66,David Toms,80,58.57,294,502
67,68,68,Stephen Ames,81,58.49,279,477
68,69,69,Jonathan Byrd,73,58.46,280,479
69,70,70,Mike Weir,82,58.44,315,539
70,71,71,Stuart Appleby,74,58.42,295,505
71,72,72,Jason Gore,86,58.35,311,533
72,73,73,Michael Boyd,61,58.31,221,379
73,T74,T74,Billy Mayfair,98,58.26,328,563
74,T74,T74,George McNeill,95,58.26,349,599
75,76,76,Rod Pampling,92,58.23,329,565
76,77,77,Jaco Van Zyl,51,58.18,185,318
77,78,78,Jerry Kelly,101,58.14,357,614
78,T79,T79,Bob Heintz,85,58.1,312,537
79,T79,T79,Anthony Kim,93,58.1,337,580
80,81,81,Jarrod Lyle,77,58.06,270,465
81,82,82,Steve Flesch,100,58.05,357,615
82,83,83,Brian Bateman,55,58.03,206,355
83,84,84,Sergio Garcia,68,57.96,244,421
84,85,85,Mark Hensby,81,57.87,309,534
85,86,86,Kirk Triplett,77,57.86,276,477
86,87,87,Ryan Moore,92,57.82,329,569
87,88,88,Bill Haas,93,57.8,315,545
88,89,89,Jay Williamson,50,57.76,175,303
89,90,90,Mathew Goggin,97,57.72,314,544
90,T91,T91,Andrew Buckle,77,57.71,292,506
91,T91,T91,Nick Watney,87,57.71,303,525
92,93,93,Carl Pettersson,111,57.68,413,716
93,94,94,Tag Ridings,52,57.61,193,335
94,95,95,Jeff Brehaut,59,57.54,206,358
95,96,96,Freddie Jacobson,70,57.51,245,426
96,97,97,Luke Donald,69,57.43,255,444
97,T98,T98,Paul Goydos,60,57.31,247,431
98,T98,T98,Camilo Villegas,82,57.31,290,506
99,100,100,Shaun Micheel,91,57.25,308,538
100,101,101,Kevin Sutherland,85,57.2,302,528
101,102,102,Tom Byrum,50,57.14,172,301
102,103,103,Jesper Parnevik,88,57.11,289,506
103,104,104,Joe Ogilvie,102,57.1,386,676
104,105,105,Bob Estes,88,56.95,332,583
105,106,106,Bob Tway,103,56.92,370,650
106,107,107,Stewart Cink,91,56.9,305,536
107,108,108,Boo Weekley,101,56.88,339,596
108,109,109,Tripp Isenhour,86,56.7,330,582
109,110,110,Craig Barlow,52,56.68,174,307
110,111,111,Geoff Ogilvy,84,56.6,296,523
111,112,112,John Senden,97,56.56,293,518
112,113,113,Bubba Watson,80,56.54,281,497
113,114,114,Jim Rutledge,59,56.5,200,354
114,T115,T115,Fred Funk,65,56.43,237,420
115,T115,T115,Tim Herron,98,56.43,338,599
116,117,117,Mark Calcavecchia,93,56.35,324,575
117,T118,T118,Richard Johnson,93,56.3,326,579
118,T118,T118,Jeff Maggert,79,56.3,268,476
119,120,120,Nick O'Hern,72,56.26,274,487
120,121,121,Troy Matteson,87,56.22,321,571
121,122,122,Mathias Grönberg,95,56.18,341,607
122,123,123,Trevor Immelman,74,56.16,237,422
123,124,124,Chris Stroud,66,56.15,219,390
124,125,125,Steve Lowery,74,56.12,252,449
125,126,126,Chris Tidland,59,56.11,202,360
126,127,127,Jason Dufner,100,55.96,352,629
127,128,128,Will MacKenzie,100,55.83,340,609
128,129,129,Kent Jones,97,55.81,322,577
129,130,130,Rich Barcelo,80,55.79,289,518
130,131,131,Tommy Armour III,81,55.74,233,418
131,132,132,Cameron Beckman,96,55.71,278,499
132,133,133,Charles Howell III,89,55.38,314,567
133,134,134,Bryce Molder,56,55.33,218,394
134,135,135,Ryan Palmer,91,55.31,328,593
135,136,136,Ted Purdy,102,55.19,319,578
136,137,137,Anders Hansen,55,55.13,188,341
137,138,138,Steve Allan,63,55.08,206,374
138,139,139,Eric Axley,107,55.03,410,745
139,T140,T140,Lee Janzen,66,54.99,226,411
140,T140,T140,José María Olazábal,52,54.99,226,411
141,142,142,Rocco Mediate,72,54.95,250,455
142,T143,T143,Jason Bohn,57,54.87,197,359
143,T143,T143,Frank Lickliter II,95,54.87,327,596
144,145,145,Hunter Mahan,91,54.8,297,542
145,T146,T146,Paul Gow,70,54.76,236,431
146,T146,T146,Jeff Quinney,95,54.76,322,588
147,148,148,Steve Wheatcroft,73,54.73,243,444
148,149,149,Daisuke Maruyama,86,54.63,283,518
149,150,150,John Merrick,92,54.6,267,489
150,151,151,Jeff Gove,103,54.43,301,553
151,152,152,Ryan Armour,107,54.4,340,625
152,153,153,Michael Allen,74,54.39,229,421
153,T154,T154,Retief Goosen,50,54.37,193,355
154,T154,T154,Vaughn Taylor,91,54.37,305,561
155,156,156,Chris DiMarco,79,53.93,295,547
156,T157,T157,Tom Johnson,74,53.91,248,460
157,T157,T157,Charles Warren,101,53.91,310,575
158,159,159,Duffy Waldorf,69,53.9,221,410
159,160,160,Tom Lehman,62,53.8,191,355
160,161,161,Paul Stankowski,52,53.77,171,318
161,162,162,Chris Couch,76,53.36,262,491
162,163,163,Robert Allenby,90,53.35,271,508
163,164,164,Joey Sindelar,75,53.33,240,450
164,T165,T165,Harrison Frazar,88,53.29,300,563
165,T165,T165,Kyle Reifers,71,53.29,235,441
166,167,167,Henrik Stenson,52,53.27,171,321
167,168,168,Pat Perez,84,53.12,264,497
168,169,169,Johnson Wagner,97,53.11,299,563
169,170,170,Rich Beem,89,53.06,303,571
170,171,171,Scott Gutschewski,67,52.96,224,423
171,172,172,Joe Durant,88,52.94,261,493
172,173,173,David Branshaw,83,52.75,278,527
173,174,174,Davis Love III,66,52.73,222,421
174,175,175,Charley Hoffman,97,52.71,331,628
175,176,176,Ben Curtis,80,52.46,298,568
176,177,177,Billy Andrade,88,52.35,290,554
177,178,178,Bubba Dickerson,51,52.03,179,344
178,179,179,Adam Scott,69,52.01,220,423
179,180,180,Darron Stiles,65,51.98,197,379
180,181,181,Greg Owen,81,51.88,235,453
181,182,182,J.B. Holmes,71,51.82,228,440
182,183,183,Robert Garrigus,95,51.77,292,564
183,184,184,J.J. Henry,86,51.76,264,510
184,185,185,D.J. Brigman,67,51.69,199,385
185,186,186,Kevin Stadler,95,51.24,289,564
186,187,187,Jeff Sluman,60,51.15,201,393
187,188,188,Chad Campbell,96,51.11,300,587
188,189,189,Todd Hamilton,76,50.76,299,589
189,190,190,Brett Quigley,79,50.75,270,532
190,191,191,Robert Gamez,88,50.68,262,517
191,192,192,Brendon de Jonge,76,50.43,233,462
192,193,193,Matt Hendrix,63,49.87,192,385
193,194,194,Michael Putnam,96,49.08,268,546
194,195,195,John Daly,59,48.91,201,411
195,196,196,Brett Wetterich,88,48.86,258,528
