,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,T1,T1,Sergio Garcia,68,"5' 3""",5.492000000000001,87,84
1,T1,T1,Steve Stricker,81,"5' 3""",5.755,91,21
2,3,3,Padraig Harrington,64,"5' 4""",4.62,72,15
3,4,4,Paul Stankowski,52,"5' 7""",6.311,94,161
4,T5,T5,Jim Furyk,84,"5' 8""",5.582999999999999,82,29
5,T5,T5,Brian Gay,107,"5' 8""",10.850999999999999,159,19
6,T5,T5,Phil Mickelson,73,"5' 8""",6.075,89,53
7,T8,T8,Ernie Els,59,"5' 11""",3.6319999999999997,51,37
8,T8,T8,Paul Goydos,60,"5' 11""",3.528,50,98
9,T8,T8,Camilo Villegas,82,"5' 11""",6.699,95,98
10,T11,T11,Luke Donald,69,"6' 0""",5.237,73,97
11,T11,T11,Retief Goosen,50,"6' 0""",3.595,50,154
12,T13,T13,Harrison Frazar,88,"6' 1""",9.525,130,165
13,T13,T13,Tom Pernice Jr.,104,"6' 1""",10.504000000000001,143,40
14,T15,T15,Kevin Na,84,"6' 2""",10.588,144,3
15,T15,T15,Nick O'Hern,72,"6' 2""",6.477,87,120
16,T15,T15,Ian Poulter,63,"6' 2""",3.997,54,51
17,T15,T15,Charlie Wi,90,"6' 2""",10.027999999999999,136,54
18,T19,T19,Ken Duke,112,"6' 3""",9.642000000000001,129,23
19,T19,T19,Ryuji Imada,104,"6' 3""",13.562999999999999,181,48
20,T19,T19,Geoff Ogilvy,84,"6' 3""",7.0120000000000005,93,111
21,T19,T19,Jeff Quinney,95,"6' 3""",9.856,131,146
22,T19,T19,Chris Riley,59,"6' 3""",7.178,96,1
23,T19,T19,Rory Sabbatini,81,"6' 3""",7.976,107,2
24,T19,T19,Brett Wetterich,88,"6' 3""",7.48,100,196
25,T26,T26,Zach Johnson,76,"6' 4""",6.5,85,30
26,T26,T26,Billy Mayfair,98,"6' 4""",9.104,120,74
27,T26,T26,David Toms,80,"6' 4""",9.818999999999999,130,66
28,T29,T29,Briny Baird,115,"6' 5""",14.071,183,45
29,T29,T29,Mark Brooks,53,"6' 5""",6.053,79,33
