,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,1,Jim Furyk,84,"6' 2""",1897.25,306
1,2,2,Steve Stricker,81,"6' 4""",2047.5829999999999,323
2,3,3,Phil Mickelson,73,"6' 8""",1759.9170000000001,263
3,T4,T4,Mark Brooks,53,"6' 11""",1529.4170000000001,222
4,T4,T4,Heath Slocum,101,"6' 11""",3354.583,487
5,6,6,Mike Weir,82,"7' 0""",2288.5,328
6,7,7,Stuart Appleby,74,"7' 1""",2324.833,328
7,8,8,Sergio Garcia,68,"7' 2""",2100.417,293
8,T9,T9,Alex Cejka,80,"7' 3""",2653.667,365
9,T9,T9,Padraig Harrington,64,"7' 3""",1951.0829999999999,270
10,T9,T9,Matt Kuchar,85,"7' 3""",2815.5,389
11,T9,T9,Rory Sabbatini,81,"7' 3""",2748.75,378
12,T13,T13,Luke Donald,69,"7' 4""",2053.25,279
13,T13,T13,Ernie Els,59,"7' 4""",1606.0,218
14,T13,T13,Justin Leonard,95,"7' 4""",3048.667,416
15,T13,T13,David Toms,80,"7' 4""",2460.417,335
16,17,17,Chris Riley,59,"7' 5""",2285.167,307
17,T18,T18,Sean O'Hair,98,"7' 7""",3072.5,406
18,T18,T18,Geoff Ogilvy,84,"7' 7""",2634.25,349
19,T18,T18,Tim Petrovic,106,"7' 7""",4167.833,548
20,T18,T18,Justin Rose,63,"7' 7""",1560.0829999999999,205
21,T18,T18,Vijay Singh,102,"7' 7""",3298.417,435
22,T18,T18,Mark Wilson,87,"7' 7""",2977.333,392
23,T24,T24,Jason Bohn,57,"7' 8""",2187.917,285
24,T24,T24,Jonathan Byrd,73,"7' 8""",2616.0,341
25,T24,T24,Brian Davis,101,"7' 8""",3764.667,491
26,T24,T24,Steve Elkington,87,"7' 8""",3208.417,418
27,T24,T24,Craig Kanada,109,"7' 8""",4050.75,526
28,T24,T24,Steve Marino,106,"7' 8""",3687.083,480
29,T24,T24,Corey Pavin,81,"7' 8""",3413.5,447
30,T24,T24,Tom Pernice Jr.,104,"7' 8""",3826.333,501
31,T24,T24,Charlie Wi,90,"7' 8""",3274.167,425
32,T33,T33,Marco Dawson,73,"7' 9""",2812.667,363
33,T33,T33,Ian Poulter,63,"7' 9""",1851.0829999999999,239
34,T35,T35,Steve Flesch,100,"7' 10""",3677.167,470
35,T35,T35,Trevor Immelman,74,"7' 10""",2176.667,277
36,T35,T35,Anthony Kim,93,"7' 10""",3290.667,420
37,T35,T35,Scott Verplank,82,"7' 10""",2557.0,327
38,T39,T39,K.J. Choi,87,"7' 11""",2955.833,373
39,T39,T39,Tim Clark,66,"7' 11""",2405.667,304
40,T39,T39,Billy Mayfair,98,"7' 11""",3122.333,396
