,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Steve Stricker,81,"5' 11""",2330.833,394,21
1,2,2,Jim Furyk,84,"6' 2""",2380.167,387,29
2,T3,T3,Justin Leonard,95,"6' 4""",3255.167,515,39
3,T3,T3,Chris Riley,59,"6' 4""",2360.417,372,1
4,5,5,José Coceres,50,"6' 5""",2024.0,317,6
5,6,6,Luke Donald,69,"6' 6""",2215.333,341,97
6,T7,T7,K.J. Choi,87,"6' 7""",3170.167,480,9
7,T7,T7,Steve Flesch,100,"6' 7""",3949.917,599,82
8,T7,T7,Sergio Garcia,68,"6' 7""",2564.333,392,84
9,T7,T7,Nick O'Hern,72,"6' 7""",2670.083,404,120
10,T7,T7,Tom Pernice Jr.,104,"6' 7""",4121.167,625,40
11,T7,T7,Heath Slocum,101,"6' 7""",3905.583,594,16
12,T13,T13,Alex Cejka,80,"6' 8""",3244.833,487,11
13,T13,T13,Tim Clark,66,"6' 8""",2397.5,361,4
14,T13,T13,Brian Gay,107,"6' 8""",4417.5,663,19
15,T13,T13,Geoff Ogilvy,84,"6' 8""",3001.0,450,111
16,T13,T13,Mike Weir,82,"6' 8""",3002.0,453,70
17,T18,T18,Stuart Appleby,74,"6' 9""",2831.583,420,71
18,T18,T18,Marco Dawson,73,"6' 9""",3220.833,475,44
19,T18,T18,Matt Kuchar,85,"6' 9""",3214.833,478,5
20,T18,T18,Phil Mickelson,73,"6' 9""",2516.417,373,53
21,T18,T18,Kevin Na,84,"6' 9""",4167.25,615,3
22,T18,T18,Ian Poulter,63,"6' 9""",1987.6670000000001,293,51
23,T18,T18,Vijay Singh,102,"6' 9""",3991.167,594,61
24,T18,T18,David Toms,80,"6' 9""",2865.833,426,66
25,T26,T26,Padraig Harrington,64,"6' 10""",2439.417,357,15
26,T26,T26,Bob Heintz,85,"6' 10""",3391.417,494,79
27,T26,T26,Rod Pampling,92,"6' 10""",3491.5,513,76
28,T26,T26,Corey Pavin,81,"6' 10""",3504.167,512,14
29,T26,T26,Scott Verplank,82,"6' 10""",2825.583,413,18
30,31,31,Jerry Kelly,101,"6' 11""",3574.167,516,78
31,T32,T32,Mark Brooks,53,"7' 0""",1835.5829999999999,262,33
32,T32,T32,Daniel Chopra,106,"7' 0""",4796.833,683,31
33,T32,T32,Steve Elkington,87,"7' 0""",3729.5,534,32
34,T32,T32,Trevor Immelman,74,"7' 0""",2412.917,345,123
35,T32,T32,John Mallinger,96,"7' 0""",4507.417,641,12
36,T32,T32,Tim Petrovic,106,"7' 0""",5026.417,718,26
37,T32,T32,Carl Pettersson,111,"7' 0""",4587.417,655,93
38,T39,T39,Aaron Baddeley,83,"7' 1""",3627.833,512,25
