,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Craig Barlow,52,"8' 0""",247.0,31,110
1,2,2,Jim Furyk,84,"9' 2""",403.75,44,29
2,3,3,K.J. Choi,87,"9' 5""",716.25,76,9
3,4,4,Steve Stricker,81,"9' 6""",522.3330000000001,55,21
4,5,5,Luke Donald,69,"9' 8""",279.5,29,97
5,6,6,Padraig Harrington,64,"9' 9""",369.083,38,15
6,7,7,Nick O'Hern,72,"9' 10""",451.417,46,120
7,T8,T8,Alex Cejka,80,"9' 11""",534.0830000000001,54,11
8,T8,T8,Vijay Singh,102,"9' 11""",766.1669999999999,77,61
9,10,10,Ernie Els,59,"10' 1""",332.917,33,37
10,11,11,Bubba Dickerson,51,"10' 2""",397.917,39,178
11,T12,T12,José Coceres,50,"10' 3""",266.91700000000003,26,6
12,T12,T12,Kirk Triplett,77,"10' 3""",510.667,50,86
13,T14,T14,Stuart Appleby,74,"10' 4""",504.417,49,71
14,T14,T14,Rocco Mediate,72,"10' 4""",516.3330000000001,50,142
15,16,16,Tom Pernice Jr.,104,"10' 5""",893.6669999999999,86,40
16,17,17,Adam Scott,69,"10' 6""",460.333,44,179
17,T18,T18,Freddie Jacobson,70,"10' 7""",573.3330000000001,54,96
18,T18,T18,Craig Kanada,109,"10' 7""",877.8330000000001,83,48
19,T18,T18,Ian Poulter,63,"10' 7""",327.75,31,51
20,21,21,Retief Goosen,50,"10' 9""",280.16700000000003,26,154
21,T22,T22,Steve Lowery,74,"10' 10""",552.6669999999999,51,125
22,T22,T22,Paul Stankowski,52,"10' 10""",455.333,42,161
23,T22,T22,Brett Wetterich,88,"10' 10""",531.4169999999999,49,196
24,T25,T25,Jason Gore,86,"10' 11""",806.0830000000001,74,72
25,T25,T25,Henrik Stenson,52,"10' 11""",218.333,20,167
26,T25,T25,Kevin Sutherland,85,"10' 11""",839.1669999999999,77,101
27,T28,T28,Marco Dawson,73,"11' 0""",816.3330000000001,74,44
