,Scrambling_20-30_yds_RTP_Score_RANK THIS WEEK,Scrambling_20-30_yds_RTP_Score_RANK LAST WEEK,Scrambling_20-30_yds_RTP_Score_PLAYER NAME,Scrambling_20-30_yds_RTP_Score_ROUNDS,Scrambling_20-30_yds_RTP_Score_AVG RTP,Scrambling_20-30_yds_RTP_Score_TOTAL HOLES,Scrambling_20-30_yds_RTP_Score_TOTAL RTP
0,1,1,Chris Riley,59,0.29,69,20.0
1,2,2,Stephen Ames,81,0.35100000000000003,57,20.0
2,3,3,Matt Kuchar,85,0.354,79,28.0
3,4,4,Mark Brooks,53,0.366,41,15.0
4,T5,T5,Phil Mickelson,73,0.36700000000000005,60,22.0
5,T5,T5,Heath Slocum,101,0.36700000000000005,90,33.0
6,7,7,Tom Pernice Jr.,104,0.368,95,35.0
7,8,8,Tim Petrovic,106,0.375,112,42.0
8,9,9,Zach Johnson,76,0.377,61,23.0
9,10,10,Ernie Els,59,0.381,42,16.0
10,11,11,Padraig Harrington,64,0.387,62,24.0
11,12,12,Justin Rose,63,0.39,41,16.0
12,13,13,Geoff Ogilvy,84,0.39399999999999996,66,26.0
13,14,14,Jim Furyk,84,0.397,58,23.0
14,15,15,Mike Weir,82,0.4,70,28.0
15,16,16,Nick Watney,87,0.40299999999999997,72,29.0
16,17,17,Michael Sim,52,0.408,49,20.0
17,18,18,Ryuji Imada,104,0.409,110,45.0
18,19,19,Brandt Snedeker,105,0.415,82,34.0
19,20,20,Arron Oberholser,69,0.418,55,23.0
20,21,21,Jaco Van Zyl,51,0.42200000000000004,45,19.0
21,22,22,Jason Dufner,100,0.436,117,51.0
22,T23,T23,Peter Lonard,85,0.444,99,44.0
23,T23,T23,Parker McLachlin,83,0.444,117,52.0
24,25,25,Cameron Beckman,96,0.446,92,41.0
25,T26,T26,José Coceres,50,0.447,38,17.0
26,T26,T26,Charles Howell III,89,0.447,76,34.0
27,T28,T28,Ian Poulter,63,0.449,49,22.0
28,T28,T28,Steve Stricker,81,0.449,69,31.0
29,T30,T30,Craig Barlow,52,0.452,31,14.0
30,T30,T30,Charlie Wi,90,0.452,84,38.0
31,T32,T32,Steve Elkington,87,0.455,88,40.0
32,T32,T32,Anthony Kim,93,0.455,77,35.0
33,T34,T34,Craig Bowden,78,0.456,68,31.0
34,T34,T34,Luke Donald,69,0.456,57,26.0
35,T34,T34,Mathew Goggin,97,0.456,114,52.0
36,T37,T37,Tim Clark,66,0.457,46,21.0
37,T37,T37,Tim Herron,98,0.457,92,42.0
38,T39,T39,Cliff Kresge,107,0.45799999999999996,118,54.0
39,T39,T39,Shigeki Maruyama,84,0.45799999999999996,96,44.0
40,T39,T39,Carl Pettersson,111,0.45799999999999996,96,44.0
41,T42,T42,Stewart Cink,91,0.45899999999999996,85,39.0
42,T42,T42,Rory Sabbatini,81,0.45899999999999996,74,34.0
43,44,44,Adam Scott,69,0.46,50,23.0
44,T45,T45,Brian Davis,101,0.462,91,42.0
45,T45,T45,Paul Stankowski,52,0.462,52,24.0
46,47,47,Brian Gay,107,0.46399999999999997,110,51.0
47,T48,T48,Stuart Appleby,74,0.466,58,27.0
48,T48,T48,Kent Jones,97,0.466,116,54.0
49,T48,T48,Shaun Micheel,91,0.466,73,34.0
50,51,51,Fred Funk,65,0.467,60,28.0
51,T52,T52,K.J. Choi,87,0.46799999999999997,79,37.0
52,T52,T52,Sergio Garcia,68,0.46799999999999997,47,22.0
53,54,54,Kevin Na,84,0.47,115,54.0
54,T55,T55,Corey Pavin,81,0.47100000000000003,87,41.0
55,T55,T55,Mark Wilson,87,0.47100000000000003,87,41.0
56,T57,T57,J.P. Hayes,89,0.475,80,38.0
57,T57,T57,John Rollins,102,0.475,99,47.0
58,T59,T59,Tripp Isenhour,86,0.47600000000000003,103,49.0
59,T59,T59,Frank Lickliter II,95,0.47600000000000003,84,40.0
60,T61,T61,Jason Schultz,63,0.47700000000000004,65,31.0
61,T61,T61,Jeff Sluman,60,0.47700000000000004,44,21.0
62,T63,T63,Doug LaBelle II,104,0.478,113,54.0
63,T63,T63,John Mallinger,96,0.478,92,44.0
64,65,65,Scott Verplank,82,0.48100000000000004,54,26.0
65,66,66,Rod Pampling,92,0.483,87,42.0
66,67,67,David Toms,80,0.484,62,30.0
67,T68,T68,Aaron Baddeley,83,0.48700000000000004,76,37.0
68,T68,T68,Tom Byrum,50,0.48700000000000004,39,19.0
69,T70,T70,Brian Bateman,55,0.488,43,21.0
70,T70,T70,Troy Matteson,87,0.488,86,42.0
71,72,72,Craig Lile,77,0.489,90,44.0
72,73,73,Marco Dawson,73,0.493,75,37.0
73,74,74,Daniel Chopra,106,0.495,97,48.0
74,T75,T75,Paul Goydos,60,0.5,60,30.0
75,T75,T75,Nathan Green,103,0.5,102,51.0
76,T75,T75,Jesper Parnevik,88,0.5,80,40.0
77,T75,T75,Dean Wilson,92,0.5,92,46.0
78,79,79,Vaughn Taylor,91,0.507,67,34.0
79,T80,T80,Tommy Armour III,81,0.508,61,31.0
80,T80,T80,Darron Stiles,65,0.508,61,31.0
81,82,82,Bo Van Pelt,104,0.509,106,54.0
82,83,83,Woody Austin,95,0.51,96,49.0
83,84,84,Ken Duke,112,0.511,90,46.0
84,85,85,Andrew Buckle,77,0.512,86,44.0
85,86,86,Stephen Leaney,82,0.513,76,39.0
86,T87,T87,Billy Andrade,88,0.514,72,37.0
87,T87,T87,Michael Boyd,61,0.514,70,36.0
88,T87,T87,Sean O'Hair,98,0.514,72,37.0
89,T87,T87,Joey Sindelar,75,0.514,74,38.0
90,T91,T91,Billy Mayfair,98,0.515,68,35.0
91,T91,T91,George McNeill,95,0.515,101,52.0
92,T91,T91,Joe Ogilvie,102,0.515,99,51.0
93,94,94,David Branshaw,83,0.517,89,46.0
94,95,95,Kenny Perry,83,0.518,56,29.0
95,96,96,Tiger Woods,63,0.519,27,14.0
96,97,97,Steve Marino,106,0.522,90,47.0
97,98,98,Retief Goosen,50,0.523,44,23.0
98,99,99,Rocco Mediate,72,0.526,76,40.0
99,T100,T100,Bill Haas,93,0.529,87,46.0
100,T100,T100,Jerry Kelly,101,0.529,87,46.0
101,T100,T100,Jay Williamson,50,0.529,34,18.0
102,103,103,Ryan Moore,92,0.53,66,35.0
103,104,104,Bob Heintz,85,0.532,77,41.0
104,T105,T105,Justin Leonard,95,0.5329999999999999,75,40.0
105,T105,T105,Kevin Sutherland,85,0.5329999999999999,90,48.0
106,107,107,Craig Kanada,109,0.536,97,52.0
107,T108,T108,Lee Janzen,66,0.537,54,29.0
108,T108,T108,John Senden,97,0.537,82,44.0
109,T110,T110,Mathias Grönberg,95,0.5379999999999999,104,56.0
110,T110,T110,Richard Johnson,93,0.5379999999999999,104,56.0
111,T110,T110,Kirk Triplett,77,0.5379999999999999,80,43.0
112,113,113,J.B. Holmes,71,0.541,85,46.0
113,114,114,Tag Ridings,52,0.542,48,26.0
114,T115,T115,Mark Calcavecchia,93,0.545,66,36.0
115,T115,T115,Gavin Coles,87,0.545,77,42.0
116,T115,T115,Steve Flesch,100,0.545,99,54.0
117,T115,T115,José María Olazábal,52,0.545,66,36.0
118,T119,T119,Rich Barcelo,80,0.547,86,47.0
119,T119,T119,Jason Bohn,57,0.547,53,29.0
120,T119,T119,Tom Lehman,62,0.547,53,29.0
121,122,122,Freddie Jacobson,70,0.5479999999999999,62,34.0
122,T123,T123,Alex Cejka,80,0.55,80,44.0
123,T123,T123,Pat Perez,84,0.55,80,44.0
124,T123,T123,Bob Tway,103,0.55,111,61.0
125,126,126,Ted Purdy,102,0.551,78,43.0
126,T127,T127,Bob Estes,88,0.5529999999999999,103,57.0
127,T127,T127,Michael Putnam,96,0.5529999999999999,85,47.0
128,T129,T129,D.J. Brigman,67,0.5539999999999999,56,31.0
129,T129,T129,Chris DiMarco,79,0.5539999999999999,74,41.0
130,131,131,Jeff Overton,60,0.556,54,30.0
131,132,132,Michael Allen,74,0.557,70,39.0
132,133,133,Dicky Pride,71,0.563,80,45.0
133,134,134,Matt Hendrix,63,0.565,69,39.0
134,T135,T135,Glen Day,85,0.5660000000000001,83,47.0
135,T135,T135,Camilo Villegas,82,0.5660000000000001,76,43.0
136,137,137,Mark Hensby,81,0.568,81,46.0
137,138,138,Trevor Immelman,74,0.5710000000000001,56,32.0
138,139,139,Vijay Singh,102,0.573,82,47.0
139,T140,T140,Jarrod Lyle,77,0.574,68,39.0
140,T140,T140,Bryce Molder,56,0.574,68,39.0
141,142,142,Hunter Mahan,91,0.575,80,46.0
142,T143,T143,Paul Gow,70,0.5760000000000001,66,38.0
143,T143,T143,Scott Gutschewski,67,0.5760000000000001,66,38.0
144,T143,T143,Anders Hansen,55,0.5760000000000001,33,19.0
145,T146,T146,Lucas Glover,98,0.578,83,48.0
146,T146,T146,Ryan Palmer,91,0.578,90,52.0
147,148,148,Daisuke Maruyama,86,0.58,81,47.0
148,149,149,Rich Beem,89,0.581,74,43.0
149,T150,T150,Eric Axley,107,0.583,108,63.0
150,T150,T150,Davis Love III,66,0.583,48,28.0
151,T150,T150,Jeff Quinney,95,0.583,84,49.0
152,T153,T153,Jeff Brehaut,59,0.585,53,31.0
153,T153,T153,Bubba Watson,80,0.585,65,38.0
154,155,155,Brendon de Jonge,76,0.586,99,58.0
155,T156,T156,John Daly,59,0.589,56,33.0
156,T156,T156,Joe Durant,88,0.589,73,43.0
157,T156,T156,Brett Quigley,79,0.589,73,43.0
158,159,159,Bubba Dickerson,51,0.59,61,36.0
159,160,160,Steve Allan,63,0.594,69,41.0
160,161,161,Tom Johnson,74,0.595,74,44.0
161,162,162,Ben Curtis,80,0.602,88,53.0
162,163,163,Todd Hamilton,76,0.606,66,40.0
163,164,164,Kyle Reifers,71,0.607,84,51.0
164,165,165,Chris Stroud,66,0.612,67,41.0
165,166,166,Jonathan Byrd,73,0.613,75,46.0
166,167,167,Briny Baird,115,0.614,101,62.0
167,168,168,Jason Gore,86,0.615,96,59.0
168,169,169,Jim Rutledge,59,0.619,42,26.0
169,170,170,Bart Bryant,87,0.62,71,44.0
170,171,171,Chad Campbell,96,0.622,82,51.0
171,172,172,Jeff Maggert,79,0.625,80,50.0
172,173,173,Jeff Gove,103,0.628,86,54.0
173,174,174,Robert Garrigus,95,0.633,90,57.0
174,175,175,Nick O'Hern,72,0.644,73,47.0
175,176,176,Greg Owen,81,0.645,62,40.0
176,177,177,Charley Hoffman,97,0.647,85,55.0
177,178,178,Johnson Wagner,97,0.649,77,50.0
178,T179,T179,Henrik Stenson,52,0.65,40,26.0
179,T179,T179,Boo Weekley,101,0.65,80,52.0
180,181,181,Charles Warren,101,0.654,78,51.0
181,182,182,Robert Allenby,90,0.657,70,46.0
182,183,183,Ryan Armour,107,0.6609999999999999,109,72.0
183,T184,T184,J.J. Henry,86,0.667,75,50.0
184,T184,T184,Will MacKenzie,100,0.667,99,66.0
185,186,186,Chris Tidland,59,0.672,67,45.0
186,T187,T187,Steve Lowery,74,0.6759999999999999,74,50.0
187,T187,T187,Brett Wetterich,88,0.6759999999999999,71,48.0
188,189,189,Chris Couch,76,0.679,78,53.0
189,190,190,John Merrick,92,0.684,79,54.0
190,191,191,Harrison Frazar,88,0.685,89,61.0
191,192,192,Robert Gamez,88,0.71,69,49.0
192,193,193,D.J. Trahan,99,0.7140000000000001,84,60.0
193,T194,T194,Duffy Waldorf,69,0.726,62,45.0
194,T194,T194,Steve Wheatcroft,73,0.726,73,53.0
195,196,196,Kevin Stadler,95,0.7390000000000001,88,65.0
