,Scrambling_from_20-30_yards_RANK THIS WEEK,Scrambling_from_20-30_yards_RANK LAST WEEK,Scrambling_from_20-30_yards_PLAYER NAME,Scrambling_from_20-30_yards_ROUNDS,Scrambling_from_20-30_yards_%,Scrambling_from_20-30_yards_SUCCESSES,Scrambling_from_20-30_yards_ATTEMPTS
0,1,1,Chris Riley,59,69.57,48,69
1,2,2,Justin Rose,63,65.85,27,41
2,3,3,Tim Petrovic,106,65.18,73,112
3,4,4,Phil Mickelson,73,65.0,39,60
4,5,5,Matt Kuchar,85,64.56,51,79
5,T6,T6,Stephen Ames,81,63.16,36,57
6,T6,T6,Tom Pernice Jr.,104,63.16,60,95
7,8,8,Mike Weir,82,62.86,44,70
8,9,9,Geoff Ogilvy,84,62.12,41,66
9,10,10,Jim Furyk,84,62.07,36,58
10,11,11,Ernie Els,59,61.9,26,42
11,12,12,Padraig Harrington,64,61.29,38,62
12,13,13,Heath Slocum,101,61.11,55,90
13,14,14,Mark Brooks,53,60.98,25,41
14,15,15,Zach Johnson,76,60.66,37,61
15,T16,T16,Arron Oberholser,69,60.0,33,55
16,T16,T16,Jaco Van Zyl,51,60.0,27,45
17,18,18,Nick Watney,87,59.72,43,72
18,19,19,Mathew Goggin,97,58.77,67,114
19,20,20,Brandt Snedeker,105,58.54,48,82
20,21,21,Carl Pettersson,111,58.33,56,96
21,22,22,Ryuji Imada,104,58.18,64,110
22,23,23,Parker McLachlin,83,58.12,68,117
23,24,24,Steve Stricker,81,57.97,40,69
24,25,25,José Coceres,50,57.89,22,38
25,26,26,Cliff Kresge,107,57.63,68,118
26,27,27,Tim Herron,98,57.61,53,92
27,28,28,Jason Dufner,100,57.26,67,117
28,T29,T29,Brian Davis,101,57.14,52,91
29,T29,T29,Frank Lickliter II,95,57.14,48,84
30,T29,T29,Michael Sim,52,57.14,28,49
31,32,32,Troy Matteson,87,56.98,49,86
32,33,33,Rory Sabbatini,81,56.76,42,74
33,34,34,Kevin Na,84,56.52,65,115
34,35,35,David Toms,80,56.45,35,62
35,36,36,Tom Byrum,50,56.41,22,39
36,37,37,Mark Wilson,87,56.32,49,87
37,38,38,Shigeki Maruyama,84,56.25,54,96
38,39,39,Shaun Micheel,91,56.16,41,73
39,40,40,Kent Jones,97,56.03,65,116
40,41,41,Brian Bateman,55,55.81,24,43
41,T42,T42,Peter Lonard,85,55.56,55,99
42,T42,T42,Scott Verplank,82,55.56,30,54
43,44,44,Brian Gay,107,55.45,61,110
44,45,45,Cameron Beckman,96,55.43,51,92
45,46,46,Tripp Isenhour,86,55.34,57,103
46,47,47,Sergio Garcia,68,55.32,26,47
47,T48,T48,Aaron Baddeley,83,55.26,42,76
48,T48,T48,Charles Howell III,89,55.26,42,76
49,50,50,Craig Barlow,52,54.84,17,31
50,51,51,Billy Mayfair,98,54.41,37,68
51,52,52,Luke Donald,69,54.39,31,57
52,T53,T53,Tim Clark,66,54.35,25,46
53,T53,T53,John Mallinger,96,54.35,50,92
54,55,55,Michael Boyd,61,54.29,38,70
55,56,56,Stewart Cink,91,54.12,46,85
56,57,57,Adam Scott,69,54.0,27,50
57,58,58,Doug LaBelle II,104,53.98,61,113
58,T59,T59,Jason Schultz,63,53.85,35,65
59,T59,T59,Paul Stankowski,52,53.85,28,52
60,T61,T61,J.P. Hayes,89,53.75,43,80
61,T61,T61,Jesper Parnevik,88,53.75,43,80
62,63,63,Vaughn Taylor,91,53.73,36,67
63,64,64,Stuart Appleby,74,53.45,31,58
64,65,65,Steve Elkington,87,53.41,47,88
65,T66,T66,Ken Duke,112,53.33,48,90
66,T66,T66,Fred Funk,65,53.33,32,60
67,T66,T66,Craig Lile,77,53.33,48,90
68,69,69,Anthony Kim,93,53.25,41,77
69,70,70,Nathan Green,103,52.94,54,102
70,71,71,Kirk Triplett,77,52.5,42,80
71,T72,T72,Retief Goosen,50,52.27,23,44
72,T72,T72,Jeff Sluman,60,52.27,23,44
73,74,74,Dean Wilson,92,52.17,48,92
74,T75,T75,Woody Austin,95,52.08,50,96
75,T75,T75,Tag Ridings,52,52.08,25,48
76,77,77,K.J. Choi,87,51.9,41,79
77,78,78,Eric Axley,107,51.85,56,108
78,79,79,Kenny Perry,83,51.79,29,56
79,80,80,Corey Pavin,81,51.72,45,87
80,81,81,Daniel Chopra,106,51.55,50,97
81,T82,T82,Mark Calcavecchia,93,51.52,34,66
82,T82,T82,John Rollins,102,51.52,51,99
83,84,84,Craig Bowden,78,51.47,35,68
84,85,85,Steve Marino,106,51.11,46,90
85,86,86,Ian Poulter,63,51.02,25,49
86,87,87,Richard Johnson,93,50.96,53,104
