,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Rory Sabbatini,81,0.625,72,45.0
1,2,2,Sean O'Hair,98,0.633,90,57.0
2,3,3,Alex Cejka,80,0.6809999999999999,47,32.0
3,4,4,Jeff Overton,60,0.684,38,26.0
4,5,5,Woody Austin,95,0.685,89,61.0
5,6,6,Brandt Snedeker,105,0.69,113,78.0
6,7,7,Ian Poulter,63,0.6920000000000001,39,27.0
7,8,8,Steve Stricker,81,0.698,86,60.0
8,9,9,Tiger Woods,63,0.722,36,26.0
9,10,10,Kevin Sutherland,85,0.723,83,60.0
10,11,11,Gavin Coles,87,0.732,82,60.0
11,12,12,Bob Tway,103,0.735,98,72.0
12,13,13,Mark Wilson,87,0.74,100,74.0
13,14,14,Mathias Grönberg,95,0.7440000000000001,90,67.0
14,15,15,Nathan Green,103,0.748,103,77.0
15,16,16,Chris Stroud,66,0.763,59,45.0
16,T17,T17,Paul Goydos,60,0.7659999999999999,64,49.0
17,T17,T17,David Toms,80,0.7659999999999999,77,59.0
18,19,19,Matt Kuchar,85,0.773,88,68.0
19,20,20,Justin Leonard,95,0.774,115,89.0
20,21,21,Jerry Kelly,101,0.775,71,55.0
21,T22,T22,Shaun Micheel,91,0.7759999999999999,76,59.0
22,T22,T22,Jay Williamson,50,0.7759999999999999,49,38.0
23,24,24,Parker McLachlin,83,0.778,90,70.0
24,25,25,Jason Gore,86,0.78,82,64.0
25,26,26,Glen Day,85,0.7809999999999999,96,75.0
26,27,27,Paul Gow,70,0.7829999999999999,69,54.0
27,T28,T28,K.J. Choi,87,0.784,74,58.0
28,T28,T28,Brian Gay,107,0.784,111,87.0
29,T28,T28,Lucas Glover,98,0.784,74,58.0
30,T31,T31,Tom Pernice Jr.,104,0.792,101,80.0
31,T31,T31,Mike Weir,82,0.792,72,57.0
32,33,33,Aaron Baddeley,83,0.7929999999999999,87,69.0
33,34,34,Vijay Singh,102,0.794,68,54.0
34,35,35,D.J. Brigman,67,0.797,69,55.0
35,36,36,Bo Van Pelt,104,0.8,90,72.0
36,T37,T37,Bob Estes,88,0.804,107,86.0
37,T37,T37,Tripp Isenhour,86,0.804,102,82.0
38,39,39,Justin Rose,63,0.805,41,33.0
39,T40,T40,Fred Funk,65,0.8059999999999999,67,54.0
40,T40,T40,Kent Jones,97,0.8059999999999999,108,87.0
41,42,42,Jim Furyk,84,0.8079999999999999,52,42.0
42,43,43,John Rollins,102,0.809,89,72.0
43,44,44,Padraig Harrington,64,0.8109999999999999,53,43.0
44,45,45,Tommy Armour III,81,0.812,69,56.0
45,T46,T46,Ben Curtis,80,0.813,91,74.0
46,T46,T46,Jarrod Lyle,77,0.813,80,65.0
47,48,48,Camilo Villegas,82,0.8140000000000001,59,48.0
48,49,49,Ryuji Imada,104,0.816,136,111.0
49,50,50,Carl Pettersson,111,0.818,110,90.0
50,51,51,Freddie Jacobson,70,0.8190000000000001,83,68.0
51,T52,T52,Shigeki Maruyama,84,0.821,123,101.0
52,T52,T52,Arron Oberholser,69,0.821,67,55.0
53,54,54,J.J. Henry,86,0.823,79,65.0
54,55,55,Jeff Gove,103,0.8240000000000001,108,89.0
55,56,56,Chris DiMarco,79,0.826,92,76.0
56,T57,T57,Bart Bryant,87,0.831,77,64.0
57,T57,T57,Lee Janzen,66,0.831,83,69.0
58,59,59,Briny Baird,115,0.833,102,85.0
59,60,60,D.J. Trahan,99,0.835,79,66.0
60,61,61,Craig Bowden,78,0.836,61,51.0
61,62,62,Anders Hansen,55,0.8370000000000001,43,36.0
62,T63,T63,Tim Clark,66,0.8390000000000001,56,47.0
63,T63,T63,Joe Durant,88,0.8390000000000001,56,47.0
64,T65,T65,Jonathan Byrd,73,0.841,82,69.0
65,T65,T65,Billy Mayfair,98,0.841,88,74.0
66,T67,T67,Mark Hensby,81,0.8420000000000001,114,96.0
67,T67,T67,Nick O'Hern,72,0.8420000000000001,76,64.0
68,T69,T69,Michael Boyd,61,0.845,58,49.0
69,T69,T69,Steve Elkington,87,0.845,71,60.0
70,T69,T69,Stephen Leaney,82,0.845,84,71.0
71,T69,T69,Rocco Mediate,72,0.845,84,71.0
72,T69,T69,Scott Verplank,82,0.845,58,49.0
73,74,74,Chris Riley,59,0.847,72,61.0
74,T75,T75,Stephen Ames,81,0.851,67,57.0
75,T75,T75,Peter Lonard,85,0.851,87,74.0
76,77,77,Cliff Kresge,107,0.852,128,109.0
77,T78,T78,Tim Herron,98,0.853,95,81.0
78,T78,T78,Hunter Mahan,91,0.853,75,64.0
79,T78,T78,Joe Ogilvie,102,0.853,109,93.0
80,T81,T81,Bill Haas,93,0.8540000000000001,89,76.0
81,T81,T81,Michael Putnam,96,0.8540000000000001,96,82.0
82,T83,T83,J.P. Hayes,89,0.855,110,94.0
83,T83,T83,Craig Kanada,109,0.855,110,94.0
84,85,85,Ryan Moore,92,0.857,77,66.0
85,86,86,Adam Scott,69,0.8590000000000001,64,55.0
86,T87,T87,Ken Duke,112,0.862,94,81.0
87,T87,T87,Ryan Palmer,91,0.862,116,100.0
88,T89,T89,Brett Quigley,79,0.867,90,78.0
89,T89,T89,Dean Wilson,92,0.867,98,85.0
90,91,91,Luke Donald,69,0.868,53,46.0
91,92,92,Will MacKenzie,100,0.872,78,68.0
92,93,93,Ted Purdy,102,0.8740000000000001,95,83.0
93,94,94,Marco Dawson,73,0.8759999999999999,89,78.0
94,T95,T95,Corey Pavin,81,0.882,85,75.0
95,T95,T95,Jason Schultz,63,0.882,68,60.0
96,97,97,Tim Petrovic,106,0.883,103,91.0
97,98,98,José Coceres,50,0.8859999999999999,35,31.0
98,99,99,George McNeill,95,0.888,89,79.0
99,T100,T100,Brian Bateman,55,0.889,72,64.0
100,T100,T100,John Mallinger,96,0.889,90,80.0
101,102,102,Johnson Wagner,97,0.89,91,81.0
102,T103,T103,Billy Andrade,88,0.8909999999999999,101,90.0
103,T103,T103,Charles Warren,101,0.8909999999999999,92,82.0
104,105,105,Dicky Pride,71,0.894,85,76.0
105,T106,T106,Tom Johnson,74,0.895,76,68.0
106,T106,T106,Craig Lile,77,0.895,95,85.0
107,T108,T108,Stuart Appleby,74,0.897,78,70.0
108,T108,T108,Charles Howell III,89,0.897,116,104.0
109,T108,T108,José María Olazábal,52,0.897,68,61.0
110,T111,T111,Michael Sim,52,0.9,60,54.0
111,T111,T111,Duffy Waldorf,69,0.9,70,63.0
112,T113,T113,Michael Allen,74,0.9009999999999999,81,73.0
113,T113,T113,Ryan Armour,107,0.9009999999999999,101,91.0
114,T115,T115,Doug LaBelle II,104,0.904,104,94.0
115,T115,T115,Jeff Sluman,60,0.904,52,47.0
116,T117,T117,Mark Brooks,53,0.907,43,39.0
117,T117,T117,Robert Gamez,88,0.907,86,78.0
