,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Tiger Woods,63,69.05,58,84
1,2,2,Heath Slocum,101,65.31,128,196
2,3,3,Bo Van Pelt,104,64.86,144,222
3,4,4,Steve Stricker,81,64.79,92,142
4,T5,T5,Steve Elkington,87,63.68,128,201
5,T5,T5,Dean Wilson,92,63.68,135,212
6,7,7,Jim Furyk,84,63.5,87,137
7,8,8,Nathan Green,103,63.25,148,234
8,9,9,Nick O'Hern,72,63.23,98,155
9,10,10,Chris Riley,59,62.69,84,134
10,11,11,John Mallinger,96,62.6,164,262
11,12,12,John Rollins,102,62.23,145,233
12,13,13,Rory Sabbatini,81,62.09,113,182
13,14,14,Tom Pernice Jr.,104,62.01,142,229
14,15,15,Phil Mickelson,73,61.84,94,152
15,16,16,Kenny Perry,83,61.76,105,170
16,17,17,Craig Bowden,78,61.54,112,182
17,18,18,Justin Leonard,95,60.77,127,209
18,19,19,Kevin Sutherland,85,60.63,97,160
19,20,20,Kevin Na,84,60.62,137,226
20,21,21,Ken Duke,112,60.53,161,266
21,22,22,Bart Bryant,87,60.24,100,166
22,23,23,Aaron Baddeley,83,60.21,115,191
23,24,24,Paul Goydos,60,60.13,92,153
24,T25,T25,Gavin Coles,87,60.0,135,225
25,T25,T25,Matt Kuchar,85,60.0,111,185
26,T25,T25,Arron Oberholser,69,60.0,96,160
27,T25,T25,Brandt Snedeker,105,60.0,129,215
28,29,29,Ian Poulter,63,59.69,77,129
29,30,30,Shaun Micheel,91,59.68,111,186
30,31,31,Padraig Harrington,64,59.57,84,141
31,32,32,Zach Johnson,76,59.06,88,149
32,33,33,Jerry Kelly,101,59.04,111,188
33,34,34,Woody Austin,95,58.85,113,192
34,T35,T35,Mark Brooks,53,58.82,60,102
35,T35,T35,Stephen Leaney,82,58.82,100,170
36,T35,T35,Craig Lile,77,58.82,120,204
37,38,38,Trevor Immelman,74,58.65,78,133
38,39,39,Kirk Triplett,77,58.64,95,162
39,40,40,Daniel Chopra,106,58.53,151,258
40,41,41,K.J. Choi,87,58.33,105,180
41,42,42,Scott Verplank,82,58.22,85,146
42,43,43,Carl Pettersson,111,58.2,142,244
43,44,44,Vaughn Taylor,91,58.19,103,177
44,45,45,Nick Watney,87,58.15,107,184
45,46,46,John Senden,97,57.87,103,178
46,47,47,Glen Day,85,57.73,112,194
47,48,48,Jeff Brehaut,59,57.72,71,123
48,49,49,Corey Pavin,81,57.67,124,215
49,T50,T50,Jason Schultz,63,57.58,95,165
50,T50,T50,Mark Wilson,87,57.58,114,198
51,52,52,Tim Petrovic,106,57.54,145,252
52,53,53,José Coceres,50,57.45,54,94
53,54,54,Lucas Glover,98,57.44,112,195
54,55,55,Billy Mayfair,98,57.4,97,169
55,56,56,Frank Lickliter II,95,57.33,133,232
56,57,57,Steve Lowery,74,57.22,103,180
57,T58,T58,Jonathan Byrd,73,57.14,88,154
58,T58,T58,Jason Gore,86,57.14,108,189
59,60,60,Tim Clark,66,57.03,73,128
60,61,61,Ryuji Imada,104,57.02,134,235
61,62,62,Tom Byrum,50,57.01,61,107
62,63,63,Tim Herron,98,57.0,118,207
63,T64,T64,Brian Davis,101,56.85,112,197
64,T64,T64,Brian Gay,107,56.85,137,241
65,66,66,Rod Pampling,92,56.7,110,194
66,67,67,Freddie Jacobson,70,56.63,94,166
67,68,68,Tripp Isenhour,86,56.6,120,212
68,T69,T69,Chris DiMarco,79,56.52,91,161
69,T69,T69,Richard Johnson,93,56.52,130,230
70,T71,T71,Shigeki Maruyama,84,56.5,126,223
71,T71,T71,Sean O'Hair,98,56.5,113,200
72,73,73,Geoff Ogilvy,84,56.4,97,172
73,74,74,Vijay Singh,102,56.22,122,217
74,75,75,Steve Marino,106,56.17,132,235
75,76,76,Tom Lehman,62,56.14,64,114
76,77,77,Parker McLachlin,83,56.11,124,221
77,78,78,Charlie Wi,90,56.1,115,205
78,79,79,Ryan Moore,92,56.08,106,189
79,80,80,Bob Estes,88,56.05,88,157
80,81,81,Retief Goosen,50,56.04,51,91
81,82,82,David Toms,80,56.03,79,141
82,83,83,Jesper Parnevik,88,56.0,112,200
83,84,84,Boo Weekley,101,55.94,113,202
84,85,85,Tag Ridings,52,55.88,76,136
85,T86,T86,Stuart Appleby,74,55.83,91,163
86,T86,T86,Bob Tway,103,55.83,134,240
87,88,88,Fred Funk,65,55.75,63,113
88,89,89,Stephen Ames,81,55.56,80,144
89,90,90,Cameron Beckman,96,55.5,106,191
90,91,91,Tommy Armour III,81,55.47,76,137
91,92,92,Camilo Villegas,82,55.43,97,175
92,93,93,Craig Kanada,109,55.42,133,240
93,94,94,Joey Sindelar,75,55.41,82,148
