,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Rory Sabbatini,81,75.0,39,52
1,2,2,Jonathan Byrd,73,73.08,38,52
2,3,3,Tim Clark,66,72.88,43,59
3,4,4,Tiger Woods,63,72.73,24,33
4,5,5,Bryce Molder,56,71.43,25,35
5,6,6,José Coceres,50,70.27,26,37
6,7,7,Chris Riley,59,69.44,25,36
7,8,8,Rod Pampling,92,69.23,45,65
8,9,9,Geoff Ogilvy,84,68.97,40,58
9,10,10,Stuart Appleby,74,68.09,32,47
10,11,11,John Rollins,102,67.95,53,78
11,12,12,Luke Donald,69,67.86,38,56
12,13,13,K.J. Choi,87,67.14,47,70
13,T14,T14,Jason Dufner,100,66.67,44,66
14,T14,T14,Craig Kanada,109,66.67,54,81
15,T14,T14,Kevin Na,84,66.67,48,72
16,17,17,Steve Elkington,87,66.07,37,56
17,18,18,Charles Howell III,89,66.0,33,50
18,19,19,Justin Leonard,95,65.57,40,61
19,T20,T20,Alex Cejka,80,65.52,38,58
20,T20,T20,Justin Rose,63,65.52,19,29
21,T22,T22,Marco Dawson,73,65.38,34,52
22,T22,T22,Mike Weir,82,65.38,34,52
23,24,24,Jeff Overton,60,63.89,23,36
24,25,25,Craig Barlow,52,63.83,30,47
25,26,26,Steve Marino,106,63.29,50,79
26,27,27,Steve Wheatcroft,73,63.27,31,49
27,28,28,Fred Funk,65,63.04,29,46
28,29,29,Bob Heintz,85,62.9,39,62
29,30,30,Tim Petrovic,106,62.75,64,102
30,31,31,Aaron Baddeley,83,62.65,52,83
31,T32,T32,Doug LaBelle II,104,62.34,48,77
32,T32,T32,Bubba Watson,80,62.34,48,77
33,34,34,Matt Kuchar,85,62.07,36,58
34,T35,T35,Glen Day,85,61.9,39,63
35,T35,T35,Ryan Palmer,91,61.9,39,63
36,37,37,Tom Pernice Jr.,104,61.84,47,76
37,38,38,Mark Wilson,87,61.82,34,55
38,39,39,Jaco Van Zyl,51,61.54,24,39
39,40,40,Henrik Stenson,52,61.29,19,31
40,41,41,Andrew Buckle,77,61.02,36,59
41,T42,T42,Paul Gow,70,60.87,28,46
42,T42,T42,Paul Goydos,60,60.87,28,46
43,T44,T44,Steve Flesch,100,60.38,32,53
44,T44,T44,Kirk Triplett,77,60.38,32,53
45,T46,T46,Michael Allen,74,60.0,33,55
46,T46,T46,Freddie Jacobson,70,60.0,33,55
47,T48,T48,Ken Duke,112,59.74,46,77
48,T48,T48,Ryuji Imada,104,59.74,46,77
49,50,50,Lee Janzen,66,59.65,34,57
50,51,51,Sergio Garcia,68,59.57,28,47
51,52,52,Nathan Green,103,59.52,50,84
52,T53,T53,Trevor Immelman,74,59.46,22,37
53,T53,T53,Ian Poulter,63,59.46,22,37
54,55,55,John Merrick,92,58.82,40,68
55,T56,T56,Rich Barcelo,80,58.46,38,65
56,T56,T56,Charlie Wi,90,58.46,38,65
57,58,58,Mark Brooks,53,58.33,14,24
58,59,59,José María Olazábal,52,58.06,18,31
59,60,60,Shigeki Maruyama,84,57.89,44,76
60,61,61,Jim Furyk,84,57.78,26,45
61,62,62,Billy Mayfair,98,57.69,45,78
62,63,63,Adam Scott,69,57.63,34,59
63,64,64,George McNeill,95,57.58,38,66
64,65,65,Brian Davis,101,57.53,42,73
65,T66,T66,Craig Lile,77,57.5,23,40
66,T66,T66,Phil Mickelson,73,57.5,23,40
67,68,68,Brian Gay,107,57.47,50,87
68,69,69,Jason Gore,86,57.32,47,82
69,T70,T70,Steve Allan,63,57.14,28,49
70,T70,T70,Jeff Maggert,79,57.14,32,56
71,T70,T70,Michael Sim,52,57.14,16,28
72,73,73,Ted Purdy,102,56.94,41,72
73,74,74,Dicky Pride,71,56.82,25,44
74,75,75,Vijay Singh,102,56.63,47,83
75,76,76,Heath Slocum,101,56.58,43,76
76,77,77,Anders Hansen,55,56.52,13,23
77,78,78,Cliff Kresge,107,56.44,57,101
78,79,79,Scott Gutschewski,67,56.41,22,39
79,80,80,Anthony Kim,93,56.36,31,55
80,81,81,Tom Lehman,62,56.25,18,32
81,82,82,Ernie Els,59,56.1,23,41
82,83,83,Brett Wetterich,88,55.93,33,59
83,T84,T84,Rich Beem,89,55.56,25,45
84,T84,T84,Mark Calcavecchia,93,55.56,35,63
85,86,86,Briny Baird,115,55.29,47,85
86,87,87,Jay Williamson,50,55.26,21,38
87,T88,T88,Bill Haas,93,55.17,48,87
88,T88,T88,Pat Perez,84,55.17,32,58
89,90,90,Ryan Moore,92,54.93,39,71
90,91,91,Stephen Ames,81,54.84,34,62
91,T92,T92,Todd Hamilton,76,54.55,36,66
92,T92,T92,David Toms,80,54.55,24,44
93,T92,T92,D.J. Trahan,99,54.55,42,77
94,95,95,Vaughn Taylor,91,54.24,32,59
95,T96,T96,J.P. Hayes,89,54.17,39,72
96,T96,T96,Steve Stricker,81,54.17,26,48
97,T96,T96,Scott Verplank,82,54.17,26,48
98,99,99,Sean O'Hair,98,54.05,40,74
99,100,100,Stephen Leaney,82,54.0,27,50
100,101,101,Robert Gamez,88,53.73,36,67
101,102,102,Brandt Snedeker,105,53.49,46,86
102,103,103,Kenny Perry,83,53.45,31,58
103,104,104,Tag Ridings,52,53.33,24,45
104,T105,T105,Woody Austin,95,53.25,41,77
105,T105,T105,Bob Estes,88,53.25,41,77
106,107,107,Chris Stroud,66,53.19,25,47
107,T108,T108,Jarrod Lyle,77,53.06,26,49
108,T108,T108,Arron Oberholser,69,53.06,26,49
109,110,110,Gavin Coles,87,53.03,35,66
110,111,111,Cameron Beckman,96,52.94,36,68
111,112,112,Daniel Chopra,106,52.75,48,91
112,T113,T113,Billy Andrade,88,52.63,40,76
113,T113,T113,Michael Putnam,96,52.63,30,57
114,115,115,Mark Hensby,81,52.05,38,73
115,116,116,Craig Bowden,78,52.0,26,50
116,117,117,Johnson Wagner,97,51.95,40,77
117,118,118,Jeff Quinney,95,51.9,41,79
118,119,119,Tripp Isenhour,86,51.85,28,54
119,120,120,Zach Johnson,76,51.79,29,56
120,121,121,Eric Axley,107,51.72,45,87
121,122,122,Mathias Grönberg,95,51.52,51,99
122,123,123,Jeff Brehaut,59,51.43,18,35
123,T124,T124,Brian Bateman,55,51.28,20,39
124,T124,T124,John Daly,59,51.28,20,39
125,T124,T124,Paul Stankowski,52,51.28,20,39
126,127,127,Dean Wilson,92,51.11,23,45
127,128,128,J.B. Holmes,71,51.02,25,49
128,129,129,Chris DiMarco,79,50.85,30,59
129,130,130,Troy Matteson,87,50.82,31,61
130,131,131,Daisuke Maruyama,86,50.75,34,67
131,132,132,John Senden,97,50.72,35,69
132,T133,T133,Tommy Armour III,81,50.0,20,40
133,T133,T133,Michael Boyd,61,50.0,23,46
134,T133,T133,Ben Curtis,80,50.0,37,74
135,T133,T133,Jesper Parnevik,88,50.0,28,56
136,T133,T133,Corey Pavin,81,50.0,28,56
137,T133,T133,Kevin Sutherland,85,50.0,25,50
138,T133,T133,Duffy Waldorf,69,50.0,23,46
139,140,140,Carl Pettersson,111,49.45,45,91
140,141,141,Joe Ogilvie,102,49.4,41,83
141,142,142,Hunter Mahan,91,49.3,35,71
142,143,143,Peter Lonard,85,49.09,27,55
143,144,144,Chris Couch,76,48.68,37,76
144,145,145,John Mallinger,96,48.35,44,91
145,T146,T146,Jason Bohn,57,48.33,29,60
146,T146,T146,Frank Lickliter II,95,48.33,29,60
147,T146,T146,Camilo Villegas,82,48.33,29,60
148,149,149,Chad Campbell,96,48.28,28,58
149,150,150,Jeff Gove,103,48.0,36,75
150,151,151,Harrison Frazar,88,47.69,31,65
151,152,152,Parker McLachlin,83,47.27,26,55
152,153,153,Kyle Reifers,71,47.17,25,53
153,T154,T154,D.J. Brigman,67,46.67,21,45
154,T154,T154,Stewart Cink,91,46.67,28,60
155,156,156,Brett Quigley,79,46.55,27,58
156,T157,T157,Tim Herron,98,46.43,26,56
157,T157,T157,Davis Love III,66,46.43,26,56
158,159,159,Will MacKenzie,100,46.34,38,82
159,160,160,Jason Schultz,63,46.15,24,52
160,161,161,Jerry Kelly,101,45.95,34,74
161,162,162,Boo Weekley,101,45.78,38,83
162,163,163,Charles Warren,101,45.65,42,92
163,164,164,Mathew Goggin,97,45.45,30,66
164,165,165,Kent Jones,97,45.21,33,73
165,166,166,Greg Owen,81,45.16,28,62
166,167,167,Lucas Glover,98,44.64,25,56
167,T168,T168,Retief Goosen,50,44.44,16,36
168,T168,T168,Charley Hoffman,97,44.44,32,72
169,170,170,Richard Johnson,93,44.3,35,79
170,171,171,J.J. Henry,86,44.19,19,43
171,172,172,Robert Allenby,90,44.0,22,50
172,173,173,Bart Bryant,87,43.64,24,55
173,174,174,Bo Van Pelt,104,43.59,34,78
174,175,175,Steve Lowery,74,43.33,26,60
175,176,176,Darron Stiles,65,43.14,22,51
176,T177,T177,Bubba Dickerson,51,42.86,15,35
177,T177,T177,Nick O'Hern,72,42.86,24,56
178,179,179,Jeff Sluman,60,42.59,23,54
179,180,180,Jim Rutledge,59,41.46,17,41
180,181,181,Bob Tway,103,41.03,32,78
181,182,182,Ryan Armour,107,40.91,27,66
182,183,183,Shaun Micheel,91,40.63,13,32
183,184,184,Joe Durant,88,40.35,23,57
184,185,185,Tom Johnson,74,40.32,25,62
185,186,186,Rocco Mediate,72,40.0,20,50
186,187,187,Kevin Stadler,95,39.44,28,71
187,188,188,Joey Sindelar,75,39.34,24,61
