,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,1,1,Ian Poulter,63,0.653,25.454,39
1,2,2,Chris Riley,59,0.644,32.828,51
2,3,3,K.J. Choi,87,0.632,42.98,68
3,4,4,Aaron Baddeley,83,0.535,35.335,66
4,5,5,Phil Mickelson,73,0.499,25.95,52
5,6,6,Mike Weir,82,0.498,29.855,60
6,7,7,Stuart Appleby,74,0.493,28.596999999999998,58
7,8,8,Jim Furyk,84,0.413,27.287,66
8,9,9,Ryuji Imada,104,0.39799999999999996,35.461999999999996,89
9,10,10,Arron Oberholser,69,0.396,21.005,53
10,11,11,Matt Kuchar,85,0.371,26.346,71
11,12,12,Sergio Garcia,68,0.36,19.823,55
12,T13,T13,J.P. Hayes,89,0.35700000000000004,28.538,80
13,T13,T13,Kevin Na,84,0.35700000000000004,27.884,78
14,15,15,Vijay Singh,102,0.355,29.084,82
15,16,16,Tom Pernice Jr.,104,0.354,29.730999999999998,84
16,17,17,Steve Stricker,81,0.35100000000000003,22.828000000000003,65
17,18,18,Luke Donald,69,0.342,17.104,50
18,19,19,Alex Cejka,80,0.34,25.183000000000003,74
19,20,20,Shigeki Maruyama,84,0.331,26.479,80
20,21,21,Jason Schultz,63,0.324,17.183,53
21,22,22,Rory Sabbatini,81,0.311,19.611,63
22,T23,T23,Marco Dawson,73,0.301,19.577,65
23,T23,T23,Steve Elkington,87,0.301,22.006,73
24,T23,T23,José María Olazábal,52,0.301,11.142999999999999,37
25,26,26,Justin Leonard,95,0.293,24.019000000000002,82
26,27,27,Nick O'Hern,72,0.28800000000000003,15.857000000000001,55
27,28,28,Brian Davis,101,0.284,24.99,88
28,29,29,Jonathan Byrd,73,0.27399999999999997,16.965999999999998,62
29,30,30,Mark Wilson,87,0.27,19.742,73
30,31,31,Craig Kanada,109,0.268,25.221999999999998,94
31,32,32,Paul Gow,70,0.256,14.602,57
32,33,33,Justin Rose,63,0.255,9.935,39
33,34,34,Tim Petrovic,106,0.25,23.785,95
34,35,35,Corey Pavin,81,0.24600000000000002,17.480999999999998,71
35,36,36,Tim Herron,98,0.23800000000000002,19.48,82
36,T37,T37,Brian Gay,107,0.237,22.944000000000003,97
37,T37,T37,Bob Heintz,85,0.237,17.055999999999997,72
38,T37,T37,Kevin Sutherland,85,0.237,16.364,69
39,40,40,Padraig Harrington,64,0.235,10.794,46
40,T41,T41,Bob Estes,88,0.23199999999999998,18.538,80
41,T41,T41,Charlie Wi,90,0.23199999999999998,19.284000000000002,83
42,43,43,Mark Hensby,81,0.209,15.058,72
43,T44,T44,Joe Ogilvie,102,0.2,17.438,87
44,T44,T44,Geoff Ogilvy,84,0.2,12.77,64
45,46,46,Doug LaBelle II,104,0.19899999999999998,18.065,91
46,47,47,Michael Allen,74,0.196,12.54,64
47,48,48,Mark Brooks,53,0.193,7.919,41
48,49,49,Craig Barlow,52,0.18899999999999997,8.33,44
49,T50,T50,Steve Flesch,100,0.185,16.652,90
50,T50,T50,Carl Pettersson,111,0.185,16.975,92
51,T50,T50,Scott Verplank,82,0.185,10.894,59
52,53,53,Nathan Green,103,0.17300000000000001,15.091,87
53,54,54,John Rollins,102,0.165,13.867,84
54,55,55,Daniel Chopra,106,0.16399999999999998,15.597999999999999,95
55,56,56,Ernie Els,59,0.163,7.184,44
56,57,57,Tom Lehman,62,0.16,7.852,49
57,58,58,Bryce Molder,56,0.159,7.785,49
58,T59,T59,Jason Dufner,100,0.158,13.71,87
59,T59,T59,Kent Jones,97,0.158,13.892999999999999,88
60,61,61,Chris Stroud,66,0.157,8.795,56
61,62,62,Bo Van Pelt,104,0.153,14.86,97
62,63,63,Tim Clark,66,0.151,8.026,53
63,64,64,Rod Pampling,92,0.14800000000000002,10.933,74
64,65,65,Freddie Jacobson,70,0.145,9.863,68
65,66,66,John Merrick,92,0.142,11.509,81
66,67,67,Billy Mayfair,98,0.141,11.714,83
67,68,68,Glen Day,85,0.139,10.435,75
68,69,69,Michael Boyd,61,0.138,7.197,52
69,70,70,Lee Janzen,66,0.131,6.811,52
70,71,71,Jeff Brehaut,59,0.129,6.335,49
71,72,72,Kirk Triplett,77,0.128,8.716000000000001,68
72,73,73,Jarrod Lyle,77,0.126,8.417,67
73,74,74,Heath Slocum,101,0.115,10.707,93
74,75,75,Paul Stankowski,52,0.113,4.729,42
75,76,76,Michael Sim,52,0.10800000000000001,5.404,50
76,77,77,Mark Calcavecchia,93,0.107,7.792000000000001,73
77,78,78,Dean Wilson,92,0.105,7.9,75
78,79,79,Parker McLachlin,83,0.10400000000000001,7.581,73
79,80,80,Tiger Woods,63,0.10300000000000001,4.435,43
80,81,81,David Toms,80,0.102,6.454,63
81,82,82,Jerry Kelly,101,0.1,7.537000000000001,75
82,83,83,Charles Howell III,89,0.099,6.521,66
83,84,84,Nick Watney,87,0.09300000000000001,6.48,70
84,85,85,Brandt Snedeker,105,0.092,7.915,86
85,86,86,Retief Goosen,50,0.08800000000000001,2.9930000000000003,34
86,87,87,Andrew Buckle,77,0.077,5.159,67
87,88,88,Jeff Gove,103,0.073,6.837000000000001,94
88,89,89,John Mallinger,96,0.068,5.9079999999999995,87
89,90,90,Jeff Sluman,60,0.067,2.799,42
90,91,91,Pat Perez,84,0.065,4.221,65
91,92,92,Darron Stiles,65,0.063,3.3280000000000003,53
92,93,93,Kenny Perry,83,0.059000000000000004,4.456,75
93,94,94,Trevor Immelman,74,0.055999999999999994,3.002,54
94,95,95,Sean O'Hair,98,0.048,3.9610000000000003,83
95,96,96,Dicky Pride,71,0.036000000000000004,2.222,61
96,97,97,Shaun Micheel,91,0.027000000000000003,1.913,70
97,98,98,Craig Lile,77,0.024,1.665,69
98,99,99,Ben Curtis,80,0.023,1.464,64
99,100,100,Rocco Mediate,72,0.022000000000000002,1.4809999999999999,67
100,T101,T101,Harrison Frazar,88,0.02,1.4580000000000002,73
101,T101,T101,Brett Quigley,79,0.02,1.254,63
102,103,103,Gavin Coles,87,0.018000000000000002,1.371,77
103,T104,T104,Cameron Beckman,96,0.016,1.3969999999999998,85
104,T104,T104,Anthony Kim,93,0.016,1.305,80
105,106,106,Bart Bryant,87,0.008,0.56,74
106,T107,T107,Briny Baird,115,0.001,0.14300000000000002,105
107,T107,T107,Stephen Leaney,82,0.001,0.081,74
108,109,109,Craig Bowden,78,-0.003,-0.185,67
109,110,110,Jeff Overton,60,-0.008,-0.408,54
110,111,111,Vaughn Taylor,91,-0.01,-0.705,72
111,T112,T112,Chris DiMarco,79,-0.023,-1.4669999999999999,63
112,T112,T112,Anders Hansen,55,-0.023,-0.787,34
113,T112,T112,John Senden,97,-0.023,-1.952,84
114,T115,T115,Tripp Isenhour,86,-0.031,-2.233,73
115,T115,T115,Tom Johnson,74,-0.031,-1.946,63
116,117,117,Cliff Kresge,107,-0.038,-3.793,100
117,118,118,Woody Austin,95,-0.039,-3.281,84
118,119,119,Steve Marino,106,-0.040999999999999995,-3.752,91
119,T120,T120,Richard Johnson,93,-0.043,-3.64,84
120,T120,T120,Steve Lowery,74,-0.043,-2.9530000000000003,69
121,122,122,Bob Tway,103,-0.044000000000000004,-3.832,88
122,123,123,Troy Matteson,87,-0.047,-3.602,76
123,124,124,Will MacKenzie,100,-0.049,-4.497,91
124,125,125,Steve Allan,63,-0.052000000000000005,-2.853,55
125,126,126,Stewart Cink,91,-0.062,-4.4910000000000005,72
126,127,127,Jesper Parnevik,88,-0.064,-4.779,75
127,128,128,Peter Lonard,85,-0.066,-5.001,76
128,129,129,Camilo Villegas,82,-0.068,-4.718999999999999,69
129,130,130,Mathew Goggin,97,-0.071,-6.145,87
130,131,131,Lucas Glover,98,-0.07400000000000001,-5.778,78
131,132,132,Rich Barcelo,80,-0.078,-5.472,70
132,133,133,Billy Andrade,88,-0.079,-6.2379999999999995,79
133,T134,T134,Bill Haas,93,-0.081,-6.632999999999999,82
134,T134,T134,Adam Scott,69,-0.081,-4.3919999999999995,54
135,136,136,Jeff Quinney,95,-0.087,-7.4879999999999995,86
136,137,137,Ted Purdy,102,-0.08900000000000001,-7.718999999999999,87
137,138,138,J.J. Henry,86,-0.096,-6.534,68
138,139,139,Chad Campbell,96,-0.099,-7.252000000000001,73
139,140,140,Johnson Wagner,97,-0.105,-9.014,86
140,141,141,Rich Beem,89,-0.107,-7.479,70
141,142,142,José Coceres,50,-0.11,-4.62,42
142,143,143,Fred Funk,65,-0.11599999999999999,-6.148,53
143,144,144,Jason Bohn,57,-0.122,-6.473,53
144,T145,T145,D.J. Brigman,67,-0.12300000000000001,-6.621,54
145,T145,T145,Ken Duke,112,-0.12300000000000001,-11.699000000000002,95
146,147,147,Ryan Moore,92,-0.128,-9.613,75
147,148,148,Eric Axley,107,-0.131,-12.344000000000001,94
148,149,149,Bubba Dickerson,51,-0.136,-5.847,43
149,T150,T150,Paul Goydos,60,-0.139,-6.528,47
150,T150,T150,Jim Rutledge,59,-0.139,-6.395,46
151,152,152,Jason Gore,86,-0.145,-11.287,78
152,153,153,Michael Putnam,96,-0.146,-11.642000000000001,80
153,154,154,Jeff Maggert,79,-0.151,-11.762,78
154,155,155,J.B. Holmes,71,-0.159,-10.161,64
