,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Rory Sabbatini,81,72.82,75,103
1,2,2,Jeff Overton,60,72.15,57,79
2,3,3,Ian Poulter,63,70.49,43,61
3,4,4,Padraig Harrington,64,67.07,55,82
4,5,5,Chris Stroud,66,65.48,55,84
5,6,6,Gavin Coles,87,64.96,89,137
6,7,7,Alex Cejka,80,64.86,72,111
7,8,8,Camilo Villegas,82,64.52,60,93
8,9,9,Steve Allan,63,64.44,58,90
9,10,10,Jarrod Lyle,77,64.34,83,129
10,11,11,Mark Brooks,53,64.29,54,84
11,12,12,Peter Lonard,85,64.24,97,151
12,13,13,D.J. Trahan,99,64.12,84,131
13,14,14,Anders Hansen,55,64.06,41,64
14,15,15,Vijay Singh,102,64.04,57,89
15,16,16,Tim Petrovic,106,63.84,113,177
16,T17,T17,Matt Kuchar,85,63.64,91,143
17,T17,T17,Ryan Moore,92,63.64,84,132
18,19,19,José Coceres,50,63.51,47,74
19,20,20,Scott Verplank,82,63.44,59,93
20,21,21,Brandt Snedeker,105,63.4,97,153
21,22,22,Woody Austin,95,63.27,93,147
22,23,23,Sean O'Hair,98,63.03,75,119
23,24,24,Sergio Garcia,68,62.96,51,81
24,25,25,Luke Donald,69,62.79,54,86
25,26,26,Kevin Na,84,62.69,84,134
26,27,27,Michael Sim,52,62.5,60,96
27,28,28,Steve Elkington,87,62.04,85,137
28,29,29,Parker McLachlin,83,62.0,93,150
29,30,30,Steve Stricker,81,61.9,65,105
30,31,31,Ben Curtis,80,61.87,86,139
31,32,32,Arron Oberholser,69,61.8,55,89
32,33,33,K.J. Choi,87,61.62,61,99
33,34,34,Craig Bowden,78,61.48,75,122
34,35,35,Boo Weekley,101,61.26,68,111
35,36,36,Brian Gay,107,61.24,109,178
36,37,37,Mark Hensby,81,61.19,82,134
37,38,38,Stephen Leaney,82,61.16,74,121
38,39,39,David Toms,80,61.11,77,126
39,40,40,Craig Kanada,109,60.92,106,174
40,41,41,Lucas Glover,98,60.83,73,120
41,42,42,Brian Bateman,55,60.78,62,102
42,43,43,Mathias Grönberg,95,60.69,88,145
43,44,44,Aaron Baddeley,83,60.5,72,119
44,45,45,Briny Baird,115,60.45,107,177
45,46,46,Jerry Kelly,101,60.0,69,115
46,47,47,Ryuji Imada,104,59.89,109,182
47,48,48,Johnson Wagner,97,59.7,80,134
48,49,49,Mathew Goggin,97,59.31,86,145
49,50,50,Mark Wilson,87,58.96,79,134
50,51,51,Geoff Ogilvy,84,58.65,61,104
51,52,52,Kent Jones,97,58.6,109,186
52,53,53,Paul Goydos,60,58.46,38,65
53,T54,T54,Troy Matteson,87,58.33,70,120
54,T54,T54,Billy Mayfair,98,58.33,77,132
55,56,56,Doug LaBelle II,104,58.22,85,146
56,57,57,Daniel Chopra,106,58.13,93,160
57,T58,T58,Steve Marino,106,57.96,91,157
58,T58,T58,Bob Tway,103,57.96,91,157
59,60,60,Jesper Parnevik,88,57.85,70,121
60,61,61,Paul Stankowski,52,57.47,50,87
61,T62,T62,Will MacKenzie,100,57.35,78,136
62,T62,T62,Kevin Sutherland,85,57.35,78,136
63,T64,T64,J.P. Hayes,89,57.14,92,161
64,T64,T64,Justin Rose,63,57.14,32,56
65,T64,T64,Jim Rutledge,59,57.14,44,77
66,67,67,Chris Riley,59,57.02,65,114
67,68,68,Nathan Green,103,56.94,82,144
68,69,69,Chris DiMarco,79,56.92,74,130
69,70,70,Eric Axley,107,56.88,124,218
70,71,71,Jason Bohn,57,56.86,58,102
71,72,72,Shigeki Maruyama,84,56.85,83,146
72,73,73,Michael Boyd,61,56.84,54,95
73,74,74,Harrison Frazar,88,56.69,72,127
74,75,75,Ernie Els,59,56.67,34,60
75,T76,T76,Bart Bryant,87,56.62,77,136
76,T76,T76,John Mallinger,96,56.62,77,136
77,T78,T78,George McNeill,95,56.6,90,159
78,T78,T78,Shaun Micheel,91,56.6,60,106
79,80,80,Chris Couch,76,56.59,73,129
80,81,81,Carl Pettersson,111,56.52,91,161
81,T82,T82,Tom Byrum,50,56.25,45,80
82,T82,T82,Cliff Kresge,107,56.25,108,192
83,T82,T82,Kenny Perry,83,56.25,72,128
84,T82,T82,Dicky Pride,71,56.25,63,112
85,86,86,Bob Estes,88,56.11,101,180
86,87,87,Matt Hendrix,63,56.07,60,107
87,88,88,Stephen Ames,81,56.04,51,91
88,89,89,Anthony Kim,93,56.0,70,125
89,90,90,José María Olazábal,52,55.95,47,84
90,91,91,Corey Pavin,81,55.91,71,127
91,92,92,Phil Mickelson,73,55.84,43,77
92,T93,T93,Ken Duke,112,55.56,75,135
93,T93,T93,Bill Haas,93,55.56,70,126
94,95,95,Bryce Molder,56,55.45,56,101
95,96,96,Brian Davis,101,55.43,97,175
96,T97,T97,Steve Flesch,100,55.41,87,157
97,T97,T97,Heath Slocum,101,55.41,87,157
98,99,99,Charlie Wi,90,55.32,78,141
99,100,100,Jeff Maggert,79,55.28,68,123
100,101,101,Bubba Watson,80,55.2,69,125
101,102,102,Tom Johnson,74,55.17,64,116
102,103,103,Craig Lile,77,55.04,71,129
103,104,104,Rich Barcelo,80,54.95,61,111
104,105,105,Jim Furyk,84,54.88,45,82
105,106,106,Steve Lowery,74,54.81,57,104
106,107,107,Jeff Brehaut,59,54.76,46,84
107,108,108,Tom Pernice Jr.,104,54.73,81,148
108,T109,T109,Jason Dufner,100,54.66,88,161
109,T109,T109,Jeff Gove,103,54.66,88,161
110,111,111,Zach Johnson,76,54.65,47,86
111,112,112,Marco Dawson,73,54.62,71,130
112,T113,T113,Glen Day,85,54.55,72,132
113,T113,T113,Bob Heintz,85,54.55,72,132
114,T113,T113,Tim Herron,98,54.55,78,143
115,116,116,Stewart Cink,91,54.47,67,123
116,117,117,Nick Watney,87,54.44,49,90
117,118,118,Brett Quigley,79,54.37,56,103
118,119,119,Charles Warren,101,54.29,76,140
119,120,120,Tim Clark,66,54.22,45,83
120,121,121,Mark Calcavecchia,93,54.17,52,96
121,122,122,Trevor Immelman,74,54.12,46,85
122,T123,T123,Joe Durant,88,54.08,53,98
123,T123,T123,Darron Stiles,65,54.08,53,98
124,T123,T123,Mike Weir,82,54.08,53,98
125,126,126,Robert Allenby,90,54.0,54,100
126,T127,T127,Lee Janzen,66,53.85,56,104
127,T127,T127,Jaco Van Zyl,51,53.85,42,78
128,129,129,Justin Leonard,95,53.5,84,157
129,130,130,Rich Beem,89,53.39,63,118
130,131,131,Jay Williamson,50,53.25,41,77
131,132,132,Jason Schultz,63,53.06,52,98
132,133,133,Ryan Palmer,91,52.99,71,134
133,134,134,Bo Van Pelt,104,52.94,90,170
134,135,135,Joe Ogilvie,102,52.87,83,157
135,136,136,Tiger Woods,63,52.83,28,53
136,137,137,John Merrick,92,52.52,73,139
137,138,138,Steve Wheatcroft,73,52.5,63,120
138,139,139,Chris Tidland,59,52.48,53,101
139,140,140,Andrew Buckle,77,52.38,66,126
140,141,141,Hunter Mahan,91,52.31,68,130
141,T142,T142,Charley Hoffman,97,52.17,72,138
142,T142,T142,Rod Pampling,92,52.17,48,92
143,T142,T142,John Rollins,102,52.17,72,138
