,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Tim Clark,66,75.32,58,77
1,2,2,Stuart Appleby,74,65.33,49,75
2,3,3,Tiger Woods,63,65.22,30,46
3,4,4,Geoff Ogilvy,84,64.86,48,74
4,5,5,Chris Riley,59,64.79,46,71
5,T6,T6,Charles Howell III,89,63.64,56,88
6,T6,T6,Justin Rose,63,63.64,35,55
7,8,8,Dicky Pride,71,63.41,52,82
8,9,9,Ernie Els,59,62.5,35,56
9,10,10,Jonathan Byrd,73,61.9,52,84
10,11,11,Rory Sabbatini,81,61.73,50,81
11,12,12,José Coceres,50,61.64,45,73
12,13,13,Luke Donald,69,61.43,43,70
13,14,14,Marco Dawson,73,61.33,46,75
14,T15,T15,Sergio Garcia,68,61.11,33,54
15,T15,T15,Mike Weir,82,61.11,44,72
16,17,17,Craig Barlow,52,61.02,36,59
17,18,18,Anthony Kim,93,60.82,59,97
18,19,19,Scott Verplank,82,60.71,51,84
19,20,20,Bob Heintz,85,60.58,63,104
20,21,21,Alex Cejka,80,60.49,49,81
21,22,22,Andrew Buckle,77,60.47,52,86
22,23,23,Matt Kuchar,85,60.42,58,96
23,T24,T24,Fred Funk,65,60.0,48,80
24,T24,T24,Pat Perez,84,60.0,51,85
25,T26,T26,K.J. Choi,87,59.78,55,92
26,T26,T26,Rod Pampling,92,59.78,55,92
27,28,28,John Rollins,102,59.63,65,109
28,29,29,Henrik Stenson,52,59.57,28,47
29,30,30,Michael Sim,52,59.52,25,42
30,31,31,Ken Duke,112,59.46,66,111
31,32,32,Jim Furyk,84,59.09,39,66
32,33,33,Aaron Baddeley,83,59.05,62,105
33,34,34,Phil Mickelson,73,59.02,36,61
34,35,35,Charlie Wi,90,58.76,57,97
35,36,36,Arron Oberholser,69,58.73,37,63
36,37,37,Stephen Ames,81,58.67,44,75
37,38,38,Justin Leonard,95,58.43,52,89
38,39,39,Paul Gow,70,58.23,46,79
39,40,40,Glen Day,85,57.84,59,102
40,41,41,George McNeill,95,57.61,53,92
41,42,42,Tom Pernice Jr.,104,57.38,70,122
42,43,43,Mark Wilson,87,57.29,55,96
43,44,44,Briny Baird,115,57.28,59,103
44,45,45,Brian Davis,101,57.01,61,107
45,46,46,Ian Poulter,63,56.94,41,72
46,47,47,Jason Dufner,100,56.57,56,99
47,T48,T48,Mark Brooks,53,56.52,26,46
48,T48,T48,Kevin Na,84,56.52,65,115
49,50,50,David Toms,80,56.45,35,62
50,51,51,Jason Gore,86,56.44,57,101
51,52,52,Craig Lile,77,56.41,44,78
52,53,53,Mark Hensby,81,55.96,61,109
53,54,54,Trevor Immelman,74,55.93,33,59
54,T55,T55,Doug LaBelle II,104,55.91,71,127
55,T55,T55,Brandt Snedeker,105,55.91,71,127
56,57,57,Billy Mayfair,98,55.77,58,104
57,58,58,Cliff Kresge,107,55.71,78,140
58,59,59,Craig Kanada,109,55.65,69,124
59,60,60,Mark Calcavecchia,93,55.56,55,99
60,61,61,Steve Wheatcroft,73,55.41,41,74
61,62,62,Lee Janzen,66,55.32,52,94
62,T63,T63,Daniel Chopra,106,55.17,64,116
63,T63,T63,Brian Gay,107,55.17,80,145
64,65,65,Kirk Triplett,77,55.06,49,89
65,66,66,Steve Flesch,100,55.0,55,100
66,T67,T67,Nathan Green,103,54.93,78,142
67,T67,T67,Bryce Molder,56,54.93,39,71
68,69,69,Ryuji Imada,104,54.92,67,122
69,70,70,Tim Petrovic,106,54.86,79,144
70,T71,T71,Sean O'Hair,98,54.84,51,93
71,T71,T71,Jaco Van Zyl,51,54.84,34,62
72,73,73,Zach Johnson,76,54.55,42,77
73,74,74,Vijay Singh,102,54.39,62,114
74,T75,T75,Gavin Coles,87,54.37,56,103
75,T75,T75,Tripp Isenhour,86,54.37,56,103
76,77,77,Dean Wilson,92,54.05,40,74
77,78,78,Mathew Goggin,97,53.85,56,104
78,79,79,Paul Stankowski,52,53.7,29,54
79,80,80,Billy Andrade,88,53.64,59,110
80,81,81,Shigeki Maruyama,84,53.15,59,111
81,82,82,Freddie Jacobson,70,53.09,43,81
82,83,83,Woody Austin,95,53.04,61,115
83,84,84,Adam Scott,69,52.94,36,68
84,85,85,Ryan Palmer,91,52.75,48,91
85,86,86,J.P. Hayes,89,52.68,59,112
86,T87,T87,Paul Goydos,60,52.58,51,97
87,T87,T87,Ted Purdy,102,52.58,51,97
88,89,89,Bubba Watson,80,52.38,44,84
89,90,90,Steve Elkington,87,52.33,45,86
90,91,91,Corey Pavin,81,52.17,48,92
91,92,92,Stewart Cink,91,52.0,52,100
92,93,93,Vaughn Taylor,91,51.9,41,79
93,94,94,John Mallinger,96,51.72,60,116
94,95,95,Bill Haas,93,51.59,65,126
95,96,96,Steve Marino,106,51.43,54,105
96,T97,T97,Steve Allan,63,51.39,37,72
97,T97,T97,Michael Boyd,61,51.39,37,72
98,99,99,Todd Hamilton,76,51.35,57,111
99,100,100,Jeff Maggert,79,51.28,40,78
100,101,101,Jeff Sluman,60,51.25,41,80
101,102,102,Tim Herron,98,51.06,48,94
102,103,103,Eric Axley,107,50.78,65,128
103,104,104,Steve Stricker,81,50.67,38,75
104,105,105,Camilo Villegas,82,50.59,43,85
105,106,106,Craig Bowden,78,50.5,51,101
106,T107,T107,Cameron Beckman,96,50.0,43,86
107,T107,T107,D.J. Brigman,67,50.0,37,74
108,T107,T107,Tom Byrum,50,50.0,26,52
109,T107,T107,Anders Hansen,55,50.0,21,42
110,T107,T107,José María Olazábal,52,50.0,30,60
111,T107,T107,Jeff Overton,60,50.0,28,56
112,T107,T107,Carl Pettersson,111,50.0,64,128
113,T107,T107,Jeff Quinney,95,50.0,54,108
114,T107,T107,Jason Schultz,63,50.0,33,66
115,116,116,Heath Slocum,101,49.56,56,113
116,117,117,Lucas Glover,98,49.41,42,85
117,118,118,J.B. Holmes,71,49.25,33,67
118,119,119,Tag Ridings,52,49.15,29,59
119,120,120,Bubba Dickerson,51,49.09,27,55
120,T121,T121,Ryan Moore,92,49.02,50,102
121,T121,T121,Jay Williamson,50,49.02,25,51
122,123,123,Tom Lehman,62,48.98,24,49
123,124,124,Rich Beem,89,48.75,39,80
124,125,125,Jason Bohn,57,48.72,38,78
125,126,126,Hunter Mahan,91,48.54,50,103
126,127,127,Scott Gutschewski,67,48.39,30,62
127,128,128,Tommy Armour III,81,48.05,37,77
128,129,129,Kyle Reifers,71,48.0,36,75
129,130,130,Brett Wetterich,88,47.83,33,69
130,131,131,Parker McLachlin,83,47.66,51,107
131,132,132,Michael Allen,74,47.37,36,76
132,133,133,D.J. Trahan,99,47.31,44,93
133,134,134,Rocco Mediate,72,47.3,35,74
134,135,135,Peter Lonard,85,47.25,43,91
135,136,136,Jim Rutledge,59,47.14,33,70
136,137,137,Joe Ogilvie,102,46.79,51,109
137,138,138,Boo Weekley,101,46.67,56,120
138,139,139,Jeff Brehaut,59,46.43,26,56
139,T140,T140,Brian Bateman,55,46.3,25,54
140,T140,T140,Bo Van Pelt,104,46.3,50,108
141,142,142,Kevin Stadler,95,46.23,49,106
142,T143,T143,Mathias Grönberg,95,46.15,60,130
143,T143,T143,Troy Matteson,87,46.15,36,78
144,145,145,Richard Johnson,93,46.09,53,115
145,146,146,Will MacKenzie,100,46.02,52,113
146,147,147,John Senden,97,46.0,46,100
147,148,148,Kent Jones,97,45.45,50,110
148,149,149,Bob Estes,88,45.38,54,119
149,150,150,Chris DiMarco,79,45.35,39,86
