,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,1,1,Stewart Cink,91,98.33,59,60
1,2,2,Arron Oberholser,69,96.97,32,33
2,3,3,Chris Tidland,59,96.3,52,54
3,4,4,Jason Bohn,57,95.65,44,46
4,5,5,Aaron Baddeley,83,95.56,43,45
5,T6,T6,Charles Howell III,89,95.08,58,61
6,T6,T6,Matt Kuchar,85,95.08,58,61
7,8,8,Corey Pavin,81,94.9,93,98
8,T9,T9,Craig Barlow,52,94.74,36,38
9,T9,T9,Zach Johnson,76,94.74,54,57
10,11,11,Carl Pettersson,111,94.67,71,75
11,12,12,Chris Riley,59,94.34,50,53
12,13,13,Retief Goosen,50,94.29,33,35
13,14,14,Michael Sim,52,94.23,49,52
14,15,15,Dicky Pride,71,94.2,65,69
15,16,16,Tag Ridings,52,94.0,47,50
16,17,17,Bob Estes,88,93.98,78,83
17,18,18,Brian Bateman,55,93.88,46,49
18,19,19,Steve Lowery,74,93.85,61,65
19,20,20,Jason Schultz,63,93.75,60,64
20,21,21,Tim Clark,66,93.65,59,63
21,22,22,Tom Johnson,74,93.44,57,61
22,23,23,Ryan Moore,92,93.22,55,59
23,24,24,Henrik Stenson,52,93.1,27,29
24,T25,T25,Sergio Garcia,68,92.86,39,42
25,T25,T25,Scott Gutschewski,67,92.86,65,70
26,27,27,Brandt Snedeker,105,92.75,64,69
27,28,28,John Rollins,102,92.65,63,68
28,29,29,Vijay Singh,102,92.31,60,65
29,30,30,Adam Scott,69,92.11,35,38
30,T31,T31,Jerry Kelly,101,91.95,80,87
31,T31,T31,Ted Purdy,102,91.95,80,87
32,33,33,Camilo Villegas,82,91.94,57,62
33,34,34,Mike Weir,82,91.67,66,72
34,35,35,Charlie Wi,90,91.55,65,71
35,36,36,K.J. Choi,87,91.53,54,59
36,37,37,Rich Barcelo,80,91.43,64,70
37,38,38,Geoff Ogilvy,84,91.3,42,46
38,39,39,Troy Matteson,87,91.25,73,80
39,40,40,Sean O'Hair,98,91.14,72,79
40,T41,T41,Bob Heintz,85,91.04,61,67
41,T41,T41,Bubba Watson,80,91.04,61,67
42,43,43,Ryuji Imada,104,91.03,71,78
43,44,44,Joe Ogilvie,102,90.91,90,99
44,45,45,Michael Allen,74,90.74,49,54
45,46,46,Daniel Chopra,106,90.72,88,97
46,T47,T47,Ryan Armour,107,90.48,95,105
47,T47,T47,Nathan Green,103,90.48,76,84
48,T47,T47,Brett Quigley,79,90.48,57,63
49,T50,T50,Steve Flesch,100,90.32,84,93
50,T50,T50,Jim Furyk,84,90.32,56,62
51,T50,T50,Jeff Sluman,60,90.32,28,31
52,53,53,Doug LaBelle II,104,90.27,102,113
53,T54,T54,Tom Byrum,50,90.24,37,41
54,T54,T54,Ernie Els,59,90.24,37,41
55,56,56,Matt Hendrix,63,90.2,46,51
56,57,57,Tommy Armour III,81,90.16,55,61
57,58,58,Eric Axley,107,90.11,82,91
58,59,59,Paul Gow,70,90.0,45,50
59,60,60,Robert Gamez,88,89.89,80,89
60,T61,T61,D.J. Brigman,67,89.8,44,49
61,T61,T61,Bubba Dickerson,51,89.8,44,49
62,T61,T61,Chris Stroud,66,89.8,44,49
63,T61,T61,Bo Van Pelt,104,89.8,88,98
64,T65,T65,Luke Donald,69,89.74,35,39
65,T65,T65,Mathew Goggin,97,89.74,70,78
66,67,67,Stephen Leaney,82,89.71,61,68
67,68,68,Tom Pernice Jr.,104,89.69,87,97
68,69,69,Nick O'Hern,72,89.66,52,58
69,70,70,Greg Owen,81,89.61,69,77
70,71,71,Kevin Sutherland,85,89.55,60,67
71,T72,T72,Trevor Immelman,74,89.47,34,38
72,T72,T72,Anthony Kim,93,89.47,68,76
