,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Fulton Allem,64,2.27,19,838,-0.11
1,2,2,Joe Durant,87,2.48,25,1007,+0.16
2,3,3,Peter Jacobsen,67,2.52,22,873,+0.18
3,4,4,Paul Goydos,66,2.54,21,826,+0.48
4,5,5,Fred Funk,106,2.59,37,1426,+0.24
5,6,6,John Cook,85,2.67,27,1011,E
6,7,7,Luke Donald,106,2.71,36,1326,+0.31
7,8,8,Jeff Maggert,83,2.92,29,993,+0.10
8,9,9,Heath Slocum,96,2.94,32,1090,+0.06
9,T10,T10,Matt Kuchar,82,2.95,28,948,+0.04
10,T10,T10,Billy Mayfair,99,2.95,33,1117,+0.18
11,12,12,Esteban Toledo,106,2.97,39,1314,+0.10
12,13,13,Jim Furyk,88,3.0,30,999,+0.17
13,T14,T14,Glen Day,107,3.02,41,1358,+0.37
14,T14,T14,David Gossett,95,3.02,37,1225,+0.16
15,16,16,Corey Pavin,78,3.05,28,919,+0.25
16,17,17,Kirk Triplett,84,3.1,28,904,-0.07
17,18,18,Frank Nobilo,94,3.17,40,1263,+0.20
18,19,19,Steve Lowery,98,3.23,36,1114,+0.14
19,20,20,Jay Haas,83,3.25,33,1016,+0.33
20,T21,T21,Tommy Armour III,82,3.32,36,1084,-0.11
21,T21,T21,Jim Carter,98,3.32,39,1174,+0.03
22,23,23,Jesper Parnevik,85,3.34,31,927,+0.06
23,24,24,John Daly,62,3.36,22,655,+0.32
24,25,25,Olin Browne,107,3.37,46,1364,+0.11
25,26,26,Bernhard Langer,55,3.38,18,532,E
26,27,27,Lee Porter,91,3.43,39,1136,+0.41
27,28,28,J.P. Hayes,78,3.45,33,956,+0.27
28,29,29,Per-Ulrik Johansson,87,3.46,40,1156,+0.10
29,30,30,Lee Janzen,101,3.5,39,1115,+0.44
30,31,31,Mike Sposa,111,3.57,52,1457,+0.12
31,T32,T32,Fred Couples,64,3.58,26,726,+0.12
32,T32,T32,Hidemichi Tanaka,104,3.58,45,1258,+0.20
33,34,34,Bob Tway,103,3.62,44,1215,+0.27
34,35,35,Stephen Ames,89,3.67,40,1090,+0.03
35,36,36,Pat Bates,94,3.68,45,1223,+0.02
36,37,37,Tom Lehman,78,3.7,29,784,-0.07
37,T38,T38,Briny Baird,110,3.72,54,1452,+0.07
38,T38,T38,Bart Bryant,69,3.72,33,888,+0.06
39,40,40,Duffy Waldorf,90,3.73,42,1127,+0.07
40,T41,T41,David Frost,90,3.75,44,1173,+0.20
41,T41,T41,Justin Leonard,97,3.75,40,1066,+0.18
42,43,43,Neal Lancaster,101,3.79,48,1268,+0.29
43,44,44,Michael Muehr,73,3.81,35,919,+0.34
44,45,45,Glen Hnatiuk,95,3.82,48,1256,+0.13
45,46,46,Dan Forsman,83,3.83,41,1070,+0.02
46,47,47,John Rollins,124,3.84,60,1564,+0.12
47,T48,T48,Bob Burns,99,3.85,49,1272,+0.31
48,T48,T48,Nick Price,69,3.85,28,728,+0.18
49,50,50,Kevin Sutherland,96,3.87,40,1034,+0.10
50,T51,T51,Tom Byrum,77,3.96,38,960,-0.03
51,T51,T51,Blaine McCallister,75,3.96,38,959,+0.26
52,53,53,Scott Verplank,93,3.98,43,1080,+0.21
53,T54,T54,Jay Williamson,91,4.01,48,1196,+0.19
54,T54,T54,Kaname Yokoo,74,4.01,38,947,+0.08
55,56,56,John Riegger,88,4.03,45,1118,+0.07
56,T57,T57,Chris DiMarco,111,4.05,50,1234,+0.10
57,T57,T57,J.L. Lewis,98,4.05,52,1284,+0.27
58,T57,T57,Mike Weir,94,4.05,42,1038,+0.17
59,60,60,Spike McRoy,69,4.09,31,758,+0.35
60,61,61,Tim Clark,76,4.12,36,874,+0.42
61,62,62,Hal Sutton,74,4.2,37,881,-0.03
62,63,63,Gary Nicklaus,66,4.21,36,855,+0.14
63,64,64,Brandel Chamblee,85,4.22,48,1138,+0.21
64,T65,T65,J.J. Henry,112,4.23,60,1418,+0.13
65,T65,T65,Joey Sindelar,104,4.23,54,1278,+0.17
66,67,67,Tiger Woods,69,4.26,30,704,+0.07
67,T68,T68,Notah Begay III,76,4.27,43,1007,+0.14
68,T68,T68,Len Mattiace,106,4.27,55,1288,+0.18
69,T68,T68,David Peoples,105,4.27,60,1405,+0.13
70,71,71,Paul Azinger,69,4.31,32,742,+0.22
71,T72,T72,Steve Flesch,110,4.32,56,1297,+0.27
72,T72,T72,Steve Jones,71,4.32,36,834,+0.11
73,T72,T72,Greg Kraft,86,4.32,48,1112,+0.06
74,75,75,Mark Brooks,97,4.34,49,1129,+0.33
75,76,76,Craig Stadler,72,4.37,34,778,+0.26
76,77,77,Joel Edwards,101,4.38,57,1302,+0.11
77,78,78,John Huston,99,4.4,54,1227,-0.04
78,T79,T79,Donnie Hammond,60,4.42,33,747,+0.27
79,T79,T79,Bob May,91,4.42,52,1176,+0.19
80,T81,T81,Chad Campbell,111,4.43,62,1398,+0.15
81,T81,T81,Scott Hoch,71,4.43,36,812,+0.22
82,T83,T83,Sergio Garcia,79,4.44,35,788,-0.26
83,T83,T83,Mark O'Meara,68,4.44,31,698,+0.16
84,T85,T85,Brad Lardon,59,4.46,33,740,+0.27
85,T85,T85,Kenny Perry,98,4.46,53,1188,+0.11
86,T85,T85,Vijay Singh,102,4.46,50,1120,+0.02
87,88,88,Pete Jordan,78,4.47,46,1029,+0.22
88,89,89,Shigeki Maruyama,87,4.49,43,957,+0.14
89,90,90,Rich Beem,99,4.5,55,1223,+0.24
90,T91,T91,Brandt Jobe,94,4.53,56,1237,+0.14
91,T91,T91,Craig Perks,91,4.53,45,994,+0.29
92,T91,T91,Brian Watts,58,4.53,34,751,+0.06
93,T94,T94,Russ Cochran,68,4.54,41,904,+0.32
94,T94,T94,Skip Kendall,103,4.54,60,1322,+0.17
95,96,96,"David Berganio, Jr.",80,4.55,47,1032,-0.04
96,97,97,David Toms,106,4.56,55,1206,+0.02
97,98,98,Rod Pampling,98,4.57,56,1226,+0.07
98,T99,T99,Brian Henninger,66,4.59,40,871,+0.33
99,T99,T99,Paul Stankowski,100,4.59,56,1219,+0.16
100,T101,T101,Chris Riley,104,4.65,55,1182,+0.24
101,T101,T101,Chris Smith,103,4.65,57,1227,E
102,103,103,Jerry Kelly,99,4.69,55,1172,+0.11
103,T104,T104,Carlos Franco,107,4.7,64,1362,+0.08
104,T104,T104,Matt Peterson,80,4.7,51,1084,+0.18
105,106,106,Paul Claxton,83,4.72,51,1080,+0.06
106,T107,T107,Charles Howell III,118,4.73,62,1310,+0.11
107,T107,T107,Joe Ogilvie,50,4.73,30,634,+0.53
108,109,109,Mike Hulbert,55,4.78,34,711,+0.21
109,110,110,Kenneth Staton,104,4.79,63,1314,+0.30
110,111,111,Robert Damron,85,4.81,55,1143,+0.29
111,112,112,Peter Lonard,93,4.83,53,1098,+0.15
112,113,113,Tim Petrovic,92,4.84,56,1156,+0.21
113,114,114,Brad Faxon,93,4.85,47,970,+0.13
114,115,115,Frank Lickliter II,94,4.87,52,1068,+0.08
115,116,116,Rory Sabbatini,69,4.89,37,757,+0.22
116,117,117,Jay Don Blake,107,4.93,68,1380,+0.26
117,118,118,Woody Austin,102,4.94,63,1275,-0.03
118,119,119,Stuart Appleby,97,4.95,54,1090,+0.11
119,120,120,Ernie Els,68,4.97,32,644,+0.28
120,121,121,Pat Perez,89,4.98,52,1045,+0.10
121,122,122,Billy Andrade,100,5.0,60,1199,+0.22
122,123,123,Ian Leggatt,97,5.01,57,1138,+0.09
123,124,124,Robert Gamez,69,5.02,44,876,-0.02
124,125,125,Rocco Mediate,79,5.03,40,796,+0.23
125,126,126,Andrew Magee,91,5.05,59,1169,+0.08
126,T127,T127,Brian Gay,117,5.08,74,1456,+0.22
127,T127,T127,Shaun Micheel,100,5.08,65,1280,+0.17
128,129,129,Tom Scherrer,98,5.11,65,1271,+0.12
129,T130,T130,Michael Clark II,97,5.13,64,1247,+0.23
130,T130,T130,Brad Elder,76,5.13,49,956,+0.10
131,132,132,Jeff Sluman,118,5.17,73,1412,+0.12
132,133,133,Bradley Hughes,60,5.19,40,770,+0.20
133,134,134,Jonathan Byrd,96,5.21,63,1209,-0.08
