,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,T1,T1,Jim Furyk,88,2.6,26,999,+0.154
1,T1,T1,Bradley Hughes,60,2.6,20,770,+0.650
2,T1,T1,Scott Verplank,93,2.6,28,1080,+0.179
3,4,4,Fred Funk,106,2.7,39,1426,+0.205
4,T5,T5,Robert Allenby,96,2.8,31,1110,+0.032
5,T5,T5,Jeff Brehaut,87,2.8,31,1122,+0.452
6,T5,T5,Donnie Hammond,60,2.8,21,747,+0.238
7,T8,T8,Robin Freeman,79,2.9,29,1014,+0.241
8,T8,T8,Glen Hnatiuk,95,2.9,37,1256,+0.216
9,T8,T8,Hidemichi Tanaka,104,2.9,36,1258,+0.250
10,11,11,Corey Pavin,78,3.0,28,919,+0.286
11,T12,T12,Paul Claxton,83,3.1,34,1080,+0.382
12,T12,T12,Rocco Mediate,79,3.1,25,796,+0.400
13,T12,T12,Boo Weekley,57,3.1,23,732,+0.217
14,T15,T15,Olin Browne,107,3.2,43,1364,+0.070
15,T15,T15,Ben Crane,91,3.2,35,1091,+0.200
16,T15,T15,John Daly,62,3.2,21,655,+0.048
17,T15,T15,Brad Lardon,59,3.2,24,740,+0.208
18,T19,T19,Tripp Isenhour,68,3.3,29,882,E
19,T19,T19,Dicky Pride,51,3.3,21,646,+0.381
20,T19,T19,Scott Simpson,61,3.3,27,824,+0.296
21,T22,T22,Tom Byrum,77,3.4,33,960,+0.242
22,T22,T22,Brian Gay,117,3.4,49,1456,+0.204
23,T22,T22,Paul Goydos,66,3.4,28,826,+0.464
24,T22,T22,Bo Van Pelt,78,3.4,34,988,+0.324
25,T26,T26,"David Berganio, Jr.",80,3.5,36,1032,+0.194
26,T26,T26,Matt Kuchar,82,3.5,33,948,+0.212
27,T28,T28,Jim Carter,98,3.6,42,1174,+0.119
28,T28,T28,Mathew Goggin,64,3.6,29,796,+0.034
29,T28,T28,John Riegger,88,3.6,40,1118,+0.100
30,T31,T31,John Cook,85,3.7,37,1011,+0.270
31,T31,T31,Joe Durant,87,3.7,37,1007,+0.162
32,T31,T31,Pete Jordan,78,3.7,38,1029,+0.395
33,T31,T31,Carl Paulson,84,3.7,41,1116,+0.268
34,T31,T31,Nick Price,69,3.7,27,728,+0.148
35,T36,T36,Craig Barlow,62,3.8,30,780,+0.200
36,T36,T36,Bart Bryant,69,3.8,34,888,+0.235
37,T36,T36,J.J. Henry,112,3.8,54,1418,+0.222
38,T36,T36,Justin Leonard,97,3.8,40,1066,E
39,T36,T36,Kenneth Staton,104,3.8,50,1314,+0.100
40,T36,T36,Phil Tataurangi,88,3.8,40,1053,+0.175
41,T42,T42,Phil Mickelson,97,3.9,41,1062,+0.073
42,T42,T42,Pat Perez,89,3.9,41,1045,+0.220
43,T42,T42,Kirk Triplett,84,3.9,35,904,+0.286
44,T45,T45,Briny Baird,110,4.0,58,1452,+0.069
45,T45,T45,Michael Clark II,97,4.0,50,1247,+0.160
46,T45,T45,José Coceres,51,4.0,22,546,+0.045
47,T45,T45,Luke Donald,106,4.0,53,1326,+0.075
48,T45,T45,Bob Estes,93,4.0,41,1026,+0.073
49,T45,T45,Charles Howell III,118,4.0,52,1310,+0.173
50,T45,T45,Mark O'Meara,68,4.0,28,698,+0.179
51,T45,T45,Loren Roberts,93,4.0,48,1186,+0.188
52,T45,T45,Craig Stadler,72,4.0,31,778,+0.258
53,T45,T45,Jay Williamson,91,4.0,48,1196,+0.229
54,T55,T55,Cameron Beckman,87,4.1,44,1070,+0.205
55,T55,T55,Glen Day,107,4.1,56,1358,+0.232
56,T55,T55,Scott Hoch,71,4.1,33,812,+0.212
57,T55,T55,Peter Jacobsen,67,4.1,36,873,+0.278
58,T55,T55,Billy Mayfair,99,4.1,46,1117,+0.196
59,T55,T55,Shaun Micheel,100,4.1,53,1280,+0.264
60,T55,T55,Matt Peterson,80,4.1,44,1084,+0.386
61,T55,T55,Heath Slocum,96,4.1,45,1090,+0.267
62,T63,T63,Stephen Ames,89,4.2,46,1090,+0.043
63,T63,T63,Jonathan Byrd,96,4.2,51,1209,+0.235
64,T63,T63,Tim Clark,76,4.2,37,874,+0.324
65,T63,T63,Brad Elder,76,4.2,40,956,+0.325
66,T63,T63,Steve Jones,71,4.2,35,834,+0.286
67,T63,T63,Frank Lickliter II,94,4.2,45,1068,+0.178
68,T63,T63,Davis Love III,92,4.2,41,970,+0.171
69,T63,T63,Scott McCarron,106,4.2,47,1122,+0.213
70,T63,T63,Gary Nicklaus,66,4.2,36,855,+0.306
71,T63,T63,Tom Scherrer,98,4.2,54,1271,+0.370
72,T63,T63,Joey Sindelar,104,4.2,54,1278,+0.222
73,T74,T74,Notah Begay III,76,4.3,43,1007,+0.209
74,T74,T74,Mark Calcavecchia,84,4.3,39,909,+0.128
75,T74,T74,Russ Cochran,68,4.3,39,904,+0.154
76,T74,T74,David Frost,90,4.3,51,1173,+0.235
77,T74,T74,Sergio Garcia,79,4.3,34,788,+0.265
78,T74,T74,Brent Geiberger,95,4.3,51,1187,+0.275
79,T74,T74,Miguel Angel Jiménez,60,4.3,27,622,+0.333
80,T74,T74,Franklin Langham,72,4.3,38,876,+0.316
81,T74,T74,Len Mattiace,106,4.3,55,1288,+0.109
82,T74,T74,Bob May,91,4.3,51,1176,+0.275
83,T74,T74,Blaine McCallister,75,4.3,41,959,+0.293
84,T74,T74,Deane Pappas,90,4.3,49,1151,+0.265
85,T74,T74,Steve Pate,64,4.3,33,776,+0.182
86,T74,T74,David Peoples,105,4.3,61,1405,+0.098
87,T74,T74,Kenny Perry,98,4.3,51,1188,+0.098
88,T74,T74,Esteban Toledo,106,4.3,56,1314,+0.232
89,T74,T74,Brett Wetterich,89,4.3,48,1124,+0.292
90,T74,T74,Tiger Woods,69,4.3,30,704,+0.033
91,T74,T74,Kaname Yokoo,74,4.3,41,947,+0.195
92,T93,T93,Jay Don Blake,107,4.4,61,1380,+0.311
93,T93,T93,David Gossett,95,4.4,54,1225,+0.259
94,T95,T95,Chad Campbell,111,4.5,63,1398,+0.206
95,T95,T95,Robert Gamez,69,4.5,39,876,+0.077
96,T95,T95,Paul Stankowski,100,4.5,55,1219,+0.073
97,T98,T98,Paul Azinger,69,4.6,34,742,+0.176
98,T98,T98,Robert Damron,85,4.6,53,1143,+0.245
99,T98,T98,Kent Jones,105,4.6,60,1306,+0.367
100,T98,T98,Vijay Singh,102,4.6,52,1120,+0.115
