,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Joe Durant,87,4.27,43,1007,+0.93
1,2,2,John Cook,85,4.95,50,1011,+1.20
2,T3,T3,Fred Funk,106,5.19,74,1426,+1.49
3,T3,T3,Scott Verplank,93,5.19,56,1080,+1.79
4,5,5,Jeff Maggert,83,5.44,54,993,+1.30
5,6,6,Fulton Allem,64,5.49,46,838,+2.17
6,7,7,Jim Furyk,88,5.81,58,999,+0.69
7,8,8,Heath Slocum,96,5.96,65,1090,+1.08
8,9,9,Corey Pavin,78,5.98,55,919,+2.18
9,10,10,Jesper Parnevik,85,6.04,56,927,+2.86
10,11,11,Fred Couples,64,6.06,44,726,+1.82
11,12,12,Esteban Toledo,106,6.09,80,1314,+2.13
12,13,13,Billy Mayfair,99,6.18,69,1117,+2.17
13,14,14,Tom Lehman,78,6.25,49,784,+0.41
14,T15,T15,Paul Goydos,66,6.42,53,826,+2.08
15,T15,T15,Kirk Triplett,84,6.42,58,904,+1.03
16,17,17,Craig Stadler,72,6.43,50,778,+2.80
17,18,18,Peter Jacobsen,67,6.53,57,873,+0.70
18,19,19,Olin Browne,107,6.6,90,1364,+1.56
19,20,20,Glen Day,107,6.63,90,1358,+2.22
20,21,21,Stephen Ames,89,6.7,73,1090,+0.14
21,22,22,Dan Forsman,83,6.92,74,1070,+0.41
22,23,23,David Gossett,95,6.94,85,1225,+0.71
23,24,24,Bernhard Langer,55,6.95,37,532,+1.35
24,25,25,Nick Price,69,7.01,51,728,+1.96
25,26,26,Pat Bates,94,7.03,86,1223,+0.58
26,27,27,Glen Hnatiuk,95,7.09,89,1256,+1.46
27,28,28,John Rollins,124,7.1,111,1564,+1.35
28,29,29,Lee Porter,91,7.13,81,1136,+3.33
29,30,30,John Huston,99,7.17,88,1227,-0.68
30,31,31,Kaname Yokoo,74,7.18,68,947,+1.03
31,32,32,Hal Sutton,74,7.26,64,881,+0.47
32,33,33,Justin Leonard,97,7.32,78,1066,+2.05
33,34,34,Briny Baird,110,7.37,107,1452,+1.03
34,35,35,Matt Kuchar,82,7.38,70,948,+0.71
35,36,36,Pat Perez,89,7.46,78,1045,+1.03
36,37,37,Steve Flesch,110,7.48,97,1297,+2.37
37,38,38,Jim Carter,98,7.5,88,1174,+0.45
38,T39,T39,Blaine McCallister,75,7.51,72,959,+1.53
39,T39,T39,John Riegger,88,7.51,84,1118,+0.60
40,41,41,Per-Ulrik Johansson,87,7.53,87,1156,+1.26
41,42,42,Jay Haas,83,7.58,77,1016,+2.73
42,43,43,Brian Watts,58,7.59,57,751,+1.05
43,44,44,Chris DiMarco,111,7.62,94,1234,+0.53
44,45,45,Donnie Hammond,60,7.63,57,747,+2.11
45,46,46,Peter Lonard,93,7.65,84,1098,+0.95
46,47,47,Mark Calcavecchia,84,7.7,70,909,+1.86
47,48,48,Notah Begay III,76,7.75,78,1007,+0.90
48,49,49,Bart Bryant,69,7.77,69,888,+1.74
49,50,50,Tim Clark,76,7.78,68,874,+2.94
50,51,51,John Daly,62,7.79,51,655,+3.92
51,52,52,Mike Sposa,111,7.82,114,1457,+2.19
52,T53,T53,Tommy Armour III,82,7.84,85,1084,-0.35
53,T53,T53,Luke Donald,106,7.84,104,1326,+1.83
54,55,55,Pete Jordan,78,7.87,81,1029,+1.98
55,T56,T56,Paul Azinger,69,7.95,59,742,+2.03
56,T56,T56,J.P. Hayes,78,7.95,76,956,+1.58
57,58,58,Robert Damron,85,7.96,91,1143,+2.53
58,59,59,David Peoples,105,7.97,112,1405,+0.80
59,T60,T60,Joel Edwards,101,7.99,104,1302,+1.15
60,T60,T60,Steve Lowery,98,7.99,89,1114,+0.90
61,62,62,Brad Faxon,93,8.04,78,970,+1.03
62,63,63,Bob Burns,99,8.1,103,1272,+1.75
63,64,64,Brad Lardon,59,8.11,60,740,+2.50
64,65,65,Kevin Sutherland,96,8.12,84,1034,+1.79
65,66,66,Duffy Waldorf,90,8.16,92,1127,+0.87
66,67,67,Mark O'Meara,68,8.17,57,698,+1.58
67,68,68,Jay Williamson,91,8.19,98,1196,+1.94
68,69,69,Frank Nobilo,94,8.23,104,1263,+2.69
69,T70,T70,Lee Janzen,101,8.25,92,1115,+2.50
70,T70,T70,Shigeki Maruyama,87,8.25,79,957,+0.51
71,72,72,Loren Roberts,93,8.26,98,1186,+2.55
72,73,73,Mike Weir,94,8.29,86,1038,+1.63
73,T74,T74,Chad Campbell,111,8.3,116,1398,+0.86
74,T74,T74,Matt Peterson,80,8.3,90,1084,+2.22
75,76,76,Michael Clark II,97,8.34,104,1247,+2.31
76,77,77,Jay Don Blake,107,8.41,116,1380,+2.24
77,78,78,Hidemichi Tanaka,104,8.43,106,1258,+1.60
