,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Craig Parry,69,-.250
1,2,2,Tiger Woods,69,-.222
2,3,3,John Huston,99,-.118
3,4,4,Charles Howell III,118,-.113
4,5,5,Bob Tway,103,-.100
5,6,6,Steve Stricker,68,-.094
6,7,7,Kenny Perry,98,-.078
7,8,8,Billy Andrade,100,-.064
8,9,9,Shigeki Maruyama,87,-.056
9,10,10,Ben Crane,91,-.055
10,11,11,Brian Gay,117,-.048
11,12,12,Tim Petrovic,92,-.044
12,13,13,Jim Furyk,88,-.036
13,14,14,Steve Elkington,82,-.034
14,T15,T15,Jess Daley,76,-.022
15,T15,T15,Chris Riley,104,-.022
16,T17,T17,Stephen Ames,89,E
17,T17,T17,Chris DiMarco,111,E
18,T17,T17,Joe Durant,87,E
19,T17,T17,Bob Estes,93,E
20,T17,T17,David Gossett,95,E
21,T17,T17,Jason Hill,59,E
22,T17,T17,Peter Jacobsen,67,E
23,T17,T17,Peter Lonard,93,E
24,T17,T17,Bryce Molder,65,E
25,T17,T17,Rory Sabbatini,69,E
26,27,27,Joey Sindelar,104,+.013
27,28,28,Kenneth Staton,104,+.018
28,T29,T29,Chad Campbell,111,+.019
29,T29,T29,Tripp Isenhour,68,+.019
30,T29,T29,David Peoples,105,+.019
31,T32,T32,Tommy Armour III,82,+.020
32,T32,T32,Harrison Frazar,88,+.020
33,34,34,K.J. Choi,93,+.023
34,35,35,Craig Barlow,62,+.024
35,T36,T36,Notah Begay III,76,+.029
36,T36,T36,Steve Jones,71,+.029
37,T36,T36,Blaine McCallister,75,+.029
38,T39,T39,Paul Goydos,66,+.031
39,T39,T39,Scott Simpson,61,+.031
40,41,41,Michael Long,71,+.032
41,T42,T42,Jeff Brehaut,87,+.037
42,T42,T42,Vijay Singh,102,+.037
43,T44,T44,Jonathan Byrd,96,+.038
44,T44,T44,Grant Waite,98,+.038
45,46,46,Carlos Franco,107,+.039
46,47,47,"David Berganio, Jr.",80,+.041
47,48,48,Mark Calcavecchia,84,+.048
48,49,49,Spike McRoy,69,+.049
49,50,50,John Riegger,88,+.051
50,51,51,Robert Gamez,69,+.053
51,T52,T52,Fred Funk,106,+.054
52,T52,T52,Shaun Micheel,100,+.054
53,54,54,Bob Burns,99,+.056
54,55,55,Steve Lowery,98,+.057
55,T56,T56,Michael Allen,76,+.061
56,T56,T56,Jim Carter,98,+.061
57,T56,T56,Dan Forsman,83,+.061
58,59,59,Tommy Tolles,64,+.064
59,60,60,Brad Faxon,93,+.065
60,61,61,J.L. Lewis,98,+.067
61,T62,T62,Greg Chalmers,94,+.070
62,T62,T62,Russ Cochran,68,+.070
63,T62,T62,J.P. Hayes,78,+.070
64,T62,T62,Frank Lickliter II,94,+.070
65,66,66,Cameron Beckman,87,+.073
66,67,67,Robert Allenby,96,+.075
67,68,68,Scott Verplank,93,+.077
68,69,69,Scott McCarron,106,+.079
69,70,70,Rod Pampling,98,+.082
70,T71,T71,Retief Goosen,56,+.083
71,T71,T71,Tom Scherrer,98,+.083
72,73,73,Len Mattiace,106,+.088
73,T74,T74,John Senden,96,+.089
74,T74,T74,Jerry Smith,91,+.089
75,T76,T76,Jonathan Kaye,83,+.091
76,T76,T76,Phil Mickelson,97,+.091
77,78,78,Bob Heintz,68,+.093
78,79,79,Matt Kuchar,82,+.095
79,T80,T80,Pat Bates,94,+.098
80,T80,T80,Brad Elder,76,+.098
81,T82,T82,Brian Henninger,66,+.100
82,T82,T82,Duffy Waldorf,90,+.100
83,84,84,Glen Day,107,+.102
84,85,85,Deane Pappas,90,+.103
85,86,86,Davis Love III,92,+.106
86,87,87,David Frost,90,+.109
87,88,88,Bob May,91,+.110
88,89,89,Robin Freeman,79,+.111
89,90,90,Lee Janzen,101,+.113
90,91,91,Gary Nicklaus,66,+.114
91,92,92,Pat Perez,89,+.115
92,93,93,Dennis Paulson,89,+.117
93,94,94,Luke Donald,106,+.118
94,95,95,J.J. Henry,112,+.119
95,96,96,Ernie Els,68,+.121
96,97,97,Andrew Magee,91,+.122
97,T98,T98,Donnie Hammond,60,+.125
98,T98,T98,Kent Jones,105,+.125
99,100,100,Phil Tataurangi,88,+.127
100,101,101,Joel Edwards,101,+.128
101,102,102,Hidemichi Tanaka,104,+.131
102,103,103,Briny Baird,110,+.132
103,T104,T104,David Morland IV,58,+.133
104,T104,T104,Kaname Yokoo,74,+.133
105,106,106,Brent Geiberger,95,+.135
106,107,107,Jerry Kelly,99,+.136
107,T108,T108,Brett Quigley,93,+.140
108,T108,T108,Chris Smith,103,+.140
109,T110,T110,Tim Herron,102,+.143
110,T110,T110,Skip Kendall,103,+.143
111,112,112,Brian Bateman,94,+.145
112,113,113,Scott Hoch,71,+.147
113,114,114,Hal Sutton,74,+.148
114,115,115,Per-Ulrik Johansson,87,+.149
115,T116,T116,Edward Fryatt,94,+.152
116,T116,T116,Heath Slocum,96,+.152
117,118,118,Geoff Ogilvy,90,+.153
118,119,119,Mark O'Meara,68,+.154
119,T120,T120,Tim Clark,76,+.156
120,T120,T120,Matt Gogel,79,+.156
121,122,122,John Rollins,124,+.157
122,123,123,Mike Weir,94,+.159
123,124,124,Jeff Maggert,83,+.160
124,T125,T125,Stewart Cink,92,+.163
125,T125,T125,Michael Muehr,73,+.163
