,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Fred Funk,106,91.09,1350,1482
1,2,2,Glen Hnatiuk,95,89.09,1151,1292
2,3,3,Glen Day,107,88.54,1267,1431
3,4,4,Olin Browne,107,88.39,1279,1447
4,5,5,Pat Bates,94,88.26,1120,1269
5,6,6,Jim Furyk,88,88.18,1052,1193
6,7,7,Fulton Allem,64,88.02,786,893
7,8,8,Bart Bryant,69,87.99,806,916
8,9,9,Notah Begay III,76,87.54,906,1035
9,10,10,Hidemichi Tanaka,104,87.46,1241,1419
10,11,11,John Rollins,124,87.4,1464,1675
11,12,12,Heath Slocum,96,87.33,1117,1279
12,13,13,"David Berganio, Jr.",80,87.32,957,1096
13,14,14,Chad Campbell,111,87.08,1321,1517
14,15,15,Tom Byrum,77,86.83,930,1071
15,16,16,David Gossett,95,86.77,1128,1300
16,17,17,Kenneth Staton,104,86.76,1232,1420
17,T18,T18,Cameron Beckman,87,86.47,1029,1190
18,T18,T18,Blaine McCallister,75,86.47,901,1042
19,20,20,Jeff Brehaut,87,86.4,1048,1213
20,21,21,Kenny Perry,98,86.37,1147,1328
21,22,22,Bradley Hughes,60,86.31,719,833
22,23,23,Kirk Triplett,84,86.26,948,1099
23,24,24,Brandt Jobe,94,86.18,1129,1310
24,25,25,Scott Verplank,93,86.13,1099,1276
25,26,26,Joel Edwards,101,86.06,1216,1413
26,27,27,Matt Peterson,80,85.97,956,1112
27,28,28,Dan Forsman,83,85.96,967,1125
28,29,29,Briny Baird,110,85.94,1296,1508
29,30,30,Paul Goydos,66,85.93,788,917
30,31,31,Robert Gamez,69,85.92,824,959
31,32,32,Charles Howell III,118,85.91,1341,1561
32,33,33,Peter Jacobsen,67,85.9,798,929
33,34,34,Shaun Micheel,100,85.88,1162,1353
34,35,35,David Peoples,105,85.84,1255,1462
35,36,36,Rich Beem,99,85.74,1136,1325
36,37,37,Steve Lowery,98,85.73,1099,1282
37,38,38,John Huston,99,85.58,1145,1338
38,39,39,Bob Burns,99,85.48,1142,1336
39,40,40,Paul Claxton,83,85.43,985,1153
40,41,41,Vijay Singh,102,85.11,1143,1343
41,42,42,Steve Pate,64,85.08,707,831
42,43,43,Per-Ulrik Johansson,87,85.07,1031,1212
43,T44,T44,Donnie Hammond,60,85.06,706,830
44,T44,T44,J.J. Henry,112,85.06,1281,1506
45,T46,T46,Mark Brooks,97,85.03,1102,1296
46,T46,T46,Jay Williamson,91,85.03,1079,1269
47,48,48,Joey Sindelar,104,84.9,1203,1417
48,T49,T49,Carlos Franco,107,84.76,1240,1463
49,T49,T49,Craig Stadler,72,84.76,801,945
50,51,51,John Cook,85,84.7,974,1150
51,52,52,Frank Nobilo,94,84.64,1108,1309
52,53,53,Robert Allenby,96,84.56,1128,1334
53,54,54,Billy Mayfair,99,84.54,1110,1313
54,55,55,Tommy Armour III,82,84.53,951,1125
55,T56,T56,Robert Damron,85,84.43,965,1143
56,T56,T56,Lee Porter,91,84.43,1036,1227
57,T56,T56,Chris Smith,103,84.43,1177,1394
58,59,59,Luke Donald,106,84.42,1225,1451
59,60,60,John Riegger,88,84.35,1013,1201
60,61,61,Rocco Mediate,79,84.34,883,1047
61,62,62,Brian Bateman,94,84.29,1068,1267
62,63,63,Tim Clark,76,84.25,861,1022
63,64,64,Joe Durant,87,84.21,1013,1203
64,65,65,Spike McRoy,69,84.14,785,933
65,66,66,Tripp Isenhour,68,84.13,795,945
66,67,67,Jeff Sluman,118,83.98,1373,1635
67,68,68,Edward Fryatt,94,83.96,1078,1284
68,69,69,Bob May,91,83.95,1041,1240
69,70,70,Jay Don Blake,107,83.94,1228,1463
70,71,71,Tim Petrovic,92,83.86,1039,1239
71,72,72,Skip Kendall,103,83.84,1178,1405
72,73,73,Boo Weekley,57,83.82,663,791
73,74,74,Russ Cochran,68,83.8,781,932
74,75,75,Robin Freeman,79,83.67,871,1041
75,76,76,Dicky Pride,51,83.64,593,709
76,77,77,Brent Geiberger,95,83.58,1069,1279
77,78,78,John Senden,96,83.55,1082,1295
78,79,79,J.L. Lewis,98,83.54,1142,1367
79,80,80,Frank Lickliter II,94,83.43,1042,1249
80,81,81,Brian Gay,117,83.42,1338,1604
81,82,82,Jeff Maggert,83,83.38,968,1161
82,83,83,Jeff Gove,89,83.37,1033,1239
83,84,84,Brandel Chamblee,85,83.36,972,1166
84,85,85,Brad Lardon,59,83.35,686,823
85,86,86,Scott Dunlap,74,83.3,838,1006
86,87,87,Rod Pampling,98,83.27,1090,1309
87,88,88,Tom Pernice Jr.,101,83.25,1153,1385
88,T89,T89,Pete Jordan,78,83.23,903,1085
89,T89,T89,Mike Sposa,111,83.23,1266,1521
90,91,91,Steve Flesch,110,83.2,1218,1464
91,92,92,Hal Sutton,74,83.14,848,1020
92,93,93,Brian Henninger,66,83.08,761,916
93,T94,T94,Carl Paulson,84,83.04,950,1144
94,T94,T94,Garrett Willis,80,83.04,906,1091
95,96,96,Craig Parry,69,83.02,802,966
96,97,97,Jonathan Byrd,96,82.94,1089,1313
97,98,98,David Toms,106,82.93,1185,1429
98,99,99,Ben Crane,91,82.88,1026,1238
99,T100,T100,Matt Kuchar,82,82.85,947,1143
100,T100,T100,Justin Leonard,97,82.85,1092,1318
