,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Scott Verplank,93,1.2,13,1080,+0.08
1,2,2,Joe Durant,87,1.79,18,1007,E
2,3,3,Craig Stadler,72,2.06,16,778,+0.31
3,4,4,John Cook,85,2.27,23,1011,+0.26
4,5,5,Mark Calcavecchia,84,2.31,21,909,+0.05
5,6,6,Craig Parry,69,2.34,20,854,-0.25
6,7,7,Fred Couples,64,2.48,18,726,+0.28
7,8,8,Pat Perez,89,2.49,26,1045,+0.12
8,9,9,Jeff Maggert,83,2.52,25,993,+0.16
9,10,10,Loren Roberts,93,2.53,30,1186,+0.23
10,11,11,Tom Lehman,78,2.55,20,784,+0.20
11,12,12,Fred Funk,106,2.59,37,1426,+0.05
12,13,13,Jesper Parnevik,85,2.7,25,927,+0.56
13,14,14,Bob Estes,93,2.73,28,1026,E
14,15,15,John Huston,99,2.77,34,1227,-0.12
15,16,16,Jim Furyk,88,2.8,28,999,-0.04
16,17,17,Peter Lonard,93,2.82,31,1098,E
17,18,18,Corey Pavin,78,2.94,27,919,+0.19
18,19,19,Steve Elkington,82,3.01,29,965,-0.03
19,T20,T20,Stephen Ames,89,3.03,33,1090,E
20,T20,T20,Heath Slocum,96,3.03,33,1090,+0.15
21,T22,T22,Hal Sutton,74,3.06,27,881,+0.15
22,T22,T22,Brian Watts,58,3.06,23,751,+0.17
23,24,24,Dan Forsman,83,3.08,33,1070,+0.06
24,25,25,José Coceres,51,3.11,17,546,+0.29
25,T26,T26,Brent Geiberger,95,3.12,37,1187,+0.14
26,T26,T26,Esteban Toledo,106,3.12,41,1314,+0.32
27,28,28,Carl Paulson,84,3.14,35,1116,+0.23
28,29,29,Robert Damron,85,3.15,36,1143,+0.19
29,T30,T30,Steve Flesch,110,3.16,41,1297,+0.20
30,T30,T30,Nick Price,69,3.16,23,728,+0.22
31,32,32,Kaname Yokoo,74,3.17,30,947,+0.13
32,33,33,Brad Faxon,93,3.2,31,970,+0.06
33,T34,T34,Michael Clark II,97,3.21,40,1247,+0.23
34,T34,T34,Donnie Hammond,60,3.21,24,747,+0.13
35,T36,T36,Fulton Allem,64,3.22,27,838,+0.44
36,T36,T36,Billy Mayfair,99,3.22,36,1117,+0.25
37,38,38,Olin Browne,107,3.23,44,1364,+0.20
38,T39,T39,Scott Dunlap,74,3.26,31,951,+0.19
39,T39,T39,Glen Hnatiuk,95,3.26,41,1256,+0.17
40,T39,T39,John Rollins,124,3.26,51,1564,+0.16
41,42,42,Kirk Triplett,84,3.32,30,904,+0.27
42,43,43,Pat Bates,94,3.35,41,1223,+0.10
43,44,44,Richard Zokol,53,3.37,23,682,+0.35
44,45,45,Michael Allen,76,3.38,33,977,+0.06
45,46,46,Pete Jordan,78,3.4,35,1029,+0.17
46,47,47,Paul Gow,99,3.43,44,1281,+0.18
