,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Fred Funk,106,81.84,1167,1426,-0.18
1,2,2,Scott Verplank,93,78.89,852,1080,-0.18
2,3,3,Jim Furyk,88,78.18,781,999,-0.18
3,4,4,Heath Slocum,96,78.07,851,1090,-0.11
4,5,5,Glen Day,107,77.25,1049,1358,-0.13
5,6,6,Fulton Allem,64,77.21,647,838,-0.04
6,7,7,Glen Hnatiuk,95,77.15,969,1256,-0.18
7,8,8,Olin Browne,107,77.13,1052,1364,-0.15
8,9,9,Nick Price,69,76.79,559,728,-0.21
9,10,10,Joe Durant,87,76.66,772,1007,-0.15
10,11,11,Kirk Triplett,84,76.22,689,904,-0.18
11,12,12,Rocco Mediate,79,76.01,605,796,-0.25
12,13,13,John Cook,85,75.67,765,1011,-0.17
13,14,14,Bart Bryant,69,75.56,671,888,-0.18
14,15,15,Paul Goydos,66,75.54,624,826,-0.14
15,16,16,Jeff Maggert,83,75.23,747,993,-0.1
16,17,17,Pat Bates,94,74.98,917,1223,-0.14
17,18,18,Corey Pavin,78,74.97,689,919,-0.14
18,19,19,Hidemichi Tanaka,104,74.8,941,1258,-0.15
19,20,20,Tim Clark,76,74.6,652,874,-0.19
20,T21,T21,Notah Begay III,76,74.58,751,1007,-0.14
21,T21,T21,Tom Byrum,77,74.58,716,960,-0.11
22,23,23,Justin Leonard,97,74.3,792,1066,-0.24
23,24,24,Matt Peterson,80,74.17,804,1084,-0.13
24,25,25,Billy Mayfair,99,74.04,827,1117,-0.14
25,26,26,Loren Roberts,93,73.52,872,1186,-0.19
26,27,27,Donnie Hammond,60,73.23,547,747,-0.19
27,28,28,Matt Kuchar,82,73.1,693,948,-0.17
28,29,29,José Coceres,51,73.08,399,546,-0.11
29,30,30,Lee Porter,91,73.06,830,1136,-0.1
30,31,31,Pete Jordan,78,72.79,749,1029,-0.07
31,32,32,Blaine McCallister,75,72.68,697,959,-0.11
32,33,33,Joel Edwards,101,72.5,944,1302,-0.19
33,34,34,David Gossett,95,72.49,888,1225,-0.14
34,35,35,John Rollins,124,72.44,1133,1564,-0.19
35,T36,T36,Chad Campbell,111,72.32,1011,1398,-0.19
36,T36,T36,Luke Donald,106,72.32,959,1326,-0.17
37,38,38,Hal Sutton,74,72.19,636,881,-0.1
38,39,39,Robert Damron,85,72.0,823,1143,-0.14
39,40,40,Robert Allenby,96,71.98,799,1110,-0.19
40,41,41,Bradley Hughes,60,71.95,554,770,-0.1
41,42,42,Peter Jacobsen,67,71.94,628,873,-0.15
42,43,43,John Riegger,88,71.91,804,1118,-0.18
43,44,44,Jim Carter,98,71.72,842,1174,-0.12
44,45,45,Paul Claxton,83,71.67,774,1080,-0.14
45,46,46,Frank Nobilo,94,71.65,905,1263,-0.15
46,47,47,Briny Baird,110,71.63,1040,1452,-0.13
47,48,48,Per-Ulrik Johansson,87,71.45,826,1156,-0.18
48,49,49,Robert Gamez,69,71.35,625,876,-0.17
49,50,50,Bob Estes,93,71.15,730,1026,-0.18
50,T51,T51,Craig Parry,69,71.08,607,854,-0.19
51,T51,T51,Esteban Toledo,106,71.08,934,1314,-0.13
52,53,53,Scott Hoch,71,71.06,577,812,-0.17
53,54,54,Bob Burns,99,70.99,903,1272,-0.13
54,55,55,Brian Gay,117,70.88,1032,1456,-0.17
55,56,56,Craig Stadler,72,70.82,551,778,-0.17
56,57,57,Skip Kendall,103,70.8,936,1322,-0.19
57,58,58,Jerry Kelly,99,70.73,829,1172,-0.23
58,59,59,David Toms,106,70.65,852,1206,-0.29
59,60,60,Chris Riley,104,70.64,835,1182,-0.23
60,61,61,Mark Brooks,97,70.42,795,1129,-0.13
61,62,62,Jay Williamson,91,70.15,839,1196,-0.16
62,63,63,Retief Goosen,56,70.04,395,564,-0.24
63,64,64,Cameron Beckman,87,70.0,749,1070,-0.19
64,65,65,Garrett Willis,80,69.99,751,1073,-0.12
65,66,66,Jeff Brehaut,87,69.96,785,1122,-0.17
66,67,67,Charles Howell III,118,69.85,915,1310,-0.21
67,68,68,Len Mattiace,106,69.8,899,1288,-0.2
68,69,69,Miguel Angel Jiménez,60,69.77,434,622,-0.11
69,70,70,Dan Forsman,83,69.63,745,1070,-0.19
70,71,71,Brad Lardon,59,69.59,515,740,-0.06
71,72,72,Steve Lowery,98,69.57,775,1114,-0.16
72,73,73,Kenny Perry,98,69.53,826,1188,-0.23
73,74,74,Frank Lickliter II,94,69.48,742,1068,-0.18
74,75,75,John Huston,99,69.44,852,1227,-0.22
75,76,76,Steve Jones,71,69.42,579,834,-0.11
76,77,77,J.J. Henry,112,69.32,983,1418,-0.17
77,78,78,David Morland IV,58,69.29,501,723,-0.16
78,79,79,Chris Smith,103,69.27,850,1227,-0.16
79,80,80,David Peoples,105,69.25,973,1405,-0.21
80,81,81,Lee Janzen,101,69.24,772,1115,-0.21
81,82,82,Jay Don Blake,107,69.2,955,1380,-0.16
82,83,83,Duffy Waldorf,90,69.12,779,1127,-0.21
83,84,84,Carl Paulson,84,69.09,771,1116,-0.17
84,85,85,Tim Petrovic,92,69.03,798,1156,-0.18
85,86,86,Brad Faxon,93,68.97,669,970,-0.19
86,87,87,Kent Jones,105,68.91,900,1306,-0.19
