,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Ernie Els,68,25.0,23.0,92,-0.30
1,2,2,Nick Price,69,23.08,24.0,104,-0.38
2,3,3,Esteban Toledo,106,22.04,41.0,186,+0.05
3,4,4,Pete Jordan,78,21.83,31.0,142,+0.35
4,5,5,José Coceres,51,21.79,17.0,78,+0.18
5,6,6,Lee Porter,91,21.08,35.0,166,E
6,7,7,Bernhard Langer,55,21.05,16.0,76,-0.06
7,8,8,Craig Stadler,72,20.91,23.0,110,-0.26
8,9,9,Billy Mayfair,99,20.78,32.0,154,-0.13
9,10,10,Corey Pavin,78,20.31,26.0,128,+0.04
10,11,11,Sergio Garcia,79,19.64,22.0,112,-0.14
11,12,12,Scott Verplank,93,19.08,29.0,152,+0.21
12,13,13,Brian Watts,58,18.27,19.0,104,+0.11
13,14,14,Dudley Hart,88,18.06,26.0,144,-0.15
14,15,15,Michael Muehr,73,17.42,23.0,132,+0.22
15,16,16,Per-Ulrik Johansson,87,17.07,28.0,164,-0.07
16,17,17,Greg Chalmers,94,17.06,29.0,170,+0.21
17,18,18,Steve Lowery,98,16.46,26.0,158,-0.04
18,19,19,Steve Stricker,68,16.33,16.0,98,-0.19
19,20,20,Jesper Parnevik,85,16.15,21.0,130,-0.14
20,21,21,Jerry Smith,91,15.85,26.0,164,+0.19
21,22,22,Lee Janzen,101,15.82,25.0,158,-0.20
22,23,23,Scott Dunlap,74,15.67,21.0,134,+0.10
23,24,24,Brandel Chamblee,85,15.63,25.0,160,-0.08
24,25,25,Garrett Willis,80,15.58,24.0,154,+0.13
25,26,26,John Cook,85,15.49,22.0,142,-0.14
26,27,27,Pat Bates,94,15.34,27.0,176,-0.07
27,28,28,Justin Leonard,97,15.33,23.0,150,-0.52
28,29,29,Scott Simpson,61,15.25,18.0,118,+0.17
29,30,30,Tiger Woods,69,15.0,15.0,100,-0.27
30,31,31,Jeff Sluman,118,14.8,29.0,196,-0.31
31,32,32,Bob Tway,103,14.53,25.0,172,-0.24
32,33,33,Davis Love III,92,14.49,20.0,138,-0.45
33,34,34,Len Mattiace,106,14.44,26.0,180,-0.27
34,35,35,Brian Gay,117,14.42,30.0,208,-0.17
35,36,36,Robert Damron,85,14.38,23.0,160,+0.17
36,T37,T37,Fulton Allem,64,14.29,17.0,119,+0.06
37,T37,T37,Stephen Ames,89,14.29,22.0,154,E
38,T37,T37,Tommy Armour III,82,14.29,22.0,154,+0.05
39,40,40,Tom Scherrer,98,14.2,25.0,176,-0.16
40,T41,T41,Jay Don Blake,107,14.06,27.0,192,-0.07
41,T41,T41,Glen Day,107,14.06,27.0,192,-0.07
42,43,43,Dan Forsman,83,14.0,21.0,150,+0.05
43,44,44,Paul Gow,99,13.89,25.0,180,-0.04
44,45,45,Fred Funk,106,13.86,28.0,202,-0.07
45,46,46,Mark O'Meara,68,13.83,13.0,94,E
46,47,47,Mike Sposa,111,13.81,29.0,210,-0.10
47,48,48,Steve Jones,71,13.79,16.0,116,E
48,49,49,J.P. Hayes,78,13.77,19.0,138,-0.11
49,50,50,Bob Burns,99,13.44,25.0,186,E
50,51,51,Craig Perks,91,13.38,19.0,142,-0.26
51,52,52,Matt Gogel,79,13.28,17.0,128,+0.12
52,53,53,Billy Andrade,100,13.25,22.0,166,-0.23
53,54,54,Paul Azinger,69,13.21,14.0,106,-0.07
54,55,55,Jay Haas,83,13.19,19.0,144,-0.11
55,56,56,Heath Slocum,96,13.13,21.0,160,-0.05
56,57,57,Craig Parry,69,13.11,16.0,122,+0.06
57,58,58,Glen Hnatiuk,95,13.04,24.0,184,-0.13
