,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Chris Smith,103,5,2,3
1,2,2,Tiger Woods,69,12,11,1
2,3,3,Robert Allenby,96,18,3,15
3,4,4,Kenny Perry,98,23,17,6
4,5,5,John Senden,96,25,12,13
5,6,6,Charles Howell III,118,26,1,25
6,T7,T7,Chad Campbell,111,34,13,21
7,T7,T7,J.J. Henry,112,34,4,30
8,T7,T7,Vijay Singh,102,34,27,7
9,10,10,Tom Lehman,78,43,35,8
10,11,11,Rocco Mediate,79,48,30,18
11,T12,T12,Bart Bryant,69,50,38,12
12,T12,T12,Glen Hnatiuk,95,50,35,15
13,T12,T12,John Riegger,88,50,33,17
14,15,15,Lee Janzen,101,55,21,34
15,16,16,David Gossett,95,59,23,36
16,T17,T17,Joe Durant,87,61,52,9
17,T17,T17,Brandt Jobe,94,61,35,26
18,T19,T19,Briny Baird,110,62,8,54
19,T19,T19,Fred Funk,106,62,57,5
20,T19,T19,John Huston,99,62,34,28
21,T22,T22,Bob Estes,93,63,52,11
22,T22,T22,Shaun Micheel,100,63,59,4
23,24,24,Joey Sindelar,104,65,41,24
24,T25,T25,Bradley Hughes,60,68,23,45
25,T25,T25,John Rollins,124,68,26,42
26,T27,T27,Kenneth Staton,104,71,21,50
27,T27,T27,David Toms,106,71,61,10
28,29,29,Hidemichi Tanaka,104,75,6,69
29,30,30,Jim Furyk,88,76,74,2
30,31,31,Justin Leonard,97,77,27,50
31,32,32,Donnie Hammond,60,80,27,53
32,33,33,"David Berganio, Jr.",80,81,49,32
33,T34,T34,Joel Edwards,101,82,45,37
34,T34,T34,Carlos Franco,107,82,41,41
35,T36,T36,Cameron Beckman,87,83,31,52
36,T36,T36,Notah Begay III,76,83,10,73
37,38,38,Robert Gamez,69,85,15,70
38,39,39,Phil Mickelson,97,86,39,47
39,40,40,David Peoples,105,88,65,23
40,41,41,Peter Jacobsen,67,91,16,75
41,42,42,Steve Flesch,110,94,31,63
42,43,43,Boo Weekley,57,97,7,90
43,44,44,J.L. Lewis,98,99,44,55
44,T45,T45,Per-Ulrik Johansson,87,100,8,92
45,T45,T45,Frank Lickliter II,94,100,40,60
46,47,47,Bob Tway,103,107,69,38
47,T48,T48,Rich Beem,99,111,46,65
48,T48,T48,Retief Goosen,56,111,82,29
49,50,50,Peter Lonard,93,112,73,39
50,51,51,Brian Bateman,94,113,20,93
51,52,52,Tim Petrovic,92,116,55,61
52,53,53,Jeff Brehaut,87,117,61,56
53,T54,T54,Luke Donald,106,123,96,27
54,T54,T54,Scott Verplank,93,123,92,31
55,56,56,Duffy Waldorf,90,124,19,105
56,57,57,Tim Clark,76,127,49,78
57,58,58,Chris DiMarco,111,129,89,40
58,59,59,Craig Stadler,72,130,41,89
59,60,60,Craig Parry,69,133,87,46
60,T61,T61,Sergio Garcia,79,134,4,130
61,T61,T61,Kirk Triplett,84,134,48,86
62,63,63,Jonathan Kaye,83,136,25,111
63,T64,T64,Davis Love III,92,137,52,85
64,T64,T64,Steve Pate,64,137,117,20
65,T66,T66,Pat Bates,94,141,92,49
66,T66,T66,Carl Paulson,84,141,18,123
67,68,68,Stephen Ames,89,142,60,82
68,69,69,Brent Geiberger,95,144,80,64
69,T70,T70,Glen Day,107,147,89,58
70,T70,T70,Steve Lowery,98,147,76,71
71,72,72,Jonathan Byrd,96,150,14,136
72,T73,T73,Mark Calcavecchia,84,152,64,88
73,T73,T73,Dan Forsman,83,152,133,19
74,T73,T73,Hal Sutton,74,152,57,95
75,T76,T76,Blaine McCallister,75,155,78,77
76,T76,T76,Mike Weir,94,155,141,14
77,78,78,Ian Leggatt,97,158,84,74
78,79,79,Scott McCarron,106,161,94,67
79,80,80,Michael Clark II,97,168,69,99
80,81,81,Matt Peterson,80,169,112,57
81,T82,T82,Rod Pampling,98,170,49,121
82,T82,T82,Loren Roberts,93,170,135,35
83,84,84,Tripp Isenhour,68,172,66,106
84,85,85,Jeff Sluman,118,174,152,22
85,86,86,John Cook,85,175,131,44
86,87,87,Jerry Kelly,99,178,119,59
87,88,88,Mathew Goggin,64,179,76,103
88,89,89,David Duval,78,185,85,100
89,90,90,Stuart Appleby,97,186,89,97
90,91,91,Tom Byrum,77,187,100,87
91,92,92,Bo Van Pelt,78,189,61,128
92,93,93,Billy Mayfair,99,191,115,76
93,94,94,Craig Barlow,62,192,112,80
94,95,95,Jeff Maggert,83,196,55,141
95,T96,T96,Steve Allan,93,199,115,84
96,T96,T96,Harrison Frazar,88,199,67,132
97,98,98,Rory Sabbatini,69,201,122,79
98,T99,T99,Russ Cochran,68,205,97,108
99,T99,T99,Nick Price,69,205,71,134
100,T101,T101,Phil Tataurangi,88,206,125,81
101,T101,T101,Jay Williamson,91,206,105,101
102,103,103,Brett Wetterich,89,210,71,139
103,T104,T104,Len Mattiace,106,211,117,94
104,T104,T104,Heath Slocum,96,211,94,117
105,106,106,Bob May,91,214,181,33
106,107,107,Bob Burns,99,217,126,91
107,T108,T108,Olin Browne,107,218,105,113
108,T108,T108,Dennis Paulson,89,218,100,118
109,T108,T108,Kevin Sutherland,96,218,175,43
110,111,111,Tim Herron,102,221,112,109
111,T112,T112,Jeff Gove,89,223,151,72
112,T112,T112,Frank Nobilo,94,223,108,115
113,T114,T114,Robert Damron,85,225,46,179
114,T114,T114,Matt Kuchar,82,225,87,138
115,116,116,K.J. Choi,93,226,120,106
116,117,117,Robin Freeman,79,229,133,96
117,T118,T118,Tommy Armour III,82,231,98,133
118,T118,T118,Michael Long,71,231,169,62
119,120,120,Grant Waite,98,234,137,97
120,121,121,Dicky Pride,51,235,188,47
121,122,122,Jim Carter,98,237,79,158
122,123,123,Garrett Willis,80,239,67,172
123,124,124,Dudley Hart,88,240,172,68
124,125,125,Stewart Cink,92,243,177,66
125,T126,T126,Ben Crane,91,245,74,171
126,T126,T126,Kent Jones,105,245,124,121
127,T128,T128,Paul Goydos,66,250,98,152
128,T128,T128,Chris Riley,104,250,136,114
129,130,130,Paul Stankowski,100,251,86,165
130,131,131,Geoff Ogilvy,90,252,105,147
131,132,132,Paul Claxton,83,254,111,143
132,133,133,Spike McRoy,69,255,173,82
133,134,134,Fred Couples,64,256,129,127
134,135,135,Paul Gow,99,259,147,112
135,136,136,Tom Pernice Jr.,101,261,138,123
136,137,137,Stephen Gangluff,75,263,108,155
137,T138,T138,Edward Fryatt,94,265,100,165
138,T138,T138,Brian Henninger,66,265,163,102
139,140,140,Brad Lardon,59,267,122,145
140,141,141,Pat Perez,89,269,82,187
141,142,142,Scott Hoch,71,270,155,115
142,T143,T143,Brian Gay,117,271,142,129
143,T143,T143,David Morland IV,58,271,104,167
144,145,145,Esteban Toledo,106,274,149,125
145,146,146,Steve Jones,71,275,126,149
