,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Fred Funk,106,81.24,1204,1482
1,2,2,Scott Verplank,93,78.52,958,1220
2,3,3,Heath Slocum,96,77.64,993,1279
3,4,4,Jim Furyk,88,77.6,904,1165
4,5,5,Fulton Allem,64,77.47,681,879
5,6,6,Glen Day,107,77.36,1107,1431
6,7,7,Olin Browne,107,77.06,1115,1447
7,8,8,Glen Hnatiuk,95,76.93,994,1292
8,9,9,Nick Price,69,76.38,663,868
9,10,10,Joe Durant,87,75.59,867,1147
10,11,11,Bart Bryant,69,75.44,691,916
11,12,12,Corey Pavin,78,75.35,755,1002
12,13,13,Jeff Maggert,83,75.11,830,1105
13,14,14,Tom Byrum,77,75.07,804,1071
14,15,15,Kirk Triplett,84,74.89,823,1099
15,16,16,John Cook,85,74.87,840,1122
16,17,17,Pat Bates,94,74.78,949,1269
17,18,18,Hidemichi Tanaka,104,74.56,1058,1419
18,19,19,Paul Goydos,66,74.48,683,917
19,20,20,Rocco Mediate,79,74.37,737,991
20,21,21,Tim Clark,76,74.35,739,994
21,22,22,Notah Begay III,76,74.3,769,1035
22,23,23,Matt Peterson,80,74.28,826,1112
23,24,24,Justin Leonard,97,73.69,930,1262
24,25,25,Billy Mayfair,99,73.46,944,1285
25,26,26,Donnie Hammond,60,73.25,608,830
26,27,27,Loren Roberts,93,73.03,907,1242
27,28,28,Matt Kuchar,82,72.83,812,1115
28,T29,T29,Lee Porter,91,72.78,893,1227
29,T29,T29,John Rollins,124,72.78,1219,1675
30,31,31,Blaine McCallister,75,72.74,758,1042
31,32,32,Pete Jordan,78,72.44,786,1085
32,33,33,Joel Edwards,101,72.26,1021,1413
33,34,34,Paul Claxton,83,72.25,833,1153
34,35,35,Chad Campbell,111,72.18,1095,1517
35,36,36,Robert Damron,85,72.0,823,1143
36,37,37,Luke Donald,106,71.96,1024,1423
37,38,38,Hal Sutton,74,71.77,712,992
38,39,39,Peter Jacobsen,67,71.69,666,929
39,40,40,Briny Baird,110,71.68,1081,1508
40,41,41,John Riegger,88,71.53,839,1173
41,42,42,Jim Carter,98,71.52,939,1313
42,43,43,David Gossett,95,71.23,926,1300
43,44,44,Esteban Toledo,106,71.22,975,1369
44,45,45,Per-Ulrik Johansson,87,71.2,863,1212
45,46,46,Bradley Hughes,60,71.07,592,833
46,47,47,Frank Nobilo,94,71.05,930,1309
47,48,48,Jerry Kelly,99,71.01,931,1311
48,49,49,Robert Allenby,96,70.98,927,1306
49,50,50,José Coceres,51,70.85,486,686
50,51,51,Mark Brooks,97,70.83,918,1296
51,52,52,Robert Gamez,69,70.8,679,959
52,53,53,Bob Burns,99,70.73,945,1336
53,54,54,David Toms,106,70.65,970,1373
54,55,55,Skip Kendall,103,70.6,992,1405
55,56,56,Chris Riley,104,70.51,947,1343
56,57,57,Bob Estes,93,70.5,822,1166
57,58,58,Craig Stadler,72,70.16,663,945
58,59,59,Jay Williamson,91,70.13,890,1269
59,60,60,Brian Gay,117,70.07,1124,1604
60,61,61,David Morland IV,58,70.01,565,807
61,62,62,Garrett Willis,80,69.84,762,1091
62,63,63,Scott Hoch,71,69.81,645,924
63,64,64,Brad Lardon,59,69.5,572,823
64,65,65,Dan Forsman,83,69.42,781,1125
65,66,66,Charles Howell III,118,69.31,1082,1561
66,67,67,Jay Don Blake,107,69.24,1013,1463
67,68,68,Craig Parry,69,69.19,649,938
68,69,69,Jeff Brehaut,87,69.17,839,1213
69,70,70,John Huston,99,69.06,924,1338
70,T71,T71,Lee Janzen,101,69.03,885,1282
71,T71,T71,Tim Petrovic,92,69.03,836,1211
72,73,73,J.J. Henry,112,68.86,1037,1506
73,74,74,Chris Smith,103,68.76,920,1338
74,75,75,Len Mattiace,106,68.75,981,1427
75,T76,T76,Cameron Beckman,87,68.74,818,1190
76,T76,T76,Duffy Waldorf,90,68.74,794,1155
77,78,78,Miguel Angel Jiménez,60,68.71,538,783
78,79,79,David Peoples,105,68.67,1004,1462
79,80,80,Retief Goosen,56,68.61,483,704
80,81,81,Jeff Sluman,118,68.56,1121,1635
81,82,82,Chris DiMarco,111,68.46,979,1430
82,83,83,Steve Jones,71,68.43,609,890
83,84,84,Steve Lowery,98,68.33,876,1282
84,85,85,Sergio Garcia,79,68.31,653,956
85,86,86,Kent Jones,105,68.29,980,1435
86,87,87,Kenny Perry,98,68.22,906,1328
87,88,88,Mike Sposa,111,68.18,1037,1521
88,89,89,Tom Lehman,78,68.14,648,951
89,90,90,Kaname Yokoo,74,68.1,683,1003
90,91,91,Pat Perez,89,68.07,825,1212
91,T92,T92,Frank Lickliter II,94,67.98,830,1221
92,T92,T92,Peter Lonard,93,67.98,847,1246
93,94,94,Stephen Ames,89,67.93,788,1160
94,95,95,Jonathan Kaye,83,67.9,751,1106
95,96,96,John Senden,96,67.84,850,1253
96,T97,T97,Carl Paulson,84,67.83,776,1144
97,T97,T97,Vijay Singh,102,67.83,892,1315
98,99,99,Kenneth Staton,104,67.82,963,1420
99,100,100,Brad Faxon,93,67.81,790,1165
100,101,101,Scott Dunlap,74,67.79,682,1006
101,102,102,Steve Flesch,110,67.76,992,1464
102,103,103,Brandel Chamblee,85,67.75,790,1166
103,104,104,Brian Bateman,94,67.64,857,1267
104,105,105,Jonathan Byrd,96,67.62,879,1300
105,106,106,"David Berganio, Jr.",80,67.61,741,1096
106,107,107,Tiger Woods,69,67.52,607,899
107,108,108,Boo Weekley,57,67.51,534,791
108,109,109,Bernhard Langer,55,67.43,472,700
109,110,110,Brandt Jobe,94,67.4,883,1310
110,111,111,David Frost,90,67.36,846,1256
111,112,112,Shaun Micheel,100,67.33,911,1353
112,113,113,Bob Tway,103,67.29,893,1327
113,114,114,Joey Sindelar,104,67.18,952,1417
114,115,115,J.L. Lewis,98,67.15,918,1367
115,116,116,Greg Kraft,86,67.1,783,1167
116,117,117,Steve Pate,64,67.03,557,831
117,118,118,Brent Geiberger,95,66.93,856,1279
118,119,119,Michael Clark II,97,66.92,884,1321
119,120,120,Rod Pampling,98,66.84,875,1309
120,121,121,Tommy Armour III,82,66.67,750,1125
121,122,122,Tom Pernice Jr.,101,66.57,922,1385
122,123,123,Mark Calcavecchia,84,66.54,698,1049
123,124,124,Jeff Gove,89,66.51,824,1239
124,125,125,Russ Cochran,68,66.42,619,932
125,126,126,Kevin Sutherland,96,66.4,816,1229
126,T127,T127,J.P. Hayes,78,66.35,702,1058
127,T127,T127,Franklin Langham,72,66.35,637,960
128,129,129,Phil Mickelson,97,66.27,833,1257
129,130,130,Mike Weir,94,66.18,816,1233
130,131,131,Brian Henninger,66,66.16,606,916
131,132,132,Davis Love III,92,66.09,770,1165
132,133,133,Spike McRoy,69,66.02,616,933
133,134,134,Mark O'Meara,68,66.01,571,865
134,135,135,Dudley Hart,88,66.0,757,1147
135,136,136,Bob May,91,65.97,818,1240
136,137,137,Jay Haas,83,65.91,725,1100
137,138,138,Ben Crane,91,65.83,815,1238
138,T139,T139,Matt Gogel,79,65.82,699,1062
139,T139,T139,Tripp Isenhour,68,65.82,622,945
140,141,141,Edward Fryatt,94,65.58,842,1284
141,142,142,Jerry Smith,91,65.57,794,1211
142,143,143,Carlos Franco,107,65.55,959,1463
143,144,144,Robin Freeman,79,65.42,681,1041
144,145,145,Scott McCarron,106,65.38,861,1317
145,146,146,K.J. Choi,93,65.21,791,1213
146,147,147,Scott Simpson,61,65.1,554,851
147,148,148,Shigeki Maruyama,87,65.06,756,1162
148,149,149,Rich Beem,99,64.91,860,1325
149,150,150,Brad Elder,76,64.88,665,1025
150,151,151,Ian Leggatt,97,64.82,842,1299
151,152,152,Craig Barlow,62,64.73,523,808
152,153,153,Gary Nicklaus,66,64.71,594,918
153,154,154,Paul Stankowski,100,64.64,883,1366
154,T155,T155,Woody Austin,102,64.46,887,1376
155,T155,T155,Dicky Pride,51,64.46,457,709
156,T157,T157,Bo Van Pelt,78,64.45,698,1083
157,T157,T157,Brian Watts,58,64.45,484,751
158,159,159,Harrison Frazar,88,64.28,790,1229
159,160,160,Paul Gow,99,64.25,859,1337
160,161,161,Richard Zokol,53,64.17,455,709
161,162,162,Stephen Gangluff,75,64.05,668,1043
162,163,163,Ernie Els,68,64.04,520,812
163,164,164,Neal Lancaster,101,64.03,865,1351
164,165,165,Grant Waite,98,63.94,853,1334
165,166,166,Stewart Cink,92,63.88,748,1171
166,T167,T167,Stuart Appleby,97,63.83,803,1258
167,T167,T167,Brett Wetterich,89,63.83,773,1211
168,169,169,Steve Elkington,82,63.45,665,1048
169,170,170,Billy Andrade,100,63.39,831,1311
170,171,171,Joe Ogilvie,50,62.91,436,693
171,172,172,Jess Daley,76,62.8,665,1059
172,173,173,Jason Hill,59,62.68,514,820
173,174,174,Tom Scherrer,98,62.52,829,1326
174,175,175,Mathew Goggin,64,62.34,553,887
175,176,176,David Duval,78,62.15,619,996
176,T177,T177,Geoff Ogilvy,90,62.02,743,1198
177,T177,T177,Craig Perks,91,62.02,720,1161
178,179,179,Paul Azinger,69,61.98,546,881
179,180,180,Andrew Magee,91,61.93,758,1224
180,181,181,Bryce Molder,65,61.87,542,876
181,182,182,Jesper Parnevik,85,61.85,694,1122
182,183,183,Michael Muehr,73,61.84,611,988
183,184,184,Steve Allan,93,61.82,787,1273
184,185,185,Phil Tataurangi,88,61.66,722,1171
185,186,186,Rory Sabbatini,69,61.28,546,891
186,187,187,Michael Long,71,61.07,604,989
187,188,188,Fred Couples,64,60.93,510,837
188,189,189,Steve Stricker,68,59.83,493,824
189,190,190,Eduardo Herrera,59,59.76,490,820
190,191,191,Greg Chalmers,94,59.67,756,1267
191,T192,T192,Dennis Paulson,89,59.06,717,1214
192,T192,T192,Tommy Tolles,64,59.06,525,889
193,194,194,Brett Quigley,93,58.41,747,1279
194,195,195,John Daly,62,58.32,480,823
195,196,196,Tim Herron,102,58.23,803,1379
196,197,197,Deane Pappas,90,57.97,702,1211
197,198,198,José María Olazábal,71,57.79,501,867
198,199,199,Michael Allen,76,57.07,589,1032
199,200,200,Brenden Pappas,62,55.4,477,861
200,201,201,Mike Hulbert,55,53.93,398,738
201,202,202,Bob Heintz,68,50.37,477,947
