,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Fred Funk,106,10.24,146,1426,0.05
1,2,2,Heath Slocum,96,11.83,129,1090,0.29
2,3,3,Glen Day,107,12.0,163,1358,0.14
3,4,4,Rocco Mediate,79,12.31,98,796,0.05
4,5,5,Nick Price,69,12.5,91,728,0.2
5,6,6,Fulton Allem,64,12.65,106,838,0.22
6,7,7,Retief Goosen,56,12.77,72,564,-0.03
7,8,8,Glen Hnatiuk,95,12.82,161,1256,0.2
8,9,9,Bart Bryant,69,12.84,114,888,0.18
9,10,10,Olin Browne,107,13.12,179,1364,0.18
10,T11,T11,Pat Bates,94,13.33,163,1223,0.12
11,T11,T11,Tom Byrum,77,13.33,128,960,0.05
12,T11,T11,Scott Verplank,93,13.33,144,1080,0.06
13,14,14,Tim Clark,76,13.39,117,874,0.23
14,T15,T15,Notah Begay III,76,13.41,135,1007,0.27
15,T15,T15,Jim Furyk,88,13.41,134,999,0.09
16,17,17,Matt Peterson,80,13.47,146,1084,0.29
17,18,18,Kirk Triplett,84,13.5,122,904,0.2
18,19,19,Hidemichi Tanaka,104,13.91,175,1258,0.19
19,T20,T20,José Coceres,51,14.1,77,546,0.31
20,T20,T20,Jeff Maggert,83,14.1,140,993,0.24
21,22,22,Loren Roberts,93,14.17,168,1186,0.17
22,23,23,Lee Porter,91,14.44,164,1136,0.3
23,24,24,Joel Edwards,101,14.52,189,1302,0.17
24,25,25,Justin Leonard,97,14.63,156,1066,0.15
25,26,26,Paul Goydos,66,14.65,121,826,0.26
26,27,27,Skip Kendall,103,14.67,194,1322,0.2
27,28,28,Robert Gamez,69,14.84,130,876,0.18
28,29,29,Chad Campbell,111,14.88,208,1398,0.28
29,30,30,John Rollins,124,14.9,233,1564,0.15
30,31,31,Craig Parry,69,14.99,128,854,0.21
31,32,32,David Morland IV,58,15.08,109,723,0.31
32,33,33,Hal Sutton,74,15.32,135,881,0.29
33,34,34,Frank Nobilo,94,15.36,194,1263,0.21
34,35,35,Joe Durant,87,15.39,155,1007,0.08
35,36,36,Robert Damron,85,15.4,176,1143,0.32
36,37,37,Robert Allenby,96,15.41,171,1110,0.11
37,38,38,Garrett Willis,80,15.47,166,1073,0.34
38,39,39,Blaine McCallister,75,15.54,149,959,0.18
39,40,40,Bradley Hughes,60,15.58,120,770,0.31
40,T41,T41,Bob Estes,93,15.59,160,1026,0.11
41,T41,T41,David Toms,106,15.59,188,1206,0.03
42,43,43,Pete Jordan,78,15.65,161,1029,0.32
43,44,44,Billy Mayfair,99,15.67,175,1117,0.19
44,45,45,John Cook,85,15.73,159,1011,0.15
45,46,46,Mark Brooks,97,15.77,178,1129,0.2
46,47,47,Luke Donald,106,15.84,210,1326,0.17
47,48,48,Jerry Kelly,99,15.96,187,1172,0.16
48,49,49,Chris Riley,104,15.99,189,1182,0.22
49,50,50,Corey Pavin,78,16.0,147,919,0.22
50,51,51,Matt Kuchar,82,16.03,152,948,0.18
51,52,52,Jeff Brehaut,87,16.04,180,1122,0.27
52,53,53,Bob Burns,99,16.12,205,1272,0.15
53,54,54,Chris Smith,103,16.14,198,1227,0.14
54,55,55,David Gossett,95,16.16,198,1225,0.14
55,56,56,Per-Ulrik Johansson,87,16.18,187,1156,0.17
56,T57,T57,Cameron Beckman,87,16.26,174,1070,0.16
57,T57,T57,Scott Hoch,71,16.26,132,812,0.2
58,59,59,Paul Claxton,83,16.3,176,1080,0.32
59,60,60,Donnie Hammond,60,16.33,122,747,0.18
60,61,61,Brian Gay,117,16.35,238,1456,0.17
61,62,62,Miguel Angel Jiménez,60,16.4,102,622,0.25
62,63,63,Dicky Pride,51,16.56,107,646,0.29
63,64,64,Joey Sindelar,104,16.9,216,1278,0.19
64,65,65,Kent Jones,105,16.92,221,1306,0.29
65,66,66,John Riegger,88,16.99,190,1118,0.27
66,T67,T67,Briny Baird,110,17.01,247,1452,0.15
67,T67,T67,Brian Bateman,94,17.01,201,1182,0.24
68,69,69,Steve Lowery,98,17.06,190,1114,0.11
69,70,70,Duffy Waldorf,90,17.13,193,1127,0.14
70,71,71,Jim Carter,98,17.21,202,1174,0.12
71,72,72,Len Mattiace,106,17.24,222,1288,0.21
72,73,73,Jonathan Kaye,83,17.26,175,1014,0.23
73,74,74,Charles Howell III,118,17.4,228,1310,0.05
74,75,75,Peter Jacobsen,67,17.41,152,873,0.17
75,T76,T76,Frank Lickliter II,94,17.42,186,1068,0.13
76,T76,T76,Kenny Perry,98,17.42,207,1188,0.08
77,78,78,Tim Petrovic,92,17.47,202,1156,0.17
78,79,79,Lee Janzen,101,17.49,195,1115,0.15
79,80,80,Brad Faxon,93,17.53,170,970,0.14
80,81,81,Chris DiMarco,111,17.59,217,1234,0.05
81,T82,T82,Davis Love III,92,17.63,171,970,0.16
82,T82,T82,Jeff Sluman,118,17.63,249,1412,0.1
83,84,84,Jay Williamson,91,17.64,211,1196,0.26
84,T85,T85,John Huston,99,17.69,217,1227,0.11
85,T85,T85,Franklin Langham,72,17.69,155,876,0.25
86,T87,T87,Jonathan Byrd,96,17.7,214,1209,0.25
87,T87,T87,Brandt Jobe,94,17.7,219,1237,0.07
88,89,89,Jeff Gove,89,17.72,201,1134,0.2
89,90,90,Steve Jones,71,17.87,149,834,0.23
90,91,91,J.J. Henry,112,17.91,254,1418,0.26
91,92,92,Carl Paulson,84,17.92,200,1116,0.18
92,93,93,Jay Don Blake,107,17.97,248,1380,0.12
93,94,94,Vijay Singh,102,18.04,202,1120,0.03
94,95,95,Bob May,91,18.11,213,1176,0.2
95,T96,T96,Steve Pate,64,18.17,141,776,0.13
96,T96,T96,Boo Weekley,57,18.17,133,732,0.27
97,98,98,Brandel Chamblee,85,18.19,207,1138,0.22
98,99,99,Peter Lonard,93,18.31,201,1098,0.1
99,100,100,Craig Barlow,62,18.33,143,780,0.32
100,101,101,Spike McRoy,69,18.34,139,758,0.19
101,102,102,Greg Kraft,86,18.35,204,1112,0.25
102,103,103,John Senden,96,18.37,216,1176,0.11
103,104,104,J.P. Hayes,78,18.41,176,956,0.22
104,105,105,David Peoples,105,18.43,259,1405,0.17
105,106,106,Scott McCarron,106,18.45,207,1122,0.1
106,107,107,Mike Sposa,111,18.53,270,1457,0.22
107,108,108,Esteban Toledo,106,18.57,244,1314,0.16
108,109,109,Scott Dunlap,74,18.61,177,951,0.31
109,110,110,Matt Gogel,79,18.63,172,923,0.19
110,111,111,Stewart Cink,92,18.64,187,1003,0.17
111,112,112,Bryce Molder,65,18.67,155,830,0.31
112,113,113,Rod Pampling,98,18.68,229,1226,0.16
113,T114,T114,Dan Forsman,83,18.69,200,1070,0.17
114,T114,T114,J.L. Lewis,98,18.69,240,1284,0.26
115,116,116,Tiger Woods,69,18.75,132,704,-0.03
116,117,117,Craig Stadler,72,18.77,146,778,0.14
117,118,118,Carlos Franco,107,18.8,256,1362,0.15
118,119,119,Sergio Garcia,79,18.91,149,788,0.09
119,120,120,Bernhard Langer,55,18.98,101,532,0.24
120,121,121,K.J. Choi,93,19.01,200,1052,0.14
121,122,122,Phil Mickelson,97,19.02,202,1062,0.07
122,T123,T123,Dudley Hart,88,19.03,185,972,0.22
123,T123,T123,Kenneth Staton,104,19.03,250,1314,0.18
124,125,125,Brad Lardon,59,19.05,141,740,0.32
125,126,126,Stuart Appleby,97,19.08,208,1090,0.18
126,127,127,Bob Tway,103,19.09,232,1215,0.06
127,T128,T128,Steve Flesch,110,19.12,248,1297,0.15
128,T128,T128,Shigeki Maruyama,87,19.12,183,957,0.16
129,130,130,Mike Weir,94,19.17,199,1038,0.11
130,131,131,"David Berganio, Jr.",80,19.19,198,1032,0.16
131,132,132,Shaun Micheel,100,19.22,246,1280,0.15
132,133,133,David Frost,90,19.52,229,1173,0.25
133,134,134,Robin Freeman,79,19.53,198,1014,0.29
134,135,135,Tom Pernice Jr.,101,19.58,244,1246,0.15
135,136,136,Ian Leggatt,97,19.6,223,1138,0.17
136,137,137,Russ Cochran,68,19.69,178,904,0.22
137,138,138,Brent Geiberger,95,19.71,234,1187,0.23
138,T139,T139,Michael Clark II,97,19.73,246,1247,0.24
139,T139,T139,Tripp Isenhour,68,19.73,174,882,0.25
140,T139,T139,Kevin Sutherland,96,19.73,204,1034,0.2
141,T142,T142,Stephen Gangluff,75,19.77,189,956,0.23
142,T142,T142,Paul Stankowski,100,19.77,241,1219,0.17
143,144,144,Jay Haas,83,19.78,201,1016,0.14
144,145,145,Kaname Yokoo,74,19.85,188,947,0.17
145,146,146,Ben Crane,91,19.89,217,1091,0.22
146,147,147,Jerry Smith,91,19.9,230,1156,0.24
147,T148,T148,Ernie Els,68,20.19,130,644,0.12
