,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Tiger Woods,69,498,Mercedes Championships,3,18,656
1,2,2,Jim Furyk,88,488,Mercedes Championships,3,18,656
2,3,3,Joe Durant,87,487,Mercedes Championships,3,18,656
3,4,4,Mike Weir,94,486,Mercedes Championships,3,18,656
4,5,5,Retief Goosen,56,484,Mercedes Championships,3,18,656
5,6,6,Tom Pernice Jr.,101,483,Mercedes Championships,3,18,656
6,7,7,Scott Verplank,93,478,Mercedes Championships,3,18,656
7,8,8,Davis Love III,92,477,Mercedes Championships,3,18,656
8,T9,T9,Brad Faxon,93,476,Mercedes Championships,3,18,656
9,T9,T9,Chris DiMarco,111,476,Mercedes Championships,3,18,656
10,11,11,Scott Hoch,71,473,Mercedes Championships,3,18,656
11,12,12,Steve Stricker,68,471,Mercedes Championships,3,18,656
12,T13,T13,Robert Allenby,96,460,Mercedes Championships,3,18,656
13,T13,T13,Garrett Willis,80,460,Mercedes Championships,3,18,656
14,15,15,Jeff Sluman,118,455,Mercedes Championships,3,18,656
15,16,16,David Duval,78,454,Bob Hope Chrysler Classic,5,13,649
16,T17,T17,Scott McCarron,106,453,Mercedes Championships,3,18,656
17,T17,T17,Shigeki Maruyama,87,453,Mercedes Championships,3,18,656
18,T19,T19,Mark Calcavecchia,84,452,Mercedes Championships,3,18,656
19,T19,16,David Duval,78,452,Mercedes Championships,3,18,656
20,T19,T19,Frank Lickliter II,94,452,Mercedes Championships,3,18,656
21,22,22,Craig Perks,91,451,Buick Classic,2,12,27
22,23,22,Craig Perks,91,449,Phoenix Open,1,13,510
23,T24,T24,John Cook,85,446,Mercedes Championships,3,18,656
24,T24,T24,David Gossett,95,446,Mercedes Championships,3,18,656
25,26,26,Steve Allan,93,445,Disney Golf Classic,1,18,45
26,27,27,Justin Leonard,97,444,Mercedes Championships,3,18,656
27,28,28,Sergio Garcia,79,429,Mercedes Championships,3,18,656
28,29,15,Jeff Sluman,118,426,Mercedes Championships,3,17,656
29,30,T13,Garrett Willis,80,425,Mercedes Championships,3,17,656
30,31,31,Hal Sutton,74,423,Mercedes Championships,3,18,656
31,T32,T32,Joey Sindelar,104,417,Tampa Bay Classic presented by Buick,4,10,665
32,T32,T24,David Gossett,95,417,Mercedes Championships,3,17,656
33,34,34,K.J. Choi,93,412,Sony Open in Hawaii,2,16,6
34,T35,T35,Kenny Perry,98,410,Mercedes Championships,3,18,656
35,T35,4,Mike Weir,94,410,Mercedes Championships,3,17,656
36,T35,5,Retief Goosen,56,410,BellSouth Classic,2,9,638
37,38,38,Jesper Parnevik,85,407,Mercedes Championships,3,18,656
38,39,39,Kirk Triplett,84,406,Michelob Championship at Kingsmill,2,18,31
39,40,27,Justin Leonard,97,405,Mercedes Championships,3,17,656
40,41,41,David Toms,106,404,Mercedes Championships,3,17,656
41,T42,T42,Joel Edwards,101,402,Mercedes Championships,3,18,656
42,T42,T42,Bob Estes,93,402,Mercedes Championships,3,18,656
43,T42,T13,Robert Allenby,96,402,Invensys Classic at Las Vegas,2,9,670
44,T42,T42,Tomohiro Kondo,2,402,Sony Open in Hawaii,2,16,6
45,T42,T42,Geoff Ogilvy,90,402,Sony Open in Hawaii,2,16,6
46,47,T17,Shigeki Maruyama,87,401,Mercedes Championships,3,17,656
47,48,5,Retief Goosen,56,400,Mercedes Championships,3,17,656
48,49,49,Robin Freeman,79,399,Sony Open in Hawaii,2,16,6
49,50,50,Duffy Waldorf,90,397,Kemper Insurance Open,4,8,512
50,T51,T17,Scott McCarron,106,396,Mercedes Championships,3,17,656
51,T51,T17,Shigeki Maruyama,87,396,Mercedes Championships,4,17,656
52,T51,T51,Robert Damron,85,396,Mercedes Championships,3,18,656
53,54,T19,Mark Calcavecchia,84,394,Mercedes Championships,3,17,656
54,T55,8,Davis Love III,92,393,Mercedes Championships,3,17,656
55,T55,T55,Rich Beem,99,393,Kemper Insurance Open,4,8,512
56,T55,T55,Bo Van Pelt,78,393,AT&T Pebble Beach National Pro-Am,1,16,5
57,58,16,David Duval,78,392,Mercedes Championships,3,17,656
58,59,T19,Frank Lickliter II,94,391,Mercedes Championships,4,17,656
59,60,T42,Bob Estes,93,390,Mercedes Championships,3,17,656
60,61,61,John Daly,62,389,Bell Canadian Open,2,16,685
61,T62,T24,John Cook,85,387,Mercedes Championships,4,17,656
62,T62,T9,Brad Faxon,93,387,Mercedes Championships,4,17,656
63,T62,T62,Bob Heintz,68,387,AT&T Pebble Beach National Pro-Am,1,16,5
64,65,2,Jim Furyk,88,386,Mercedes Championships,3,17,656
65,66,61,John Daly,62,385,Phoenix Open,3,8,510
