,Driving_Pct._260-280_Measured_RANK THIS WEEK,Driving_Pct._260-280_Measured_RANK LAST WEEK,Driving_Pct._260-280_Measured_PLAYER NAME,Driving_Pct._260-280_Measured_ROUNDS,Driving_Pct._260-280_Measured_%,Driving_Pct._260-280_Measured_TOTAL DRIVES FOR 260-280,Driving_Pct._260-280_Measured_TOTAL DRVS - OVERALL,Driving_Pct._260-280_Measured_RELATIVE TO PAR
0,1,1,Scott Hoch,71,49.14,57,116,-0.26
1,2,2,Tim Clark,76,46.88,60,128,-0.20
2,3,3,Paul Goydos,66,45.83,55,120,+0.11
3,4,4,Richard Zokol,53,42.86,42,98,+0.05
4,5,5,Kevin Sutherland,96,42.36,61,144,-0.25
5,6,6,Matt Peterson,80,42.21,65,154,+0.06
6,7,7,Jerry Kelly,99,41.57,69,166,-0.29
7,8,8,Chris Riley,104,41.48,73,176,-0.15
8,9,9,Matt Gogel,79,41.41,53,128,-0.09
9,10,10,Bart Bryant,69,41.13,51,124,-0.16
10,T11,T11,Craig Perks,91,40.85,58,142,-0.03
11,T11,T11,Loren Roberts,93,40.85,67,164,-0.18
12,13,13,Tom Byrum,77,40.3,54,134,-0.07
13,14,14,Luke Donald,106,40.1,77,192,-0.16
14,15,15,Mark Brooks,97,39.87,63,158,-0.22
15,16,16,Fulton Allem,64,39.5,47,119,-0.02
16,17,17,Notah Begay III,76,39.29,55,140,-0.27
17,18,18,Olin Browne,107,38.95,74,190,-0.12
18,19,19,Brad Faxon,93,38.81,52,134,-0.25
19,20,20,Steve Jones,71,38.79,45,116,-0.11
20,21,21,Heath Slocum,96,38.75,62,160,-0.11
21,T22,T22,Brian Henninger,66,38.71,48,124,+0.08
22,T22,T22,Skip Kendall,103,38.71,72,186,-0.03
23,24,24,Rocco Mediate,79,38.39,43,112,-0.19
24,25,25,David Peoples,105,38.27,75,196,-0.13
25,26,26,Bob Burns,99,38.17,71,186,-0.14
26,27,27,Bryce Molder,65,38.14,45,118,E
27,28,28,Hal Sutton,74,37.9,47,124,E
28,29,29,Frank Nobilo,94,37.64,67,178,-0.09
29,30,30,Jay Haas,83,37.5,54,144,-0.19
30,31,31,Kaname Yokoo,74,37.31,50,134,-0.16
31,32,32,Brad Lardon,59,37.25,38,102,+0.13
32,33,33,Jeff Sluman,118,37.24,73,196,-0.11
33,34,34,Dicky Pride,51,37.23,35,94,-0.11
34,35,35,Billy Mayfair,99,37.01,57,154,-0.14
35,36,36,Brandel Chamblee,85,36.88,59,160,-0.03
36,37,37,Brad Elder,76,36.76,50,136,-0.12
37,38,38,Fred Funk,106,36.63,74,202,-0.14
38,39,39,Joe Durant,87,36.62,52,142,-0.23
39,40,40,Bradley Hughes,60,36.61,41,112,+0.02
40,41,41,Scott Dunlap,74,36.57,49,134,+0.06
41,42,42,Esteban Toledo,106,36.56,68,186,-0.18
42,43,43,Gary Nicklaus,66,36.51,46,126,+0.26
43,44,44,José María Olazábal,71,36.46,35,96,-0.26
44,45,45,Donnie Hammond,60,36.27,37,102,-0.05
45,46,46,Bob May,91,36.26,62,171,-0.05
46,47,47,Jim Furyk,88,36.23,50,138,-0.02
47,48,48,David Frost,90,36.14,60,166,-0.03
48,49,49,Len Mattiace,106,36.11,65,180,-0.06
49,50,50,Robert Gamez,69,36.07,44,122,-0.14
50,51,51,Jim Carter,98,35.98,59,164,-0.15
51,52,52,John Riegger,88,35.9,56,156,-0.27
52,53,53,Glen Hnatiuk,95,35.87,66,184,-0.21
53,T54,T54,Paul Azinger,69,35.85,38,106,-0.05
54,T54,T54,David Morland IV,58,35.85,38,106,E
55,56,56,Miguel Angel Jiménez,60,35.42,34,96,-0.21
56,57,57,Jay Williamson,91,35.29,60,170,-0.13
57,58,58,Jeff Brehaut,87,35.19,57,162,+0.04
58,59,59,Jeff Gove,89,35.12,59,168,-0.03
59,T60,T60,Retief Goosen,56,35.0,28,80,-0.11
60,T60,T60,Matt Kuchar,82,35.0,49,140,-0.18
61,62,62,Scott Verplank,93,34.87,53,152,-0.13
62,63,63,Greg Kraft,86,34.81,55,158,-0.07
63,64,64,Scott Simpson,61,34.75,41,118,-0.02
64,65,65,Craig Barlow,62,34.55,38,110,-0.13
65,T66,T66,Stewart Cink,92,34.51,49,142,-0.08
66,T66,T66,John Cook,85,34.51,49,142,-0.22
67,68,68,Briny Baird,110,34.47,71,206,-0.06
68,69,69,Kent Jones,105,34.41,64,186,-0.05
69,T70,T70,Mike Hulbert,55,34.38,33,96,-0.09
70,T70,T70,Corey Pavin,78,34.38,44,128,+0.09
71,72,72,Mike Sposa,111,34.29,72,210,-0.14
72,T73,T73,Bob Estes,93,34.25,50,146,-0.16
73,T73,T73,Mike Weir,94,34.25,50,146,-0.06
74,75,75,Blaine McCallister,75,34.09,45,132,-0.20
75,76,76,Mark O'Meara,68,34.04,32,94,-0.13
