,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Sergio Garcia,79,-.257
1,2,2,Tommy Armour III,82,-.111
2,3,3,Fulton Allem,64,-.105
3,4,4,Jonathan Byrd,96,-.079
4,5,5,Kirk Triplett,84,-.071
5,6,6,Tom Lehman,78,-.069
6,7,7,"David Berganio, Jr.",80,-.043
7,8,8,John Huston,99,-.037
8,9,9,Woody Austin,102,-.032
9,10,10,Hal Sutton,74,-.027
10,11,11,Tom Byrum,77,-.026
11,12,12,Robert Gamez,69,-.023
12,13,13,Tim Herron,102,-.013
13,T14,T14,John Cook,85,E
14,T14,T14,Bernhard Langer,55,E
15,T14,T14,Chris Smith,103,E
16,17,17,Phil Tataurangi,88,+.016
17,T18,T18,Tommy Tolles,64,+.018
18,T18,T18,David Toms,106,+.018
19,20,20,Michael Long,71,+.019
20,21,21,Vijay Singh,102,+.020
21,22,22,Pat Bates,94,+.022
22,23,23,Dan Forsman,83,+.024
23,24,24,Stephen Ames,89,+.025
24,25,25,Jim Carter,98,+.026
25,T26,T26,Edward Fryatt,94,+.032
26,T26,T26,Bob Heintz,68,+.032
27,28,28,Matt Kuchar,82,+.036
28,29,29,Dennis Paulson,89,+.039
29,30,30,K.J. Choi,93,+.045
30,31,31,Phil Mickelson,97,+.048
31,T32,T32,Paul Claxton,83,+.059
32,T32,T32,Brian Watts,58,+.059
33,34,34,Bart Bryant,69,+.061
34,T35,T35,Greg Kraft,86,+.063
35,T35,T35,Heath Slocum,96,+.063
36,37,37,Jesper Parnevik,85,+.065
37,38,38,Jonathan Kaye,83,+.066
38,T39,T39,John Riegger,88,+.067
39,T39,T39,Tiger Woods,69,+.067
40,41,41,Brett Quigley,93,+.070
41,T42,T42,Rod Pampling,98,+.071
42,T42,T42,Duffy Waldorf,90,+.071
43,44,44,Steve Stricker,68,+.073
44,45,45,Briny Baird,110,+.074
45,46,46,Frank Lickliter II,94,+.077
46,47,47,Carlos Franco,107,+.078
47,T48,T48,José María Olazábal,71,+.079
48,T48,T48,Kaname Yokoo,74,+.079
49,50,50,Andrew Magee,91,+.085
50,51,51,Ian Leggatt,97,+.088
51,T52,T52,Bob Estes,93,+.090
52,T52,T52,Tom Pernice Jr.,101,+.090
53,T54,T54,Bryce Molder,65,+.096
54,T54,T54,Pat Perez,89,+.096
55,T56,T56,Chris DiMarco,111,+.100
56,T56,T56,Per-Ulrik Johansson,87,+.100
57,T56,T56,Kevin Sutherland,96,+.100
58,59,59,Brad Elder,76,+.102
59,T60,T60,Jeff Maggert,83,+.103
60,T60,T60,Esteban Toledo,106,+.103
61,62,62,Joel Edwards,101,+.105
62,T63,T63,Olin Browne,107,+.109
63,T63,T63,Jerry Kelly,99,+.109
64,T65,T65,Stuart Appleby,97,+.111
65,T65,T65,Steve Jones,71,+.111
66,T67,T67,Charles Howell III,118,+.113
67,T67,T67,Kenny Perry,98,+.113
68,T69,T69,Fred Couples,64,+.115
69,T69,T69,Mike Sposa,111,+.115
70,T71,T71,Harrison Frazar,88,+.117
71,T71,T71,John Rollins,124,+.117
72,73,73,John Senden,96,+.119
73,74,74,Robin Freeman,79,+.121
74,T75,T75,Tom Scherrer,98,+.123
75,T75,T75,Jeff Sluman,118,+.123
76,77,77,Glen Hnatiuk,95,+.125
77,78,78,Brad Faxon,93,+.128
78,T79,T79,Dudley Hart,88,+.130
79,T79,T79,Kent Jones,105,+.130
80,81,81,Scott McCarron,106,+.131
81,T82,T82,J.J. Henry,112,+.133
82,T82,T82,David Peoples,105,+.133
83,84,84,Grant Waite,98,+.138
84,T85,T85,Steve Lowery,98,+.139
85,T85,T85,Gary Nicklaus,66,+.139
86,T87,T87,Notah Begay III,76,+.140
87,T87,T87,Shigeki Maruyama,87,+.140
88,T87,T87,Dicky Pride,51,+.140
89,T90,T90,Retief Goosen,56,+.143
90,T90,T90,Brandt Jobe,94,+.143
91,T92,T92,Robert Allenby,96,+.145
92,T92,T92,Chad Campbell,111,+.145
93,T92,T92,Craig Parry,69,+.145
94,T92,T92,Carl Paulson,84,+.145
95,96,96,Deane Pappas,90,+.149
96,97,97,David Duval,78,+.150
97,98,98,Peter Lonard,93,+.151
98,99,99,Michael Allen,76,+.154
99,100,100,Joe Durant,87,+.160
100,T101,T101,Ben Crane,91,+.161
101,T101,T101,Mark O'Meara,68,+.161
102,T101,T101,Paul Stankowski,100,+.161
103,104,104,David Gossett,95,+.162
104,T105,T105,Jim Furyk,88,+.167
105,T105,T105,Skip Kendall,103,+.167
106,T105,T105,Joey Sindelar,104,+.167
107,T105,T105,Mike Weir,94,+.167
108,109,109,Shaun Micheel,100,+.169
109,110,110,Tripp Isenhour,68,+.170
110,111,111,Justin Leonard,97,+.175
111,112,112,Matt Peterson,80,+.176
112,113,113,Cameron Beckman,87,+.177
113,114,114,Nick Price,69,+.179
114,T115,T115,Peter Jacobsen,67,+.182
115,T115,T115,Len Mattiace,106,+.182
116,T115,T115,Billy Mayfair,99,+.182
117,118,118,Steve Allan,93,+.185
118,119,119,Jay Williamson,91,+.188
119,120,120,Bob May,91,+.192
120,121,121,Stephen Gangluff,75,+.196
121,122,122,Garrett Willis,80,+.197
122,T123,T123,Stewart Cink,92,+.200
123,T123,T123,Jess Daley,76,+.200
124,T123,T123,Bradley Hughes,60,+.200
125,T123,T123,Frank Nobilo,94,+.200
126,T123,T123,Hidemichi Tanaka,104,+.200
127,128,128,Jerry Smith,91,+.203
128,129,129,David Frost,90,+.205
129,T130,T130,Jeff Gove,89,+.206
130,T130,T130,Mike Hulbert,55,+.206
131,T132,T132,Jeff Brehaut,87,+.208
132,T132,T132,Brandel Chamblee,85,+.208
133,134,134,Scott Verplank,93,+.209
134,135,135,Brent Geiberger,95,+.212
135,136,136,Tim Petrovic,92,+.214
136,T137,T137,Brian Gay,117,+.216
137,T137,T137,Rory Sabbatini,69,+.216
138,T139,T139,Billy Andrade,100,+.217
139,T139,T139,Pete Jordan,78,+.217
140,141,141,Paul Azinger,69,+.219
141,142,142,Scott Hoch,71,+.222
142,143,143,Rocco Mediate,79,+.225
143,144,144,Davis Love III,92,+.232
144,145,145,Michael Clark II,97,+.234
145,146,146,Geoff Ogilvy,90,+.235
146,T147,T147,Rich Beem,99,+.236
147,T147,T147,Chris Riley,104,+.236
148,149,149,Fred Funk,106,+.243
149,150,150,Mark Calcavecchia,84,+.245
150,151,151,Corey Pavin,78,+.250
151,152,152,Brian Bateman,94,+.261
152,153,153,Bo Van Pelt,78,+.262
153,T154,T154,Craig Barlow,62,+.263
154,T154,T154,Blaine McCallister,75,+.263
155,T154,T154,David Morland IV,58,+.263
156,T154,T154,Richard Zokol,53,+.263
157,T158,T158,Jay Don Blake,107,+.265
158,T158,T158,Loren Roberts,93,+.265
159,T158,T158,Craig Stadler,72,+.265
160,161,161,Steve Flesch,110,+.268
161,162,162,J.L. Lewis,98,+.269
162,T163,T163,Donnie Hammond,60,+.273
163,T163,T163,J.P. Hayes,78,+.273
164,T163,T163,Brad Lardon,59,+.273
165,T163,T163,Bob Tway,103,+.273
166,T167,T167,Greg Chalmers,94,+.276
167,T167,T167,Paul Gow,99,+.276
168,169,169,Franklin Langham,72,+.278
169,170,170,Ernie Els,68,+.281
170,171,171,Brenden Pappas,62,+.286
171,172,172,Scott Dunlap,74,+.288
172,173,173,Craig Perks,91,+.289
173,174,174,Robert Damron,85,+.291
174,175,175,Neal Lancaster,101,+.292
175,176,176,Kenneth Staton,104,+.302
176,177,177,Miguel Angel Jiménez,60,+.303
177,T178,T178,Bob Burns,99,+.306
178,T178,T178,Luke Donald,106,+.306
179,180,180,Steve Elkington,82,+.311
180,181,181,Mathew Goggin,64,+.314
181,182,182,Russ Cochran,68,+.317
182,183,183,John Daly,62,+.318
183,184,184,Brett Wetterich,89,+.323
184,185,185,Brian Henninger,66,+.325
185,186,186,Mark Brooks,97,+.327
186,187,187,Jay Haas,83,+.333
187,188,188,Michael Muehr,73,+.343
188,189,189,Scott Simpson,61,+.354
189,190,190,Spike McRoy,69,+.355
190,191,191,Glen Day,107,+.366
191,192,192,Steve Pate,64,+.372
192,193,193,Lee Porter,91,+.410
193,194,194,Eduardo Herrera,59,+.411
194,195,195,Tim Clark,76,+.417
195,T196,T196,Lee Janzen,101,+.436
196,T196,T196,Boo Weekley,57,+.436
197,198,198,Jason Hill,59,+.442
198,199,199,Matt Gogel,79,+.450
199,200,200,José Coceres,51,+.452
200,201,201,Paul Goydos,66,+.476
201,202,202,Joe Ogilvie,50,+.533
