,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,John Daly,62,306.8,35594,116
1,2,2,Boo Weekley,57,297.0,33261,112
2,3,3,Mathew Goggin,64,296.1,36713,124
3,T4,T4,Charles Howell III,118,293.7,64019,218
4,T4,T4,Dennis Paulson,89,293.7,50520,172
5,6,6,Tiger Woods,69,293.3,37546,128
6,7,7,Tim Herron,102,293.2,56596,193
7,8,8,Brett Wetterich,89,292.7,49755,170
8,9,9,Chris Smith,103,292.2,54357,186
9,10,10,Rich Beem,99,292.1,54906,188
10,T11,T11,David Duval,78,290.8,40717,140
11,T11,T11,Bo Van Pelt,78,290.8,44194,152
12,13,13,Carlos Franco,107,290.7,59305,204
13,T14,T14,Jonathan Byrd,96,290.5,52864,182
14,T14,T14,Harrison Frazar,88,290.5,50540,174
15,T14,T14,Sergio Garcia,79,290.5,39504,136
16,17,17,Brenden Pappas,62,290.1,35398,122
17,18,18,Eduardo Herrera,59,290.0,33641,116
18,19,19,John Senden,96,289.9,50451,174
19,20,20,Steve Allan,93,289.7,51564,178
20,21,21,Geoff Ogilvy,90,289.4,48612,168
21,22,22,Tommy Tolles,64,289.3,35871,124
22,T23,T23,Stuart Appleby,97,289.0,50004,173
23,T23,T23,Rory Sabbatini,69,289.0,36992,128
24,25,25,Phil Mickelson,97,288.8,51406,178
25,T26,T26,Brian Bateman,94,288.6,51363,178
26,T26,T26,Fred Couples,64,288.6,34058,118
27,T26,T26,J.J. Henry,112,288.6,60606,210
28,T26,T26,Phil Tataurangi,88,288.6,48491,168
29,T30,T30,Davis Love III,92,287.7,47750,166
30,T30,T30,Carl Paulson,84,287.7,46609,162
31,32,32,Kenneth Staton,104,287.6,56952,198
32,33,33,Tripp Isenhour,68,287.4,38506,134
33,34,34,Paul Stankowski,100,287.0,55671,194
34,35,35,Ian Leggatt,97,286.9,51633,180
35,36,36,Robert Allenby,96,286.7,52179,182
36,37,37,Kenny Perry,98,286.4,53839,188
37,38,38,Stephen Gangluff,75,286.2,41792,146
38,T39,T39,Ben Crane,91,286.1,50352,176
39,T39,T39,Jonathan Kaye,83,286.1,44053,154
40,41,41,Rod Pampling,98,285.9,52035,182
41,T42,T42,Brandt Jobe,94,285.8,53150,186
42,T42,T42,J.L. Lewis,98,285.8,53738,188
43,T42,T42,Joey Sindelar,104,285.8,56582,198
44,45,45,Steve Flesch,110,285.7,57993,203
45,46,46,Vijay Singh,102,285.6,53700,188
46,T47,T47,Mark Calcavecchia,84,285.5,42259,148
47,T47,T47,Scott McCarron,106,285.5,51674,181
48,49,49,Steve Stricker,68,285.1,32502,114
49,50,50,Michael Allen,76,285.0,41608,146
50,51,51,Craig Barlow,62,284.7,32452,114
51,52,52,Duffy Waldorf,90,284.5,46660,164
52,53,53,Shaun Micheel,100,284.3,54292,191
53,54,54,Bob Heintz,68,284.2,38082,134
54,T55,T55,"David Berganio, Jr.",80,284.0,43161,152
55,T55,T55,Michael Clark II,97,284.0,51967,183
56,T55,T55,Edward Fryatt,94,284.0,50551,178
57,T58,T58,Deane Pappas,90,283.9,48265,170
58,T58,T58,Grant Waite,98,283.9,53376,188
