,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Pat Perez,89,74.07,60,81
1,2,2,Richard Johnson,50,73.33,22,30
2,3,3,Luke Donald,67,72.0,36,50
3,4,4,Davis Love III,80,67.86,38,56
4,5,5,Stephen Ames,82,67.06,57,85
5,6,6,Kevin Sutherland,89,65.82,52,79
6,7,7,Kirk Triplett,55,65.22,30,46
7,8,8,Joe Ogilvie,103,64.35,74,115
8,9,9,Vijay Singh,111,64.04,57,89
9,10,10,Geoff Ogilvy,97,62.38,63,101
10,11,11,Craig Barlow,81,62.3,38,61
11,12,12,Brett Quigley,96,62.16,69,111
12,13,13,Jim Furyk,94,61.73,50,81
13,14,14,Phil Mickelson,81,61.29,38,62
14,15,15,Padraig Harrington,50,61.11,22,36
15,16,16,Shigeki Maruyama,99,61.06,69,113
16,17,17,José María Olazábal,55,60.87,28,46
17,18,18,Tjaart van der Walt,56,60.38,32,53
18,19,19,José Coceres,56,60.32,38,63
19,20,20,Brian Davis,75,60.0,45,75
20,21,21,Mark Wilson,74,59.77,52,87
21,22,22,Charlie Wi,67,59.09,52,88
22,23,23,Omar Uresti,84,59.04,49,83
23,24,24,Mark O'Meara,66,58.9,43,73
24,T25,T25,Daniel Chopra,108,58.62,68,116
25,T25,T25,Robert Damron,89,58.62,68,116
26,T27,T27,Ben Crane,78,58.33,49,84
27,T27,T27,Ryuji Imada,78,58.33,49,84
28,29,29,Rich Beem,66,58.21,39,67
29,30,30,James Driscoll,73,58.11,43,74
30,31,31,Tim Clark,92,57.75,41,71
31,32,32,Matt Kuchar,60,57.41,31,54
32,33,33,Carl Pettersson,109,57.39,66,115
33,34,34,Brent Geiberger,61,57.38,35,61
34,T35,T35,Len Mattiace,86,57.14,76,133
35,T35,T35,Phillip Price,77,57.14,56,98
36,T35,T35,Bob Tway,87,57.14,48,84
37,T35,T35,Tiger Woods,76,57.14,36,63
38,39,39,Brian Gay,101,56.93,78,137
39,40,40,Chris Riley,67,56.72,38,67
40,41,41,Stephen Leaney,89,56.7,55,97
41,T42,T42,Sergio Garcia,73,56.6,30,53
42,T42,T42,Larry Mize,54,56.6,30,53
43,44,44,Robert Allenby,95,56.52,39,69
44,45,45,Marco Dawson,82,56.47,48,85
45,46,46,Billy Andrade,83,56.44,57,101
46,47,47,K.J. Choi,78,56.25,45,80
47,48,48,Scott Verplank,87,56.18,50,89
48,49,49,Glen Day,80,56.0,42,75
49,50,50,Freddie Jacobson,72,55.91,52,93
50,51,51,Brendan Jones,81,55.88,38,68
51,52,52,Fred Funk,102,55.83,67,120
52,53,53,Tim Herron,100,55.77,58,104
53,54,54,Mike Weir,71,55.7,44,79
54,T55,T55,Gavin Coles,70,55.67,54,97
55,T55,T55,Corey Pavin,77,55.67,54,97
56,57,57,Jeff Sluman,94,55.38,72,130
57,58,58,Dan Forsman,52,55.32,26,47
