,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Mathias Grönberg,60,64.48,236,366
1,2,2,Vijay Singh,111,64.19,371,578
2,3,3,Jim Furyk,94,63.44,321,506
3,4,4,Corey Pavin,77,63.21,311,492
4,5,5,José María Olazábal,55,63.03,208,330
5,6,6,Kevin Sutherland,89,62.91,324,515
6,7,7,Loren Roberts,54,62.73,207,330
7,8,8,Tom Pernice Jr.,111,62.43,447,716
8,9,9,Phil Mickelson,81,62.36,275,441
9,10,10,Dudley Hart,84,62.33,316,507
10,11,11,Fred Funk,102,62.28,383,615
11,12,12,Pat Perez,89,62.24,361,580
12,13,13,Kevin Na,88,62.21,382,614
13,14,14,Tiger Woods,76,62.09,249,401
14,15,15,Brian Gay,101,61.9,416,672
15,16,16,Steve Stricker,62,61.81,267,432
16,17,17,Brian Davis,75,61.77,286,463
17,T18,T18,José Coceres,56,61.72,237,384
18,T18,T18,Justin Rose,99,61.72,337,546
19,20,20,Tim Herron,100,61.71,382,619
20,21,21,Richard Johnson,50,61.67,177,287
21,22,22,Phillip Price,77,61.66,283,459
22,T23,T23,Daniel Chopra,108,61.54,416,676
23,T23,T23,Bob Estes,92,61.54,360,585
24,25,25,Carl Pettersson,109,61.47,394,641
25,26,26,Matt Kuchar,60,61.35,246,401
26,27,27,Chris DiMarco,83,61.16,296,484
27,28,28,Brett Quigley,96,61.13,357,584
28,29,29,Shigeki Maruyama,99,60.98,372,610
29,30,30,Darron Stiles,78,60.92,279,458
30,31,31,Jay Williamson,53,60.74,212,349
31,32,32,Ryuji Imada,78,60.71,306,504
32,33,33,Mark O'Meara,66,60.67,290,478
33,34,34,Steve Elkington,67,60.61,240,396
34,35,35,Stephen Ames,82,60.56,327,540
35,T36,T36,Charlie Wi,67,60.47,283,468
36,T36,T36,Mark Wilson,74,60.47,260,430
37,38,38,Rocco Mediate,73,60.35,274,454
38,39,39,Carlos Franco,78,60.3,278,461
39,40,40,Heath Slocum,103,60.28,340,564
40,41,41,Bernhard Langer,67,60.19,254,422
41,42,42,Luke Donald,67,60.12,205,341
42,43,43,Ben Crane,78,60.08,301,501
43,44,44,Jeff Sluman,94,60.04,335,558
44,45,45,Glen Day,80,60.0,321,535
