,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,T1,T1,Corey Pavin,77,0.521,31.791,61
1,T1,T1,Mike Weir,71,0.521,24.489,47
2,3,3,Padraig Harrington,50,0.47600000000000003,19.502,41
3,4,4,José María Olazábal,55,0.425,17.44,41
4,T5,T5,Luke Donald,67,0.42200000000000004,16.86,40
5,T5,T5,Jim Furyk,94,0.42200000000000004,30.385,72
6,7,7,Steve Stricker,62,0.4,23.583000000000002,59
7,8,8,Vijay Singh,111,0.39799999999999996,35.055,88
8,9,9,Brett Quigley,96,0.396,33.645,85
9,10,10,Kevin Sutherland,89,0.366,27.058000000000003,74
10,11,11,Tim Herron,100,0.359,28.03,78
11,12,12,Phil Mickelson,81,0.355,17.75,50
12,13,13,Lee Janzen,75,0.353,21.203000000000003,60
13,14,14,Shigeki Maruyama,99,0.316,26.836,85
14,15,15,Stephen Leaney,89,0.303,23.026,76
15,16,16,Paul Gow,78,0.285,19.392,68
16,17,17,Michael Allen,90,0.27899999999999997,21.487,77
17,18,18,Mark Wilson,74,0.27399999999999997,17.555,64
18,19,19,Billy Mayfair,114,0.271,27.685,102
19,20,20,Paul Azinger,66,0.268,15.828,59
20,21,21,Marco Dawson,82,0.255,20.149,79
21,T22,T22,Todd Fischer,99,0.248,21.836,88
22,T22,T22,Sergio Garcia,73,0.248,12.872,52
23,24,24,K.J. Choi,78,0.245,13.255999999999998,54
24,25,25,Franklin Langham,91,0.23399999999999999,18.051,77
25,26,26,Omar Uresti,84,0.231,17.104,74
26,27,27,Charles Howell III,95,0.22899999999999998,16.467,72
27,28,28,Mark Brooks,72,0.226,14.258,63
28,29,29,Justin Rose,99,0.223,19.842,89
29,30,30,Len Mattiace,86,0.21899999999999997,16.607,76
30,31,31,Chris Riley,67,0.20800000000000002,8.924,43
31,32,32,Glen Day,80,0.20600000000000002,15.251,74
32,33,33,Rory Sabbatini,81,0.204,12.262,60
33,34,34,Scott Verplank,87,0.203,13.392000000000001,66
34,35,35,Justin Leonard,78,0.20199999999999999,11.114,55
35,36,36,Woody Austin,100,0.2,18.159000000000002,91
36,37,37,Geoff Ogilvy,97,0.198,14.845999999999998,75
37,38,38,Aaron Baddeley,84,0.191,14.512,76
38,T39,T39,Tim Clark,92,0.188,12.231,65
39,T39,T39,Loren Roberts,54,0.188,9.031,48
40,41,41,Steve Flesch,90,0.18600000000000003,11.883,64
41,42,42,Jonathan Byrd,103,0.18100000000000002,16.975,94
42,43,43,Carl Pettersson,109,0.18,16.873,94
43,44,44,Jeff Hart,63,0.17800000000000002,10.312999999999999,58
44,45,45,Bernhard Langer,67,0.17600000000000002,8.086,46
45,46,46,David Toms,87,0.174,11.137,64
46,47,47,Ryuji Imada,78,0.17,11.368,67
47,48,48,Stuart Appleby,84,0.168,10.597999999999999,63
48,49,49,J.P. Hayes,63,0.16699999999999998,8.862,53
49,50,50,Jay Williamson,53,0.156,7.327999999999999,47
50,51,51,Charlie Wi,67,0.15,9.13,61
51,52,52,Bob Heintz,67,0.147,9.128,62
52,T53,T53,Kevin Na,88,0.14300000000000002,11.44,80
53,T53,T53,Tom Pernice Jr.,111,0.14300000000000002,12.767999999999999,89
54,T55,T55,Glen Hnatiuk,59,0.13,6.641,51
55,T55,T55,Joe Ogilvie,103,0.13,10.274000000000001,79
56,57,57,Dan Forsman,52,0.129,6.041,47
57,T58,T58,Robert Damron,89,0.128,10.224,80
58,T58,T58,Steve Elkington,67,0.128,7.065,55
59,60,60,Jay Haas,54,0.126,4.899,39
60,61,61,Jim Carter,62,0.125,6.851,55
61,62,62,J.L. Lewis,98,0.122,10.027999999999999,82
62,63,63,Bob Estes,92,0.121,9.705,80
