,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,1,1,Mark Calcavecchia,92,76.92,10.0,13
1,2,2,Lee Janzen,75,72.73,8.0,11
2,T3,T3,Sergio Garcia,73,71.43,5.0,7
3,T3,T3,Jay Haas,54,71.43,5.0,7
4,T5,T5,Scott Gutschewski,86,66.67,6.0,9
5,T5,T5,Glen Hnatiuk,59,66.67,6.0,9
6,T5,T5,Zach Johnson,96,66.67,8.0,12
7,T5,T5,Rod Pampling,89,66.67,2.0,3
8,9,9,Justin Rose,99,64.71,11.0,17
9,10,10,Freddie Jacobson,72,62.5,5.0,8
10,T11,T11,Craig Barlow,81,60.0,3.0,5
11,T11,T11,Brendan Jones,81,60.0,6.0,10
12,T11,T11,Geoff Ogilvy,97,60.0,9.0,15
13,T11,T11,Brenden Pappas,51,60.0,3.0,5
14,T11,T11,Adam Scott,72,60.0,3.0,5
15,16,16,Mike Weir,71,58.33,7.0,12
16,17,17,Dean Wilson,86,57.89,11.0,19
17,T18,T18,Stephen Ames,82,57.14,4.0,7
18,T18,T18,Ryuji Imada,78,57.14,4.0,7
19,T18,T18,Omar Uresti,84,57.14,8.0,14
20,T21,T21,Jim Furyk,94,54.55,6.0,11
21,T21,T21,Tiger Woods,76,54.55,6.0,11
22,23,23,Bob Heintz,67,53.85,7.0,13
23,24,24,Robert Damron,89,52.94,9.0,17
24,25,25,Billy Andrade,83,52.38,11.0,21
25,T26,T26,Jason Bohn,91,50.0,3.0,6
26,T26,T26,Fred Couples,72,50.0,1.0,2
27,T26,T26,Ben Curtis,65,50.0,4.0,8
28,T26,T26,James Driscoll,73,50.0,4.0,8
29,T26,T26,John Elliott,58,50.0,6.0,12
30,T26,T26,Carlos Franco,78,50.0,3.0,6
31,T26,T26,Tim Herron,100,50.0,7.0,14
32,T26,T26,Len Mattiace,86,50.0,13.0,26
