,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Mathias Grönberg,60,65.44,89,136
1,2,2,Steve Stricker,62,65.19,103,158
2,3,3,Olin Browne,99,64.32,119,185
3,4,4,Fred Funk,102,63.82,127,199
4,5,5,Carlos Franco,78,61.9,91,147
5,6,6,Tim Herron,100,61.76,105,170
6,7,7,Jim Furyk,94,61.65,82,133
7,8,8,Brian Gay,101,61.54,144,234
8,9,9,Kevin Na,88,61.03,130,213
9,10,10,José María Olazábal,55,60.64,57,94
10,11,11,Stuart Appleby,84,60.49,98,162
11,12,12,Joe Durant,81,60.48,75,124
12,13,13,Adam Scott,72,60.47,78,129
13,14,14,Bernhard Langer,67,60.38,64,106
14,15,15,Kevin Sutherland,89,60.34,105,174
15,16,16,Tom Pernice Jr.,111,59.92,145,242
16,17,17,Phil Mickelson,81,59.69,77,129
17,18,18,Tiger Woods,76,59.68,74,124
18,19,19,Tim Petrovic,97,59.42,123,207
19,20,20,Carl Pettersson,109,59.19,132,223
20,21,21,Freddie Jacobson,72,59.18,87,147
21,22,22,J.P. Hayes,63,59.12,81,137
22,23,23,Brandt Jobe,96,59.09,117,198
23,24,24,Lee Janzen,75,58.9,86,146
24,25,25,Arron Oberholser,65,58.82,70,119
25,26,26,Dudley Hart,84,58.78,87,148
26,27,27,Bob Heintz,67,58.72,101,172
27,28,28,Mark Wilson,74,58.71,91,155
28,29,29,Dan Forsman,52,58.65,61,104
29,30,30,Matt Kuchar,60,58.57,82,140
30,31,31,Phillip Price,77,58.44,90,154
31,32,32,Bill Glasson,54,58.42,59,101
32,33,33,Arjun Atwal,65,58.39,87,149
33,34,34,Loren Roberts,54,58.25,60,103
34,35,35,Neal Lancaster,95,58.14,125,215
35,36,36,Tim Clark,92,57.89,110,190
36,37,37,Bob Estes,92,57.86,92,159
37,38,38,Jerry Kelly,101,57.79,115,199
38,39,39,José Coceres,56,57.76,67,116
39,40,40,Jim Carter,62,57.72,86,149
