,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,1,Jim Furyk,94,"6' 10""",2251.417,328
1,2,2,José María Olazábal,55,"7' 3""",1581.25,218
2,T3,T3,Marco Dawson,82,"7' 4""",2933.917,401
3,T3,T3,Luke Donald,67,"7' 4""",1342.0829999999999,184
4,5,5,Vijay Singh,111,"7' 5""",3217.083,435
5,6,6,Kevin Sutherland,89,"7' 6""",2933.583,390
6,7,7,Corey Pavin,77,"7' 7""",2751.333,364
7,T8,T8,Bob Estes,92,"7' 8""",3350.0,437
8,T8,T8,Shigeki Maruyama,99,"7' 8""",3441.0,450
9,T8,T8,Brett Quigley,96,"7' 8""",3511.833,460
10,T11,T11,Woody Austin,100,"7' 9""",3970.083,511
11,T11,T11,Glen Day,80,"7' 9""",3507.667,455
12,T11,T11,Todd Fischer,99,"7' 9""",4076.083,526
13,T11,T11,Dan Forsman,52,"7' 9""",1715.0829999999999,222
14,T11,T11,Fred Funk,102,"7' 9""",3422.167,441
15,T11,T11,Jeff Hart,63,"7' 9""",2628.917,338
16,T11,T11,Mark Wilson,74,"7' 9""",2663.167,344
17,T18,T18,Adam Scott,72,"7' 10""",2021.5,257
18,T18,T18,Steve Stricker,62,"7' 10""",2687.5,344
19,T20,T20,Paul Gow,78,"7' 11""",3237.917,410
20,T20,T20,J.P. Hayes,63,"7' 11""",2371.25,300
21,T20,T20,Matt Kuchar,60,"7' 11""",2496.417,314
22,T20,T20,Phil Mickelson,81,"7' 11""",2095.667,265
23,T20,T20,Carl Pettersson,109,"7' 11""",3959.5,498
24,T20,T20,Omar Uresti,84,"7' 11""",3141.75,398
25,T26,T26,José Coceres,56,"8' 0""",2625.333,327
26,T26,T26,Tim Herron,100,"8' 0""",3485.25,435
27,T26,T26,Tom Pernice Jr.,111,"8' 0""",4344.667,544
28,T26,T26,Phillip Price,77,"8' 0""",2739.25,341
29,T26,T26,Justin Rose,99,"8' 0""",3609.833,451
30,T26,T26,Jeff Sluman,94,"8' 0""",3624.333,451
31,32,32,Peter Lonard,85,"8' 1""",2956.083,364
32,T33,T33,Stuart Appleby,84,"8' 2""",2638.0,323
33,T33,T33,Doug Barron,70,"8' 2""",2830.083,345
34,T33,T33,K.J. Choi,78,"8' 2""",2429.917,298
35,T33,T33,Stewart Cink,98,"8' 2""",2965.333,364
36,T33,T33,J.J. Henry,102,"8' 2""",3359.167,410
37,T33,T33,Ryuji Imada,78,"8' 2""",3207.083,392
38,T33,T33,Billy Mayfair,114,"8' 2""",4082.083,499
39,T33,T33,Jesper Parnevik,84,"8' 2""",3374.417,415
40,T33,T33,Chris Riley,67,"8' 2""",2338.583,286
41,T33,T33,Rory Sabbatini,81,"8' 2""",2806.667,343
42,T33,T33,Heath Slocum,103,"8' 2""",3738.417,456
43,T44,T44,Paul Azinger,66,"8' 3""",2879.667,348
44,T44,T44,Craig Barlow,81,"8' 3""",2499.833,302
45,T44,T44,Padraig Harrington,50,"8' 3""",1769.3329999999999,215
46,T44,T44,David Hearn,68,"8' 3""",2538.917,307
47,T44,T44,Richard Johnson,50,"8' 3""",1855.5829999999999,224
48,T44,T44,Bernhard Langer,67,"8' 3""",2018.3329999999999,244
