,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,Olin Browne,99,0.335,185,62.0
1,2,2,Fred Funk,102,0.36200000000000004,199,72.0
2,3,3,Joe Durant,81,0.371,124,46.0
3,4,4,Mathias Grönberg,60,0.375,136,51.0
4,5,5,Kevin Sutherland,89,0.379,174,66.0
5,6,6,Adam Scott,72,0.38,129,49.0
6,7,7,Steve Stricker,62,0.392,158,62.0
7,T8,T8,Tim Herron,100,0.39399999999999996,170,67.0
8,T8,T8,Kevin Na,88,0.39399999999999996,213,84.0
9,10,10,Stuart Appleby,84,0.395,162,64.0
10,11,11,Bernhard Langer,67,0.396,106,42.0
11,12,12,Jim Furyk,94,0.39799999999999996,133,53.0
12,13,13,Carlos Franco,78,0.408,147,60.0
13,14,14,Phil Mickelson,81,0.41100000000000003,129,53.0
14,15,15,Brian Gay,101,0.419,234,98.0
15,T16,T16,Matt Kuchar,60,0.42100000000000004,140,59.0
16,T16,T16,Tom Pernice Jr.,111,0.42100000000000004,242,102.0
17,18,18,Carl Pettersson,109,0.426,223,95.0
18,19,19,Lee Janzen,75,0.43200000000000005,146,63.0
19,T20,T20,Arjun Atwal,65,0.436,149,65.0
20,T20,T20,José María Olazábal,55,0.436,94,41.0
21,22,22,Luke Donald,67,0.439,82,36.0
22,23,23,Rocco Mediate,73,0.441,143,63.0
23,24,24,Jerry Kelly,101,0.442,199,88.0
24,T25,T25,Tim Clark,92,0.447,190,85.0
25,T25,T25,Bob Estes,92,0.447,159,71.0
26,27,27,Tim Petrovic,97,0.449,207,93.0
27,28,28,Ben Crane,78,0.45,202,91.0
28,29,29,D.J. Brigman,76,0.451,133,60.0
29,30,30,Vijay Singh,111,0.45299999999999996,203,92.0
30,31,31,Brandt Jobe,96,0.455,198,90.0
31,T32,T32,Todd Fischer,99,0.456,261,119.0
32,T32,T32,Charles Howell III,95,0.456,169,77.0
