,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
138,T137,T137,Phil Mickelson,81,"10' 5""",820.6669999999999,79,9
139,T137,T137,D.A. Points,94,"10' 5""",1209.083,116,100
140,T141,T141,John Huston,90,"10' 6""",1238.667,118,128
141,T141,T141,Justin Leonard,78,"10' 6""",806.1669999999999,77,64
142,T141,T141,Rod Pampling,89,"10' 6""",955.5830000000001,91,134
143,T141,T141,Tim Petrovic,97,"10' 6""",1230.083,117,87
144,T141,T141,Tjaart van der Walt,56,"10' 6""",775.9169999999999,74,126
145,T141,T141,Jay Williamson,53,"10' 6""",806.75,77,31
146,T147,T147,Tom Byrum,83,"10' 7""",1080.917,102,94
147,T147,T147,Harrison Frazar,105,"10' 7""",1341.5829999999999,127,74
148,T147,T147,Bob Heintz,67,"10' 7""",1177.083,111,96
149,T147,T147,Kent Jones,99,"10' 7""",1344.1670000000001,127,138
150,T147,T147,Michael Long,72,"10' 7""",998.5,94,179
151,T152,T152,Matt Davidson,53,"10' 8""",842.75,79,155
152,T152,T152,Scott McCarron,78,"10' 8""",1225.5,115,161
153,T152,T152,Sean O'Hair,103,"10' 8""",1406.5,132,103
154,T152,T152,Bo Van Pelt,112,"10' 8""",1243.833,117,114
155,T156,T156,Will MacKenzie,75,"10' 9""",690.0,64,140
156,T156,T156,Tag Ridings,93,"10' 9""",1183.5,110,163
157,158,158,Mark Hensby,70,"10' 10""",658.6669999999999,61,198
158,T159,T159,Mathias Grönberg,60,"10' 11""",733.5830000000001,67,1
159,T159,T159,David Hearn,68,"10' 11""",863.3330000000001,79,188
160,T159,T159,Thomas Levet,54,"10' 11""",568.1669999999999,52,195
161,T162,T162,Jason Allred,75,"11' 0""",1185.167,108,184
162,T162,T162,Jeff Brehaut,71,"11' 0""",734.25,67,95
163,T162,T162,Scott Gutschewski,86,"11' 0""",1015.0,92,160
164,T162,T162,Charles Howell III,95,"11' 0""",1218.417,111,68
165,T162,T162,Davis Love III,80,"11' 0""",746.0,68,48
166,T162,T162,Hunter Mahan,103,"11' 0""",1404.25,128,194
167,T168,T168,John Elliott,58,"11' 1""",1038.417,94,199
168,T168,T168,Bill Glasson,54,"11' 1""",552.6669999999999,50,151
169,T170,T170,Larry Mize,54,"11' 2""",767.8330000000001,69,72
170,T170,T170,Loren Roberts,54,"11' 2""",638.3330000000001,57,7
171,T170,T170,Mario Tiziani,67,"11' 2""",949.3330000000001,85,85
172,T170,T170,Dean Wilson,86,"11' 2""",1106.667,99,62
173,174,174,D.J. Trahan,81,"11' 3""",1116.083,99,168
174,T175,T175,Robert Allenby,95,"11' 4""",995.8330000000001,88,174
175,T175,T175,Brian Bateman,98,"11' 4""",1245.333,110,176
176,T177,T177,Ben Curtis,65,"11' 5""",880.8330000000001,77,176
177,T177,T177,Lucas Glover,88,"11' 5""",1385.5,121,129
178,T177,T177,Bradley Hughes,52,"11' 5""",869.4169999999999,76,187
179,T177,T177,Arron Oberholser,65,"11' 5""",922.4169999999999,81,59
180,T177,T177,Nick Watney,91,"11' 5""",1179.75,103,84
181,T182,T182,Steve Jones,56,"11' 6""",802.6669999999999,70,143
182,T182,T182,Joey Snyder III,102,"11' 6""",1344.9170000000001,117,182
183,T182,T182,Roland Thatcher,75,"11' 6""",884.25,77,133
184,T185,T185,Jeff Maggert,79,"11' 7""",889.5830000000001,77,167
185,T185,T185,Chris Smith,93,"11' 7""",1283.083,111,201
186,T187,T187,Shaun Micheel,81,"11' 8""",805.0830000000001,69,157
187,T187,T187,Rob Rashell,65,"11' 8""",849.3330000000001,73,166
188,T187,T187,Hidemichi Tanaka,106,"11' 8""",1676.0829999999999,144,62
189,T190,T190,D.J. Brigman,76,"11' 9""",964.5830000000001,82,193
190,T190,T190,John Rollins,97,"11' 9""",1530.9170000000001,130,175
191,T190,T190,Brett Wetterich,76,"11' 9""",1112.667,95,156
192,T193,T193,Bart Bryant,91,"11' 11""",1122.083,94,123
193,T193,T193,J.J. Henry,102,"11' 11""",1261.75,106,105
194,195,195,Arjun Atwal,65,"12' 0""",1148.75,96,162
195,T196,T196,Skip Kendall,80,"12' 1""",1246.917,103,119
196,T196,T196,Charles Warren,89,"12' 1""",1284.75,106,200
197,198,198,Brandt Jobe,96,"12' 2""",1326.5829999999999,109,124
198,199,199,Steve Elkington,67,"12' 3""",967.4169999999999,79,34
199,200,200,Patrick Sheehan,114,"12' 10""",1461.6670000000001,114,130
200,201,201,Lee Westwood,50,"13' 1""",484.083,37,178
201,202,202,Joe Durant,81,"14' 3""",1339.0829999999999,94,115
