,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
0,1,1,Kirk Triplett,55,"2' 10""",167.583,60,50
1,T2,T2,Glen Day,80,"2' 11""",405.0,138,45
2,T2,T2,Mathias Grönberg,60,"2' 11""",345.583,119,1
3,T2,T2,Thomas Levet,54,"2' 11""",171.333,59,195
4,5,5,Jerry Kelly,101,"3' 0""",432.583,144,71
5,T6,T6,Jeff Hart,63,"3' 1""",322.0,104,49
6,T6,T6,Len Mattiace,86,"3' 1""",341.0,110,106
7,T6,T6,Omar Uresti,84,"3' 1""",419.25,135,47
8,9,9,Hideto Tanihara,50,"3' 2""",271.0,85,190
9,T10,T10,Jeff Brehaut,71,"3' 3""",263.0,80,95
10,T10,T10,Brian Davis,75,"3' 3""",336.75,104,17
11,T10,T10,Dudley Hart,84,"3' 3""",413.083,126,10
12,T10,T10,Tim Herron,100,"3' 3""",398.083,123,20
13,T10,T10,Ryuji Imada,78,"3' 3""",369.583,114,32
14,T10,T10,Richard Johnson,50,"3' 3""",237.583,73,21
15,T10,T10,Dean Wilson,86,"3' 3""",421.833,129,62
16,T17,T17,Marco Dawson,82,"3' 4""",438.667,131,60
17,T17,T17,Todd Fischer,99,"3' 4""",519.5830000000001,156,82
18,T17,T17,Dan Forsman,52,"3' 4""",240.75,73,46
19,T17,T17,Scott Gutschewski,86,"3' 4""",400.333,119,160
20,T17,T17,Padraig Harrington,50,"3' 4""",199.667,60,170
21,T17,T17,Bob Heintz,67,"3' 4""",325.25,98,96
22,T17,T17,Davis Love III,80,"3' 4""",298.83299999999997,90,48
23,T17,T17,Geoff Ogilvy,97,"3' 4""",442.333,132,92
24,T17,T17,Brett Quigley,96,"3' 4""",357.583,107,28
25,T17,T17,Jeff Sluman,94,"3' 4""",467.583,142,44
26,T27,T27,Daniel Chopra,108,"3' 5""",625.75,185,23
27,T27,T27,Ben Curtis,65,"3' 5""",303.83299999999997,90,176
28,T27,T27,Robert Damron,89,"3' 5""",483.75,141,93
29,T27,T27,Steve Flesch,90,"3' 5""",403.25,117,159
30,T27,T27,Jim Furyk,94,"3' 5""",363.667,107,3
31,T27,T27,Paul Gow,78,"3' 5""",456.5,134,75
32,T27,T27,Hank Kuehne,84,"3' 5""",451.833,131,182
33,T27,T27,Michael Long,72,"3' 5""",388.083,113,179
34,T27,T27,Kevin Na,88,"3' 5""",515.6669999999999,150,13
35,T27,T27,Tom Pernice Jr.,111,"3' 5""",582.6669999999999,172,8
36,T27,T27,Rob Rashell,65,"3' 5""",410.167,119,166
37,T27,T27,Steve Stricker,62,"3' 5""",346.167,101,16
38,T39,T39,Mark Brooks,72,"3' 6""",335.75,96,79
39,T39,T39,Fred Couples,72,"3' 6""",283.75,81,168
40,T39,T39,Bill Glasson,54,"3' 6""",279.75,80,151
41,T39,T39,Justin Leonard,78,"3' 6""",355.75,102,64
42,T39,T39,Tim Petrovic,97,"3' 6""",461.667,133,87
43,T39,T39,Vijay Singh,111,"3' 6""",527.0,151,2
44,T39,T39,Duffy Waldorf,86,"3' 6""",512.25,146,148
45,T46,T46,Alex Cejka,84,"3' 7""",520.25,146,142
46,T46,T46,Lucas Glover,88,"3' 7""",541.6669999999999,152,129
47,T46,T46,Kent Jones,99,"3' 7""",486.75,137,138
48,T46,T46,Neal Lancaster,95,"3' 7""",562.0830000000001,157,90
49,T46,T46,Bernhard Langer,67,"3' 7""",291.0,82,41
50,T46,T46,Rod Pampling,89,"3' 7""",480.25,134,134
51,T46,T46,Phillip Price,77,"3' 7""",464.917,129,22
52,T46,T46,John Senden,101,"3' 7""",557.75,155,80
53,T46,T46,Bob Tway,87,"3' 7""",361.667,100,67
54,T46,T46,Tjaart van der Walt,56,"3' 7""",317.75,88,126
55,T46,T46,Tiger Woods,76,"3' 7""",340.333,96,14
56,T57,T57,Tommy Armour III,103,"3' 8""",544.1669999999999,150,113
57,T57,T57,Jonathan Byrd,103,"3' 8""",507.5,139,99
58,T57,T57,Stewart Cink,98,"3' 8""",418.5,113,53
59,T57,T57,John Daly,78,"3' 8""",442.167,120,192
60,T57,T57,Glen Hnatiuk,59,"3' 8""",269.41700000000003,73,173
61,T57,T57,Peter Lonard,85,"3' 8""",451.25,123,152
62,T57,T57,Brenden Pappas,51,"3' 8""",328.333,90,197
63,T57,T57,Kenny Perry,82,"3' 8""",398.0,109,70
64,T57,T57,Carl Pettersson,109,"3' 8""",547.0830000000001,149,25
65,T57,T57,Adam Scott,72,"3' 8""",402.0,109,150
66,T67,T67,Steve Allan,102,"3' 9""",592.9169999999999,158,117
67,T67,T67,Jason Bohn,91,"3' 9""",502.5,135,69
68,T67,T67,Tom Byrum,83,"3' 9""",485.667,130,94
69,T67,T67,Brad Faxon,75,"3' 9""",367.5,99,97
70,T67,T67,J.P. Hayes,63,"3' 9""",355.833,95,55
71,T67,T67,Mark Hensby,70,"3' 9""",287.83299999999997,76,198
72,T67,T67,Jeff Maggert,79,"3' 9""",434.583,115,167
73,T67,T67,Rocco Mediate,73,"3' 9""",467.833,124,38
74,T67,T67,Kevin Sutherland,89,"3' 9""",477.167,127,6
75,T67,T67,Mike Weir,71,"3' 9""",332.917,89,81
76,T77,T77,John Huston,90,"3' 10""",571.5,150,128
77,T77,T77,Zach Johnson,96,"3' 10""",533.25,138,109
78,T77,T77,J.L. Lewis,98,"3' 10""",548.6669999999999,143,87
79,T77,T77,Arron Oberholser,65,"3' 10""",331.0,87,59
80,T77,T77,Pat Perez,89,"3' 10""",619.4169999999999,160,12
81,T77,T77,Loren Roberts,54,"3' 10""",286.83299999999997,75,7
82,T77,T77,Justin Rose,99,"3' 10""",679.8330000000001,177,18
83,T77,T77,Heath Slocum,103,"3' 10""",610.4169999999999,159,40
84,T77,T77,Mark Wilson,74,"3' 10""",355.167,93,36
85,T86,T86,Woody Austin,100,"3' 11""",639.5,165,119
86,T86,T86,D.J. Brigman,76,"3' 11""",427.333,110,193
87,T86,T86,K.J. Choi,78,"3' 11""",377.333,97,89
88,T86,T86,John Elliott,58,"3' 11""",368.667,95,199
89,T86,T86,Carlos Franco,78,"3' 11""",500.333,127,39
90,T86,T86,Brian Gay,101,"3' 11""",683.5830000000001,173,15
91,T86,T86,Hunter Haas,83,"3' 11""",522.1669999999999,133,112
92,T86,T86,David Hearn,68,"3' 11""",360.5,93,188
93,T86,T86,Scott Hend,75,"3' 11""",454.0,117,196
94,T86,T86,Tom Lehman,69,"3' 11""",345.333,88,121
95,T86,T86,Steve Lowery,100,"3' 11""",682.4169999999999,173,137
96,T86,T86,Larry Mize,54,"3' 11""",283.25,73,72
97,T86,T86,Dennis Paulson,63,"3' 11""",422.833,108,191
98,T86,T86,Craig Perks,67,"3' 11""",360.583,93,202
99,T86,T86,Darron Stiles,78,"3' 11""",519.4169999999999,133,30
100,T86,T86,Hidemichi Tanaka,106,"3' 11""",594.75,152,62
101,T86,T86,Nick Watney,91,"3' 11""",541.25,138,84
102,T86,T86,Charlie Wi,67,"3' 11""",480.583,124,36
103,T86,T86,Jay Williamson,53,"3' 11""",291.5,75,31
104,T105,T105,Doug Barron,70,"4' 0""",399.417,100,52
105,T105,T105,Brian Bateman,98,"4' 0""",632.0,158,176
106,T105,T105,Rich Beem,66,"4' 0""",339.25,85,189
107,T105,T105,Paul Claxton,79,"4' 0""",503.0,126,146
108,T105,T105,Brent Geiberger,61,"4' 0""",417.333,104,164
109,T105,T105,Jay Haas,54,"4' 0""",364.667,91,116
110,T105,T105,Brandt Jobe,96,"4' 0""",636.1669999999999,159,124
111,T105,T105,Jonathan Kaye,77,"4' 0""",394.333,99,132
112,T105,T105,Matt Kuchar,60,"4' 0""",449.333,113,26
113,T105,T105,Franklin Langham,91,"4' 0""",573.5,143,125
114,T105,T105,Frank Lickliter II,100,"4' 0""",642.9169999999999,160,186
115,T105,T105,Shaun Micheel,81,"4' 0""",448.417,111,157
116,T105,T105,Sean O'Hair,103,"4' 0""",572.5830000000001,142,103
117,T105,T105,José María Olazábal,55,"4' 0""",281.5,70,5
118,T105,T105,Greg Owen,84,"4' 0""",500.333,124,101
119,T105,T105,Ted Purdy,122,"4' 0""",754.1669999999999,188,158
120,T105,T105,John Rollins,97,"4' 0""",547.6669999999999,138,175
121,T105,T105,Rory Sabbatini,81,"4' 0""",494.75,123,108
122,T105,T105,Joey Sindelar,104,"4' 0""",732.1669999999999,183,76
123,T105,T105,Chris Smith,93,"4' 0""",559.0,140,201
