,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,T1,Craig Barlow,81,100.0,5.0,5
1,T1,T1,Cameron Beckman,96,100.0,7.0,7
2,T1,T1,Jeff Brehaut,71,100.0,4.0,4
3,T1,T1,Glen Hnatiuk,59,100.0,3.0,3
4,T1,T1,Ryuji Imada,78,100.0,1.0,1
5,T1,T1,Hank Kuehne,84,100.0,6.0,6
6,T1,T1,Davis Love III,80,100.0,3.0,3
7,T1,T1,Larry Mize,54,100.0,1.0,1
8,T1,T1,José María Olazábal,55,100.0,3.0,3
9,T1,T1,Kenny Perry,82,100.0,5.0,5
10,T1,T1,Loren Roberts,54,100.0,2.0,2
11,T1,T1,Hideto Tanihara,50,100.0,5.0,5
12,T1,T1,Kirk Triplett,55,100.0,1.0,1
13,14,14,Geoff Ogilvy,97,88.89,8.0,9
14,15,15,Matt Davidson,53,87.5,7.0,8
15,T16,T16,José Coceres,56,85.71,6.0,7
16,T16,T16,Stephen Leaney,89,85.71,6.0,7
17,T16,T16,Phil Mickelson,81,85.71,6.0,7
18,T16,T16,Tjaart van der Walt,56,85.71,6.0,7
19,T20,T20,Rich Beem,66,83.33,5.0,6
20,T20,T20,Alex Cejka,84,83.33,10.0,12
21,T20,T20,Brett Quigley,96,83.33,5.0,6
22,T20,T20,Steve Stricker,62,83.33,5.0,6
23,T24,T24,Tom Pernice Jr.,111,81.82,9.0,11
24,T24,T24,Hidemichi Tanaka,106,81.82,9.0,11
25,T26,T26,Stephen Ames,82,80.0,12.0,15
26,T26,T26,D.J. Brigman,76,80.0,4.0,5
27,T26,T26,Mark Brooks,72,80.0,8.0,10
28,T26,T26,Brian Davis,75,80.0,4.0,5
