,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Jeff Brehaut,71,65.31,64,98
1,2,2,Tom Pernice Jr.,111,65.15,86,132
2,3,3,Jim Furyk,94,63.37,64,101
3,4,4,Steve Elkington,67,63.01,46,73
4,5,5,Darron Stiles,78,62.5,75,120
5,6,6,Justin Rose,99,62.14,64,103
6,7,7,José María Olazábal,55,61.76,42,68
7,8,8,Fred Funk,102,60.95,64,105
8,9,9,Jay Williamson,53,60.76,48,79
9,10,10,Brad Faxon,75,60.36,67,111
10,11,11,Tim Herron,100,60.33,73,121
11,12,12,Mark O'Meara,66,60.0,66,110
12,13,13,Mario Tiziani,67,59.79,58,97
13,14,14,Steve Jones,56,59.72,43,72
14,15,15,Adam Scott,72,59.62,31,52
15,16,16,Ben Curtis,65,59.55,53,89
16,17,17,Charlie Wi,67,59.46,66,111
17,18,18,Dean Wilson,86,59.42,82,138
18,19,19,Corey Pavin,77,59.41,60,101
19,20,20,J.J. Henry,102,59.4,79,133
20,21,21,Shaun Micheel,81,59.29,67,113
21,22,22,Ryuji Imada,78,59.2,74,125
22,23,23,Shigeki Maruyama,99,59.0,59,100
23,24,24,Nick Watney,91,58.62,68,116
24,25,25,Patrick Sheehan,114,58.49,93,159
25,26,26,Phil Mickelson,81,58.23,46,79
26,27,27,Jay Haas,54,58.18,32,55
27,28,28,Joey Snyder III,102,58.12,68,117
28,29,29,K.J. Choi,78,58.11,43,74
29,30,30,Bob Estes,92,57.89,77,133
30,31,31,Bob Heintz,67,57.85,70,121
31,32,32,Richard Johnson,50,57.69,30,52
32,33,33,Charles Howell III,95,57.65,49,85
33,34,34,Mark Brooks,72,57.48,73,127
34,35,35,Justin Bolli,65,57.45,54,94
35,36,36,Luke Donald,67,57.41,31,54
36,37,37,Brett Quigley,96,57.34,82,143
37,T38,T38,Brian Davis,75,57.14,60,105
38,T38,T38,Jeff Sluman,94,57.14,52,91
39,40,40,Jonathan Byrd,103,57.06,93,163
40,41,41,Paul Claxton,79,57.02,69,121
41,T42,T42,Carlos Franco,78,56.99,53,93
42,T42,T42,Jonathan Kaye,77,56.99,53,93
43,44,44,Davis Love III,80,56.96,45,79
44,T45,T45,Stuart Appleby,84,56.82,50,88
45,T45,T45,Sergio Garcia,73,56.82,25,44
46,T45,T45,Vaughn Taylor,99,56.82,75,132
47,48,48,Jesper Parnevik,84,56.69,72,127
48,49,49,Heath Slocum,103,56.64,64,113
49,T50,T50,Joe Durant,81,56.57,56,99
50,T50,T50,Steve Stricker,62,56.57,56,99
51,52,52,Scott McCarron,78,56.56,69,122
52,53,53,Dudley Hart,84,56.52,65,115
53,54,54,David Toms,87,56.38,53,94
54,55,55,Hidemichi Tanaka,106,56.29,85,151
55,T56,T56,Vijay Singh,111,56.25,54,96
56,T56,T56,Roland Thatcher,75,56.25,63,112
57,58,58,Joe Ogilvie,103,55.86,62,111
58,59,59,Robert Gamez,91,55.83,67,120
59,60,60,Hunter Haas,83,55.63,84,151
60,61,61,Tiger Woods,76,55.56,35,63
61,62,62,Pat Perez,89,55.46,66,119
62,63,63,Jeff Hart,63,55.45,61,110
63,64,64,Chris Riley,67,55.43,51,92
64,65,65,Daniel Chopra,108,55.4,77,139
65,T66,T66,James Driscoll,73,55.36,62,112
66,T66,T66,Sean O'Hair,103,55.36,62,112
67,68,68,Stephen Ames,82,55.21,53,96
68,T69,T69,Fred Couples,72,55.17,32,58
69,T69,T69,Omar Uresti,84,55.17,64,116
70,71,71,Justin Leonard,78,54.95,50,91
71,72,72,John Rollins,97,54.92,67,122
72,T73,T73,Chris DiMarco,83,54.76,46,84
73,T73,T73,Mathias Grönberg,60,54.76,46,84
74,T73,T73,D.A. Points,94,54.76,69,126
75,76,76,Rocco Mediate,73,54.74,52,95
76,77,77,Chris Anderson,66,54.39,62,114
77,78,78,Paul Gow,78,54.37,56,103
78,79,79,J.P. Hayes,63,54.35,50,92
79,80,80,Skip Kendall,80,54.31,63,116
80,81,81,Aaron Baddeley,84,54.24,64,118
81,82,82,Robert Damron,89,54.23,77,142
82,83,83,Jason Bohn,91,54.17,65,120
83,84,84,Matt Kuchar,60,54.0,54,100
84,85,85,D.J. Trahan,81,53.91,62,115
85,86,86,Carl Pettersson,109,53.89,90,167
86,87,87,Doug Barron,70,53.75,43,80
87,88,88,Kenny Perry,82,53.73,36,67
88,89,89,Scott Gutschewski,86,53.7,58,108
89,90,90,Bart Bryant,91,53.61,52,97
90,91,91,Harrison Frazar,105,53.19,75,141
91,92,92,Rich Beem,66,53.16,42,79
92,93,93,Neal Lancaster,95,53.15,76,143
93,94,94,Loren Roberts,54,53.09,43,81
94,95,95,Stewart Cink,98,53.06,52,98
95,96,96,Thomas Levet,54,53.01,44,83
96,97,97,Ben Crane,78,52.94,45,85
97,98,98,Brian Gay,101,52.9,73,138
98,99,99,Matt Gogel,78,52.89,64,121
99,100,100,Joey Sindelar,104,52.8,66,125
100,101,101,Kent Jones,99,52.52,73,139
101,T102,T102,John Huston,90,52.34,67,128
102,T102,T102,Kevin Stadler,96,52.34,67,128
103,104,104,Len Mattiace,86,52.3,91,174
104,105,105,Greg Owen,84,52.17,60,115
105,106,106,Tommy Armour III,103,52.1,62,119
106,107,107,Tom Gillis,77,52.08,50,96
107,108,108,Billy Mayfair,114,52.07,63,121
108,109,109,Brandt Jobe,96,52.0,65,125
109,110,110,Tim Petrovic,97,51.88,69,133
110,111,111,Peter Lonard,85,51.79,58,112
111,112,112,Glen Hnatiuk,59,51.76,44,85
112,T113,T113,Danny Briggs,70,51.69,46,89
113,T113,T113,Mark Wilson,74,51.69,46,89
114,115,115,José Coceres,56,51.55,50,97
115,116,116,Bob Tway,87,51.46,53,103
116,117,117,Tom Lehman,69,51.35,38,74
117,118,118,Ted Purdy,122,51.25,82,160
118,T119,T119,Alex Cejka,84,51.11,46,90
119,T119,T119,J.L. Lewis,98,51.11,69,135
120,121,121,Tjaart van der Walt,56,51.06,48,94
121,T122,T122,Marco Dawson,82,51.02,50,98
122,T122,T122,Lucas Glover,88,51.02,50,98
123,124,124,Paul Azinger,66,50.94,54,106
124,125,125,Zach Johnson,96,50.89,57,112
125,126,126,Arron Oberholser,65,50.85,30,59
126,127,127,Cameron Beckman,96,50.69,73,144
127,128,128,Jerry Kelly,101,50.53,48,95
128,T129,T129,Jason Allred,75,50.0,54,108
129,T129,T129,Mark Calcavecchia,92,50.0,43,86
130,T129,T129,Glen Day,80,50.0,70,140
131,T129,T129,Todd Fischer,99,50.0,77,154
132,T129,T129,Franklin Langham,91,50.0,68,136
133,T129,T129,Stephen Leaney,89,50.0,47,94
134,T129,T129,Kevin Na,88,50.0,67,134
135,T129,T129,Rory Sabbatini,81,50.0,47,94
136,137,137,Steve Allan,102,49.65,71,143
137,138,138,Brendan Jones,81,49.6,62,125
138,139,139,Gavin Coles,70,49.5,50,101
139,140,140,Rod Pampling,89,49.48,48,97
140,141,141,Tim Clark,92,49.44,44,89
141,142,142,Scott Verplank,87,49.41,42,85
142,143,143,Jeff Maggert,79,49.38,40,81
143,144,144,Mike Weir,71,49.3,35,71
144,145,145,Will MacKenzie,75,49.18,60,122
145,146,146,Kevin Sutherland,89,49.12,56,114
146,147,147,Steve Flesch,90,48.98,48,98
147,148,148,Bernhard Langer,67,48.05,37,77
148,149,149,John Cook,72,48.0,36,75
149,150,150,Woody Austin,100,47.9,57,119
150,T151,T151,Arjun Atwal,65,47.87,45,94
151,T151,T151,David Hearn,68,47.87,45,94
152,153,153,Steve Lowery,100,47.86,67,140
153,154,154,Geoff Ogilvy,97,47.75,53,111
154,T155,T155,D.J. Brigman,76,47.73,63,132
155,T155,T155,Rob Rashell,65,47.73,42,88
156,T157,T157,Brian Bateman,98,47.06,72,153
157,T157,T157,Bo Van Pelt,112,47.06,56,119
158,159,159,Tag Ridings,93,46.9,68,145
159,160,160,Jim Carter,62,46.75,36,77
160,T161,T161,Michael Allen,90,46.67,56,120
161,T161,T161,Briny Baird,98,46.67,63,135
162,163,163,Todd Hamilton,94,46.61,55,118
163,164,164,Lee Westwood,50,46.43,26,56
164,T165,T165,Billy Andrade,83,46.32,44,95
165,T165,T165,Brent Geiberger,61,46.32,44,95
166,167,167,Dan Forsman,52,45.83,33,72
167,168,168,Freddie Jacobson,72,45.56,41,90
168,T169,T169,Craig Barlow,81,45.54,46,101
169,T169,T169,Dennis Paulson,63,45.54,51,112
170,171,171,Hank Kuehne,84,45.38,54,119
171,172,172,Phillip Price,77,45.37,49,108
172,173,173,Hunter Mahan,103,45.32,63,139
173,174,174,Lee Janzen,75,45.3,53,117
174,T175,T175,Matt Davidson,53,45.28,48,106
175,T175,T175,Ian Poulter,62,45.28,24,53
176,177,177,Brett Wetterich,76,45.1,46,102
177,178,178,Duffy Waldorf,86,44.79,43,96
178,179,179,Andrew Magee,82,44.76,64,143
179,180,180,John Senden,101,44.53,57,128
180,181,181,John Daly,78,44.21,42,95
181,182,182,Michael Long,72,44.14,49,111
182,183,183,Tom Byrum,83,44.07,52,118
183,184,184,Ryan Palmer,101,43.44,53,122
184,185,185,John Elliott,58,43.27,45,104
185,186,186,Olin Browne,99,43.12,47,109
186,T187,T187,Robert Allenby,95,42.86,45,105
187,T187,T187,Hideto Tanihara,50,42.86,36,84
188,189,189,Bradley Hughes,52,42.53,37,87
189,190,190,Larry Mize,54,41.67,30,72
190,191,191,Chris Smith,93,41.27,52,126
191,192,192,Bill Glasson,54,40.85,29,71
192,193,193,Retief Goosen,71,40.82,20,49
193,194,194,Frank Lickliter II,100,40.8,51,125
194,195,195,Padraig Harrington,50,40.68,24,59
195,196,196,Chad Campbell,95,40.63,39,96
196,197,197,Scott Hend,75,40.59,41,101
197,198,198,Brenden Pappas,51,38.78,38,98
198,199,199,Mark Hensby,70,38.37,33,86
199,200,200,Charles Warren,89,38.32,41,107
200,201,201,Kirk Triplett,55,38.24,26,68
201,202,202,Craig Perks,67,36.19,38,105
