,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Justin Leonard,78,-.096,73,-7.00
1,2,2,Richard Johnson,50,-.080,50,-4.00
2,3,3,Mathias Grönberg,60,-.058,86,-5.00
3,4,4,Phil Mickelson,81,-.033,60,-2.00
4,5,5,Luke Donald,67,-.023,43,-1.00
5,6,6,Jerry Kelly,101,-.018,110,-2.00
6,7,7,Patrick Sheehan,114,-.007,135,-1.00
7,T8,T8,Kent Jones,99,E,110,E
8,T8,T8,Phillip Price,77,E,96,E
9,T8,T8,Loren Roberts,54,E,70,E
10,T8,T8,Rory Sabbatini,81,E,81,E
11,T8,T8,Vijay Singh,111,E,112,E
12,T8,T8,David Toms,87,E,80,E
13,T8,T8,Charlie Wi,67,E,82,E
14,T15,T15,Chris DiMarco,83,+.012,85,+1.00
15,T15,T15,J.P. Hayes,63,+.012,82,+1.00
16,17,17,Chad Campbell,95,+.013,79,+1.00
17,18,18,Jason Allred,75,+.014,70,+1.00
18,19,19,Mike Weir,71,+.017,59,+1.00
19,T20,T20,Rod Pampling,89,+.019,108,+2.00
20,T20,T20,Corey Pavin,77,+.019,105,+2.00
21,T22,T22,Brad Faxon,75,+.021,94,+2.00
22,T22,T22,Dean Wilson,86,+.021,95,+2.00
23,24,24,Scott Verplank,87,+.024,85,+2.00
24,T25,T25,Brian Bateman,98,+.025,119,+3.00
25,T25,T25,Dudley Hart,84,+.025,121,+3.00
26,T27,T27,Tom Byrum,83,+.026,116,+3.00
27,T27,T27,Kenny Perry,82,+.026,77,+2.00
28,29,29,Duffy Waldorf,86,+.028,107,+3.00
29,30,30,Hideto Tanihara,50,+.031,65,+2.00
30,31,31,Brenden Pappas,51,+.032,63,+2.00
31,T32,T32,Rich Beem,66,+.033,60,+2.00
32,T32,T32,Stewart Cink,98,+.033,90,+3.00
33,T34,T34,Bernhard Langer,67,+.034,58,+2.00
34,T34,T34,Justin Rose,99,+.034,118,+4.00
35,T36,T36,John Daly,78,+.038,80,+3.00
36,T36,T36,Joey Snyder III,102,+.038,106,+4.00
37,38,38,Dan Forsman,52,+.039,51,+2.00
38,39,39,Shigeki Maruyama,99,+.041,98,+4.00
39,40,40,Jesper Parnevik,84,+.042,119,+5.00
40,41,41,Bob Tway,87,+.043,94,+4.00
41,T42,T42,Woody Austin,100,+.044,137,+6.00
42,T42,T42,Ryuji Imada,78,+.044,91,+4.00
43,T42,T42,Darron Stiles,78,+.044,91,+4.00
44,T45,T45,K.J. Choi,78,+.045,66,+3.00
45,T45,T45,Kevin Stadler,96,+.045,132,+6.00
46,47,47,Carl Pettersson,109,+.047,107,+5.00
47,T48,T48,Retief Goosen,71,+.048,63,+3.00
48,T48,T48,Scott Gutschewski,86,+.048,105,+5.00
49,T50,T50,Sergio Garcia,73,+.050,60,+3.00
50,T50,T50,Scott Hend,75,+.050,100,+5.00
51,T50,T50,Tom Lehman,69,+.050,60,+3.00
52,T50,T50,Sean O'Hair,103,+.050,121,+6.00
53,54,54,Greg Owen,84,+.051,99,+5.00
54,T55,T55,José María Olazábal,55,+.052,58,+3.00
55,T55,T55,Pat Perez,89,+.052,97,+5.00
56,T57,T57,Andrew Magee,82,+.053,94,+5.00
57,T57,T57,Ian Poulter,62,+.053,38,+2.00
58,T57,T57,John Senden,101,+.053,150,+8.00
59,T57,T57,Steve Stricker,62,+.053,75,+4.00
60,61,61,Todd Fischer,99,+.054,129,+7.00
61,62,62,Craig Barlow,81,+.055,73,+4.00
62,T63,T63,Billy Andrade,83,+.056,108,+6.00
63,T63,T63,Carlos Franco,78,+.056,90,+5.00
64,T63,T63,Bob Heintz,67,+.056,71,+4.00
65,T66,T66,Michael Allen,90,+.057,122,+7.00
66,T66,T66,Skip Kendall,80,+.057,106,+6.00
67,T66,T66,Davis Love III,80,+.057,70,+4.00
68,T66,T66,D.A. Points,94,+.057,123,+7.00
69,T70,T70,John Elliott,58,+.058,86,+5.00
70,T70,T70,Bill Glasson,54,+.058,69,+4.00
71,T70,T70,Tim Herron,100,+.058,121,+7.00
72,T70,T70,J.L. Lewis,98,+.058,121,+7.00
73,T70,T70,Joey Sindelar,104,+.058,137,+8.00
74,75,75,Jeff Brehaut,71,+.059,68,+4.00
75,76,76,Peter Lonard,85,+.060,83,+5.00
76,77,77,Alex Cejka,84,+.061,98,+6.00
77,78,78,Rocco Mediate,73,+.062,97,+6.00
78,T79,T79,Stuart Appleby,84,+.063,64,+4.00
79,T79,T79,Jonathan Byrd,103,+.063,128,+8.00
80,T79,T79,Lee Janzen,75,+.063,80,+5.00
81,T79,T79,Brett Quigley,96,+.063,127,+8.00
82,T79,T79,Vaughn Taylor,99,+.063,111,+7.00
83,T79,T79,Mario Tiziani,67,+.063,64,+4.00
84,85,85,José Coceres,56,+.064,94,+6.00
85,T86,T86,Arjun Atwal,65,+.065,62,+4.00
86,T86,T86,Ryan Palmer,101,+.065,93,+6.00
87,88,88,Chris Smith,93,+.066,121,+8.00
88,T89,T89,Ted Purdy,122,+.067,120,+8.00
89,T89,T89,Hidemichi Tanaka,106,+.067,135,+9.00
90,91,91,Stephen Ames,82,+.069,87,+6.00
91,92,92,Kevin Na,88,+.070,129,+9.00
92,93,93,Briny Baird,98,+.071,99,+7.00
93,94,94,Hunter Mahan,103,+.073,109,+8.00
94,95,95,Lucas Glover,88,+.075,106,+8.00
95,T96,T96,Ben Crane,78,+.076,92,+7.00
96,T96,T96,Jim Furyk,94,+.076,92,+7.00
97,T96,T96,Zach Johnson,96,+.076,92,+7.00
98,99,99,Steve Lowery,100,+.078,141,+11.00
99,T100,T100,Fred Couples,72,+.079,63,+5.00
100,T100,T100,Tom Pernice Jr.,111,+.079,139,+11.00
101,102,102,Doug Barron,70,+.080,100,+8.00
102,103,103,Steve Allan,102,+.081,123,+10.00
103,104,104,Kirk Triplett,55,+.082,73,+6.00
104,T105,T105,Cameron Beckman,96,+.083,133,+11.00
105,T105,T105,Jason Bohn,91,+.083,120,+10.00
106,T105,T105,Glen Day,80,+.083,108,+9.00
107,T105,T105,Dennis Paulson,63,+.083,72,+6.00
108,109,109,Franklin Langham,91,+.084,131,+11.00
109,T110,T110,Scott McCarron,78,+.085,71,+6.00
110,T110,T110,Tiger Woods,76,+.085,71,+6.00
111,T112,T112,Harrison Frazar,105,+.086,128,+11.00
112,T112,T112,Will MacKenzie,75,+.086,93,+8.00
113,114,114,Tim Petrovic,97,+.087,104,+9.00
114,115,115,Freddie Jacobson,72,+.088,80,+7.00
115,T116,T116,Daniel Chopra,108,+.089,146,+13.00
116,T116,T116,Stephen Leaney,89,+.089,101,+9.00
117,T116,T116,Charles Warren,89,+.089,101,+9.00
118,T116,T116,Brett Wetterich,76,+.089,79,+7.00
119,120,120,Bo Van Pelt,112,+.090,133,+12.00
120,121,121,Tjaart van der Walt,56,+.091,66,+6.00
121,122,122,Padraig Harrington,50,+.093,54,+5.00
122,123,123,Kevin Sutherland,89,+.094,106,+10.00
123,124,124,Geoff Ogilvy,97,+.095,95,+9.00
124,T125,T125,Charles Howell III,95,+.096,104,+10.00
125,T125,T125,Brendan Jones,81,+.096,94,+9.00
126,127,127,Len Mattiace,86,+.097,93,+9.00
127,T128,T128,Bob Estes,92,+.098,122,+12.00
128,T128,T128,Steve Flesch,90,+.098,82,+8.00
129,130,130,Billy Mayfair,114,+.099,131,+13.00
130,T131,T131,Steve Elkington,67,+.100,70,+7.00
131,T131,T131,Jay Haas,54,+.100,70,+7.00
132,T131,T131,Omar Uresti,84,+.100,110,+11.00
133,T134,T134,Robert Gamez,91,+.102,127,+13.00
134,T134,T134,Jeff Maggert,79,+.102,98,+10.00
135,T134,T134,Arron Oberholser,65,+.102,59,+6.00
136,T134,T134,Rob Rashell,65,+.102,88,+9.00
137,T138,T138,Mark Brooks,72,+.103,87,+9.00
138,T138,T138,Nick Watney,91,+.103,97,+10.00
139,140,140,Matt Kuchar,60,+.104,77,+8.00
140,T141,T141,Marco Dawson,82,+.105,105,+11.00
141,T141,T141,Paul Gow,78,+.105,114,+12.00
142,143,143,Glen Hnatiuk,59,+.106,66,+7.00
143,T144,T144,Jonathan Kaye,77,+.107,75,+8.00
144,T144,T144,Heath Slocum,103,+.107,121,+13.00
145,T146,T146,Chris Anderson,66,+.108,83,+9.00
146,T146,T146,Aaron Baddeley,84,+.108,102,+11.00
147,148,148,Hank Kuehne,84,+.110,109,+12.00
148,T149,T149,Jeff Hart,63,+.111,99,+11.00
149,T149,T149,Mark Wilson,74,+.111,90,+10.00
150,T151,T151,Brent Geiberger,61,+.113,80,+9.00
151,T151,T151,Steve Jones,56,+.113,80,+9.00
152,153,153,Mark Calcavecchia,92,+.115,131,+15.00
153,154,154,Danny Briggs,70,+.116,86,+10.00
154,155,155,Brandt Jobe,96,+.118,119,+14.00
155,156,156,Brian Gay,101,+.119,143,+17.00
156,T157,T157,Paul Azinger,66,+.120,92,+11.00
157,T157,T157,Chris Riley,67,+.120,75,+9.00
158,159,159,Olin Browne,99,+.121,99,+12.00
159,160,160,Gavin Coles,70,+.122,98,+12.00
160,161,161,Tag Ridings,93,+.124,113,+14.00
161,162,162,Matt Gogel,78,+.126,95,+12.00
162,163,163,Jay Williamson,53,+.128,86,+11.00
163,164,164,Bart Bryant,91,+.131,99,+13.00
164,165,165,James Driscoll,73,+.132,91,+12.00
165,166,166,Fred Funk,102,+.133,98,+13.00
166,T167,T167,David Hearn,68,+.134,82,+11.00
167,T167,T167,Larry Mize,54,+.134,67,+9.00
168,T169,T169,Hunter Haas,83,+.135,89,+12.00
169,T169,T169,Craig Perks,67,+.135,96,+13.00
170,171,171,Mark O'Meara,66,+.136,88,+12.00
171,172,172,Michael Long,72,+.137,95,+13.00
172,T173,T173,Matt Davidson,53,+.141,64,+9.00
173,T173,T173,D.J. Trahan,81,+.141,99,+14.00
174,175,175,Justin Bolli,65,+.143,84,+12.00
175,T176,T176,Tommy Armour III,103,+.145,138,+20.00
176,T176,T176,Jeff Sluman,94,+.145,131,+19.00
177,178,178,Bradley Hughes,52,+.147,75,+11.00
178,179,179,Tim Clark,92,+.148,88,+13.00
179,T180,T180,Brian Davis,75,+.151,106,+16.00
180,T180,T180,Shaun Micheel,81,+.151,93,+14.00
181,182,182,John Rollins,97,+.152,112,+17.00
182,183,183,John Huston,90,+.153,118,+18.00
183,184,184,Frank Lickliter II,100,+.157,121,+19.00
184,185,185,Roland Thatcher,75,+.161,62,+10.00
185,186,186,J.J. Henry,102,+.164,110,+18.00
186,187,187,D.J. Brigman,76,+.165,85,+14.00
187,188,188,Joe Durant,81,+.167,84,+14.00
188,189,189,Robert Allenby,95,+.172,93,+16.00
189,190,190,Ben Curtis,65,+.178,73,+13.00
190,191,191,Lee Westwood,50,+.179,56,+10.00
191,192,192,Robert Damron,89,+.185,119,+22.00
192,193,193,Joe Ogilvie,103,+.186,113,+21.00
193,194,194,Adam Scott,72,+.194,62,+12.00
194,195,195,Neal Lancaster,95,+.196,112,+22.00
195,T196,T196,Paul Claxton,79,+.200,90,+18.00
196,T196,T196,Mark Hensby,70,+.200,55,+11.00
197,198,198,Tom Gillis,77,+.203,118,+24.00
198,199,199,Jim Carter,62,+.216,97,+21.00
199,200,200,Thomas Levet,54,+.222,45,+10.00
200,201,201,John Cook,72,+.226,93,+21.00
201,202,202,Todd Hamilton,94,+.241,108,+26.00
