,Scrambling_from__10_yards_RANK THIS WEEK,Scrambling_from__10_yards_RANK LAST WEEK,Scrambling_from__10_yards_PLAYER NAME,Scrambling_from__10_yards_ROUNDS,Scrambling_from__10_yards_%,Scrambling_from__10_yards_SUCCESSES,Scrambling_from__10_yards_ATTEMPTS
0,1,1,José María Olazábal,55,96.15,50,52
1,2,2,Jerry Kelly,101,94.74,108,114
2,3,3,Steve Stricker,62,93.67,74,79
3,4,4,Loren Roberts,54,93.55,58,62
4,5,5,Dudley Hart,84,92.63,88,95
5,6,6,Tjaart van der Walt,56,92.31,60,65
6,7,7,Kirk Triplett,55,91.67,44,48
7,8,8,Mathias Grönberg,60,91.58,87,95
8,9,9,Padraig Harrington,50,91.49,43,47
9,10,10,Brett Quigley,96,91.11,82,90
10,11,11,Lucas Glover,88,90.91,100,110
11,12,12,Jeff Brehaut,71,90.77,59,65
12,13,13,Kevin Na,88,90.6,106,117
13,14,14,Glen Hnatiuk,59,90.57,48,53
14,15,15,Tom Pernice Jr.,111,90.51,124,137
15,16,16,Olin Browne,99,90.29,93,103
16,17,17,Jason Bohn,91,90.0,90,100
17,18,18,Ben Curtis,65,89.71,61,68
18,19,19,Bob Heintz,67,89.61,69,77
19,20,20,Geoff Ogilvy,97,89.58,86,96
20,21,21,Brenden Pappas,51,89.39,59,66
21,T22,T22,Jonathan Byrd,103,89.29,100,112
22,T22,T22,Scott Gutschewski,86,89.29,75,84
23,24,24,Stuart Appleby,84,89.16,74,83
24,25,25,Matt Davidson,53,89.06,57,64
25,26,26,Glen Day,80,88.99,97,109
26,T27,T27,John Daly,78,88.89,80,90
27,T27,T27,Justin Leonard,78,88.89,64,72
28,29,29,Neal Lancaster,95,88.79,103,116
29,30,30,Rocco Mediate,73,88.78,87,98
30,31,31,Gavin Coles,70,88.76,79,89
31,32,32,Omar Uresti,84,88.68,94,106
32,33,33,Bob Tway,87,88.61,70,79
33,34,34,Carlos Franco,78,88.46,92,104
34,35,35,Carl Pettersson,109,88.43,107,121
35,36,36,Brian Gay,101,88.41,122,138
36,37,37,J.P. Hayes,63,88.31,68,77
37,38,38,Davis Love III,80,88.06,59,67
38,39,39,Bernhard Langer,67,87.88,58,66
39,T40,T40,Brian Davis,75,87.8,72,82
40,T40,T40,Heath Slocum,103,87.8,108,123
41,42,42,Charles Howell III,95,87.78,79,90
42,43,43,Vijay Singh,111,87.69,114,130
43,44,44,Tim Herron,100,87.63,85,97
44,T45,T45,Zach Johnson,96,87.5,91,104
45,T45,T45,Phillip Price,77,87.5,91,104
46,T47,T47,Marco Dawson,82,87.38,90,103
47,T47,T47,Rod Pampling,89,87.38,90,103
48,T49,T49,Stewart Cink,98,87.36,76,87
49,T49,T49,Michael Long,72,87.36,76,87
50,T49,T49,Corey Pavin,77,87.36,76,87
51,52,52,Hideto Tanihara,50,87.3,55,63
52,53,53,Hidemichi Tanaka,106,87.27,96,110
53,54,54,Steve Lowery,100,87.22,116,133
54,T55,T55,Bill Glasson,54,87.1,54,62
55,T55,T55,Kenny Perry,82,87.1,81,93
56,57,57,Lee Janzen,75,86.9,73,84
57,T58,T58,Kevin Sutherland,89,86.87,86,99
58,T58,T58,Nick Watney,91,86.87,86,99
59,60,60,Steve Flesch,90,86.81,79,91
60,T61,T61,Chris DiMarco,83,86.73,85,98
61,T61,T61,Hank Kuehne,84,86.73,85,98
62,63,63,Shigeki Maruyama,99,86.61,110,127
63,64,64,Joey Sindelar,104,86.49,128,148
64,65,65,Tim Petrovic,97,86.32,82,95
65,66,66,Darron Stiles,78,86.27,88,102
66,67,67,Brandt Jobe,96,86.18,106,123
67,68,68,Bob Estes,92,86.13,118,137
68,T69,T69,Paul Gow,78,86.11,93,108
69,T69,T69,Jay Haas,54,86.11,62,72
70,T69,T69,Mark O'Meara,66,86.11,62,72
71,72,72,Mark Wilson,74,86.08,68,79
72,73,73,Tom Byrum,83,85.98,92,107
73,74,74,Rich Beem,66,85.94,55,64
74,T75,T75,Michael Allen,90,85.85,91,106
75,T75,T75,John Huston,90,85.85,91,106
76,T75,T75,Rory Sabbatini,81,85.85,91,106
77,T78,T78,Jim Furyk,94,85.71,78,91
78,T78,T78,Thomas Levet,54,85.71,36,42
79,T78,T78,Andrew Magee,82,85.71,72,84
80,81,81,Phil Mickelson,81,85.51,59,69
81,82,82,Jeff Sluman,94,85.47,100,117
82,83,83,Brendan Jones,81,85.45,94,110
83,84,84,David Toms,87,85.23,75,88
84,85,85,Jonathan Kaye,77,85.19,69,81
85,T86,T86,K.J. Choi,78,85.14,63,74
86,T86,T86,Arron Oberholser,65,85.14,63,74
87,88,88,Cameron Beckman,96,85.12,103,121
88,T89,T89,Jeff Maggert,79,85.11,80,94
89,T89,T89,Jesper Parnevik,84,85.11,80,94
90,91,91,D.A. Points,94,85.07,114,134
91,92,92,Ryuji Imada,78,85.06,74,87
92,93,93,Tag Ridings,93,85.05,91,107
93,94,94,Tommy Armour III,103,85.0,102,120
94,95,95,Bradley Hughes,52,84.93,62,73
95,96,96,Vaughn Taylor,99,84.82,95,112
96,97,97,Dan Forsman,52,84.75,50,59
97,98,98,Rob Rashell,65,84.71,72,85
98,T99,T99,Steve Allan,102,84.68,105,124
99,T99,T99,Joe Ogilvie,103,84.68,94,111
100,101,101,Sean O'Hair,103,84.62,88,104
101,102,102,Skip Kendall,80,84.54,82,97
102,103,103,Mark Brooks,72,84.52,71,84
103,104,104,Shaun Micheel,81,84.44,76,90
104,105,105,Mario Tiziani,67,84.42,65,77
105,106,106,Greg Owen,84,84.38,81,96
106,107,107,James Driscoll,73,84.34,70,83
107,108,108,Pat Perez,89,84.3,102,121
108,109,109,Craig Perks,67,84.29,59,70
109,110,110,Charlie Wi,67,84.27,75,89
110,111,111,Bo Van Pelt,112,84.09,111,132
111,112,112,Stephen Leaney,89,83.96,89,106
112,113,113,Richard Johnson,50,83.87,52,62
113,114,114,Paul Azinger,66,83.78,62,74
114,115,115,Franklin Langham,91,83.76,98,117
115,116,116,Arjun Atwal,65,83.75,67,80
116,T117,T117,Jeff Hart,63,83.72,72,86
117,T117,T117,Will MacKenzie,75,83.72,72,86
118,119,119,Luke Donald,67,83.67,41,49
119,120,120,Woody Austin,100,83.59,107,128
120,121,121,Justin Bolli,65,83.53,71,85
121,T122,T122,José Coceres,56,83.5,86,103
122,T122,T122,John Rollins,97,83.5,86,103
123,T124,T124,John Senden,101,83.46,106,127
124,T124,T124,Patrick Sheehan,114,83.46,111,133
125,T126,T126,Todd Hamilton,94,83.33,80,96
126,T126,T126,Len Mattiace,86,83.33,70,84
127,T126,T126,Tiger Woods,76,83.33,60,72
128,129,129,Fred Funk,102,83.2,104,125
129,130,130,Chad Campbell,95,83.16,79,95
130,131,131,Brad Faxon,75,83.12,64,77
131,132,132,Daniel Chopra,108,83.11,123,148
132,133,133,Retief Goosen,71,83.05,49,59
133,134,134,David Hearn,68,82.93,68,82
134,T135,T135,Aaron Baddeley,84,82.88,92,111
135,T135,T135,Kent Jones,99,82.88,92,111
136,137,137,Billy Mayfair,114,82.84,111,134
137,138,138,Scott Verplank,87,82.8,77,93
138,139,139,Craig Barlow,81,82.76,72,87
139,140,140,Robert Gamez,91,82.68,105,127
140,141,141,Freddie Jacobson,72,82.67,62,75
141,142,142,Justin Rose,99,82.48,113,137
142,143,143,Hunter Mahan,103,82.14,92,112
143,T144,T144,Stephen Ames,82,81.82,72,88
144,T144,T144,Kevin Stadler,96,81.82,108,132
145,146,146,Hunter Haas,83,81.73,85,104
146,147,147,Matt Kuchar,60,81.72,76,93
147,148,148,Danny Briggs,70,81.71,67,82
148,149,149,Dean Wilson,86,81.63,80,98
149,150,150,Ben Crane,78,81.61,71,87
150,151,151,Alex Cejka,84,81.58,93,114
151,152,152,Adam Scott,72,81.48,66,81
152,153,153,Brett Wetterich,76,81.32,74,91
153,154,154,Ted Purdy,122,81.16,112,138
154,155,155,Ryan Palmer,101,81.13,86,106
155,156,156,Roland Thatcher,75,81.11,73,90
156,157,157,Steve Elkington,67,81.03,47,58
157,158,158,Scott Hend,75,81.01,64,79
158,159,159,Billy Andrade,83,80.87,93,115
159,160,160,Jim Carter,62,80.82,59,73
160,161,161,Peter Lonard,85,80.81,80,99
161,162,162,Scott McCarron,78,80.6,54,67
162,163,163,Mark Calcavecchia,92,80.42,115,143
163,164,164,Larry Mize,54,80.36,45,56
164,T165,T165,Todd Fischer,99,80.33,98,122
165,T165,T165,Frank Lickliter II,100,80.33,98,122
166,167,167,John Elliott,58,80.3,53,66
167,168,168,D.J. Trahan,81,80.22,73,91
168,169,169,J.L. Lewis,98,80.17,93,116
169,T170,T170,Brian Bateman,98,80.0,100,125
170,T170,T170,John Cook,72,80.0,48,60
171,T170,T170,Chris Smith,93,80.0,84,105
172,173,173,Joe Durant,81,79.78,71,89
173,174,174,Ian Poulter,62,79.59,39,49
174,T175,T175,Bart Bryant,91,79.55,70,88
175,T175,T175,Harrison Frazar,105,79.55,105,132
176,T177,T177,Robert Allenby,95,79.49,62,78
177,T177,T177,Brent Geiberger,61,79.49,62,78
178,179,179,Fred Couples,72,79.37,50,63
179,180,180,Doug Barron,70,79.31,69,87
180,181,181,Robert Damron,89,79.13,91,115
181,182,182,Steve Jones,56,78.79,52,66
182,T183,T183,J.J. Henry,102,78.57,77,98
183,T183,T183,Dennis Paulson,63,78.57,66,84
184,185,185,Sergio Garcia,73,78.46,51,65
185,186,186,Briny Baird,98,78.22,79,101
186,187,187,D.J. Brigman,76,78.21,61,78
187,188,188,Mike Weir,71,78.13,50,64
188,189,189,Jason Allred,75,78.08,57,73
189,190,190,Duffy Waldorf,86,77.98,85,109
190,191,191,Tom Lehman,69,77.94,53,68
191,192,192,Matt Gogel,78,77.78,63,81
192,193,193,Joey Snyder III,102,77.66,73,94
193,194,194,Lee Westwood,50,77.55,38,49
194,195,195,Chris Anderson,66,76.84,73,95
195,196,196,Mark Hensby,70,76.79,43,56
196,197,197,Paul Claxton,79,76.29,74,97
197,198,198,Tom Gillis,77,76.19,80,105
198,199,199,Charles Warren,89,75.45,83,110
199,200,200,Chris Riley,67,75.0,51,68
200,201,201,Jay Williamson,53,73.85,48,65
201,202,202,Tim Clark,92,73.33,66,90
