,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Pat Perez,89,62.96,85,135,25.0
1,2,2,Tim Clark,92,62.7,79,126,18.0
2,3,3,Stephen Ames,82,61.42,78,127,38.0
3,4,4,Brett Quigley,96,60.87,98,161,36.0
4,5,5,Mike Weir,71,60.83,73,120,36.0
5,6,6,Davis Love III,80,60.78,62,102,22.0
6,7,7,Kevin Sutherland,89,60.0,75,125,21.0
7,8,8,Ben Crane,78,59.83,70,117,35.0
8,9,9,Luke Donald,67,59.77,52,87,26.0
9,10,10,Joe Ogilvie,103,59.65,102,171,45.0
10,11,11,Jim Furyk,94,58.68,71,121,21.0
11,12,12,Richard Johnson,50,58.18,32,55,7.0
12,13,13,Vijay Singh,111,57.42,89,155,12.0
13,14,14,Rory Sabbatini,81,57.38,70,122,36.0
14,15,15,Phil Mickelson,81,57.26,67,117,23.0
15,16,16,Geoff Ogilvy,97,57.23,91,159,43.0
16,17,17,Phillip Price,77,56.91,70,123,40.0
17,18,18,Lee Janzen,75,56.6,60,106,41.0
18,19,19,José María Olazábal,55,56.58,43,76,22.0
19,20,20,Robert Damron,89,56.46,83,147,48.0
20,21,21,Gavin Coles,70,56.3,67,119,45.0
21,T22,T22,Brent Geiberger,61,56.25,45,80,30.0
22,T22,T22,Carl Pettersson,109,56.25,90,160,40.0
23,T22,T22,Kirk Triplett,55,56.25,36,64,21.0
24,25,25,Brian Gay,101,55.9,90,161,60.0
25,26,26,Jeff Sluman,94,55.76,92,165,52.0
26,27,27,Ryuji Imada,78,55.64,74,133,35.0
27,28,28,Mark Wilson,74,55.45,61,110,32.0
28,29,29,Tjaart van der Walt,56,55.42,46,83,21.0
29,30,30,Freddie Jacobson,72,55.38,72,130,47.0
30,31,31,Justin Leonard,78,55.36,62,112,27.0
31,32,32,Omar Uresti,84,55.28,68,123,39.0
32,33,33,Brian Davis,75,55.24,58,105,31.0
33,34,34,Fred Couples,72,55.21,53,96,18.0
34,35,35,Shigeki Maruyama,99,55.19,85,154,48.0
35,36,36,Daniel Chopra,108,55.03,93,169,48.0
36,37,37,Steve Flesch,90,54.89,73,133,36.0
37,38,38,Loren Roberts,54,54.69,35,64,28.0
38,39,39,Chris Riley,67,54.64,53,97,42.0
39,40,40,Dean Wilson,86,54.62,65,119,37.0
40,41,41,Mark Calcavecchia,92,54.61,83,152,43.0
41,42,42,Retief Goosen,71,54.55,36,66,20.0
42,43,43,Larry Mize,54,54.43,43,79,25.0
43,44,44,Stewart Cink,98,54.41,74,136,46.0
44,45,45,Justin Rose,99,54.38,87,160,38.0
45,46,46,Tiger Woods,76,54.21,58,107,25.0
46,47,47,Mark O'Meara,66,54.08,53,98,45.0
47,48,48,James Driscoll,73,54.03,67,124,32.0
48,49,49,Charlie Wi,67,53.98,61,113,35.0
49,T50,T50,Stephen Leaney,89,53.49,69,129,42.0
50,T50,T50,Scott Verplank,87,53.49,69,129,43.0
51,52,52,Steve Allan,102,53.29,81,152,48.0
52,53,53,Kevin Na,88,53.25,82,154,57.0
53,T54,T54,K.J. Choi,78,52.94,72,136,52.0
54,T54,T54,Bernhard Langer,67,52.94,63,119,42.0
55,56,56,John Senden,101,52.9,73,138,36.0
56,57,57,José Coceres,56,52.69,49,93,32.0
57,58,58,Cameron Beckman,96,52.55,72,137,41.0
58,59,59,Corey Pavin,77,52.5,63,120,48.0
59,60,60,Craig Barlow,81,52.48,53,101,28.0
60,61,61,Billy Andrade,83,52.45,75,143,39.0
61,62,62,Andrew Magee,82,52.34,67,128,49.0
62,63,63,Chris DiMarco,83,52.29,57,109,40.0
63,64,64,Len Mattiace,86,52.27,92,176,76.0
64,65,65,Charles Howell III,95,52.23,82,157,49.0
65,66,66,Fred Funk,102,52.12,86,165,62.0
66,67,67,Marco Dawson,82,51.97,66,127,38.0
67,T68,T68,Glen Day,80,51.92,54,104,30.0
68,T68,T68,Sean O'Hair,103,51.92,81,156,48.0
69,70,70,Bob Tway,87,51.26,61,119,42.0
70,71,71,Billy Mayfair,114,51.2,85,166,39.0
71,72,72,Doug Barron,70,51.04,49,96,28.0
72,73,73,Carlos Franco,78,51.02,50,98,28.0
73,74,74,J.P. Hayes,63,50.98,52,102,33.0
74,75,75,Craig Perks,67,50.91,56,110,42.0
75,76,76,Aaron Baddeley,84,50.78,65,128,50.0
76,77,77,Brendan Jones,81,50.48,53,105,35.0
77,78,78,Rich Beem,66,50.47,54,107,40.0
78,79,79,Franklin Langham,91,50.39,64,127,46.0
79,80,80,D.A. Points,94,50.36,69,137,46.0
80,81,81,Tim Herron,100,50.3,84,167,46.0
81,T82,T82,Glen Hnatiuk,59,50.0,42,84,30.0
82,T82,T82,Darron Stiles,78,50.0,60,120,43.0
83,T82,T82,Hidemichi Tanaka,106,50.0,79,158,48.0
84,T82,T82,Mario Tiziani,67,50.0,51,102,36.0
85,86,86,Zach Johnson,96,49.65,70,141,62.0
86,87,87,Jason Bohn,91,49.6,62,125,43.0
87,88,88,Olin Browne,99,49.59,61,123,54.0
88,89,89,Arron Oberholser,65,49.54,54,109,41.0
89,90,90,Sergio Garcia,73,49.53,53,107,26.0
90,T91,T91,Matt Kuchar,60,49.37,39,79,27.0
91,T91,T91,Ryan Palmer,101,49.37,78,158,60.0
92,93,93,Tag Ridings,93,49.25,66,134,44.0
93,94,94,Tom Byrum,83,49.11,55,112,54.0
94,95,95,Stuart Appleby,84,49.09,54,110,43.0
95,96,96,Jonathan Byrd,103,49.08,80,163,52.0
96,97,97,Brenden Pappas,51,49.06,26,53,21.0
97,98,98,J.L. Lewis,98,48.87,65,133,39.0
98,99,99,Rod Pampling,89,48.78,60,123,40.0
99,100,100,Mark Brooks,72,48.72,57,117,65.0
100,101,101,Brad Faxon,75,48.7,56,115,44.0
101,102,102,John Daly,78,48.67,55,113,47.0
102,103,103,Justin Bolli,65,48.65,54,111,40.0
103,104,104,Dan Forsman,52,48.61,35,72,19.0
104,105,105,Scott Hend,75,48.57,68,140,32.0
105,106,106,Steve Stricker,62,48.48,48,99,45.0
106,107,107,Mark Hensby,70,48.45,47,97,45.0
107,108,108,Todd Fischer,99,48.37,74,153,49.0
108,109,109,Vaughn Taylor,99,48.3,71,147,46.0
109,110,110,Bob Estes,92,48.28,70,145,50.0
110,111,111,Dudley Hart,84,48.21,54,112,46.0
111,112,112,Ian Poulter,62,48.18,53,110,49.0
112,T113,T113,Tom Gillis,77,48.06,62,129,49.0
113,T113,T113,Heath Slocum,103,48.06,62,129,54.0
114,115,115,Robert Gamez,91,48.0,72,150,60.0
115,116,116,Danny Briggs,70,47.9,57,119,49.0
116,117,117,D.J. Trahan,81,47.83,55,115,26.0
117,118,118,Greg Owen,84,47.79,65,136,42.0
118,119,119,Kent Jones,99,47.74,74,155,56.0
119,T120,T120,Jeff Hart,63,47.62,40,84,35.0
120,T120,T120,Hideto Tanihara,50,47.62,40,84,37.0
121,T120,T120,David Toms,87,47.62,50,105,37.0
122,123,123,Robert Allenby,95,47.41,55,116,37.0
123,124,124,Neal Lancaster,95,47.4,73,154,47.0
124,125,125,Ted Purdy,122,47.34,89,188,59.0
125,126,126,Padraig Harrington,50,47.06,32,68,19.0
126,127,127,Paul Gow,78,46.97,62,132,42.0
127,128,128,Jay Williamson,53,46.88,45,96,29.0
128,129,129,Paul Azinger,66,46.85,52,111,50.0
129,130,130,Steve Elkington,67,46.67,49,105,39.0
130,131,131,Tim Petrovic,97,46.62,69,148,61.0
131,132,132,Michael Allen,90,46.48,66,142,48.0
132,133,133,Tom Pernice Jr.,111,46.47,79,170,61.0
133,134,134,Hunter Haas,83,46.32,63,136,50.0
134,135,135,Woody Austin,100,46.06,76,165,72.0
135,136,136,Hank Kuehne,84,46.0,69,150,61.0
136,137,137,Chris Anderson,66,45.95,51,111,53.0
137,138,138,Bob Heintz,67,45.9,56,122,49.0
138,T139,T139,Tom Lehman,69,45.79,49,107,47.0
139,T139,T139,Jeff Maggert,79,45.79,49,107,38.0
140,141,141,John Huston,90,45.58,67,147,59.0
141,142,142,Tommy Armour III,103,45.52,61,134,54.0
142,143,143,Matt Gogel,78,45.38,59,130,73.0
143,144,144,Jerry Kelly,101,45.26,62,137,54.0
144,145,145,Bo Van Pelt,112,45.06,73,162,45.0
145,T146,T146,Michael Long,72,44.95,49,109,43.0
146,T146,T146,Dennis Paulson,63,44.95,49,109,48.0
147,148,148,Steve Lowery,100,44.87,70,156,45.0
148,149,149,Will MacKenzie,75,44.58,37,83,35.0
149,150,150,Alex Cejka,84,44.44,60,135,45.0
150,151,151,Chad Campbell,95,44.37,63,142,50.0
151,152,152,Jay Haas,54,44.32,39,88,43.0
152,153,153,Arjun Atwal,65,44.25,50,113,37.0
153,154,154,John Cook,72,44.17,53,120,49.0
154,155,155,Matt Davidson,53,44.09,41,93,44.0
155,156,156,Nick Watney,91,43.85,57,130,40.0
