,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
169,T167,T167,Aron Price,89,"8' 0""",4144.417,516,93
170,T167,T167,John Rollins,92,"8' 0""",4830.833,606,93
171,T172,T172,Brian Bateman,55,"8' 1""",2688.917,332,158
172,T172,T172,Derek Fathauer,63,"8' 1""",3130.0,387,161
173,T172,T172,J.B. Holmes,74,"8' 1""",3816.333,470,174
174,T172,T172,Martin Laird,72,"8' 1""",3743.75,462,179
175,T172,T172,Hunter Mahan,94,"8' 1""",4220.5,520,100
176,T172,T172,John Merrick,91,"8' 1""",3747.833,464,159
177,T172,T172,Nicholas Thompson,96,"8' 1""",4969.833,614,122
178,T179,T179,Eric Axley,71,"8' 2""",3837.0,470,182
179,T179,T179,Andres Romero,58,"8' 2""",2633.833,323,181
180,T181,T181,Joe Durant,62,"8' 3""",2310.417,281,176
181,T181,T181,Greg Kraft,51,"8' 3""",2405.333,291,177
182,T181,T181,Gary Woodland,53,"8' 3""",2210.0,267,184
183,184,184,Marc Turnesa,77,"9' 1""",4619.333,507,170
