,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Mark Brooks,55,0.591,44,26.0
1,2,2,Tiger Woods,64,0.596,52,31.0
2,3,3,Mark Wilson,99,0.653,75,49.0
3,4,4,Matt Kuchar,82,0.6559999999999999,64,42.0
4,5,5,Brandt Snedeker,81,0.667,78,52.0
5,6,6,Steve Stricker,81,0.685,54,37.0
6,7,7,Boo Weekley,79,0.696,56,39.0
7,8,8,Tim Petrovic,97,0.703,91,64.0
8,9,9,Bob Estes,78,0.7140000000000001,91,65.0
9,10,10,Spencer Levin,75,0.7240000000000001,87,63.0
10,11,11,Luke Donald,79,0.725,91,66.0
11,12,12,Tim Clark,81,0.7290000000000001,48,35.0
12,13,13,Cliff Kresge,78,0.733,90,66.0
13,14,14,Retief Goosen,74,0.7340000000000001,64,47.0
14,15,15,K.J. Choi,65,0.738,65,48.0
15,16,16,Robert Allenby,71,0.7440000000000001,43,32.0
16,17,17,Rocco Mediate,79,0.746,67,50.0
17,18,18,Brad Adamonis,70,0.747,91,68.0
18,T19,T19,Cameron Beckman,87,0.75,84,63.0
19,T19,T19,Nick O'Hern,90,0.75,92,69.0
20,T19,T19,Scott Sterling,51,0.75,48,36.0
21,T22,T22,Chris DiMarco,97,0.753,93,70.0
22,T22,T22,Brad Faxon,59,0.753,85,64.0
23,T22,T22,Bill Haas,91,0.753,85,64.0
24,T22,T22,James Nitties,86,0.753,93,70.0
25,T26,T26,Paul Goydos,79,0.754,65,49.0
26,T26,T26,Zach Johnson,94,0.754,69,52.0
27,28,28,Michael Allen,73,0.755,53,40.0
28,29,29,Bob Heintz,59,0.759,54,41.0
29,30,30,Nathan Green,104,0.764,127,97.0
30,31,31,Brian Gay,96,0.765,85,65.0
31,32,32,Ken Duke,87,0.77,74,57.0
32,T33,T33,Jason Bohn,88,0.7709999999999999,70,54.0
33,T33,T33,Michael Letzig,96,0.7709999999999999,83,64.0
34,35,35,Kevin Sutherland,96,0.772,79,61.0
35,36,36,Richard Johnson,85,0.773,97,75.0
36,37,37,Bryce Molder,69,0.775,71,55.0
37,T38,T38,Jason Gore,74,0.7759999999999999,67,52.0
38,T38,T38,Nick Watney,86,0.7759999999999999,49,38.0
39,40,40,Joe Ogilvie,85,0.777,103,80.0
40,T41,T41,J.J. Henry,97,0.779,104,81.0
41,T41,T41,Charles Howell III,99,0.779,95,74.0
42,43,43,Justin Leonard,95,0.78,82,64.0
43,T44,T44,Corey Pavin,73,0.7809999999999999,73,57.0
44,T44,T44,Heath Slocum,95,0.7809999999999999,73,57.0
45,46,46,Kenny Perry,92,0.785,65,51.0
46,T47,T47,Hunter Mahan,94,0.7859999999999999,70,55.0
47,T47,T47,Peter Tomasulo,61,0.7859999999999999,56,44.0
48,49,49,Kevin Na,91,0.789,71,56.0
49,T50,T50,Alex Cejka,82,0.792,72,57.0
50,T50,T50,John Senden,100,0.792,77,61.0
51,52,52,Jason Day,61,0.7959999999999999,54,43.0
52,T53,T53,David Mathis,82,0.7979999999999999,89,71.0
53,T53,T53,Mike Weir,85,0.7979999999999999,89,71.0
54,55,55,Stewart Cink,79,0.8,65,52.0
55,56,56,Kevin Stadler,65,0.8029999999999999,61,49.0
56,57,57,Jeff Klauk,97,0.804,92,74.0
57,T58,T58,Steve Marino,98,0.805,87,70.0
58,T58,T58,Parker McLachlin,71,0.805,123,99.0
59,T60,T60,Tim Herron,87,0.8059999999999999,108,87.0
60,T60,T60,Patrick Sheehan,51,0.8059999999999999,36,29.0
61,T60,T60,Bo Van Pelt,100,0.8059999999999999,72,58.0
62,63,63,Troy Matteson,95,0.8079999999999999,78,63.0
63,64,64,Brian Davis,103,0.809,94,76.0
64,65,65,Webb Simpson,94,0.8109999999999999,111,90.0
65,66,66,Jerry Kelly,90,0.816,76,62.0
66,67,67,Phil Mickelson,66,0.8170000000000001,60,49.0
67,68,68,Lee Janzen,74,0.821,78,64.0
68,69,69,Greg Owen,97,0.8240000000000001,74,61.0
69,T70,T70,Steve Elkington,70,0.825,57,47.0
70,T70,T70,Derek Fathauer,63,0.825,80,66.0
71,T72,T72,Matt Bettencourt,98,0.828,122,101.0
72,T72,T72,Glen Day,79,0.828,64,53.0
73,74,74,Fred Couples,54,0.83,53,44.0
74,T75,T75,Woody Austin,84,0.831,77,64.0
75,T75,T75,Chad Campbell,90,0.831,77,64.0
76,T75,T75,Kent Jones,73,0.831,59,49.0
77,78,78,Brett Quigley,92,0.8320000000000001,95,79.0
78,79,79,Stuart Appleby,79,0.835,79,66.0
79,T80,T80,Padraig Harrington,66,0.838,68,57.0
80,T80,T80,Scott Verplank,88,0.838,68,57.0
81,82,82,Greg Chalmers,85,0.84,75,63.0
82,83,83,Ben Crane,93,0.8440000000000001,64,54.0
83,T84,T84,Tom Pernice Jr.,82,0.845,71,60.0
84,T84,T84,D.A. Points,99,0.845,97,82.0
85,86,86,Scott McCarron,91,0.847,59,50.0
86,87,87,Freddie Jacobson,83,0.848,79,67.0
87,88,88,Brian Vranesh,51,0.851,47,40.0
88,T89,T89,Jim Furyk,86,0.852,61,52.0
89,T89,T89,D.J. Trahan,96,0.852,61,52.0
90,T91,T91,John Mallinger,90,0.853,68,58.0
91,T91,T91,Chris Riley,77,0.853,75,64.0
92,93,93,John Rollins,92,0.8540000000000001,96,82.0
93,T94,T94,Jonathan Byrd,89,0.857,56,48.0
94,T94,T94,Carl Pettersson,86,0.857,98,84.0
95,T94,T94,David Toms,98,0.857,63,54.0
96,97,97,Marc Turnesa,77,0.8590000000000001,92,79.0
97,98,98,Brendon Todd,53,0.86,86,74.0
98,99,99,Matt Weibring,65,0.8640000000000001,66,57.0
99,T100,T100,Ryuji Imada,85,0.865,104,90.0
100,T100,T100,Aron Price,89,0.865,96,83.0
101,102,102,Johnson Wagner,81,0.867,90,78.0
102,103,103,Kevin Streelman,97,0.87,92,80.0
103,104,104,Davis Love III,89,0.871,70,61.0
104,105,105,Ryan Palmer,78,0.872,94,82.0
105,106,106,Jeff Quinney,78,0.873,102,89.0
106,107,107,Peter Lonard,86,0.878,98,86.0
107,108,108,Steve Flesch,77,0.8809999999999999,67,59.0
108,T109,T109,Briny Baird,89,0.8859999999999999,70,62.0
109,T109,T109,Jarrod Lyle,65,0.8859999999999999,70,62.0
