,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Parker McLachlin,71,"9' 2""",713.5,78,98
1,T2,T2,Rod Pampling,72,"9' 4""",392.25,42,74
2,T2,T2,Steve Stricker,81,"9' 4""",410.417,44,2
3,4,4,Brad Adamonis,70,"9' 5""",520.0,55,36
4,5,5,Spencer Levin,75,"9' 9""",622.25,64,15
5,T6,T6,Tim Clark,81,"9' 10""",235.833,24,19
6,T6,T6,Brandt Snedeker,81,"9' 10""",480.833,49,25
7,T8,T8,Stuart Appleby,79,"10' 2""",590.4169999999999,58,160
8,T8,T8,K.J. Choi,65,"10' 2""",487.583,48,141
9,T8,T8,Freddie Jacobson,83,"10' 2""",672.5,66,51
10,T11,T11,Robert Allenby,71,"10' 3""",368.917,36,56
11,T11,T11,David Duval,56,"10' 3""",409.75,40,183
12,13,13,Tiger Woods,64,"10' 4""",473.583,46,1
13,14,14,Brian Davis,103,"10' 5""",878.25,84,95
14,T15,T15,Chris DiMarco,97,"10' 6""",619.6669999999999,59,15
15,T15,T15,Phil Mickelson,66,"10' 6""",430.25,41,109
16,T15,T15,Kevin Na,91,"10' 6""",596.8330000000001,57,6
17,T15,T15,Sean O'Hair,80,"10' 6""",418.75,40,113
18,T15,T15,Tom Pernice Jr.,82,"10' 6""",765.5,73,12
19,T15,T15,Brendon Todd,53,"10' 6""",566.5,54,180
20,T15,T15,Jimmy Walker,74,"10' 6""",515.9169999999999,49,27
21,T22,T22,Ben Crane,93,"10' 7""",486.25,46,32
22,T22,T22,Bob Estes,78,"10' 7""",530.25,50,28
23,T22,T22,Lucas Glover,93,"10' 7""",495.833,47,97
24,T22,T22,Adam Scott,53,"10' 7""",380.167,36,171
25,T22,T22,Webb Simpson,94,"10' 7""",741.4169999999999,70,17
26,T22,T22,Kevin Stadler,65,"10' 7""",359.25,34,33
27,28,28,Charley Hoffman,97,"10' 8""",702.1669999999999,66,79
28,T29,T29,Charles Howell III,99,"10' 9""",857.75,80,118
29,T29,T29,Ryan Moore,89,"10' 9""",787.6669999999999,73,46
30,T29,T29,Mark Wilson,99,"10' 9""",645.5830000000001,60,21
31,T32,T32,Jason Gore,74,"10' 10""",627.9169999999999,58,127
32,T32,T32,Davis Love III,89,"10' 10""",594.0830000000001,55,109
33,T32,T32,Rocco Mediate,79,"10' 10""",684.75,63,145
34,T32,T32,Bryce Molder,69,"10' 10""",368.083,34,37
35,T36,T36,Alex Cejka,82,"10' 11""",632.5830000000001,58,108
36,T36,T36,Stewart Cink,79,"10' 11""",446.833,41,113
37,T36,T36,Brett Quigley,92,"10' 11""",635.1669999999999,58,76
38,T39,T39,Jarrod Lyle,65,"11' 0""",460.333,42,65
39,T39,T39,Nick O'Hern,90,"11' 0""",704.1669999999999,64,70
40,T39,T39,Patrick Sheehan,51,"11' 0""",275.33299999999997,25,23
41,42,42,D.A. Points,99,"11' 1""",807.3330000000001,73,111
42,T43,T43,Matt Bettencourt,98,"11' 2""",1051.25,94,125
43,T43,T43,Matt Kuchar,82,"11' 2""",546.9169999999999,49,3
44,T43,T43,Leif Olson,51,"11' 2""",323.25,29,173
45,T43,T43,Camilo Villegas,76,"11' 2""",526.5830000000001,47,129
46,T43,T43,Mike Weir,85,"11' 2""",604.5,54,14
47,T48,T48,Jeff Overton,92,"11' 3""",799.75,71,95
48,T48,T48,Corey Pavin,73,"11' 3""",462.5,41,80
49,T48,T48,Ian Poulter,59,"11' 3""",325.16700000000003,29,4
50,T51,T51,Will MacKenzie,69,"11' 4""",488.5,43,164
51,T51,T51,Jeff Maggert,79,"11' 4""",690.5830000000001,61,68
52,T51,T51,Vaughn Taylor,88,"11' 4""",713.3330000000001,63,156
53,T54,T54,Padraig Harrington,66,"11' 5""",434.917,38,11
54,T54,T54,Ryuji Imada,85,"11' 5""",892.9169999999999,78,54
55,T54,T54,Justin Leonard,95,"11' 5""",706.25,62,63
56,T54,T54,Justin Rose,71,"11' 5""",512.4169999999999,45,87
57,T58,T58,Joe Ogilvie,85,"11' 6""",725.8330000000001,63,41
58,T58,T58,Peter Tomasulo,61,"11' 6""",424.25,37,172
59,T58,T58,Charles Warren,63,"11' 6""",573.25,50,121
60,T61,T61,Jason Bohn,88,"11' 7""",612.5,53,163
