,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Scott McCarron,91,70.63,101,143
1,2,2,Ian Poulter,59,70.53,67,95
2,3,3,Tom Pernice Jr.,82,70.08,89,127
3,4,4,Bo Van Pelt,100,70.0,91,130
4,5,5,Tiger Woods,64,69.49,41,59
5,6,6,Padraig Harrington,66,68.82,64,93
6,7,7,Kenny Perry,92,67.54,77,114
7,8,8,Glen Day,79,67.26,76,113
8,9,9,Steve Stricker,81,66.32,63,95
9,10,10,Brian Vranesh,51,65.79,50,76
10,11,11,Mark Wilson,99,65.71,92,140
11,12,12,Kirk Triplett,60,65.56,59,90
12,13,13,Jim Furyk,86,65.52,76,116
13,14,14,John Rollins,92,65.47,91,139
14,15,15,Casey Wittenberg,71,65.22,45,69
15,16,16,Ben Curtis,63,65.06,54,83
16,17,17,Spencer Levin,75,64.8,81,125
17,18,18,Greg Chalmers,85,64.75,90,139
18,19,19,Bob Estes,78,64.39,85,132
19,20,20,Webb Simpson,94,64.2,104,162
20,21,21,Michael Letzig,96,64.05,98,153
21,T22,T22,Steve Marino,98,63.91,85,133
22,T22,T22,Ryan Moore,89,63.91,85,133
23,24,24,Luke Donald,79,63.81,67,105
24,T25,T25,Jason Dufner,90,63.77,88,138
25,T25,T25,Greg Owen,97,63.77,88,138
26,T27,T27,Brian Davis,103,63.69,107,168
27,T27,T27,Tim Petrovic,97,63.69,100,157
28,29,29,Ben Crane,93,63.64,91,143
29,30,30,Bob Heintz,59,63.44,59,93
30,31,31,Johnson Wagner,81,63.43,85,134
31,32,32,Brian Gay,96,63.23,98,155
32,33,33,Jimmy Walker,74,63.0,63,100
33,34,34,Bryce Molder,69,62.89,61,97
34,35,35,Charley Hoffman,97,62.82,98,156
35,36,36,George McNeill,82,62.81,76,121
36,37,37,Paul Goydos,79,62.6,77,123
37,T38,T38,Ernie Els,70,62.35,53,85
38,T38,T38,Jeff Klauk,97,62.35,101,162
39,40,40,Rich Beem,77,62.0,62,100
40,41,41,Cliff Kresge,78,61.74,92,149
41,42,42,Steve Lowery,83,61.72,79,128
42,43,43,Michael Allen,73,61.54,72,117
43,44,44,Kevin Sutherland,96,61.27,87,142
44,45,45,Chris DiMarco,97,61.22,90,147
45,46,46,Kevin Na,91,61.16,74,121
46,47,47,Matt Kuchar,82,61.03,83,136
47,48,48,Justin Leonard,95,60.99,86,141
48,49,49,Tommy Armour III,58,60.95,64,105
49,50,50,Aron Price,89,60.87,84,138
50,51,51,Stewart Cink,79,60.82,59,97
51,52,52,Joe Ogilvie,85,60.78,93,153
52,53,53,Chad Campbell,90,60.5,72,119
53,54,54,Nick Watney,86,60.4,61,101
54,55,55,Mike Weir,85,60.33,73,121
55,56,56,Brandt Snedeker,81,60.32,76,126
56,57,57,Todd Hamilton,83,60.14,89,148
57,58,58,Jarrod Lyle,65,60.0,60,100
58,59,59,Chris Riley,77,59.84,73,122
59,60,60,Matt Jones,56,59.74,46,77
60,61,61,Chez Reavie,81,59.7,80,134
61,62,62,Matt Weibring,65,59.65,68,114
62,63,63,Troy Matteson,95,59.59,87,146
63,64,64,Jason Day,61,59.52,50,84
64,65,65,Heath Slocum,95,59.42,82,138
65,66,66,Rod Pampling,72,59.38,57,96
66,67,67,Nathan Green,104,59.36,111,187
67,68,68,James Nitties,86,59.35,73,123
68,69,69,Alex Cejka,82,59.03,85,144
69,70,70,Jason Bohn,88,59.02,72,122
70,71,71,Justin Rose,71,59.0,59,100
71,72,72,John Mallinger,90,58.78,77,131
72,73,73,Aaron Baddeley,66,58.77,67,114
73,74,74,Geoff Ogilvy,78,58.75,47,80
74,75,75,Jerry Kelly,90,58.73,74,126
75,T76,T76,Robert Garrigus,83,58.68,71,121
76,T76,T76,Anthony Kim,76,58.68,71,121
77,78,78,Richard Johnson,85,58.67,88,150
78,T79,T79,Brad Faxon,59,58.52,79,135
79,T79,T79,Scott Verplank,88,58.52,79,135
80,81,81,Bill Lunde,83,58.5,86,147
81,T82,T82,Bill Haas,91,58.33,70,120
82,T82,T82,Vijay Singh,71,58.33,49,84
83,T82,T82,Scott Sterling,51,58.33,35,60
84,85,85,Freddie Jacobson,83,58.27,74,127
85,86,86,Scott Piercy,85,58.04,65,112
86,87,87,Mark Brooks,55,57.97,40,69
87,88,88,Stuart Appleby,79,57.94,62,107
88,89,89,Brett Quigley,92,57.67,94,163
89,90,90,D.J. Trahan,96,57.55,61,106
90,91,91,Jay Williamson,69,57.32,47,82
91,92,92,Ken Duke,87,57.26,67,117
92,93,93,Corey Pavin,73,57.14,56,98
93,94,94,Tim Herron,87,56.97,94,165
94,95,95,Mathew Goggin,76,56.88,62,109
95,96,96,Zach Johnson,94,56.78,67,118
96,97,97,Y.E. Yang,83,56.76,63,111
97,98,98,Charlie Wi,92,56.58,86,152
98,99,99,Charles Howell III,99,56.38,84,149
99,T100,T100,Brad Adamonis,70,56.3,76,135
100,T100,T100,Rocco Mediate,79,56.3,67,119
101,102,102,Ryuji Imada,85,56.25,81,144
102,103,103,Davis Love III,89,56.2,68,121
103,104,104,Tim Clark,81,56.12,55,98
104,105,105,John Merrick,91,55.71,78,140
105,106,106,Derek Fathauer,63,55.67,54,97
106,107,107,Hunter Mahan,94,55.56,65,117
107,108,108,Cameron Beckman,87,55.47,71,128
108,109,109,Ryan Palmer,78,55.38,72,130
109,110,110,Camilo Villegas,76,55.32,52,94
110,111,111,Woody Austin,84,55.17,80,145
111,112,112,Jonathan Byrd,89,55.14,59,107
112,113,113,David Toms,98,55.1,81,147
113,114,114,Darron Stiles,52,55.06,49,89
114,115,115,Robert Allenby,71,54.9,56,102
115,116,116,Peter Tomasulo,61,54.88,45,82
116,117,117,Boo Weekley,79,54.81,57,104
117,118,118,David Mathis,82,54.72,87,159
118,119,119,Sergio Garcia,59,54.67,41,75
119,120,120,Steve Flesch,77,54.64,53,97
120,121,121,Carl Pettersson,86,54.61,83,152
121,122,122,Ángel Cabrera,55,54.55,36,66
122,123,123,Dustin Johnson,85,54.46,55,101
123,124,124,Matt Bettencourt,98,54.43,86,158
124,T125,T125,Peter Lonard,86,54.32,88,162
125,T125,T125,Charles Warren,63,54.32,44,81
126,127,127,Daniel Chopra,89,54.3,82,151
127,128,128,Joe Durant,62,54.29,38,70
128,129,129,Jeff Maggert,79,54.21,58,107
129,130,130,Nicholas Thompson,96,54.1,66,122
130,131,131,Kent Jones,73,54.08,53,98
131,132,132,Brendon de Jonge,90,54.03,67,124
132,T133,T133,Tom Lehman,55,53.85,28,52
