,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Mark Brooks,55,"5' 9""",599.9169999999999,104,10
1,2,2,Chris DiMarco,97,"6' 1""",1342.75,220,15
2,3,3,Darron Stiles,52,"6' 3""",689.25,111,133
3,T4,T4,Tim Clark,81,"6' 4""",890.9169999999999,141,19
4,T4,T4,Ian Poulter,59,"6' 4""",691.0,109,4
5,T6,T6,Briny Baird,89,"6' 5""",899.5,141,126
6,T6,T6,Padraig Harrington,66,"6' 5""",999.6669999999999,155,11
7,T6,T6,Jerry Kelly,90,"6' 5""",1285.583,201,45
8,T6,T6,Scott Sterling,51,"6' 5""",602.0,94,44
9,T10,T10,Phil Mickelson,66,"6' 6""",1010.9169999999999,155,109
10,T10,T10,Mike Weir,85,"6' 6""",1140.167,176,14
11,T12,T12,Fred Couples,54,"6' 7""",669.0,101,175
12,T12,T12,Bob Estes,78,"6' 7""",1169.25,178,28
13,T12,T12,Tiger Woods,64,"6' 7""",916.75,139,1
14,T15,T15,Bob Heintz,59,"6' 8""",904.8330000000001,136,26
15,T15,T15,Kevin Stadler,65,"6' 8""",804.6669999999999,120,33
16,T17,T17,Brian Gay,96,"6' 9""",1388.9170000000001,205,7
17,T17,T17,Peter Lonard,86,"6' 9""",1271.833,188,144
18,T17,T17,Jimmy Walker,74,"6' 9""",1279.25,189,27
19,T17,T17,Bubba Watson,73,"6' 9""",1058.083,156,166
20,T21,T21,Tom Lehman,55,"6' 10""",432.083,63,150
21,T21,T21,Jeff Quinney,78,"6' 10""",1126.75,165,58
22,T21,T21,David Toms,98,"6' 10""",1141.75,168,47
23,T24,T24,Freddie Jacobson,83,"6' 11""",1415.4170000000001,204,51
24,T24,T24,Zach Johnson,94,"6' 11""",1300.333,188,31
25,T24,T24,Bryce Molder,69,"6' 11""",652.5,94,37
26,T24,T24,Chris Riley,77,"6' 11""",1017.25,147,9
27,T24,T24,Steve Stricker,81,"6' 11""",1063.75,154,2
28,T29,T29,Jim Furyk,86,"7' 0""",1194.833,170,8
29,T29,T29,Jason Gore,74,"7' 0""",1003.9169999999999,143,127
30,T29,T29,Tom Pernice Jr.,82,"7' 0""",1386.0,199,12
31,T29,T29,Dean Wilson,81,"7' 0""",1239.75,177,119
32,T33,T33,Jason Dufner,90,"7' 1""",1441.0,203,52
33,T33,T33,Justin Rose,71,"7' 1""",1001.5830000000001,141,87
34,T33,T33,Patrick Sheehan,51,"7' 1""",721.9169999999999,102,23
35,T33,T33,Brendon Todd,53,"7' 1""",915.5,130,180
36,T37,T37,John Mallinger,90,"7' 2""",1347.0829999999999,189,104
37,T37,T37,Jeff Overton,92,"7' 2""",1699.25,238,95
38,T37,T37,Brett Quigley,92,"7' 2""",1183.333,166,76
39,T37,T37,Rory Sabbatini,81,"7' 2""",1291.167,181,129
40,T41,T41,Jason Bohn,88,"7' 3""",1263.583,175,163
41,T41,T41,Chad Campbell,90,"7' 3""",1213.917,168,67
42,T41,T41,Alex Cejka,82,"7' 3""",1213.25,167,108
43,T41,T41,Glen Day,79,"7' 3""",1148.0,158,43
44,T41,T41,Ken Duke,87,"7' 3""",1570.6670000000001,217,53
45,T41,T41,Steve Elkington,70,"7' 3""",1019.5,141,99
46,T41,T41,Rod Pampling,72,"7' 3""",1083.667,150,74
47,T41,T41,Vijay Singh,71,"7' 3""",1022.8330000000001,141,147
48,T41,T41,Jay Williamson,69,"7' 3""",934.6669999999999,129,86
49,T50,T50,Will MacKenzie,69,"7' 4""",1210.583,165,164
50,T50,T50,Camilo Villegas,76,"7' 4""",1038.5,141,129
51,T52,T52,Stuart Appleby,79,"7' 5""",1242.167,168,160
52,T52,T52,Brian Davis,103,"7' 5""",1712.6670000000001,230,95
53,T52,T52,Justin Leonard,95,"7' 5""",1071.167,144,63
54,T52,T52,Geoff Ogilvy,78,"7' 5""",1278.667,172,62
55,T52,T52,Pat Perez,74,"7' 5""",1347.5,182,78
56,T52,T52,Brandt Snedeker,81,"7' 5""",1117.917,150,25
57,T58,T58,Retief Goosen,74,"7' 6""",1380.0,185,64
58,T58,T58,Jeff Klauk,97,"7' 6""",1523.5829999999999,204,34
59,T58,T58,Parker McLachlin,71,"7' 6""",1477.3329999999999,198,98
60,T58,T58,Nick O'Hern,90,"7' 6""",1432.4170000000001,192,70
61,T62,T62,Aaron Baddeley,66,"7' 7""",1330.8329999999999,176,92
62,T62,T62,Bart Bryant,58,"7' 7""",1107.167,146,153
63,T62,T62,Richard Johnson,85,"7' 7""",1180.25,156,87
64,T62,T62,Steve Marino,98,"7' 7""",1506.75,199,60
65,T62,T62,Ryan Moore,89,"7' 7""",1509.5829999999999,199,46
66,T62,T62,Sean O'Hair,80,"7' 7""",1241.5,163,113
67,T62,T62,Corey Pavin,73,"7' 7""",1063.667,141,80
68,T62,T62,Tim Petrovic,97,"7' 7""",1487.8329999999999,197,5
69,T62,T62,Tag Ridings,50,"7' 7""",888.8330000000001,117,140
70,T62,T62,Vaughn Taylor,88,"7' 7""",1527.1670000000001,201,156
71,T72,T72,Woody Austin,84,"7' 8""",1616.4170000000001,210,39
72,T72,T72,Greg Chalmers,85,"7' 8""",1406.25,184,55
73,T72,T72,Ben Crane,93,"7' 8""",1424.5829999999999,186,32
