,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,T1,T1,Steve Stricker,81,"6' 6""",2228.083,341
1,T1,T1,Tiger Woods,64,"6' 6""",1537.3329999999999,236
2,T3,T3,Ian Poulter,59,"6' 10""",1763.25,258
3,T3,T3,Chris Riley,77,"6' 10""",2512.333,368
4,T5,T5,Glen Day,79,"6' 11""",2338.667,340
5,T5,T5,Brian Gay,96,"6' 11""",3345.917,483
6,T7,T7,Tim Clark,81,"7' 0""",2154.583,306
7,T7,T7,Jim Furyk,86,"7' 0""",2389.167,342
8,T7,T7,Matt Kuchar,82,"7' 0""",2840.167,406
9,T10,T10,Nathan Green,104,"7' 1""",3821.25,537
10,T10,T10,Corey Pavin,73,"7' 1""",2274.75,320
11,T10,T10,Mike Weir,85,"7' 1""",2720.833,384
12,T13,T13,Ernie Els,70,"7' 2""",2076.0,289
13,T13,T13,Kevin Stadler,65,"7' 2""",1962.1670000000001,273
14,T13,T13,Darron Stiles,52,"7' 2""",1665.25,232
15,T16,T16,Jarrod Lyle,65,"7' 3""",1970.6670000000001,271
16,T16,T16,Tom Pernice Jr.,82,"7' 3""",3150.833,435
17,T18,T18,Chris DiMarco,97,"7' 4""",3604.0,492
18,T18,T18,Spencer Levin,75,"7' 4""",2460.917,335
19,T18,T18,Tim Petrovic,97,"7' 4""",3517.583,478
20,T18,T18,Jimmy Walker,74,"7' 4""",2677.25,366
21,T22,T22,Alex Cejka,82,"7' 5""",2726.5,368
22,T22,T22,Bill Lunde,83,"7' 5""",2826.083,383
23,T22,T22,Kevin Na,91,"7' 5""",3309.917,445
24,T22,T22,Casey Wittenberg,71,"7' 5""",2104.25,285
25,T26,T26,Bryce Molder,69,"7' 6""",1967.4170000000001,262
26,T26,T26,Nick O'Hern,90,"7' 6""",3290.75,439
27,T26,T26,Kirk Triplett,60,"7' 6""",2213.25,294
28,T29,T29,K.J. Choi,65,"7' 7""",1930.0829999999999,254
29,T29,T29,Ken Duke,87,"7' 7""",3206.833,425
30,T29,T29,Padraig Harrington,66,"7' 7""",2168.333,285
31,T29,T29,J.J. Henry,97,"7' 7""",3068.417,403
32,T29,T29,Freddie Jacobson,83,"7' 7""",3140.167,412
33,T29,T29,Justin Leonard,95,"7' 7""",2880.0,379
34,T29,T29,Brett Quigley,92,"7' 7""",2904.083,382
35,T29,T29,Rory Sabbatini,81,"7' 7""",2682.0,355
36,T29,T29,Scott Sterling,51,"7' 7""",1444.6670000000001,191
37,T29,T29,Jay Williamson,69,"7' 7""",1957.9170000000001,259
38,T39,T39,Mark Brooks,55,"7' 8""",1878.9170000000001,245
39,T39,T39,Chad Campbell,90,"7' 8""",2534.583,330
40,T39,T39,Ben Crane,93,"7' 8""",3409.25,443
41,T39,T39,Charles Howell III,99,"7' 8""",3223.417,420
42,T39,T39,Chez Reavie,81,"7' 8""",2910.083,381
43,T39,T39,Vijay Singh,71,"7' 8""",2143.667,280
44,T39,T39,Dean Wilson,81,"7' 8""",2840.667,371
45,T46,T46,Bob Estes,78,"7' 9""",2977.167,384
46,T46,T46,Zach Johnson,94,"7' 9""",3076.25,395
47,T46,T46,Jerry Kelly,90,"7' 9""",3459.833,445
48,T46,T46,George McNeill,82,"7' 9""",3429.833,442
49,T46,T46,Tag Ridings,50,"7' 9""",1674.1670000000001,215
50,T46,T46,Adam Scott,53,"7' 9""",1794.75,232
51,T46,T46,Scott Verplank,88,"7' 9""",3264.833,422
52,T46,T46,Camilo Villegas,76,"7' 9""",2125.083,274
53,T46,T46,Matt Weibring,65,"7' 9""",2267.75,293
54,T55,T55,Brad Adamonis,70,"7' 10""",2692.917,342
55,T55,T55,Robert Allenby,71,"7' 10""",2266.667,290
56,T55,T55,Matt Jones,56,"7' 10""",1777.6670000000001,228
57,T55,T55,Webb Simpson,94,"7' 10""",3975.75,507
58,T55,T55,Bo Van Pelt,100,"7' 10""",3394.083,434
59,T60,T60,Briny Baird,89,"7' 11""",2681.417,340
60,T60,T60,Ricky Barnes,67,"7' 11""",1965.5829999999999,249
61,T60,T60,Jason Dufner,90,"7' 11""",3305.75,417
62,T60,T60,Peter Lonard,86,"7' 11""",3402.583,432
63,T60,T60,John Senden,100,"7' 11""",3429.417,431
64,T60,T60,Kevin Sutherland,96,"7' 11""",3005.5,379
65,T66,T66,Woody Austin,84,"8' 0""",3317.417,416
66,T66,T66,Kris Blanks,60,"8' 0""",2011.25,251
67,T66,T66,Jason Bohn,88,"8' 0""",3183.667,400
68,T66,T66,Jonathan Byrd,89,"8' 0""",3047.833,381
69,T66,T66,Brian Davis,103,"8' 0""",4159.25,520
70,T66,T66,Retief Goosen,74,"8' 0""",2686.0,336
71,T66,T66,Bob Heintz,59,"8' 0""",2263.667,283
72,T66,T66,Cliff Kresge,78,"8' 0""",3114.0,389
73,T66,T66,Michael Letzig,96,"8' 0""",3911.25,488
74,T66,T66,John Mallinger,90,"8' 0""",3169.417,398
75,T66,T66,D.A. Points,99,"8' 0""",3631.167,452
76,T77,T77,Stuart Appleby,79,"8' 1""",2899.917,359
77,T77,T77,Cameron Beckman,87,"8' 1""",3278.333,406
78,T77,T77,David Duval,56,"8' 1""",1848.25,229
79,T77,T77,Steve Elkington,70,"8' 1""",2629.167,325
80,T77,T77,Steve Flesch,77,"8' 1""",2617.583,324
81,T77,T77,Harrison Frazar,93,"8' 1""",3483.833,433
82,T77,T77,Lucas Glover,93,"8' 1""",3600.833,446
83,T77,T77,Billy Mayfair,83,"8' 1""",2840.5,352
84,T77,T77,Scott McCarron,91,"8' 1""",3649.583,451
85,T77,T77,Phil Mickelson,66,"8' 1""",2190.333,272
86,T77,T77,Geoff Ogilvy,78,"8' 1""",2606.75,323
87,T77,T77,Rod Pampling,72,"8' 1""",2690.667,333
88,T77,T77,Jeff Quinney,78,"8' 1""",3271.167,404
89,T77,T77,Patrick Sheehan,51,"8' 1""",1581.5,195
90,T91,T91,Jason Day,61,"8' 2""",2314.667,282
91,T91,T91,Luke Donald,79,"8' 2""",2773.0,341
92,T91,T91,Davis Love III,89,"8' 2""",3390.833,415
93,T91,T91,David Toms,98,"8' 2""",3256.583,400
94,T95,T95,Greg Chalmers,85,"8' 3""",3195.417,387
95,T95,T95,Sergio Garcia,59,"8' 3""",1933.8329999999999,234
96,T95,T95,Mathew Goggin,76,"8' 3""",2797.083,338
97,T95,T95,Ryuji Imada,85,"8' 3""",3357.583,409
98,T95,T95,Will MacKenzie,69,"8' 3""",2501.25,303
99,T95,T95,Greg Owen,97,"8' 3""",3138.583,381
100,T95,T95,Pat Perez,74,"8' 3""",2863.25,346
101,T95,T95,Justin Rose,71,"8' 3""",2551.25,308
102,T95,T95,Mark Wilson,99,"8' 3""",3860.333,467
103,T95,T95,Y.E. Yang,83,"8' 3""",3076.167,371
104,T105,T105,Anthony Kim,76,"8' 4""",2759.75,331
105,T105,T105,Ryan Moore,89,"8' 4""",3291.583,396
106,T105,T105,Ted Purdy,101,"8' 4""",3951.083,476
107,T105,T105,Boo Weekley,79,"8' 4""",2814.917,337
108,T105,T105,Charlie Wi,92,"8' 4""",3690.417,442
109,T110,T110,Fred Couples,54,"8' 5""",1782.25,211
110,T110,T110,Paul Goydos,79,"8' 5""",3147.5,374
111,T110,T110,Bill Haas,91,"8' 5""",3665.417,436
112,T110,T110,Jeff Klauk,97,"8' 5""",4032.167,478
113,T110,T110,Rocco Mediate,79,"8' 5""",2924.25,348
114,T110,T110,Carl Pettersson,86,"8' 5""",3402.667,403
115,T116,T116,Ángel Cabrera,55,"8' 6""",1894.75,223
116,T116,T116,Stewart Cink,79,"8' 6""",2826.0,334
117,T116,T116,Jason Gore,74,"8' 6""",2915.25,342
118,T116,T116,Tom Lehman,55,"8' 6""",1419.9170000000001,167
119,T116,T116,James Nitties,86,"8' 6""",3733.25,439
120,T116,T116,Sean O'Hair,80,"8' 6""",2548.417,300
121,T116,T116,Kenny Perry,92,"8' 6""",3224.833,380
122,T116,T116,Brian Vranesh,51,"8' 6""",2130.0,251
123,T124,T124,Aaron Baddeley,66,"8' 7""",3017.25,350
124,T124,T124,David Mathis,82,"8' 7""",3541.75,411
125,T124,T124,Jeff Overton,92,"8' 7""",3991.667,465
126,T124,T124,Brandt Snedeker,81,"8' 7""",3013.417,351
127,T124,T124,Bubba Watson,73,"8' 7""",2610.0,305
128,T129,T129,Joe Durant,62,"8' 8""",1894.0829999999999,219
129,T129,T129,Tim Herron,87,"8' 8""",4004.167,461
130,T129,T129,Martin Laird,72,"8' 8""",2773.417,319
131,T129,T129,Chris Stroud,88,"8' 8""",3184.0,368
132,T129,T129,Gary Woodland,53,"8' 8""",1620.75,187
133,T134,T134,Michael Allen,73,"8' 9""",2618.667,300
134,T134,T134,Rich Beem,77,"8' 9""",2559.917,292
135,T134,T134,Charley Hoffman,97,"8' 9""",4097.333,468
136,T134,T134,Kent Jones,73,"8' 9""",2975.583,341
137,T134,T134,Steve Marino,98,"8' 9""",3657.917,419
138,T134,T134,Brendon Todd,53,"8' 9""",2256.917,258
139,T134,T134,Peter Tomasulo,61,"8' 9""",2162.333,246
140,T141,T141,Stephen Ames,77,"8' 10""",2453.917,279
141,T141,T141,Ben Curtis,63,"8' 10""",2432.583,276
142,T141,T141,Robert Garrigus,83,"8' 10""",2883.917,328
143,T141,T141,Todd Hamilton,83,"8' 10""",3206.917,363
144,T141,T141,Dustin Johnson,85,"8' 10""",2936.5,332
145,T141,T141,Scott Piercy,85,"8' 10""",3653.167,414
146,T141,T141,John Rollins,92,"8' 10""",3970.833,449
147,T148,T148,Parker McLachlin,71,"8' 11""",3689.833,415
