,Sand_Saves_from_20-30_yards_RANK THIS WEEK,Sand_Saves_from_20-30_yards_RANK LAST WEEK,Sand_Saves_from_20-30_yards_PLAYER NAME,Sand_Saves_from_20-30_yards_ROUNDS,Sand_Saves_from_20-30_yards_%,Sand_Saves_from_20-30_yards_# OF SAVES,Sand_Saves_from_20-30_yards_# OF BUNKERS
0,1,1,Webb Simpson,94,70.45,31,44
1,2,2,Jim Furyk,86,70.37,19,27
2,3,3,Matt Jones,56,69.23,9,13
3,4,4,Scott Verplank,88,65.79,25,38
4,5,5,Cameron Beckman,87,65.52,19,29
5,T6,T6,Nick O'Hern,90,64.86,24,37
6,T6,T6,Kevin Sutherland,96,64.86,24,37
7,T8,T8,Sean O'Hair,80,64.71,22,34
8,T8,T8,Tim Petrovic,97,64.71,33,51
9,10,10,Mark Wilson,99,64.29,27,42
10,11,11,Brian Gay,96,63.89,23,36
11,12,12,Brad Adamonis,70,63.64,21,33
12,13,13,Aron Price,89,63.16,24,38
13,14,14,Tiger Woods,64,61.9,13,21
14,15,15,David Mathis,82,61.29,19,31
15,T16,T16,Michael Allen,73,59.09,13,22
16,T16,T16,Chad Campbell,90,59.09,13,22
17,18,18,Nathan Green,104,58.97,23,39
18,19,19,Kevin Stadler,65,58.82,10,17
19,T20,T20,Lee Janzen,74,58.62,17,29
20,T20,T20,Matt Kuchar,82,58.62,17,29
21,22,22,Ryuji Imada,85,58.14,25,43
22,T23,T23,Robert Allenby,71,57.89,11,19
23,T23,T23,Chris Riley,77,57.89,22,38
24,T23,T23,Matt Weibring,65,57.89,11,19
25,26,26,Luke Donald,79,57.58,19,33
26,T27,T27,Tim Clark,81,57.14,12,21
27,T27,T27,Jerry Kelly,90,57.14,20,35
28,T29,T29,Cliff Kresge,78,56.67,17,30
29,T29,T29,Tom Pernice Jr.,82,56.67,17,30
30,31,31,Kevin Na,91,56.25,27,48
31,32,32,Padraig Harrington,66,56.0,14,25
32,33,33,Hunter Mahan,94,55.81,24,43
33,34,34,Davis Love III,89,55.26,21,38
34,35,35,Mike Weir,85,54.29,19,35
35,T36,T36,Bob Heintz,59,53.85,14,26
36,T36,T36,Bryce Molder,69,53.85,14,26
37,38,38,Alex Cejka,82,53.57,15,28
38,T39,T39,Aaron Baddeley,66,52.94,18,34
39,T39,T39,Ken Duke,87,52.94,18,34
40,T39,T39,Adam Scott,53,52.94,9,17
41,T39,T39,Jimmy Walker,74,52.94,18,34
42,T43,T43,Tim Herron,87,52.63,20,38
43,T43,T43,Jeff Quinney,78,52.63,20,38
44,45,45,Joe Ogilvie,85,52.38,22,42
45,46,46,Nick Watney,86,52.27,23,44
46,47,47,Steve Elkington,70,51.85,14,27
47,48,48,Chris DiMarco,97,51.61,16,31
48,T49,T49,Jason Dufner,90,51.52,17,33
49,T49,T49,Y.E. Yang,83,51.52,17,33
50,T51,T51,Stephen Ames,77,50.0,15,30
51,T51,T51,Retief Goosen,74,50.0,11,22
52,T51,T51,Anthony Kim,76,50.0,15,30
53,T51,T51,Michael Letzig,96,50.0,16,32
54,T51,T51,Jarrod Lyle,65,50.0,14,28
55,T51,T51,Phil Mickelson,66,50.0,15,30
56,T51,T51,Jeff Overton,92,50.0,21,42
57,T51,T51,Peter Tomasulo,61,50.0,13,26
58,T51,T51,Dean Wilson,81,50.0,13,26
59,60,60,Parker McLachlin,71,48.94,23,47
60,61,61,Carl Pettersson,86,48.78,20,41
61,T62,T62,Marc Leishman,91,48.72,19,39
62,T62,T62,George McNeill,82,48.72,19,39
63,T64,T64,Bob Estes,78,48.57,17,35
64,T64,T64,Steve Stricker,81,48.57,17,35
65,T66,T66,Spencer Levin,75,48.39,15,31
66,T66,T66,Kenny Perry,92,48.39,15,31
67,68,68,Brandt Snedeker,81,48.28,14,29
68,T69,T69,Richard Johnson,85,47.83,22,46
69,T69,T69,Corey Pavin,73,47.83,11,23
70,T71,T71,D.A. Points,99,47.73,21,44
71,T71,T71,John Senden,100,47.73,21,44
72,73,73,Daniel Chopra,89,47.62,20,42
73,T74,T74,Lucas Glover,93,47.5,19,40
74,T74,T74,D.J. Trahan,96,47.5,19,40
75,76,76,John Rollins,92,47.37,18,38
76,T77,T77,Mark Brooks,55,47.06,8,17
77,T77,T77,Brian Vranesh,51,47.06,8,17
78,79,79,Justin Rose,71,46.67,7,15
79,80,80,Brad Faxon,59,46.51,20,43
80,T81,T81,Joe Durant,62,46.15,6,13
81,T81,T81,Derek Fathauer,63,46.15,12,26
82,T81,T81,Geoff Ogilvy,78,46.15,12,26
83,T81,T81,Ryan Palmer,78,46.15,18,39
84,T81,T81,Vijay Singh,71,46.15,12,26
85,T86,T86,Mark Calcavecchia,72,45.83,11,24
86,T86,T86,Glen Day,79,45.83,11,24
