,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Luke Donald,79,64.43,96,149,42.0
1,2,2,Kevin Na,91,62.64,109,174,40.0
2,3,3,Tiger Woods,64,61.86,60,97,16.0
3,T4,T4,Matt Kuchar,82,61.6,77,125,23.0
4,T4,T4,David Mathis,82,61.6,77,125,38.0
5,6,6,Webb Simpson,94,61.33,111,181,43.0
6,7,7,Mark Wilson,99,60.87,98,161,44.0
7,T8,T8,Retief Goosen,74,60.0,75,125,30.0
8,T8,T8,Chris Riley,77,60.0,72,120,32.0
9,10,10,Brad Adamonis,70,58.93,66,112,28.0
10,11,11,Bob Heintz,59,58.82,50,85,27.0
11,12,12,Rod Pampling,72,58.74,84,143,28.0
12,13,13,Joe Ogilvie,85,58.6,92,157,41.0
13,14,14,George McNeill,82,58.39,87,149,38.0
14,15,15,Jimmy Walker,74,58.06,72,124,32.0
15,16,16,Brian Gay,96,57.79,89,154,67.0
16,T17,T17,Jason Day,61,57.65,49,85,15.0
17,T17,T17,Bryce Molder,69,57.65,49,85,24.0
18,19,19,Nick O'Hern,90,57.58,76,132,42.0
19,20,20,Nathan Green,104,57.56,99,172,50.0
20,21,21,Cliff Kresge,78,57.52,65,113,45.0
21,T22,T22,Ian Poulter,59,57.14,56,98,22.0
22,T22,T22,Matt Weibring,65,57.14,48,84,23.0
23,24,24,Mike Weir,85,57.06,93,163,53.0
24,25,25,Tim Clark,81,57.02,65,114,40.0
25,26,26,Kevin Sutherland,96,56.96,90,158,28.0
26,27,27,Justin Rose,71,56.91,70,123,41.0
27,28,28,Ben Curtis,63,56.45,70,124,37.0
28,29,29,Hunter Mahan,94,56.44,92,163,42.0
29,30,30,Jerry Kelly,90,56.38,84,149,46.0
30,31,31,Charlie Wi,92,56.13,87,155,51.0
31,T32,T32,Cameron Beckman,87,56.1,69,123,48.0
32,T32,T32,Padraig Harrington,66,56.1,69,123,34.0
33,34,34,Michael Letzig,96,56.02,93,166,30.0
34,35,35,Chris DiMarco,97,55.48,81,146,48.0
35,36,36,Ken Duke,87,55.19,85,154,48.0
36,37,37,Ben Crane,93,55.17,96,174,65.0
37,38,38,Lucas Glover,93,55.13,86,156,40.0
38,39,39,Freddie Jacobson,83,55.1,81,147,44.0
39,40,40,Aron Price,89,54.96,72,131,50.0
40,41,41,Bill Haas,91,54.86,79,144,35.0
41,T42,T42,Geoff Ogilvy,78,54.81,74,135,32.0
42,T42,T42,Tom Pernice Jr.,82,54.81,74,135,56.0
43,44,44,Briny Baird,89,54.74,75,137,44.0
