,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
0,1,1,Scott Sterling,51,0.179,84,15.0
1,2,2,Jim Furyk,86,0.21600000000000003,167,36.0
2,3,3,Ian Poulter,59,0.21899999999999997,128,28.0
3,4,4,Chris Riley,77,0.222,189,42.0
4,5,5,Bryce Molder,69,0.23600000000000002,123,29.0
5,6,6,Matt Jones,56,0.245,110,27.0
6,T7,T7,Brian Gay,96,0.25,216,54.0
7,T7,T7,Tiger Woods,64,0.25,108,27.0
8,9,9,Greg Chalmers,85,0.265,196,52.0
9,T10,T10,Glen Day,79,0.268,157,42.0
10,T10,T10,George McNeill,82,0.268,209,56.0
11,T12,T12,Padraig Harrington,66,0.26899999999999996,130,35.0
12,T12,T12,Ryuji Imada,85,0.26899999999999996,201,54.0
13,14,14,Lee Janzen,74,0.272,173,47.0
14,T15,T15,Rod Pampling,72,0.273,165,45.0
15,T15,T15,Casey Wittenberg,71,0.273,132,36.0
16,17,17,Steve Stricker,81,0.27399999999999997,157,43.0
17,T18,T18,Spencer Levin,75,0.278,158,44.0
18,T18,T18,Pat Perez,74,0.278,180,50.0
19,20,20,Charles Howell III,99,0.27899999999999997,197,55.0
20,21,21,Ben Crane,93,0.284,215,61.0
21,T22,T22,Aaron Baddeley,66,0.285,165,47.0
22,T22,T22,Steve Flesch,77,0.285,151,43.0
23,24,24,Jeff Klauk,97,0.28600000000000003,227,65.0
24,25,25,Woody Austin,84,0.289,194,56.0
25,26,26,Jason Day,61,0.293,133,39.0
26,27,27,Charlie Wi,92,0.29600000000000004,216,64.0
27,28,28,Kevin Na,91,0.297,232,69.0
28,T29,T29,Steve Marino,98,0.299,204,61.0
29,T29,T29,Brett Quigley,92,0.299,177,53.0
30,T29,T29,Jay Williamson,69,0.299,117,35.0
31,T32,T32,Luke Donald,79,0.303,155,47.0
32,T32,T32,Chez Reavie,81,0.303,195,59.0
33,T32,T32,Jimmy Walker,74,0.303,178,54.0
34,35,35,David Mathis,82,0.304,214,65.0
35,T36,T36,Chris DiMarco,97,0.305,239,73.0
36,T36,T36,Bill Lunde,83,0.305,190,58.0
37,T38,T38,Zach Johnson,94,0.307,192,59.0
38,T38,T38,Richard Johnson,85,0.307,202,62.0
39,40,40,Webb Simpson,94,0.309,243,75.0
40,41,41,K.J. Choi,65,0.31,126,39.0
41,42,42,Ryan Moore,89,0.311,183,57.0
42,43,43,Michael Letzig,96,0.313,249,78.0
43,T44,T44,Fred Couples,54,0.314,105,33.0
44,T44,T44,Justin Leonard,95,0.314,169,53.0
45,T46,T46,Matt Kuchar,82,0.315,216,68.0
46,T46,T46,Brian Vranesh,51,0.315,124,39.0
47,T48,T48,Bob Estes,78,0.316,177,56.0
48,T48,T48,John Mallinger,90,0.316,193,61.0
49,T48,T48,Bubba Watson,73,0.316,155,49.0
50,T51,T51,Eric Axley,71,0.317,161,51.0
51,T51,T51,Kenny Perry,92,0.317,180,57.0
52,53,53,Ernie Els,70,0.318,154,49.0
53,T54,T54,Brad Adamonis,70,0.319,166,53.0
54,T54,T54,Tim Petrovic,97,0.319,238,76.0
55,T54,T54,Brandt Snedeker,81,0.319,188,60.0
56,T54,T54,Darron Stiles,52,0.319,116,37.0
