,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,1,1,Bob Heintz,59,"2' 4""",103.083,44,26
1,T2,T2,Steve Stricker,81,"2' 5""",174.0,71,2
2,T2,T2,Tiger Woods,64,"2' 5""",110.167,45,1
3,T4,T4,Mark Brooks,55,"2' 6""",133.75,54,10
4,T4,T4,Jason Dufner,90,"2' 6""",191.083,76,52
5,T4,T4,Jerry Kelly,90,"2' 6""",187.75,75,45
6,T4,T4,Tom Lehman,55,"2' 6""",75.167,30,150
7,T4,T4,Scott Sterling,51,"2' 6""",103.5,41,44
8,T4,T4,D.J. Trahan,96,"2' 6""",229.667,91,149
9,T4,T4,Charles Warren,63,"2' 6""",151.5,61,121
10,T11,T11,Padraig Harrington,66,"2' 7""",128.583,50,11
11,T11,T11,Matt Jones,56,"2' 7""",149.333,58,22
12,T11,T11,Matt Kuchar,82,"2' 7""",203.333,78,3
13,T11,T11,Tag Ridings,50,"2' 7""",107.5,42,140
14,T11,T11,Chris Riley,77,"2' 7""",198.25,78,9
15,T11,T11,Y.E. Yang,83,"2' 7""",174.75,68,90
16,T17,T17,Brad Adamonis,70,"2' 8""",194.833,74,36
17,T17,T17,Jonathan Byrd,89,"2' 8""",212.417,79,148
18,T17,T17,Ángel Cabrera,55,"2' 8""",155.0,58,117
19,T17,T17,Jim Furyk,86,"2' 8""",165.0,62,8
20,T17,T17,Michael Letzig,96,"2' 8""",272.83299999999997,101,29
21,T17,T17,Will MacKenzie,69,"2' 8""",126.833,47,164
22,T17,T17,Tim Petrovic,97,"2' 8""",277.0,104,5
23,T24,T24,Ricky Barnes,67,"2' 9""",151.667,55,178
24,T24,T24,Brian Davis,103,"2' 9""",260.66700000000003,95,95
25,T24,T24,Jason Gore,74,"2' 9""",182.917,67,127
26,T24,T24,J.J. Henry,97,"2' 9""",203.583,75,89
27,T24,T24,Kent Jones,73,"2' 9""",163.333,59,139
28,T24,T24,Justin Leonard,95,"2' 9""",222.75,82,63
29,T24,T24,Phil Mickelson,66,"2' 9""",131.167,48,109
30,T24,T24,Kevin Na,91,"2' 9""",226.333,83,6
31,T24,T24,Justin Rose,71,"2' 9""",164.333,60,87
32,T24,T24,Mark Wilson,99,"2' 9""",208.083,75,21
33,T34,T34,Harrison Frazar,93,"2' 10""",197.333,70,134
34,T34,T34,Lee Janzen,74,"2' 10""",186.5,65,66
35,T34,T34,Zach Johnson,94,"2' 10""",228.667,81,31
36,T34,T34,George McNeill,82,"2' 10""",277.33299999999997,97,29
37,T34,T34,Rod Pampling,72,"2' 10""",194.917,69,74
38,T34,T34,John Senden,100,"2' 10""",267.16700000000003,94,128
39,T34,T34,Marc Turnesa,77,"2' 10""",211.667,75,170
40,T41,T41,Daniel Chopra,89,"2' 11""",284.66700000000003,97,152
41,T41,T41,Chris DiMarco,97,"2' 11""",281.08299999999997,97,15
42,T41,T41,Luke Donald,79,"2' 11""",177.083,61,20
43,T41,T41,Retief Goosen,74,"2' 11""",175.167,60,64
44,T41,T41,Steve Marino,98,"2' 11""",233.333,79,60
45,T41,T41,Troy Matteson,95,"2' 11""",278.0,95,103
46,T41,T41,Jeff Overton,92,"2' 11""",305.41700000000003,104,95
47,T41,T41,Chez Reavie,81,"2' 11""",203.667,69,71
48,T41,T41,Patrick Sheehan,51,"2' 11""",116.75,40,23
49,T41,T41,Bo Van Pelt,100,"2' 11""",276.83299999999997,96,57
50,T41,T41,Matt Weibring,65,"2' 11""",182.917,63,42
51,T41,T41,Casey Wittenberg,71,"2' 11""",178.083,61,61
52,T53,T53,Rich Beem,77,"3' 0""",185.667,62,132
53,T53,T53,Ernie Els,70,"3' 0""",195.417,65,59
54,T53,T53,Bob Estes,78,"3' 0""",242.5,80,28
55,T53,T53,Robert Garrigus,83,"3' 0""",181.917,60,111
56,T53,T53,Nathan Green,104,"3' 0""",285.25,96,40
57,T53,T53,Bill Haas,91,"3' 0""",287.75,96,72
58,T53,T53,Todd Hamilton,83,"3' 0""",226.083,76,105
59,T53,T53,Freddie Jacobson,83,"3' 0""",240.083,80,51
60,T53,T53,Colt Knost,71,"3' 0""",179.25,59,157
61,T53,T53,Billy Mayfair,83,"3' 0""",258.5,87,169
62,T53,T53,James Nitties,86,"3' 0""",254.167,85,106
63,T53,T53,Joe Ogilvie,85,"3' 0""",287.08299999999997,96,41
64,T53,T53,Nicholas Thompson,96,"3' 0""",253.583,85,122
65,T53,T53,Dean Wilson,81,"3' 0""",198.083,66,119
66,T67,T67,Eric Axley,71,"3' 1""",198.917,64,182
67,T67,T67,Kris Blanks,60,"3' 1""",154.417,50,131
68,T67,T67,Bart Bryant,58,"3' 1""",142.083,46,153
69,T67,T67,Mark Calcavecchia,72,"3' 1""",194.083,63,101
70,T67,T67,Fred Couples,54,"3' 1""",107.167,35,175
71,T67,T67,Ben Crane,93,"3' 1""",292.25,95,32
72,T67,T67,Sergio Garcia,59,"3' 1""",137.583,45,101
73,T67,T67,Lucas Glover,93,"3' 1""",293.25,94,97
74,T67,T67,Tim Herron,87,"3' 1""",256.58299999999997,84,69
75,T67,T67,Spencer Levin,75,"3' 1""",196.417,63,15
76,T67,T67,David Mathis,82,"3' 1""",213.583,69,47
77,T67,T67,Scott McCarron,91,"3' 1""",278.41700000000003,91,18
78,T67,T67,Bryce Molder,69,"3' 1""",197.833,64,37
79,T67,T67,Nick O'Hern,90,"3' 1""",265.16700000000003,86,70
80,T67,T67,Corey Pavin,73,"3' 1""",217.083,70,80
81,T67,T67,Heath Slocum,95,"3' 1""",306.66700000000003,100,91
82,T67,T67,Darron Stiles,52,"3' 1""",122.083,40,133
83,T84,T84,Stephen Ames,77,"3' 2""",210.417,67,142
84,T84,T84,Cameron Beckman,87,"3' 2""",293.5,93,77
85,T84,T84,Stewart Cink,79,"3' 2""",217.667,68,113
86,T84,T84,Steve Elkington,70,"3' 2""",210.083,66,99
87,T84,T84,Brian Gay,96,"3' 2""",294.25,94,7
88,T84,T84,Charley Hoffman,97,"3' 2""",284.83299999999997,91,79
89,T84,T84,Ryuji Imada,85,"3' 2""",232.083,74,54
90,T84,T84,Greg Kraft,51,"3' 2""",201.75,64,177
91,T84,T84,John Mallinger,90,"3' 2""",254.667,81,104
92,T84,T84,Kenny Perry,92,"3' 2""",235.75,74,13
93,T84,T84,Brandt Snedeker,81,"3' 2""",212.167,67,25
94,T84,T84,Kevin Stadler,65,"3' 2""",207.75,65,33
95,T84,T84,Camilo Villegas,76,"3' 2""",181.5,57,129
96,T84,T84,Jay Williamson,69,"3' 2""",181.583,58,86
97,T98,T98,Michael Allen,73,"3' 3""",218.583,67,123
98,T98,T98,Briny Baird,89,"3' 3""",241.083,75,126
99,T98,T98,Jason Bohn,88,"3' 3""",320.5,99,163
100,T98,T98,Alex Cejka,82,"3' 3""",232.083,71,108
101,T98,T98,Mathew Goggin,76,"3' 3""",191.0,59,134
102,T98,T98,Charles Howell III,99,"3' 3""",219.667,67,118
103,T98,T98,John Merrick,91,"3' 3""",256.08299999999997,79,159
104,T98,T98,Pat Perez,74,"3' 3""",239.417,73,78
105,T98,T98,Ted Purdy,101,"3' 3""",290.41700000000003,89,151
106,T98,T98,Chris Stroud,88,"3' 3""",231.083,72,168
107,T98,T98,Mike Weir,85,"3' 3""",215.25,67,14
108,T109,T109,Tommy Armour III,58,"3' 4""",190.083,57,137
109,T109,T109,Aaron Baddeley,66,"3' 4""",189.083,57,92
110,T109,T109,Jason Day,61,"3' 4""",149.167,45,35
111,T109,T109,Brendon de Jonge,90,"3' 4""",277.66700000000003,83,155
112,T109,T109,Ken Duke,87,"3' 4""",262.08299999999997,79,53
113,T109,T109,Steve Flesch,77,"3' 4""",245.833,73,50
114,T109,T109,Dustin Johnson,85,"3' 4""",199.5,60,143
115,T109,T109,Bill Lunde,83,"3' 4""",289.0,87,49
116,T109,T109,Hunter Mahan,94,"3' 4""",296.5,89,100
